General parameters:
Start time: 2023              8             30              7             55      41.810084
Finish time: 2023              8             30              8             42      54.344069
Raster type: raster_jump
Horizontal range (nm): -2599522.864945,-2799522.864945
Vertical range (nm): 164048.479015,-35951.520985
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.73e-07
Sample chamber pressure: 3.58e-08
Initial position (nm): -2731107.000000,261940.000000,-1000011.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2599522.8649     -2799522.8649
hori_res:3500
vert_range:164048.479     -35951.52099
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.931616
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-3.595152e+04,-2.799523e+06,6.4183e-11,46.6,21.25
-3.595152e+04,-2.796023e+06,6.506e-11,46.6,21.25
-3.595152e+04,-2.792523e+06,6.614e-11,46.6,21.25
-3.595152e+04,-2.789023e+06,6.6007e-11,46.6,21.25
-3.595152e+04,-2.785523e+06,6.713e-11,46.6,21.25
-3.595152e+04,-2.782023e+06,6.4367e-11,46.6,21.25
-3.595152e+04,-2.778523e+06,6.8423e-11,46.6,21.25
-3.595152e+04,-2.775023e+06,6.512e-11,46.6,21.25
-3.595152e+04,-2.771523e+06,6.643e-11,46.6,21.25
-3.595152e+04,-2.768023e+06,6.6283e-11,46.6,21.25
-3.595152e+04,-2.764523e+06,6.4237e-11,46.6,21.25
-3.595152e+04,-2.761023e+06,6.556e-11,46.6,21.25
-3.595152e+04,-2.757523e+06,6.7367e-11,46.6,21.25
-3.595152e+04,-2.754023e+06,6.7713e-11,46.6,21.25
-3.595152e+04,-2.750523e+06,6.5747e-11,46.6,21.25
-3.595152e+04,-2.747023e+06,6.4633e-11,46.6,21.25
-3.595152e+04,-2.743523e+06,6.6193e-11,46.6,21.25
-3.595152e+04,-2.740023e+06,6.5273e-11,46.6,21.25
-3.595152e+04,-2.736523e+06,6.5403e-11,46.6,21.25
-3.595152e+04,-2.733023e+06,6.828e-11,46.6,21.25
-3.595152e+04,-2.729523e+06,6.7723e-11,46.6,21.25
-3.595152e+04,-2.726023e+06,6.5127e-11,46.6,21.25
-3.595152e+04,-2.722523e+06,6.5733e-11,46.6,21.25
-3.595152e+04,-2.719023e+06,6.7987e-11,46.6,21.25
-3.595152e+04,-2.715523e+06,6.812e-11,46.6,21.25
-3.595152e+04,-2.712023e+06,6.821e-11,46.6,21.25
-3.595152e+04,-2.708523e+06,6.645e-11,46.6,21.25
-3.595152e+04,-2.705023e+06,6.5083e-11,46.6,21.25
-3.595152e+04,-2.701523e+06,6.4687e-11,46.6,21.25
-3.595152e+04,-2.698023e+06,6.7813e-11,46.6,21.25
-3.595152e+04,-2.694523e+06,6.6627e-11,46.6,21.25
-3.595152e+04,-2.691023e+06,6.286e-11,46.6,21.25
-3.595152e+04,-2.687523e+06,6.631e-11,46.6,21.25
-3.595152e+04,-2.684023e+06,6.619e-11,46.6,21.25
-3.595152e+04,-2.680523e+06,6.59e-11,46.6,21.25
-3.595152e+04,-2.677023e+06,6.486e-11,46.6,21.25
-3.595152e+04,-2.673523e+06,6.6047e-11,46.6,21.25
-3.595152e+04,-2.670023e+06,6.8827e-11,46.6,21.25
-3.595152e+04,-2.666523e+06,6.685e-11,46.6,21.25
-3.595152e+04,-2.663023e+06,6.5687e-11,46.6,21.25
-3.595152e+04,-2.659523e+06,6.459e-11,46.6,21.25
-3.595152e+04,-2.656023e+06,6.669e-11,46.6,21.25
-3.595152e+04,-2.652523e+06,6.507e-11,46.6,21.25
-3.595152e+04,-2.649023e+06,7.037e-11,46.6,21.25
-3.595152e+04,-2.645523e+06,6.6993e-11,46.6,21.25
-3.595152e+04,-2.642023e+06,6.6357e-11,46.6,21.25
-3.595152e+04,-2.638523e+06,6.4887e-11,46.6,21.25
-3.595152e+04,-2.635023e+06,6.7157e-11,46.6,21.25
-3.595152e+04,-2.631523e+06,6.387e-11,46.6,21.25
-3.595152e+04,-2.628023e+06,6.6073e-11,46.6,21.25
-3.595152e+04,-2.624523e+06,6.4543e-11,46.6,21.25
-3.595152e+04,-2.621023e+06,6.5803e-11,46.6,21.25
-3.595152e+04,-2.617523e+06,6.7097e-11,46.6,21.25
-3.595152e+04,-2.614023e+06,6.568e-11,46.6,21.25
-3.595152e+04,-2.610523e+06,6.4787e-11,46.6,21.25
-3.595152e+04,-2.607023e+06,6.4943e-11,46.6,21.25
-3.595152e+04,-2.603523e+06,6.859e-11,46.6,21.25
-3.595152e+04,-2.600023e+06,6.633e-11,46.6,21.25
-3.245152e+04,-2.799523e+06,6.4947e-11,46.6,21.25
-3.245152e+04,-2.796023e+06,6.552e-11,46.6,21.25
-3.245152e+04,-2.792523e+06,6.587e-11,46.6,21.25
-3.245152e+04,-2.789023e+06,6.6013e-11,46.6,21.25
-3.245152e+04,-2.785523e+06,6.2723e-11,46.6,21.25
-3.245152e+04,-2.782023e+06,6.6827e-11,46.6,21.25
