General parameters:
Start time: 2023              8             30              8             43       5.878744
Finish time: 2023              8             30              9             30      16.256583
Raster type: raster_jump
Horizontal range (nm): -2487516.951617,-2687516.951617
Vertical range (nm): 44384.968542,-155615.031458
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.72e-07
Sample chamber pressure: 3.58e-08
Initial position (nm): -2600030.000000,163550.000000,-999980.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2487516.9516     -2687516.9516
hori_res:3500
vert_range:44384.96854     -155615.0315
vert_res:3500
pause:0.25
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.931958
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.556150e+05,-2.687517e+06,6.8833e-11,46.6,21.25
-1.556150e+05,-2.684017e+06,6.5797e-11,46.6,21.25
-1.556150e+05,-2.680517e+06,7.0457e-11,46.6,21.25
-1.556150e+05,-2.677017e+06,6.6957e-11,46.6,21.25
-1.556150e+05,-2.673517e+06,6.6373e-11,46.6,21.25
-1.556150e+05,-2.670017e+06,6.6687e-11,46.6,21.25
-1.556150e+05,-2.666517e+06,6.801e-11,46.6,21.25
-1.556150e+05,-2.663017e+06,6.514e-11,46.6,21.25
-1.556150e+05,-2.659517e+06,6.699e-11,46.6,21.25
-1.556150e+05,-2.656017e+06,6.8133e-11,46.6,21.25
-1.556150e+05,-2.652517e+06,7.0023e-11,46.6,21.25
-1.556150e+05,-2.649017e+06,6.9487e-11,46.6,21.25
-1.556150e+05,-2.645517e+06,6.6493e-11,46.6,21.25
-1.556150e+05,-2.642017e+06,6.7867e-11,46.6,21.25
-1.556150e+05,-2.638517e+06,6.567e-11,46.6,21.25
-1.556150e+05,-2.635017e+06,6.402e-11,46.6,21.25
-1.556150e+05,-2.631517e+06,6.794e-11,46.6,21.25
-1.556150e+05,-2.628017e+06,6.9243e-11,46.6,21.25
-1.556150e+05,-2.624517e+06,6.6187e-11,46.6,21.25
-1.556150e+05,-2.621017e+06,6.546e-11,46.6,21.25
-1.556150e+05,-2.617517e+06,6.465e-11,46.6,21.25
-1.556150e+05,-2.614017e+06,6.889e-11,46.6,21.25
-1.556150e+05,-2.610517e+06,6.8403e-11,46.6,21.25
-1.556150e+05,-2.607017e+06,6.4717e-11,46.6,21.25
-1.556150e+05,-2.603517e+06,6.586e-11,46.6,21.25
-1.556150e+05,-2.600017e+06,6.823e-11,46.6,21.25
-1.556150e+05,-2.596517e+06,6.803e-11,46.6,21.25
-1.556150e+05,-2.593017e+06,6.8343e-11,46.6,21.25
-1.556150e+05,-2.589517e+06,6.4457e-11,46.6,21.25
-1.556150e+05,-2.586017e+06,6.633e-11,46.6,21.25
-1.556150e+05,-2.582517e+06,6.5537e-11,46.6,21.25
-1.556150e+05,-2.579017e+06,6.6707e-11,46.6,21.25
-1.556150e+05,-2.575517e+06,6.6857e-11,46.6,21.25
-1.556150e+05,-2.572017e+06,6.7603e-11,46.6,21.25
-1.556150e+05,-2.568517e+06,6.8053e-11,46.6,21.25
-1.556150e+05,-2.565017e+06,6.862e-11,46.6,21.25
-1.556150e+05,-2.561517e+06,6.8387e-11,46.6,21.25
-1.556150e+05,-2.558017e+06,6.8763e-11,46.6,21.25
-1.556150e+05,-2.554517e+06,6.5673e-11,46.6,21.25
-1.556150e+05,-2.551017e+06,6.7887e-11,46.6,21.25
-1.556150e+05,-2.547517e+06,6.5243e-11,46.6,21.25
-1.556150e+05,-2.544017e+06,6.6613e-11,46.6,21.25
-1.556150e+05,-2.540517e+06,6.6947e-11,46.6,21.25
-1.556150e+05,-2.537017e+06,6.69e-11,46.6,21.25
-1.556150e+05,-2.533517e+06,6.7077e-11,46.6,21.25
-1.556150e+05,-2.530017e+06,6.7277e-11,46.6,21.25
-1.556150e+05,-2.526517e+06,6.73e-11,46.6,21.25
-1.556150e+05,-2.523017e+06,6.7347e-11,46.6,21.25
-1.556150e+05,-2.519517e+06,6.7457e-11,46.6,21.25
-1.556150e+05,-2.516017e+06,7.0457e-11,46.6,21.25
-1.556150e+05,-2.512517e+06,6.5047e-11,46.6,21.25
-1.556150e+05,-2.509017e+06,6.74e-11,46.6,21.25
-1.556150e+05,-2.505517e+06,7.0653e-11,46.6,21.25
-1.556150e+05,-2.502017e+06,6.7387e-11,46.6,21.25
-1.556150e+05,-2.498517e+06,6.4097e-11,46.6,21.25
-1.556150e+05,-2.495017e+06,6.6033e-11,46.6,21.25
-1.556150e+05,-2.491517e+06,6.9043e-11,46.6,21.25
