General parameters:
Start time: 2023              8             30             15             13      36.662238
Finish time: 2023              8             30             17              4      41.523032
Raster type: raster_jump
Horizontal range (nm): -3361994.000000,-3561994.000000
Vertical range (nm): 378000.000000,178000.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 5.65e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -2488024.000000,43890.000000,-999986.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3361994 -3561994
hori_res:3000
vert_range:378000  178000
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.899810
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
178000,-3561994,4.8413e-11,46.0,21.25
178000,-3558994,4.5207e-11,46.0,21.25
178000,-3555994,4.7125e-11,46.0,21.25
178000,-3552994,4.5369e-11,46.0,21.25
178000,-3549994,4.5573e-11,46.0,21.25
178000,-3546994,4.6661e-11,46.0,21.25
178000,-3543994,4.589e-11,46.0,21.25
178000,-3540994,4.6813e-11,46.0,21.25
178000,-3537994,4.6342e-11,46.0,21.25
178000,-3534994,4.7358e-11,46.0,21.25
178000,-3531994,4.6013e-11,46.0,21.25
178000,-3528994,4.5285e-11,46.0,21.25
178000,-3525994,4.6081e-11,46.0,21.25
178000,-3522994,4.4951e-11,46.0,21.25
178000,-3519994,4.6604e-11,46.0,21.25
178000,-3516994,4.3218e-11,46.0,21.25
178000,-3513994,4.6142e-11,46.0,21.25
178000,-3510994,4.6221e-11,46.0,21.25
178000,-3507994,4.6696e-11,46.0,21.25
178000,-3504994,4.4301e-11,46.0,21.25
178000,-3501994,4.6716e-11,46.0,21.25
178000,-3498994,4.4818e-11,46.0,21.25
178000,-3495994,4.7463e-11,46.0,21.25
178000,-3492994,4.5013e-11,46.0,21.25
178000,-3489994,4.7203e-11,46.0,21.25
178000,-3486994,4.6294e-11,46.0,21.25
178000,-3483994,4.6115e-11,46.0,21.25
178000,-3480994,4.6088e-11,46.0,21.25
