General parameters:
Start time: 2023              8             30             18             43      23.466919
Finish time: 2023              8             30             20             35       2.810718
Raster type: raster_jump
Horizontal range (nm): -3361977.000000,-3561977.000000
Vertical range (nm): 378000.000000,178000.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.02e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -3363979.000000,376000.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3361977 -3561977
hori_res:3000
vert_range:378000  178000
vert_res:3000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.889892
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
178000,-3561977,5.093e-11,66.3,21.25
178000,-3558977,5.3803e-11,66.3,21.25
178000,-3555977,5.1819e-11,66.3,21.25
178000,-3552977,5.2722e-11,66.3,21.25
178000,-3549977,5.4084e-11,66.3,21.25
178000,-3546977,5.2816e-11,66.3,21.25
178000,-3543977,5.2769e-11,66.3,21.25
178000,-3540977,5.1913e-11,66.3,21.25
178000,-3537977,5.3091e-11,66.3,21.25
178000,-3534977,5.374e-11,66.3,21.25
178000,-3531977,5.1819e-11,66.3,21.25
178000,-3528977,5.1291e-11,66.3,21.25
178000,-3525977,5.303e-11,66.3,21.25
178000,-3522977,5.3342e-11,66.3,21.25
178000,-3519977,5.2449e-11,66.3,21.25
178000,-3516977,5.1973e-11,66.3,21.25
178000,-3513977,5.2591e-11,66.3,21.25
178000,-3510977,5.2839e-11,66.3,21.25
178000,-3507977,5.3155e-11,66.3,21.25
178000,-3504977,5.3916e-11,66.3,21.25
178000,-3501977,5.2975e-11,66.3,21.25
178000,-3498977,5.029e-11,66.3,21.25
178000,-3495977,5.2406e-11,66.3,21.25
178000,-3492977,5.2676e-11,66.3,21.25
178000,-3489977,5.3413e-11,66.3,21.25
178000,-3486977,5.3381e-11,66.3,21.25
178000,-3483977,5.3457e-11,66.3,21.25
178000,-3480977,5.2885e-11,66.3,21.25
178000,-3477977,5.2287e-11,66.3,21.25
178000,-3474977,5.3455e-11,66.3,21.25
178000,-3471977,5.25e-11,66.3,21.25
178000,-3468977,5.3278e-11,66.3,21.25
178000,-3465977,5.1976e-11,66.3,21.25
178000,-3462977,5.1567e-11,66.3,21.25
178000,-3459977,5.2737e-11,66.3,21.25
178000,-3456977,5.2006e-11,66.3,21.25
178000,-3453977,5.2991e-11,66.3,21.25
178000,-3450977,5.107e-11,66.3,21.25
178000,-3447977,5.2291e-11,66.3,21.25
178000,-3444977,5.2766e-11,66.3,21.25
178000,-3441977,5.2916e-11,66.2,21.25
178000,-3438977,5.1273e-11,66.2,21.25
178000,-3435977,5.2112e-11,66.2,21.25
178000,-3432977,5.3128e-11,66.2,21.25
178000,-3429977,5.4412e-11,66.2,21.25
178000,-3426977,5.3454e-11,66.2,21.25
178000,-3423977,5.2019e-11,66.2,21.25
178000,-3420977,5.25e-11,66.2,21.25
178000,-3417977,5.2997e-11,66.2,21.25
178000,-3414977,5.2216e-11,66.2,21.25
178000,-3411977,5.2964e-11,66.2,21.25
178000,-3408977,5.2973e-11,66.2,21.25
178000,-3405977,5.4215e-11,66.2,21.25
178000,-3402977,5.3004e-11,66.2,21.25
178000,-3399977,5.2424e-11,66.2,21.25
178000,-3396977,5.3433e-11,66.2,21.25
178000,-3393977,5.3207e-11,66.2,21.25
178000,-3390977,5.3873e-11,66.2,21.25
178000,-3387977,5.2406e-11,66.2,21.25
178000,-3384977,5.0715e-11,66.2,21.25
178000,-3381977,5.2613e-11,66.2,21.25
178000,-3378977,5.2907e-11,66.2,21.25
178000,-3375977,5.321e-11,66.2,21.25
178000,-3372977,5.3387e-11,66.2,21.25
178000,-3369977,5.3625e-11,66.2,21.25
178000,-3366977,5.2151e-11,66.2,21.25
178000,-3363977,5.4282e-11,66.2,21.25
181000,-3561977,5.2342e-11,66.2,21.25
181000,-3558977,5.3516e-11,66.2,21.25
181000,-3555977,5.4282e-11,66.2,21.25
181000,-3552977,5.5048e-11,66.2,21.25
181000,-3549977,5.239e-11,66.2,21.25
181000,-3546977,5.0134e-11,66.2,21.25
181000,-3543977,5.4697e-11,66.2,21.25
181000,-3540977,5.2955e-11,66.2,21.25
181000,-3537977,5.3919e-11,66.2,21.25
181000,-3534977,5.2088e-11,66.2,21.25
181000,-3531977,5.3173e-11,66.2,21.25
181000,-3528977,5.0804e-11,66.2,21.25
181000,-3525977,5.3009e-11,66.2,21.25
181000,-3522977,5.1993e-11,66.2,21.25
181000,-3519977,5.2648e-11,66.2,21.25
181000,-3516977,5.2678e-11,66.2,21.25
181000,-3513977,5.297e-11,66.2,21.25
181000,-3510977,5.1872e-11,66.2,21.25
181000,-3507977,5.3564e-11,66.2,21.25
181000,-3504977,5.249e-11,66.2,21.25
181000,-3501977,5.4849e-11,66.2,21.25
181000,-3498977,5.2624e-11,66.2,21.25
181000,-3495977,5.2627e-11,66.2,21.25
181000,-3492977,5.2296e-11,66.2,21.25
181000,-3489977,5.2912e-11,66.2,21.25
181000,-3486977,5.121e-11,66.2,21.25
181000,-3483977,5.0757e-11,66.2,21.25
181000,-3480977,5.3075e-11,66.2,21.25
181000,-3477977,5.3669e-11,66.2,21.25
181000,-3474977,5.247e-11,66.2,21.25
181000,-3471977,5.3231e-11,66.2,21.25
181000,-3468977,5.396e-11,66.2,21.25
181000,-3465977,5.3385e-11,66.2,21.25
181000,-3462977,5.4393e-11,66.2,21.25
181000,-3459977,5.274e-11,66.2,21.25
181000,-3456977,5.2388e-11,66.2,21.25
181000,-3453977,5.3933e-11,66.2,21.25
181000,-3450977,5.2907e-11,66.2,21.25
181000,-3447977,5.0431e-11,66.2,21.25
181000,-3444977,5.3206e-11,66.2,21.25
181000,-3441977,5.2927e-11,66.2,21.25
181000,-3438977,5.2439e-11,66.2,21.25
181000,-3435977,5.2949e-11,66.2,21.25
181000,-3432977,5.3094e-11,66.2,21.25
181000,-3429977,5.35e-11,66.2,21.25
181000,-3426977,5.3397e-11,66.2,21.25
181000,-3423977,5.2979e-11,66.2,21.25
181000,-3420977,5.2464e-11,66.2,21.25
181000,-3417977,5.3679e-11,66.2,21.25
181000,-3414977,5.1487e-11,66.2,21.25
181000,-3411977,5.1701e-11,66.2,21.25
181000,-3408977,5.3707e-11,66.2,21.25
181000,-3405977,5.2657e-11,66.2,21.25
181000,-3402977,5.2712e-11,66.2,21.25
181000,-3399977,5.299e-11,66.2,21.25
181000,-3396977,5.1745e-11,66.2,21.25
181000,-3393977,5.1907e-11,66.2,21.25
181000,-3390977,5.48e-11,66.2,21.25
181000,-3387977,5.3003e-11,66.2,21.25
181000,-3384977,5.1301e-11,66.2,21.25
181000,-3381977,5.2076e-11,66.2,21.25
181000,-3378977,5.474e-11,66.2,21.25
181000,-3375977,5.2564e-11,66.2,21.25
181000,-3372977,5.389e-11,66.2,21.25
181000,-3369977,5.3355e-11,66.2,21.25
181000,-3366977,5.3391e-11,66.2,21.25
181000,-3363977,5.4307e-11,66.2,21.25
184000,-3561977,5.3742e-11,66.2,21.25
184000,-3558977,5.4078e-11,66.2,21.25
184000,-3555977,5.313e-11,66.2,21.25
184000,-3552977,5.357e-11,66.2,21.25
184000,-3549977,5.3609e-11,66.2,21.25
184000,-3546977,5.1416e-11,66.2,21.25
184000,-3543977,5.3899e-11,66.1,21.25
184000,-3540977,5.3578e-11,66.1,21.25
184000,-3537977,5.2952e-11,66.1,21.25
184000,-3534977,5.3793e-11,66.1,21.25
184000,-3531977,5.3178e-11,66.1,21.25
184000,-3528977,5.2401e-11,66.1,21.25
184000,-3525977,5.3776e-11,66.1,21.25
184000,-3522977,5.2633e-11,66.1,21.25
184000,-3519977,5.2282e-11,66.1,21.25
184000,-3516977,5.3621e-11,66.1,21.25
184000,-3513977,5.1413e-11,66.1,21.25
184000,-3510977,5.203e-11,66.1,21.25
184000,-3507977,5.1269e-11,66.1,21.25
184000,-3504977,5.2796e-11,66.1,21.25
184000,-3501977,5.1519e-11,66.1,21.25
184000,-3498977,5.3154e-11,66.1,21.25
184000,-3495977,5.3661e-11,66.1,21.25
184000,-3492977,5.3657e-11,66.1,21.25
184000,-3489977,5.3355e-11,66.1,21.25
184000,-3486977,5.267e-11,66.1,21.25
184000,-3483977,5.5106e-11,66.1,21.25
184000,-3480977,5.3255e-11,66.1,21.25
184000,-3477977,5.2796e-11,66.1,21.25
184000,-3474977,5.1454e-11,66.1,21.25
184000,-3471977,5.3385e-11,66.1,21.25
184000,-3468977,5.3097e-11,66.1,21.25
184000,-3465977,5.2813e-11,66.1,21.25
184000,-3462977,5.1049e-11,66.1,21.25
184000,-3459977,5.349e-11,66.1,21.25
184000,-3456977,5.4019e-11,66.1,21.25
184000,-3453977,5.1279e-11,66.1,21.25
184000,-3450977,5.2822e-11,66.1,21.25
184000,-3447977,5.1739e-11,66.1,21.25
184000,-3444977,5.3863e-11,66.1,21.25
184000,-3441977,5.2982e-11,66.1,21.25
184000,-3438977,5.2975e-11,66.1,21.25
184000,-3435977,5.304e-11,66.1,21.25
184000,-3432977,5.4151e-11,66.1,21.25
184000,-3429977,5.1927e-11,66.1,21.25
184000,-3426977,5.2543e-11,66.1,21.25
184000,-3423977,5.2421e-11,66.1,21.25
184000,-3420977,5.281e-11,66.1,21.25
184000,-3417977,5.3843e-11,66.1,21.25
184000,-3414977,5.3713e-11,66.1,21.25
184000,-3411977,5.3069e-11,66.1,21.25
184000,-3408977,5.4452e-11,66.1,21.25
184000,-3405977,5.0887e-11,66.1,21.25
184000,-3402977,5.393e-11,66.1,21.25
184000,-3399977,5.2224e-11,66.1,21.25
184000,-3396977,5.1458e-11,66.1,21.25
184000,-3393977,5.4324e-11,66.1,21.25
184000,-3390977,5.2096e-11,66.1,21.25
184000,-3387977,5.3345e-11,66.1,21.25
184000,-3384977,5.3645e-11,66.1,21.25
184000,-3381977,5.2988e-11,66.1,21.25
184000,-3378977,5.4742e-11,66.1,21.25
184000,-3375977,5.2106e-11,66.1,21.25
184000,-3372977,5.1994e-11,66.1,21.25
184000,-3369977,5.1639e-11,66.1,21.25
184000,-3366977,5.0585e-11,66.1,21.25
184000,-3363977,5.1421e-11,66.1,21.25
187000,-3561977,5.4681e-11,66.1,21.25
187000,-3558977,5.2679e-11,66.1,21.25
