General parameters:
Start time: 2023              9              4             13             47      17.474854
Finish time: 2023              9              4             14             21       9.424329
Raster type: raster_jump
Horizontal range (nm): -2852988.000000,-2942988.000000
Vertical range (nm): 244000.000000,154000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.00e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -2888522.000000,222000.000000,-999990.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-2852988 -2942988
hori_res:2500
vert_range:244000  154000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.941876
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
154000,-2942988,7.357e-11,65.7,21.25
154000,-2940488,6.0748e-11,65.7,21.25
154000,-2937988,6.1745e-11,65.7,21.25
154000,-2935488,6.1658e-11,65.7,21.25
154000,-2932988,9.6128e-11,65.7,21.25
154000,-2930488,2.0845e-10,65.7,21.25
154000,-2927988,3.2769e-10,65.7,21.25
154000,-2925488,3.4964e-10,65.7,21.25
154000,-2922988,2.9412e-10,65.7,21.25
154000,-2920488,1.8988e-10,65.7,21.25
154000,-2917988,9.5248e-11,65.7,21.25
154000,-2915488,6.4346e-11,65.7,21.25
154000,-2912988,6.1464e-11,65.7,21.25
154000,-2910488,6.0637e-11,65.7,21.25
154000,-2907988,6.2634e-11,65.7,21.25
154000,-2905488,6.2304e-11,65.7,21.25
154000,-2902988,6.0504e-11,65.7,21.25
154000,-2900488,6.0339e-11,65.7,21.25
154000,-2897988,6.1378e-11,65.7,21.25
154000,-2895488,6.1684e-11,65.7,21.25
154000,-2892988,6.0866e-11,65.7,21.25
154000,-2890488,6.1313e-11,65.7,21.25
154000,-2887988,5.9893e-11,65.7,21.25
154000,-2885488,6.3037e-11,65.7,21.25
154000,-2882988,6.0443e-11,65.7,21.25
154000,-2880488,5.9467e-11,65.7,21.25
154000,-2877988,6.074e-11,65.7,21.25
154000,-2875488,6.0352e-11,65.7,21.25
154000,-2872988,6.1427e-11,65.7,21.25
154000,-2870488,6.1837e-11,65.7,21.25
154000,-2867988,6.3104e-11,65.7,21.25
154000,-2865488,6.3024e-11,65.7,21.25
154000,-2862988,6.1513e-11,65.7,21.25
154000,-2860488,6.2425e-11,65.7,21.25
154000,-2857988,6.1325e-11,65.7,21.25
154000,-2855488,6.0773e-11,65.7,21.25
154000,-2852988,6.2122e-11,65.7,21.25
156500,-2942988,6.247e-11,65.7,21.25
156500,-2940488,6.2679e-11,65.7,21.25
156500,-2937988,6.1372e-11,65.7,21.25
156500,-2935488,6.6039e-11,65.7,21.25
156500,-2932988,1.1134e-10,65.7,21.25
156500,-2930488,2.3124e-10,65.7,21.25
156500,-2927988,3.4058e-10,65.7,21.25
156500,-2925488,3.2188e-10,65.7,21.25
156500,-2922988,2.2739e-10,65.7,21.25
156500,-2920488,1.3548e-10,65.7,21.25
156500,-2917988,7.9803e-11,65.7,21.25
156500,-2915488,6.529e-11,65.7,21.25
156500,-2912988,6.3151e-11,65.7,21.25
156500,-2910488,6.176e-11,65.7,21.25
156500,-2907988,6.3667e-11,65.7,21.25
156500,-2905488,6.4175e-11,65.7,21.25
156500,-2902988,6.254e-11,65.7,21.25
156500,-2900488,6.1999e-11,65.7,21.25
156500,-2897988,6.0876e-11,65.7,21.25
156500,-2895488,6.3416e-11,65.7,21.25
156500,-2892988,6.3167e-11,65.7,21.25
156500,-2890488,6.1321e-11,65.7,21.25
156500,-2887988,6.1567e-11,65.7,21.25
156500,-2885488,6.3043e-11,65.7,21.25
156500,-2882988,6.2642e-11,65.7,21.25
156500,-2880488,6.231e-11,65.7,21.25
156500,-2877988,6.2749e-11,65.7,21.25
156500,-2875488,6.0348e-11,65.7,21.25
156500,-2872988,6.2431e-11,65.7,21.25
156500,-2870488,6.3113e-11,65.7,21.25
