General parameters:
Start time: 2023              9              4             16             24      18.736154
Finish time: 2023              9              4             17             23      42.871952
Raster type: raster_jump
Horizontal range (nm): -4542000.000000,-4662000.000000
Vertical range (nm): 267000.000000,147000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.94e-07
Sample chamber pressure: 3.79e-08
Initial position (nm): -1454831.000000,234330.000000,-2700001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4542000 -4662000
hori_res:2500
vert_range:267000  147000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.924434
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
147000,-4662000,7.5779e-11,65.2,21.25
147000,-4659500,7.4173e-11,65.2,21.25
147000,-4657000,7.3904e-11,65.2,21.25
147000,-4654500,7.5728e-11,65.2,21.25
147000,-4652000,7.3548e-11,65.2,21.25
147000,-4649500,7.4701e-11,65.2,21.25
147000,-4647000,7.101e-11,65.2,21.25
147000,-4644500,7.3934e-11,65.2,21.25
147000,-4642000,7.3778e-11,65.2,21.25
147000,-4639500,7.4243e-11,65.2,21.25
147000,-4637000,7.271e-11,65.2,21.25
147000,-4634500,7.3433e-11,65.2,21.25
147000,-4632000,7.3251e-11,65.2,21.25
147000,-4629500,7.4187e-11,65.2,21.25
147000,-4627000,7.3801e-11,65.2,21.25
147000,-4624500,7.4821e-11,65.2,21.25
147000,-4622000,7.4634e-11,65.2,21.25
147000,-4619500,7.5042e-11,65.2,21.25
147000,-4617000,7.2891e-11,65.2,21.25
147000,-4614500,7.3113e-11,65.2,21.25
147000,-4612000,7.2494e-11,65.2,21.25
147000,-4609500,7.3357e-11,65.2,21.25
147000,-4607000,7.1091e-11,65.2,21.25
147000,-4604500,7.4178e-11,65.2,21.25
147000,-4602000,7.5763e-11,65.2,21.25
147000,-4599500,7.5455e-11,65.2,21.25
147000,-4597000,7.2643e-11,65.2,21.25
147000,-4594500,7.313e-11,65.2,21.25
147000,-4592000,7.1146e-11,65.2,21.25
147000,-4589500,7.4603e-11,65.2,21.25
147000,-4587000,7.3716e-11,65.2,21.25
147000,-4584500,7.5854e-11,65.2,21.25
