General parameters:
Start time: 2023              9              5             11             19       7.622867
Finish time: 2023              9              5             11             55       3.551724
Raster type: raster_jump
Horizontal range (nm): -7392009.000000,-7512009.000000
Vertical range (nm): 272000.000000,142000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.01e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -7387809.000000,2365969.000000,-5550008.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-7392009 -7512009
hori_res:2500
vert_range:272000  142000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.932642
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
142000,-7512009,4.621e-11,65.7,21.25
142000,-7509509,4.7543e-11,65.7,21.25
142000,-7507009,4.6843e-11,65.7,21.25
142000,-7504509,4.8069e-11,65.7,21.25
142000,-7502009,4.7112e-11,65.7,21.25
142000,-7499509,4.7072e-11,65.7,21.25
142000,-7497009,4.9739e-11,65.7,21.25
142000,-7494509,4.7988e-11,65.7,21.25
142000,-7492009,4.7194e-11,65.7,21.25
142000,-7489509,4.9449e-11,65.7,21.25
142000,-7487009,4.7564e-11,65.7,21.25
142000,-7484509,4.8188e-11,65.7,21.25
142000,-7482009,4.7693e-11,65.7,21.25
142000,-7479509,4.6981e-11,65.7,21.25
142000,-7477009,4.6413e-11,65.7,21.25
142000,-7474509,4.6669e-11,65.7,21.25
142000,-7472009,4.7134e-11,65.7,21.25
142000,-7469509,4.7149e-11,65.7,21.25
142000,-7467009,4.6663e-11,65.7,21.25
142000,-7464509,4.6154e-11,65.7,21.25
142000,-7462009,4.7931e-11,65.7,21.25
142000,-7459509,4.5763e-11,65.7,21.25
142000,-7457009,4.6784e-11,65.7,21.25
142000,-7454509,4.7284e-11,65.7,21.25
142000,-7452009,4.899e-11,65.7,21.25
142000,-7449509,4.6773e-11,65.7,21.25
142000,-7447009,4.7448e-11,65.7,21.25
142000,-7444509,4.6339e-11,65.7,21.25
142000,-7442009,4.6149e-11,65.7,21.25
142000,-7439509,4.8276e-11,65.7,21.25
142000,-7437009,4.8058e-11,65.7,21.25
142000,-7434509,4.7176e-11,65.7,21.25
142000,-7432009,4.7331e-11,65.7,21.25
142000,-7429509,4.8091e-11,65.7,21.25
142000,-7427009,4.5176e-11,65.7,21.25
142000,-7424509,4.6915e-11,65.7,21.25
142000,-7422009,4.7234e-11,65.7,21.25
142000,-7419509,4.6446e-11,65.7,21.25
142000,-7417009,4.6858e-11,65.7,21.25
142000,-7414509,4.5936e-11,65.7,21.25
142000,-7412009,4.6731e-11,65.7,21.25
142000,-7409509,4.6378e-11,65.7,21.25
142000,-7407009,4.5554e-11,65.7,21.25
142000,-7404509,4.7928e-11,65.7,21.25
142000,-7402009,4.7358e-11,65.7,21.25
