General parameters:
Start time: 2023              9              5             21             58      16.013491
Finish time: 2023              9              5             23              2      33.395834
Raster type: raster_jump
Horizontal range (nm): -4542011.000000,-4662011.000000
Vertical range (nm): 272000.000000,142000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.01e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -1452256.000000,206824.000000,-2699996.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4542011 -4662011
hori_res:2500
vert_range:272000  142000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.932300
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
142000,-4662011,7.6167e-11,65.7,21.25
142000,-4659511,7.5809e-11,65.7,21.25
142000,-4657011,7.4358e-11,65.7,21.25
142000,-4654511,7.8272e-11,65.7,21.25
142000,-4652011,7.7309e-11,65.7,21.25
142000,-4649511,7.6907e-11,65.7,21.25
142000,-4647011,7.6434e-11,65.7,21.25
142000,-4644511,7.5333e-11,65.7,21.25
142000,-4642011,7.7999e-11,65.7,21.25
142000,-4639511,7.5125e-11,65.7,21.25
142000,-4637011,7.5143e-11,65.7,21.25
142000,-4634511,7.5663e-11,65.7,21.25
142000,-4632011,7.7876e-11,65.7,21.25
142000,-4629511,7.6942e-11,65.7,21.25
142000,-4627011,7.5819e-11,65.7,21.25
142000,-4624511,7.5837e-11,65.7,21.25
142000,-4622011,7.5567e-11,65.7,21.25
142000,-4619511,7.6037e-11,65.7,21.25
142000,-4617011,7.5564e-11,65.7,21.25
142000,-4614511,7.5678e-11,65.7,21.25
142000,-4612011,7.6418e-11,65.7,21.25
142000,-4609511,7.723e-11,65.7,21.25
142000,-4607011,7.5839e-11,65.7,21.25
142000,-4604511,7.5927e-11,65.7,21.25
142000,-4602011,7.5652e-11,65.7,21.25
142000,-4599511,7.506e-11,65.7,21.25
142000,-4597011,7.4564e-11,65.7,21.25
142000,-4594511,7.6303e-11,65.7,21.25
142000,-4592011,7.5966e-11,65.7,21.25
142000,-4589511,7.7088e-11,65.7,21.25
142000,-4587011,7.6539e-11,65.7,21.25
142000,-4584511,7.5472e-11,65.7,21.25
142000,-4582011,7.5867e-11,65.7,21.25
142000,-4579511,7.4439e-11,65.7,21.25
142000,-4577011,7.6912e-11,65.7,21.25
142000,-4574511,7.5945e-11,65.7,21.25
142000,-4572011,7.5642e-11,65.7,21.25
142000,-4569511,7.3485e-11,65.7,21.25
142000,-4567011,7.7813e-11,65.7,21.25
142000,-4564511,7.9067e-11,65.7,21.25
142000,-4562011,7.8839e-11,65.7,21.25
142000,-4559511,7.6799e-11,65.7,21.25
142000,-4557011,7.5288e-11,65.7,21.25
142000,-4554511,7.7601e-11,65.7,21.25
142000,-4552011,7.4761e-11,65.7,21.25
142000,-4549511,7.471e-11,65.7,21.25
142000,-4547011,7.7751e-11,65.7,21.25
142000,-4544511,7.6327e-11,65.7,21.25
142000,-4542011,7.4787e-11,65.7,21.25
144500,-4662011,7.579e-11,65.7,21.25
144500,-4659511,7.6181e-11,65.7,21.25
144500,-4657011,7.623e-11,65.7,21.25
144500,-4654511,7.6884e-11,65.7,21.25
144500,-4652011,7.5224e-11,65.7,21.25
144500,-4649511,7.5312e-11,65.7,21.25
144500,-4647011,7.2503e-11,65.7,21.25
144500,-4644511,7.6403e-11,65.7,21.25
