General parameters:
Start time: 2023              9             18             18             17        0.96328
Finish time: 2023              9             18             19             26      25.358871
Raster type: raster_jump
Horizontal range (nm): -4533012.000000,-4657012.000000
Vertical range (nm): 293000.000000,155000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.19e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -4542006.000000,272000.000000,-2699995.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4533012 -4657012
hori_res:2500
vert_range:293000  155000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 3.425472
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
155000,-4657012,2.1932e-10,66.7,21.25
155000,-4654512,2.3952e-10,66.7,21.25
155000,-4652012,2.4257e-10,66.7,21.25
155000,-4649512,2.4211e-10,66.7,21.25
155000,-4647012,2.4271e-10,66.7,21.25
155000,-4644512,2.4276e-10,66.7,21.25
155000,-4642012,2.4212e-10,66.7,21.25
155000,-4639512,2.4137e-10,66.7,21.25
155000,-4637012,2.4229e-10,66.7,21.25
155000,-4634512,2.4283e-10,66.7,21.25
155000,-4632012,2.4261e-10,66.7,21.25
155000,-4629512,2.3721e-10,66.7,21.25
155000,-4627012,2.436e-10,66.7,21.25
155000,-4624512,2.3613e-10,66.7,21.25
155000,-4622012,2.2437e-10,66.7,21.25
155000,-4619512,2.1415e-10,66.7,21.25
155000,-4617012,2.2122e-10,66.7,21.25
155000,-4614512,2.341e-10,66.7,21.25
155000,-4612012,2.3664e-10,66.7,21.25
155000,-4609512,2.4087e-10,66.7,21.25
155000,-4607012,2.3739e-10,66.7,21.25
155000,-4604512,2.4112e-10,66.7,21.25
155000,-4602012,2.3661e-10,66.7,21.25
155000,-4599512,2.3994e-10,66.7,21.25
155000,-4597012,2.3952e-10,66.7,21.25
155000,-4594512,2.3971e-10,66.7,21.25
155000,-4592012,2.3681e-10,66.7,21.25
155000,-4589512,2.4095e-10,66.7,21.25
155000,-4587012,2.4018e-10,66.7,21.25
155000,-4584512,2.3822e-10,66.7,21.25
155000,-4582012,2.3683e-10,66.7,21.25
155000,-4579512,2.3819e-10,66.7,21.25
155000,-4577012,2.4369e-10,66.7,21.25
155000,-4574512,2.38e-10,66.7,21.25
155000,-4572012,2.4544e-10,66.7,21.25
155000,-4569512,2.428e-10,66.7,21.25
155000,-4567012,2.4404e-10,66.7,21.25
155000,-4564512,2.3714e-10,66.7,21.25
155000,-4562012,2.4116e-10,66.7,21.25
155000,-4559512,2.4066e-10,66.7,21.25
155000,-4557012,2.4233e-10,66.7,21.25
155000,-4554512,2.4196e-10,66.7,21.25
155000,-4552012,2.4079e-10,66.7,21.25
155000,-4549512,2.3729e-10,66.7,21.25
155000,-4547012,2.4205e-10,66.7,21.25
155000,-4544512,2.3774e-10,66.7,21.25
155000,-4542012,2.4063e-10,66.7,21.25
155000,-4539512,2.3782e-10,66.7,21.25
155000,-4537012,2.3917e-10,66.7,21.25
155000,-4534512,2.3976e-10,66.7,21.25
157500,-4657012,2.4135e-10,66.7,21.25
157500,-4654512,2.4156e-10,66.7,21.25
157500,-4652012,2.4163e-10,66.7,21.25
157500,-4649512,2.4011e-10,66.7,21.25
157500,-4647012,2.3961e-10,66.7,21.25
157500,-4644512,2.4164e-10,66.7,21.25
157500,-4642012,2.421e-10,66.7,21.25
157500,-4639512,2.4028e-10,66.7,21.25
157500,-4637012,2.4128e-10,66.7,21.25
157500,-4634512,2.4378e-10,66.7,21.25
