General parameters:
Start time: 2023              9             19              0             53      39.106261
Finish time: 2023              9             19              2              2      59.896044
Raster type: raster_jump
Horizontal range (nm): -4533004.000000,-4657004.000000
Vertical range (nm): 293000.000000,155000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.19e-07
Sample chamber pressure: 3.58e-08
Initial position (nm): -1464259.000000,229829.000000,-2699999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4533004 -4657004
hori_res:2500
vert_range:293000  155000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 3.245922
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
155000,-4657004,2.5394e-10,66.6,21.25
155000,-4654504,2.4395e-10,66.6,21.25
155000,-4652004,2.445e-10,66.6,21.25
155000,-4649504,2.4366e-10,66.6,21.25
155000,-4647004,2.3921e-10,66.6,21.25
155000,-4644504,2.4199e-10,66.6,21.25
155000,-4642004,2.4419e-10,66.6,21.25
155000,-4639504,2.4554e-10,66.6,21.25
155000,-4637004,2.4437e-10,66.6,21.25
155000,-4634504,2.4319e-10,66.6,21.25
155000,-4632004,2.4194e-10,66.6,21.25
155000,-4629504,2.4079e-10,66.6,21.25
155000,-4627004,2.3529e-10,66.6,21.25
155000,-4624504,2.194e-10,66.6,21.25
155000,-4622004,2.0903e-10,66.6,21.25
155000,-4619504,2.1812e-10,66.6,21.25
155000,-4617004,2.3116e-10,66.6,21.25
155000,-4614504,2.3821e-10,66.6,21.25
155000,-4612004,2.3748e-10,66.6,21.25
155000,-4609504,2.4433e-10,66.6,21.25
155000,-4607004,2.445e-10,66.6,21.25
155000,-4604504,2.3971e-10,66.6,21.25
155000,-4602004,2.4213e-10,66.6,21.25
155000,-4599504,2.4147e-10,66.6,21.25
155000,-4597004,2.456e-10,66.6,21.25
155000,-4594504,2.4187e-10,66.6,21.25
155000,-4592004,2.4704e-10,66.6,21.25
155000,-4589504,2.4196e-10,66.6,21.25
155000,-4587004,2.4485e-10,66.6,21.25
155000,-4584504,2.4325e-10,66.6,21.25
155000,-4582004,2.4235e-10,66.6,21.25
155000,-4579504,2.4412e-10,66.6,21.25
155000,-4577004,2.4432e-10,66.6,21.25
155000,-4574504,2.4693e-10,66.6,21.25
155000,-4572004,2.4439e-10,66.6,21.25
155000,-4569504,2.4269e-10,66.6,21.25
155000,-4567004,2.4662e-10,66.6,21.25
155000,-4564504,2.4441e-10,66.6,21.25
155000,-4562004,2.4143e-10,66.6,21.25
155000,-4559504,2.4154e-10,66.6,21.25
155000,-4557004,2.4217e-10,66.6,21.25
155000,-4554504,2.4069e-10,66.6,21.25
155000,-4552004,2.4418e-10,66.6,21.25
155000,-4549504,2.4101e-10,66.6,21.25
155000,-4547004,2.4405e-10,66.6,21.25
155000,-4544504,2.3901e-10,66.6,21.25
155000,-4542004,2.4579e-10,66.6,21.25
155000,-4539504,2.4261e-10,66.6,21.25
155000,-4537004,2.4091e-10,66.6,21.25
155000,-4534504,2.4572e-10,66.6,21.25
157500,-4657004,2.4162e-10,66.6,21.25
157500,-4654504,2.4386e-10,66.6,21.25
157500,-4652004,2.4116e-10,66.6,21.25
157500,-4649504,2.4225e-10,66.6,21.25
157500,-4647004,2.3979e-10,66.6,21.25
157500,-4644504,2.399e-10,66.6,21.25
157500,-4642004,2.4285e-10,66.6,21.25
157500,-4639504,2.4094e-10,66.6,21.25
157500,-4637004,2.4196e-10,66.6,21.25
157500,-4634504,2.4181e-10,66.6,21.25
157500,-4632004,2.4453e-10,66.6,21.25
157500,-4629504,2.4395e-10,66.6,21.25
157500,-4627004,2.3391e-10,66.6,21.25
157500,-4624504,2.2457e-10,66.6,21.25
157500,-4622004,2.0988e-10,66.6,21.25
157500,-4619504,2.1173e-10,66.6,21.25
157500,-4617004,2.284e-10,66.6,21.25
157500,-4614504,2.3712e-10,66.6,21.25
157500,-4612004,2.3653e-10,66.6,21.25
157500,-4609504,2.4699e-10,66.6,21.25
157500,-4607004,2.3971e-10,66.6,21.25
157500,-4604504,2.4469e-10,66.6,21.25
157500,-4602004,2.4095e-10,66.6,21.25
157500,-4599504,2.4062e-10,66.6,21.25
157500,-4597004,2.4244e-10,66.6,21.25
157500,-4594504,2.4083e-10,66.6,21.25
157500,-4592004,2.3945e-10,66.6,21.25
157500,-4589504,2.4131e-10,66.6,21.25
157500,-4587004,2.4259e-10,66.6,21.25
157500,-4584504,2.4026e-10,66.6,21.25
157500,-4582004,2.427e-10,66.6,21.25
157500,-4579504,2.3992e-10,66.6,21.25
157500,-4577004,2.3907e-10,66.6,21.25
157500,-4574504,2.4243e-10,66.6,21.25
157500,-4572004,2.4433e-10,66.6,21.25
157500,-4569504,2.4361e-10,66.6,21.25
157500,-4567004,2.4363e-10,66.6,21.25
157500,-4564504,2.4331e-10,66.6,21.25
157500,-4562004,2.3885e-10,66.6,21.25
157500,-4559504,2.381e-10,66.6,21.25
157500,-4557004,2.4261e-10,66.6,21.25
157500,-4554504,2.452e-10,66.6,21.25
157500,-4552004,2.4007e-10,66.6,21.25
157500,-4549504,2.3943e-10,66.6,21.25
157500,-4547004,2.4204e-10,66.6,21.25
157500,-4544504,2.4309e-10,66.6,21.25
157500,-4542004,2.4277e-10,66.6,21.25
157500,-4539504,2.3814e-10,66.6,21.25
157500,-4537004,2.4511e-10,66.6,21.25
157500,-4534504,2.4346e-10,66.6,21.25
160000,-4657004,2.4308e-10,66.6,21.25
160000,-4654504,2.3669e-10,66.6,21.25
160000,-4652004,2.4543e-10,66.6,21.25
160000,-4649504,2.4479e-10,66.6,21.25
160000,-4647004,2.45e-10,66.6,21.25
160000,-4644504,2.4211e-10,66.6,21.25
160000,-4642004,2.4306e-10,66.6,21.25
160000,-4639504,2.4018e-10,66.6,21.25
160000,-4637004,2.4136e-10,66.6,21.25
160000,-4634504,2.4031e-10,66.6,21.25
160000,-4632004,2.4362e-10,66.6,21.25
160000,-4629504,2.428e-10,66.6,21.25
160000,-4627004,2.3488e-10,66.6,21.25
160000,-4624504,2.2285e-10,66.6,21.25
160000,-4622004,2.133e-10,66.6,21.25
160000,-4619504,2.0821e-10,66.6,21.25
160000,-4617004,2.2233e-10,66.6,21.25
160000,-4614504,2.3726e-10,66.6,21.25
160000,-4612004,2.404e-10,66.6,21.25
160000,-4609504,2.4347e-10,66.6,21.25
160000,-4607004,2.41e-10,66.6,21.25
160000,-4604504,2.3973e-10,66.6,21.25
160000,-4602004,2.4529e-10,66.6,21.25
160000,-4599504,2.4324e-10,66.6,21.25
160000,-4597004,2.3956e-10,66.6,21.25
160000,-4594504,2.4038e-10,66.6,21.25
160000,-4592004,2.4239e-10,66.6,21.25
160000,-4589504,2.4428e-10,66.6,21.25
160000,-4587004,2.4382e-10,66.6,21.25
160000,-4584504,2.432e-10,66.6,21.25
160000,-4582004,2.4207e-10,66.6,21.25
160000,-4579504,2.4457e-10,66.6,21.25
160000,-4577004,2.4499e-10,66.6,21.25
160000,-4574504,2.413e-10,66.6,21.25
160000,-4572004,2.4578e-10,66.6,21.25
160000,-4569504,2.469e-10,66.6,21.25
160000,-4567004,2.4121e-10,66.6,21.25
160000,-4564504,2.4447e-10,66.6,21.25
160000,-4562004,2.4759e-10,66.6,21.25
160000,-4559504,2.446e-10,66.6,21.25
160000,-4557004,2.445e-10,66.6,21.25
160000,-4554504,2.4314e-10,66.6,21.25
160000,-4552004,2.4345e-10,66.6,21.25
160000,-4549504,2.4802e-10,66.6,21.25
160000,-4547004,2.3998e-10,66.6,21.25
160000,-4544504,2.4131e-10,66.6,21.25
160000,-4542004,2.4361e-10,66.6,21.25
160000,-4539504,2.4204e-10,66.6,21.25
160000,-4537004,2.3879e-10,66.6,21.25
160000,-4534504,2.4181e-10,66.6,21.25
162500,-4657004,2.45e-10,66.6,21.25
162500,-4654504,2.4751e-10,66.6,21.25
162500,-4652004,2.4889e-10,66.6,21.25
162500,-4649504,2.4626e-10,66.6,21.25
