General parameters:
Start time: 2023              9             19             23             30      32.357669
Finish time: 2023              9             20              0             39      58.824094
Raster type: raster_jump
Horizontal range (nm): -4533004.000000,-4657004.000000
Vertical range (nm): 293000.000000,155000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.18e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -1469283.000000,229828.000000,-2700007.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4533004 -4657004
hori_res:2500
vert_range:293000  155000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 3.125196
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
155000,-4657004,2.1086e-10,66.5,21.25
155000,-4654504,2.0041e-10,66.5,21.25
155000,-4652004,2.0325e-10,66.5,21.25
155000,-4649504,1.9933e-10,66.5,21.25
155000,-4647004,1.9971e-10,66.5,21.25
155000,-4644504,1.9663e-10,66.5,21.25
155000,-4642004,1.9934e-10,66.5,21.25
155000,-4639504,2.0311e-10,66.5,21.25
155000,-4637004,1.9657e-10,66.5,21.25
155000,-4634504,1.9963e-10,66.5,21.25
155000,-4632004,1.976e-10,66.5,21.25
155000,-4629504,1.8483e-10,66.5,21.25
155000,-4627004,1.716e-10,66.5,21.25
155000,-4624504,1.7393e-10,66.5,21.25
155000,-4622004,1.8232e-10,66.5,21.25
155000,-4619504,1.948e-10,66.5,21.25
155000,-4617004,2.012e-10,66.5,21.25
155000,-4614504,1.9603e-10,66.5,21.25
155000,-4612004,1.977e-10,66.5,21.25
155000,-4609504,2.0195e-10,66.5,21.25
155000,-4607004,1.9837e-10,66.5,21.25
155000,-4604504,2.0141e-10,66.5,21.25
155000,-4602004,2.0026e-10,66.5,21.25
155000,-4599504,1.9961e-10,66.5,21.25
155000,-4597004,1.9655e-10,66.5,21.25
155000,-4594504,1.987e-10,66.5,21.25
155000,-4592004,1.9708e-10,66.5,21.25
155000,-4589504,2.028e-10,66.5,21.25
155000,-4587004,2.0042e-10,66.5,21.25
155000,-4584504,2.0149e-10,66.5,21.25
155000,-4582004,1.9941e-10,66.5,21.25
155000,-4579504,2.0002e-10,66.5,21.25
155000,-4577004,2.0018e-10,66.5,21.25
155000,-4574504,1.9857e-10,66.5,21.25
155000,-4572004,2.016e-10,66.5,21.25
155000,-4569504,1.9638e-10,66.5,21.25
155000,-4567004,1.9914e-10,66.5,21.25
155000,-4564504,1.964e-10,66.5,21.25
155000,-4562004,1.9748e-10,66.5,21.25
155000,-4559504,1.992e-10,66.5,21.25
155000,-4557004,1.9878e-10,66.5,21.25
155000,-4554504,1.9972e-10,66.5,21.25
155000,-4552004,1.9898e-10,66.5,21.25
155000,-4549504,2.0122e-10,66.5,21.25
155000,-4547004,2.0032e-10,66.5,21.25
155000,-4544504,1.9722e-10,66.5,21.25
155000,-4542004,2.0058e-10,66.5,21.25
155000,-4539504,1.9586e-10,66.5,21.25
155000,-4537004,2.0053e-10,66.5,21.25
155000,-4534504,1.99e-10,66.5,21.25
157500,-4657004,2.0058e-10,66.5,21.25
157500,-4654504,1.9709e-10,66.5,21.25
157500,-4652004,2.0183e-10,66.5,21.25
157500,-4649504,2.0084e-10,66.5,21.25
157500,-4647004,2.0089e-10,66.5,21.25
157500,-4644504,2.0299e-10,66.5,21.25
157500,-4642004,2.0163e-10,66.5,21.25
157500,-4639504,1.9904e-10,66.5,21.25
157500,-4637004,2.0212e-10,66.5,21.25
157500,-4634504,1.9779e-10,66.5,21.25
157500,-4632004,1.9321e-10,66.5,21.25
157500,-4629504,1.8462e-10,66.5,21.25
157500,-4627004,1.7293e-10,66.5,21.25
157500,-4624504,1.7054e-10,66.5,21.25
157500,-4622004,1.8135e-10,66.5,21.25
157500,-4619504,1.8995e-10,66.5,21.25
157500,-4617004,2.0059e-10,66.5,21.25
157500,-4614504,1.9947e-10,66.5,21.25
157500,-4612004,1.9819e-10,66.5,21.25
157500,-4609504,1.9959e-10,66.5,21.25
157500,-4607004,1.9894e-10,66.5,21.25
157500,-4604504,1.9941e-10,66.5,21.25
157500,-4602004,2.0362e-10,66.5,21.25
157500,-4599504,1.9576e-10,66.5,21.25
157500,-4597004,2.0077e-10,66.5,21.25
157500,-4594504,1.9915e-10,66.5,21.25
157500,-4592004,1.9993e-10,66.5,21.25
157500,-4589504,2.0143e-10,66.5,21.25
157500,-4587004,2.0145e-10,66.5,21.25
157500,-4584504,2.0017e-10,66.5,21.25
157500,-4582004,2.0081e-10,66.5,21.25
157500,-4579504,1.9872e-10,66.5,21.25
157500,-4577004,1.9939e-10,66.5,21.25
157500,-4574504,1.982e-10,66.5,21.25
157500,-4572004,1.9633e-10,66.5,21.25
157500,-4569504,2.0053e-10,66.4,21.25
157500,-4567004,2.0227e-10,66.4,21.25
157500,-4564504,1.9774e-10,66.4,21.25
157500,-4562004,2.0015e-10,66.4,21.25
157500,-4559504,2.0067e-10,66.4,21.25
157500,-4557004,1.9917e-10,66.4,21.25
157500,-4554504,1.9715e-10,66.4,21.25
157500,-4552004,1.9861e-10,66.4,21.25
