General parameters:
Start time: 2023              9             20             22             59      58.178155
Finish time: 2023              9             20             23              6      57.095119
Raster type: raster_jump
Horizontal range (nm): -4533004.000000,-4657004.000000
Vertical range (nm): 293000.000000,155000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.16e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -1474272.000000,229828.000000,450000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4533004 -4657004
hori_res:2500
vert_range:293000  155000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 3.035250
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
155000,-4657004,1.3311e-10,66.3,21.25
155000,-4654504,1.1425e-10,66.3,21.25
155000,-4652004,1.1534e-10,66.3,21.25
155000,-4649504,1.169e-10,66.3,21.25
155000,-4647004,1.1538e-10,66.3,21.25
155000,-4644504,1.1272e-10,66.3,21.25
155000,-4642004,1.1286e-10,66.3,21.25
155000,-4639504,1.1725e-10,66.3,21.25
155000,-4637004,1.1258e-10,66.3,21.25
155000,-4634504,1.1245e-10,66.3,21.25
155000,-4632004,1.1188e-10,66.3,21.25
155000,-4629504,1.1246e-10,66.3,21.25
155000,-4627004,1.1344e-10,66.3,21.25
155000,-4624504,1.1156e-10,66.3,21.25
155000,-4622004,1.1205e-10,66.3,21.25
155000,-4619504,1.1011e-10,66.3,21.25
155000,-4617004,1.1117e-10,66.3,21.25
155000,-4614504,1.1091e-10,66.3,21.25
155000,-4612004,1.1084e-10,66.3,21.25
155000,-4609504,1.0886e-10,66.3,21.25
155000,-4607004,1.1029e-10,66.3,21.25
155000,-4604504,1.0718e-10,66.3,21.25
155000,-4602004,1.0946e-10,66.3,21.25
155000,-4599504,1.0829e-10,66.3,21.25
155000,-4597004,1.1101e-10,66.3,21.25
155000,-4594504,1.091e-10,66.3,21.25
155000,-4592004,1.0748e-10,66.3,21.25
155000,-4589504,1.0885e-10,66.3,21.25
155000,-4587004,1.0962e-10,66.3,21.25
155000,-4584504,1.0979e-10,66.3,21.25
155000,-4582004,1.089e-10,66.3,21.25
155000,-4579504,1.0826e-10,66.3,21.25
155000,-4577004,1.085e-10,66.3,21.25
155000,-4574504,1.126e-10,66.3,21.25
155000,-4572004,1.1018e-10,66.3,21.25
155000,-4569504,1.1107e-10,66.3,21.25
155000,-4567004,1.0902e-10,66.3,21.25
155000,-4564504,1.1165e-10,66.3,21.25
155000,-4562004,1.1169e-10,66.3,21.25
155000,-4559504,1.1316e-10,66.3,21.25
155000,-4557004,1.1137e-10,66.3,21.25
155000,-4554504,1.1471e-10,66.3,21.25
155000,-4552004,1.1427e-10,66.3,21.25
155000,-4549504,1.1164e-10,66.3,21.25
155000,-4547004,1.1314e-10,66.3,21.25
155000,-4544504,1.1363e-10,66.3,21.25
155000,-4542004,1.144e-10,66.3,21.25
155000,-4539504,1.1337e-10,66.3,21.25
155000,-4537004,1.1186e-10,66.3,21.25
155000,-4534504,1.132e-10,66.3,21.25
157500,-4657004,1.139e-10,66.3,21.25
157500,-4654504,1.1539e-10,66.3,21.25
157500,-4652004,1.128e-10,66.3,21.25
157500,-4649504,1.1446e-10,66.3,21.25
157500,-4647004,1.1789e-10,66.3,21.25
157500,-4644504,1.1651e-10,66.3,21.25
157500,-4642004,1.1427e-10,66.3,21.25
157500,-4639504,1.1532e-10,66.3,21.25
157500,-4637004,1.1299e-10,66.3,21.25
157500,-4634504,1.1117e-10,66.3,21.25
157500,-4632004,1.1251e-10,66.3,21.25
157500,-4629504,1.1363e-10,66.3,21.25
157500,-4627004,1.1318e-10,66.3,21.25
157500,-4624504,1.0963e-10,66.3,21.25
157500,-4622004,1.1009e-10,66.3,21.25
157500,-4619504,1.0854e-10,66.3,21.25
157500,-4617004,1.1139e-10,66.3,21.25
157500,-4614504,1.1005e-10,66.3,21.25
157500,-4612004,1.0983e-10,66.3,21.25
157500,-4609504,1.0952e-10,66.3,21.25
157500,-4607004,1.0898e-10,66.3,21.25
157500,-4604504,1.0975e-10,66.3,21.25
157500,-4602004,1.1176e-10,66.3,21.25
157500,-4599504,1.1011e-10,66.3,21.25
157500,-4597004,1.0889e-10,66.3,21.25
157500,-4594504,1.0756e-10,66.3,21.25
157500,-4592004,1.0957e-10,66.3,21.25
157500,-4589504,1.0966e-10,66.3,21.25
157500,-4587004,1.109e-10,66.3,21.25
157500,-4584504,1.1016e-10,66.3,21.25
157500,-4582004,1.0962e-10,66.3,21.25
157500,-4579504,1.114e-10,66.3,21.25
157500,-4577004,1.0979e-10,66.3,21.25
157500,-4574504,1.1041e-10,66.3,21.25
157500,-4572004,1.0986e-10,66.3,21.25
157500,-4569504,1.1427e-10,66.3,21.25
157500,-4567004,1.1368e-10,66.3,21.25
157500,-4564504,1.152e-10,66.3,21.25
157500,-4562004,1.1162e-10,66.3,21.25
157500,-4559504,1.1269e-10,66.3,21.25
157500,-4557004,1.1267e-10,66.3,21.25
157500,-4554504,1.1548e-10,66.3,21.25
