General parameters:
Start time: 2023              9             20             23              7      16.360228
Finish time: 2023              9             21              0             16      41.457371
Raster type: raster_jump
Horizontal range (nm): -4533004.000000,-4657004.000000
Vertical range (nm): 293000.000000,155000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 8.16e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -4584474.000000,167500.000000,-2699992.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4533004 -4657004
hori_res:2500
vert_range:293000  155000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 3.034224
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
155000,-4657004,1.7959e-10,66.3,21.25
155000,-4654504,1.9215e-10,66.3,21.25
155000,-4652004,1.8851e-10,66.3,21.25
155000,-4649504,1.9251e-10,66.3,21.25
155000,-4647004,1.91e-10,66.3,21.25
155000,-4644504,1.8963e-10,66.3,21.25
155000,-4642004,1.934e-10,66.3,21.25
155000,-4639504,1.8731e-10,66.3,21.25
155000,-4637004,1.8488e-10,66.3,21.25
155000,-4634504,1.8176e-10,66.3,21.25
155000,-4632004,1.6592e-10,66.3,21.25
155000,-4629504,1.6497e-10,66.3,21.25
155000,-4627004,1.6993e-10,66.3,21.25
155000,-4624504,1.8415e-10,66.3,21.25
155000,-4622004,1.8796e-10,66.3,21.25
155000,-4619504,1.8593e-10,66.3,21.25
155000,-4617004,1.8919e-10,66.3,21.25
155000,-4614504,1.8954e-10,66.3,21.25
155000,-4612004,1.9086e-10,66.3,21.25
155000,-4609504,1.8969e-10,66.3,21.25
155000,-4607004,1.9093e-10,66.3,21.25
155000,-4604504,1.9096e-10,66.3,21.25
155000,-4602004,1.9008e-10,66.3,21.25
155000,-4599504,1.8755e-10,66.3,21.25
155000,-4597004,1.8889e-10,66.3,21.25
155000,-4594504,1.9248e-10,66.3,21.25
155000,-4592004,1.8849e-10,66.3,21.25
155000,-4589504,1.8879e-10,66.3,21.25
155000,-4587004,1.9279e-10,66.3,21.25
155000,-4584504,1.9108e-10,66.3,21.25
155000,-4582004,1.8872e-10,66.3,21.25
155000,-4579504,1.9247e-10,66.3,21.25
155000,-4577004,1.8936e-10,66.3,21.25
155000,-4574504,1.8883e-10,66.3,21.25
