General parameters:
Start time: 2023              9             21             14             41      32.539065
Finish time: 2023              9             21             15             50       54.36754
Raster type: raster_jump
Horizontal range (nm): -4533004.000000,-4657004.000000
Vertical range (nm): 293000.000000,155000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.96e-07
Sample chamber pressure: 3.52e-08
Initial position (nm): -1479258.000000,229820.000000,450009.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4533004 -4657004
hori_res:2500
vert_range:293000  155000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 3.030120
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
155000,-4657004,1.3819e-10,64.6,21.25
155000,-4654504,1.151e-10,64.6,21.25
155000,-4652004,1.1676e-10,64.6,21.25
155000,-4649504,1.1725e-10,64.6,21.25
155000,-4647004,1.1739e-10,64.6,21.25
155000,-4644504,1.1371e-10,64.6,21.25
155000,-4642004,1.1176e-10,64.6,21.25
155000,-4639504,1.1595e-10,64.6,21.25
155000,-4637004,1.1267e-10,64.6,21.25
155000,-4634504,1.3203e-10,64.6,21.25
155000,-4632004,2.0207e-10,64.6,21.25
155000,-4629504,1.7284e-10,64.6,21.25
155000,-4627004,1.8681e-10,64.6,21.25
155000,-4624504,1.893e-10,64.6,21.25
155000,-4622004,1.9093e-10,64.6,21.25
155000,-4619504,1.8908e-10,64.6,21.25
155000,-4617004,1.918e-10,64.6,21.25
155000,-4614504,1.8946e-10,64.6,21.25
155000,-4612004,1.8957e-10,64.6,21.25
155000,-4609504,1.8805e-10,64.6,21.25
155000,-4607004,1.9136e-10,64.6,21.25
155000,-4604504,1.9002e-10,64.6,21.25
155000,-4602004,1.9099e-10,64.6,21.25
155000,-4599504,1.9065e-10,64.6,21.25
155000,-4597004,1.8903e-10,64.6,21.25
155000,-4594504,1.8895e-10,64.6,21.25
155000,-4592004,1.8461e-10,64.6,21.25
155000,-4589504,1.9279e-10,64.6,21.25
155000,-4587004,1.9126e-10,64.6,21.25
155000,-4584504,1.8865e-10,64.6,21.25
155000,-4582004,1.9113e-10,64.6,21.25
155000,-4579504,1.8806e-10,64.6,21.25
155000,-4577004,1.9007e-10,64.6,21.25
155000,-4574504,1.9117e-10,64.6,21.25
155000,-4572004,1.8908e-10,64.6,21.25
155000,-4569504,1.9079e-10,64.6,21.25
155000,-4567004,1.8693e-10,64.6,21.25
155000,-4564504,1.8836e-10,64.6,21.25
155000,-4562004,1.8738e-10,64.6,21.25
155000,-4559504,1.891e-10,64.6,21.25
155000,-4557004,1.8975e-10,64.6,21.25
155000,-4554504,1.8691e-10,64.6,21.25
155000,-4552004,1.9137e-10,64.6,21.25
155000,-4549504,1.9261e-10,64.6,21.25
155000,-4547004,1.8856e-10,64.6,21.25
155000,-4544504,1.9065e-10,64.6,21.25
155000,-4542004,1.906e-10,64.6,21.25
155000,-4539504,1.9087e-10,64.6,21.25
155000,-4537004,1.8964e-10,64.6,21.25
155000,-4534504,1.9153e-10,64.6,21.25
157500,-4657004,1.918e-10,64.6,21.25
157500,-4654504,1.8933e-10,64.6,21.25
157500,-4652004,1.9062e-10,64.6,21.25
157500,-4649504,1.9231e-10,64.6,21.25
157500,-4647004,1.9044e-10,64.6,21.25
157500,-4644504,1.9137e-10,64.6,21.25
157500,-4642004,1.9277e-10,64.6,21.25
157500,-4639504,1.8592e-10,64.6,21.25
157500,-4637004,1.6725e-10,64.6,21.25
157500,-4634504,1.6114e-10,64.6,21.25
157500,-4632004,1.5688e-10,64.6,21.25
157500,-4629504,1.6934e-10,64.6,21.25
157500,-4627004,1.8642e-10,64.6,21.25
157500,-4624504,1.8612e-10,64.6,21.25
157500,-4622004,1.9378e-10,64.6,21.25
157500,-4619504,1.9339e-10,64.6,21.25
157500,-4617004,1.8575e-10,64.6,21.25
157500,-4614504,1.9199e-10,64.6,21.25
157500,-4612004,1.8925e-10,64.6,21.25
157500,-4609504,1.9229e-10,64.6,21.25
157500,-4607004,1.9071e-10,64.6,21.25
157500,-4604504,1.8849e-10,64.6,21.25
157500,-4602004,1.9078e-10,64.6,21.25
157500,-4599504,1.8862e-10,64.6,21.25
157500,-4597004,1.926e-10,64.6,21.25
157500,-4594504,1.9562e-10,64.6,21.25
157500,-4592004,1.8975e-10,64.6,21.25
157500,-4589504,1.9377e-10,64.6,21.25
157500,-4587004,1.9293e-10,64.6,21.25
157500,-4584504,1.919e-10,64.6,21.25
157500,-4582004,1.8754e-10,64.6,21.25
157500,-4579504,1.9143e-10,64.6,21.25
157500,-4577004,1.8628e-10,64.6,21.25
157500,-4574504,1.9343e-10,64.6,21.25
157500,-4572004,1.9084e-10,64.6,21.25
157500,-4569504,1.9132e-10,64.6,21.25
157500,-4567004,1.9375e-10,64.6,21.25
157500,-4564504,1.8675e-10,64.6,21.25
157500,-4562004,1.8804e-10,64.6,21.25
157500,-4559504,1.888e-10,64.6,21.25
157500,-4557004,1.903e-10,64.6,21.25
157500,-4554504,1.9042e-10,64.6,21.25
157500,-4552004,1.9159e-10,64.6,21.25
157500,-4549504,1.8801e-10,64.6,21.25
157500,-4547004,1.8953e-10,64.6,21.25
157500,-4544504,1.9087e-10,64.6,21.25
157500,-4542004,1.9125e-10,64.6,21.25
157500,-4539504,1.9162e-10,64.6,21.25
157500,-4537004,1.9045e-10,64.6,21.25
157500,-4534504,1.8698e-10,64.6,21.25
160000,-4657004,1.8917e-10,64.6,21.25
160000,-4654504,1.9365e-10,64.6,21.25
160000,-4652004,1.9126e-10,64.6,21.25
160000,-4649504,1.9144e-10,64.6,21.25
160000,-4647004,1.9077e-10,64.6,21.25
160000,-4644504,1.8992e-10,64.6,21.25
160000,-4642004,1.8655e-10,64.6,21.25
160000,-4639504,1.8143e-10,64.6,21.25
160000,-4637004,1.6991e-10,64.6,21.25
160000,-4634504,1.5843e-10,64.6,21.25
160000,-4632004,1.5359e-10,64.6,21.25
160000,-4629504,1.6612e-10,64.6,21.25
160000,-4627004,1.8211e-10,64.6,21.25
160000,-4624504,1.8673e-10,64.6,21.25
160000,-4622004,1.9063e-10,64.6,21.25
160000,-4619504,1.9261e-10,64.6,21.25
160000,-4617004,1.9296e-10,64.6,21.25
160000,-4614504,1.9048e-10,64.6,21.25
160000,-4612004,1.8903e-10,64.6,21.25
160000,-4609504,1.9029e-10,64.6,21.25
160000,-4607004,1.8235e-10,64.6,21.25
160000,-4604504,1.879e-10,64.6,21.25
160000,-4602004,1.8985e-10,64.6,21.25
160000,-4599504,1.9056e-10,64.6,21.25
160000,-4597004,1.8994e-10,64.6,21.25
160000,-4594504,1.883e-10,64.6,21.25
160000,-4592004,1.9186e-10,64.6,21.25
160000,-4589504,1.8993e-10,64.6,21.25
160000,-4587004,1.897e-10,64.6,21.25
160000,-4584504,1.9187e-10,64.6,21.25
160000,-4582004,1.9077e-10,64.6,21.25
160000,-4579504,1.9118e-10,64.6,21.25
160000,-4577004,1.9153e-10,64.6,21.25
160000,-4574504,1.902e-10,64.6,21.25
160000,-4572004,1.905e-10,64.6,21.25
160000,-4569504,1.8895e-10,64.6,21.25
160000,-4567004,1.8784e-10,64.6,21.25
160000,-4564504,1.9053e-10,64.6,21.25
160000,-4562004,1.8991e-10,64.6,21.25
160000,-4559504,1.878e-10,64.6,21.25
160000,-4557004,1.9122e-10,64.6,21.25
160000,-4554504,1.9042e-10,64.6,21.25
160000,-4552004,1.9117e-10,64.6,21.25
160000,-4549504,1.8923e-10,64.6,21.25
160000,-4547004,1.9012e-10,64.6,21.25
160000,-4544504,1.8688e-10,64.6,21.25
160000,-4542004,1.8986e-10,64.6,21.25
160000,-4539504,1.9175e-10,64.6,21.25
160000,-4537004,1.916e-10,64.6,21.25
160000,-4534504,1.9028e-10,64.6,21.25
162500,-4657004,1.8619e-10,64.6,21.25
162500,-4654504,1.8873e-10,64.6,21.25
162500,-4652004,1.8803e-10,64.6,21.25
162500,-4649504,1.8616e-10,64.6,21.25
162500,-4647004,1.8763e-10,64.6,21.25
162500,-4644504,1.8745e-10,64.6,21.25
162500,-4642004,1.9151e-10,64.6,21.25
162500,-4639504,1.8086e-10,64.6,21.25
162500,-4637004,1.688e-10,64.6,21.25
162500,-4634504,1.5525e-10,64.6,21.25
162500,-4632004,1.5598e-10,64.6,21.25
162500,-4629504,1.684e-10,64.6,21.25
162500,-4627004,1.8124e-10,64.6,21.25
162500,-4624504,1.8648e-10,64.6,21.25
162500,-4622004,1.8807e-10,64.6,21.25
162500,-4619504,1.9161e-10,64.6,21.25
162500,-4617004,1.9006e-10,64.6,21.25
162500,-4614504,1.925e-10,64.6,21.25
162500,-4612004,1.8792e-10,64.6,21.25
162500,-4609504,1.8787e-10,64.6,21.25
162500,-4607004,1.9043e-10,64.6,21.25
162500,-4604504,1.8945e-10,64.6,21.25
162500,-4602004,1.8951e-10,64.6,21.25
162500,-4599504,1.8939e-10,64.6,21.25
162500,-4597004,1.9024e-10,64.6,21.25
162500,-4594504,1.8964e-10,64.6,21.25
162500,-4592004,1.9197e-10,64.6,21.25
162500,-4589504,1.9119e-10,64.6,21.25
162500,-4587004,1.9052e-10,64.6,21.25
162500,-4584504,1.8896e-10,64.6,21.25
162500,-4582004,1.8729e-10,64.6,21.25
162500,-4579504,1.9109e-10,64.6,21.25
162500,-4577004,1.8833e-10,64.6,21.25
162500,-4574504,1.9045e-10,64.6,21.25
162500,-4572004,1.9095e-10,64.6,21.25
162500,-4569504,1.901e-10,64.6,21.25
162500,-4567004,1.9259e-10,64.6,21.25
162500,-4564504,1.9069e-10,64.6,21.25
162500,-4562004,1.9068e-10,64.6,21.25
162500,-4559504,1.9091e-10,64.6,21.25
162500,-4557004,1.9056e-10,64.6,21.25
162500,-4554504,1.908e-10,64.6,21.25
162500,-4552004,1.8963e-10,64.6,21.25
162500,-4549504,1.901e-10,64.6,21.25
162500,-4547004,1.9148e-10,64.6,21.25
162500,-4544504,1.874e-10,64.6,21.25
162500,-4542004,1.9492e-10,64.6,21.25
162500,-4539504,1.9014e-10,64.6,21.25
162500,-4537004,1.8755e-10,64.6,21.25
162500,-4534504,1.8758e-10,64.6,21.25
165000,-4657004,1.8448e-10,64.6,21.25
165000,-4654504,1.8817e-10,64.6,21.25
165000,-4652004,1.9133e-10,64.6,21.25
165000,-4649504,1.8709e-10,64.6,21.25
165000,-4647004,1.9114e-10,64.6,21.25
165000,-4644504,1.8684e-10,64.6,21.25
165000,-4642004,1.8615e-10,64.6,21.25
165000,-4639504,1.7954e-10,64.6,21.25
165000,-4637004,1.6341e-10,64.6,21.25
165000,-4634504,1.5674e-10,64.6,21.25
165000,-4632004,1.6213e-10,64.6,21.25
165000,-4629504,1.7817e-10,64.6,21.25
165000,-4627004,1.8275e-10,64.6,21.25
165000,-4624504,1.8743e-10,64.6,21.25
165000,-4622004,1.8775e-10,64.6,21.25
165000,-4619504,1.8956e-10,64.6,21.25
165000,-4617004,1.9027e-10,64.6,21.25
165000,-4614504,1.877e-10,64.6,21.25
165000,-4612004,1.9561e-10,64.6,21.25
165000,-4609504,1.9164e-10,64.6,21.25
165000,-4607004,1.8748e-10,64.6,21.25
165000,-4604504,1.9012e-10,64.6,21.25
165000,-4602004,1.8276e-10,64.6,21.25
165000,-4599504,1.893e-10,64.6,21.25
165000,-4597004,1.888e-10,64.6,21.25
165000,-4594504,1.9133e-10,64.6,21.25
165000,-4592004,1.9063e-10,64.6,21.25
165000,-4589504,1.9011e-10,64.6,21.25
165000,-4587004,1.9163e-10,64.6,21.25
165000,-4584504,1.8905e-10,64.6,21.25
165000,-4582004,1.906e-10,64.6,21.25
165000,-4579504,1.9171e-10,64.6,21.25
165000,-4577004,1.8954e-10,64.6,21.25
165000,-4574504,1.8986e-10,64.6,21.25
165000,-4572004,1.9192e-10,64.6,21.25
165000,-4569504,1.9064e-10,64.6,21.25
165000,-4567004,1.8899e-10,64.6,21.25
165000,-4564504,1.89e-10,64.6,21.25
165000,-4562004,1.8938e-10,64.6,21.25
165000,-4559504,1.891e-10,64.6,21.25
165000,-4557004,1.9139e-10,64.6,21.25
165000,-4554504,1.8893e-10,64.6,21.25
