General parameters:
Start time: 2023              9             21             20             14      19.785336
Finish time: 2023              9             21             21             23      47.024987
Raster type: raster_jump
Horizontal range (nm): -4533004.000000,-4657004.000000
Vertical range (nm): 293000.000000,155000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.88e-07
Sample chamber pressure: 3.62e-08
Initial position (nm): -1484238.000000,229820.000000,-2700000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4533004 -4657004
hori_res:2500
vert_range:293000  155000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.996262
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
155000,-4657004,1.9666e-10,64.0,21.25
155000,-4654504,1.8528e-10,64.0,21.25
155000,-4652004,1.8827e-10,64.0,21.25
155000,-4649504,1.863e-10,64.0,21.25
155000,-4647004,1.8544e-10,64.0,21.25
155000,-4644504,1.8053e-10,64.0,21.25
155000,-4642004,1.7345e-10,64.0,21.25
155000,-4639504,1.555e-10,64.0,21.25
155000,-4637004,1.5702e-10,64.0,21.25
155000,-4634504,1.6008e-10,64.0,21.25
155000,-4632004,1.804e-10,64.0,21.25
155000,-4629504,1.8597e-10,64.0,21.25
155000,-4627004,1.8268e-10,64.0,21.25
155000,-4624504,1.8467e-10,64.0,21.25
155000,-4622004,1.8403e-10,64.0,21.25
155000,-4619504,1.8758e-10,64.0,21.25
155000,-4617004,1.85e-10,64.0,21.25
155000,-4614504,1.8577e-10,64.0,21.25
155000,-4612004,1.8469e-10,64.0,21.25
155000,-4609504,1.8679e-10,64.0,21.25
155000,-4607004,1.8433e-10,64.0,21.25
155000,-4604504,1.875e-10,64.0,21.25
155000,-4602004,1.87e-10,64.0,21.25
155000,-4599504,1.8611e-10,64.0,21.25
155000,-4597004,1.8549e-10,64.0,21.25
155000,-4594504,1.8661e-10,64.0,21.25
155000,-4592004,1.8536e-10,64.0,21.25
155000,-4589504,1.8524e-10,64.0,21.25
155000,-4587004,1.8939e-10,64.0,21.25
155000,-4584504,1.8965e-10,64.0,21.25
155000,-4582004,1.8462e-10,64.0,21.25
155000,-4579504,1.8623e-10,64.0,21.25
155000,-4577004,1.8817e-10,64.0,21.25
155000,-4574504,1.8699e-10,64.0,21.25
155000,-4572004,1.8557e-10,64.0,21.25
155000,-4569504,1.8752e-10,64.0,21.25
155000,-4567004,1.8692e-10,64.0,21.25
155000,-4564504,1.9005e-10,64.0,21.25
155000,-4562004,1.8545e-10,64.0,21.25
155000,-4559504,1.8573e-10,64.0,21.25
155000,-4557004,1.8694e-10,64.0,21.25
155000,-4554504,1.8659e-10,64.0,21.25
155000,-4552004,1.8943e-10,64.0,21.25
155000,-4549504,1.8645e-10,64.0,21.25
155000,-4547004,1.8631e-10,64.0,21.25
155000,-4544504,1.8575e-10,64.0,21.25
155000,-4542004,1.878e-10,64.0,21.25
155000,-4539504,1.8728e-10,64.0,21.25
155000,-4537004,1.8892e-10,64.0,21.25
155000,-4534504,1.867e-10,64.0,21.25
157500,-4657004,1.851e-10,64.0,21.25
157500,-4654504,1.8653e-10,64.0,21.25
157500,-4652004,1.8538e-10,64.0,21.25
157500,-4649504,1.8283e-10,64.0,21.25
157500,-4647004,1.8486e-10,64.0,21.25
157500,-4644504,1.7996e-10,64.0,21.25
157500,-4642004,1.7267e-10,64.0,21.25
157500,-4639504,1.5963e-10,64.0,21.25
157500,-4637004,1.5184e-10,64.0,21.25
157500,-4634504,1.6117e-10,64.0,21.25
157500,-4632004,1.7586e-10,64.0,21.25
157500,-4629504,1.8347e-10,64.0,21.25
157500,-4627004,1.8562e-10,64.0,21.25
157500,-4624504,1.8979e-10,64.0,21.25
157500,-4622004,1.8558e-10,64.0,21.25
157500,-4619504,1.867e-10,64.0,21.25
157500,-4617004,1.8877e-10,64.0,21.25
157500,-4614504,1.8632e-10,64.0,21.25
157500,-4612004,1.8577e-10,64.0,21.25
157500,-4609504,1.9157e-10,64.0,21.25
157500,-4607004,1.8206e-10,64.0,21.25
157500,-4604504,1.859e-10,64.0,21.25
157500,-4602004,1.8744e-10,64.0,21.25
157500,-4599504,1.8248e-10,64.0,21.25
157500,-4597004,1.9056e-10,64.0,21.25
157500,-4594504,1.8677e-10,64.0,21.25
157500,-4592004,1.8762e-10,64.0,21.25
157500,-4589504,1.8784e-10,64.0,21.25
157500,-4587004,1.8401e-10,64.0,21.25
157500,-4584504,1.8839e-10,64.0,21.25
157500,-4582004,1.8602e-10,64.0,21.25
157500,-4579504,1.8778e-10,64.0,21.25
157500,-4577004,1.8657e-10,64.0,21.25
157500,-4574504,1.8501e-10,64.0,21.25
157500,-4572004,1.8504e-10,64.0,21.25
157500,-4569504,1.8563e-10,64.0,21.25
157500,-4567004,1.8607e-10,64.0,21.25
157500,-4564504,1.8392e-10,64.0,21.25
157500,-4562004,1.8767e-10,64.0,21.25
