General parameters:
Start time: 2023              9             22             12             52       3.030403
Finish time: 2023              9             22             14              1       30.82127
Raster type: raster_jump
Horizontal range (nm): -4533004.000000,-4657004.000000
Vertical range (nm): 293000.000000,155000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.79e-07
Sample chamber pressure: 3.58e-08
Initial position (nm): -1492261.000000,229830.000000,449990.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4533004 -4657004
hori_res:2500
vert_range:293000  155000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.898450
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
155000,-4657004,1.3371e-10,63.2,21.25
155000,-4654504,1.0767e-10,63.2,21.25
155000,-4652004,1.1195e-10,63.2,21.25
155000,-4649504,1.1002e-10,63.2,21.25
155000,-4647004,1.0836e-10,63.2,21.25
155000,-4644504,1.0825e-10,63.2,21.25
155000,-4642004,1.2411e-10,63.2,21.25
155000,-4639504,1.9481e-10,63.2,21.25
155000,-4637004,1.786e-10,63.2,21.25
155000,-4634504,1.7974e-10,63.2,21.25
155000,-4632004,1.8138e-10,63.2,21.25
155000,-4629504,1.8106e-10,63.2,21.25
155000,-4627004,1.8146e-10,63.2,21.25
155000,-4624504,1.8339e-10,63.2,21.25
155000,-4622004,1.8316e-10,63.2,21.25
155000,-4619504,1.8172e-10,63.2,21.25
155000,-4617004,1.8266e-10,63.2,21.25
155000,-4614504,1.8447e-10,63.2,21.25
155000,-4612004,1.8139e-10,63.2,21.25
155000,-4609504,1.8053e-10,63.2,21.25
155000,-4607004,1.8002e-10,63.2,21.25
155000,-4604504,1.8474e-10,63.2,21.25
155000,-4602004,1.8154e-10,63.2,21.25
155000,-4599504,1.8185e-10,63.2,21.25
155000,-4597004,1.8366e-10,63.2,21.25
155000,-4594504,1.8515e-10,63.2,21.25
155000,-4592004,1.8274e-10,63.2,21.25
155000,-4589504,1.8029e-10,63.2,21.25
155000,-4587004,1.8424e-10,63.2,21.25
155000,-4584504,1.818e-10,63.2,21.25
155000,-4582004,1.7825e-10,63.2,21.25
155000,-4579504,1.8539e-10,63.2,21.25
155000,-4577004,1.7881e-10,63.2,21.25
155000,-4574504,1.8479e-10,63.2,21.25
155000,-4572004,1.8245e-10,63.2,21.25
155000,-4569504,1.8437e-10,63.2,21.25
155000,-4567004,1.8178e-10,63.2,21.25
155000,-4564504,1.8284e-10,63.2,21.25
155000,-4562004,1.8274e-10,63.2,21.25
