General parameters:
Start time: 2023              9             26             17             49       2.832811
Finish time: 2023              9             26             18             27       4.845231
Raster type: raster_jump
Horizontal range (nm): -4037005.000000,-4115005.000000
Vertical range (nm): 280500.000000,161500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.43e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -1499272.000000,226826.000000,-2150006.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4037005 -4115005
hori_res:2500
vert_range:280500  161500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.806452
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
161500,-4115005,1.8179e-10,51.9,21.25
161500,-4112505,1.7792e-10,51.9,21.25
161500,-4110005,1.7752e-10,51.9,21.25
161500,-4107505,1.7155e-10,51.9,21.25
161500,-4105005,1.7104e-10,51.9,21.25
161500,-4102505,1.6837e-10,51.9,21.25
161500,-4100005,1.6784e-10,51.9,21.25
161500,-4097505,1.6806e-10,51.9,21.25
161500,-4095005,1.6962e-10,51.9,21.25
161500,-4092505,1.6968e-10,51.9,21.25
161500,-4090005,1.6722e-10,51.9,21.25
161500,-4087505,1.688e-10,51.9,21.25
161500,-4085005,1.6973e-10,51.9,21.25
161500,-4082505,1.6759e-10,51.9,21.25
161500,-4080005,1.7013e-10,51.9,21.25
161500,-4077505,1.6947e-10,51.9,21.25
161500,-4075005,1.7006e-10,51.9,21.25
161500,-4072505,1.6881e-10,51.9,21.25
161500,-4070005,1.754e-10,51.9,21.25
161500,-4067505,1.7159e-10,51.9,21.25
161500,-4065005,1.7343e-10,51.9,21.25
161500,-4062505,1.6896e-10,51.9,21.25
161500,-4060005,1.7097e-10,51.9,21.25
161500,-4057505,1.7291e-10,51.9,21.25
161500,-4055005,1.7059e-10,51.9,21.25
161500,-4052505,1.6895e-10,51.9,21.25
161500,-4050005,1.6511e-10,51.9,21.25
161500,-4047505,1.7225e-10,51.9,21.25
161500,-4045005,1.7017e-10,51.9,21.25
161500,-4042505,1.6798e-10,51.9,21.25
161500,-4040005,1.7214e-10,51.9,21.25
161500,-4037505,1.6986e-10,51.9,21.25
164000,-4115005,1.7427e-10,51.9,21.25
164000,-4112505,1.7433e-10,51.9,21.25
164000,-4110005,1.7194e-10,51.9,21.25
164000,-4107505,1.7153e-10,51.9,21.25
164000,-4105005,1.7037e-10,51.9,21.25
164000,-4102505,1.708e-10,51.9,21.25
164000,-4100005,1.6977e-10,51.9,21.25
164000,-4097505,1.6876e-10,51.9,21.25
164000,-4095005,1.681e-10,51.9,21.25
164000,-4092505,1.6865e-10,51.9,21.25
164000,-4090005,1.698e-10,51.9,21.25
164000,-4087505,1.7021e-10,51.9,21.25
164000,-4085005,1.698e-10,51.9,21.25
164000,-4082505,1.7197e-10,51.9,21.25
164000,-4080005,1.6876e-10,51.9,21.25
164000,-4077505,1.7064e-10,51.9,21.25
164000,-4075005,1.6894e-10,51.9,21.25
164000,-4072505,1.719e-10,51.9,21.25
164000,-4070005,1.8003e-10,51.9,21.25
164000,-4067505,1.8199e-10,51.9,21.25
164000,-4065005,1.762e-10,51.9,21.25
164000,-4062505,1.7223e-10,51.9,21.25
164000,-4060005,1.7065e-10,51.9,21.25
164000,-4057505,1.6942e-10,51.9,21.25
164000,-4055005,1.7012e-10,51.9,21.25
164000,-4052505,1.7349e-10,51.9,21.25
164000,-4050005,1.7015e-10,51.9,21.25
164000,-4047505,1.7037e-10,51.9,21.25
164000,-4045005,1.6723e-10,51.9,21.25
164000,-4042505,1.7041e-10,51.9,21.25
164000,-4040005,1.6968e-10,51.9,21.25
164000,-4037505,1.6974e-10,51.9,21.25
166500,-4115005,1.7083e-10,51.9,21.25
166500,-4112505,1.7105e-10,51.9,21.25
166500,-4110005,1.706e-10,51.9,21.25
166500,-4107505,1.7017e-10,51.9,21.25
166500,-4105005,1.7088e-10,51.9,21.25
166500,-4102505,1.6868e-10,51.9,21.25
166500,-4100005,1.7137e-10,51.9,21.25
166500,-4097505,1.6921e-10,51.9,21.25
166500,-4095005,1.6855e-10,51.9,21.25
166500,-4092505,1.7259e-10,51.9,21.25
166500,-4090005,1.6858e-10,51.9,21.25
166500,-4087505,1.6922e-10,51.9,21.25
166500,-4085005,1.686e-10,51.9,21.25
166500,-4082505,1.6938e-10,51.9,21.25
166500,-4080005,1.6963e-10,51.9,21.25
166500,-4077505,1.6994e-10,51.9,21.25
166500,-4075005,1.7012e-10,51.9,21.25
166500,-4072505,1.7875e-10,51.9,21.25
166500,-4070005,1.8395e-10,51.9,21.25
166500,-4067505,1.8753e-10,51.9,21.25
166500,-4065005,1.8227e-10,51.9,21.25
166500,-4062505,1.7881e-10,51.9,21.25
166500,-4060005,1.7608e-10,51.9,21.25
166500,-4057505,1.7639e-10,51.9,21.25
166500,-4055005,1.7037e-10,51.9,21.25
166500,-4052505,1.7003e-10,51.9,21.25
166500,-4050005,1.6991e-10,51.9,21.25
166500,-4047505,1.716e-10,51.9,21.25
166500,-4045005,1.6768e-10,51.9,21.25
166500,-4042505,1.6842e-10,51.9,21.25
166500,-4040005,1.7073e-10,51.9,21.25
166500,-4037505,1.6956e-10,51.9,21.25
169000,-4115005,1.7182e-10,51.9,21.25
169000,-4112505,1.7343e-10,51.9,21.25
169000,-4110005,1.7354e-10,51.9,21.25
169000,-4107505,1.6826e-10,51.9,21.25
169000,-4105005,1.6884e-10,51.9,21.25
169000,-4102505,1.6856e-10,51.9,21.25
169000,-4100005,1.7036e-10,51.9,21.25
169000,-4097505,1.7389e-10,51.9,21.25
169000,-4095005,1.7126e-10,51.9,21.25
169000,-4092505,1.7301e-10,51.9,21.25
169000,-4090005,1.7123e-10,51.9,21.25
169000,-4087505,1.7035e-10,51.9,21.25
169000,-4085005,1.6923e-10,51.9,21.25
169000,-4082505,1.6975e-10,51.9,21.25
169000,-4080005,1.7013e-10,51.9,21.25
169000,-4077505,1.6833e-10,51.9,21.25
169000,-4075005,1.7504e-10,51.9,21.25
169000,-4072505,1.8338e-10,51.9,21.25
169000,-4070005,1.8635e-10,51.9,21.25
169000,-4067505,1.878e-10,51.9,21.25
169000,-4065005,1.8997e-10,51.9,21.25
169000,-4062505,1.8669e-10,51.9,21.25
169000,-4060005,1.8131e-10,51.9,21.25
169000,-4057505,1.7695e-10,51.9,21.25
169000,-4055005,1.7435e-10,51.9,21.25
169000,-4052505,1.7053e-10,51.9,21.25
169000,-4050005,1.7051e-10,51.9,21.25
169000,-4047505,1.6928e-10,51.9,21.25
169000,-4045005,1.6919e-10,51.9,21.25
169000,-4042505,1.7283e-10,51.9,21.25
169000,-4040005,1.7246e-10,51.9,21.25
169000,-4037505,1.7021e-10,51.9,21.25
171500,-4115005,1.7196e-10,51.9,21.25
171500,-4112505,1.7069e-10,51.9,21.25
171500,-4110005,1.667e-10,51.9,21.25
171500,-4107505,1.6804e-10,51.9,21.25
171500,-4105005,1.692e-10,51.9,21.25
171500,-4102505,1.7073e-10,51.9,21.25
171500,-4100005,1.7324e-10,51.9,21.25
171500,-4097505,1.6904e-10,51.9,21.25
171500,-4095005,1.6956e-10,51.9,21.25
171500,-4092505,1.7018e-10,51.9,21.25
171500,-4090005,1.6987e-10,51.9,21.25
171500,-4087505,1.6957e-10,51.9,21.25
171500,-4085005,1.6878e-10,51.9,21.25
171500,-4082505,1.7024e-10,51.9,21.25
171500,-4080005,1.7022e-10,51.9,21.25
171500,-4077505,1.7318e-10,51.9,21.25
171500,-4075005,1.7939e-10,51.9,21.25
171500,-4072505,1.8469e-10,51.9,21.25
171500,-4070005,1.8634e-10,51.9,21.25
171500,-4067505,1.8853e-10,51.9,21.25
171500,-4065005,1.8685e-10,51.9,21.25
171500,-4062505,1.898e-10,51.9,21.25
171500,-4060005,1.9518e-10,51.9,21.25
171500,-4057505,1.8795e-10,51.9,21.25
171500,-4055005,1.7933e-10,51.9,21.25
171500,-4052505,1.7565e-10,51.9,21.25
171500,-4050005,1.6976e-10,51.9,21.25
171500,-4047505,1.6892e-10,51.9,21.25
171500,-4045005,1.6948e-10,51.9,21.25
171500,-4042505,1.7057e-10,51.9,21.25
171500,-4040005,1.6844e-10,51.9,21.25
171500,-4037505,1.7276e-10,51.9,21.25
174000,-4115005,1.702e-10,51.9,21.25
174000,-4112505,1.6959e-10,51.9,21.25
174000,-4110005,1.6663e-10,51.9,21.25
174000,-4107505,1.7192e-10,51.9,21.25
174000,-4105005,1.7267e-10,51.9,21.25
174000,-4102505,1.7148e-10,51.9,21.25
174000,-4100005,1.6966e-10,51.9,21.25
174000,-4097505,1.7008e-10,51.9,21.25
174000,-4095005,1.6852e-10,51.9,21.25
174000,-4092505,1.7168e-10,51.9,21.25
174000,-4090005,1.6713e-10,51.9,21.25
174000,-4087505,1.7217e-10,51.9,21.25
174000,-4085005,1.7323e-10,51.9,21.25
174000,-4082505,1.6847e-10,51.9,21.25
174000,-4080005,1.7302e-10,51.9,21.25
174000,-4077505,1.7803e-10,51.9,21.25
174000,-4075005,1.8214e-10,51.9,21.25
174000,-4072505,1.8899e-10,51.9,21.25
174000,-4070005,1.8692e-10,51.9,21.25
174000,-4067505,1.9053e-10,51.9,21.25
174000,-4065005,1.891e-10,51.9,21.25
174000,-4062505,1.906e-10,51.9,21.25
174000,-4060005,1.9522e-10,51.9,21.25
174000,-4057505,2.0179e-10,51.9,21.25
174000,-4055005,1.9214e-10,51.9,21.25
174000,-4052505,1.7546e-10,51.9,21.25
174000,-4050005,1.7131e-10,51.9,21.25
174000,-4047505,1.6876e-10,51.9,21.25
174000,-4045005,1.7097e-10,51.9,21.25
