General parameters:
Start time: 2023              9             26             21             56       11.06067
Finish time: 2023              9             27              7             28      11.115542
Raster type: raster_jump
Horizontal range (nm): -4278007.000000,-5028007.000000
Vertical range (nm): 522000.000000,-228000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.38e-07
Sample chamber pressure: 3.67e-08
Initial position (nm): -4037532.000000,279000.000000,-2700004.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_08_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4278007 -5028007
hori_res:5000
vert_range:522000 -228000
vert_res:5000
pause:0.35
data_path:/icon/data/2023_08_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.810214
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-228000,-5028007,1.6139e-10,51.5,21.25
-228000,-5023007,1.604e-10,51.5,21.25
-228000,-5018007,1.6121e-10,51.5,21.25
-228000,-5013007,1.6213e-10,51.5,21.25
-228000,-5008007,1.6239e-10,51.5,21.25
-228000,-5003007,1.6287e-10,51.5,21.25
-228000,-4998007,1.5728e-10,51.5,21.25
-228000,-4993007,1.6115e-10,51.5,21.25
-228000,-4988007,1.6079e-10,51.5,21.25
-228000,-4983007,1.6222e-10,51.5,21.25
-228000,-4978007,1.6086e-10,51.5,21.25
-228000,-4973007,1.6269e-10,51.5,21.25
-228000,-4968007,1.605e-10,51.5,21.25
-228000,-4963007,1.6074e-10,51.5,21.25
-228000,-4958007,1.6075e-10,51.5,21.25
-228000,-4953007,1.5927e-10,51.5,21.25
-228000,-4948007,1.5811e-10,51.5,21.25
-228000,-4943007,1.615e-10,51.5,21.25
-228000,-4938007,1.619e-10,51.5,21.25
-228000,-4933007,1.6224e-10,51.5,21.25
-228000,-4928007,1.6155e-10,51.5,21.25
-228000,-4923007,1.6304e-10,51.5,21.25
-228000,-4918007,1.6078e-10,51.5,21.25
-228000,-4913007,1.6463e-10,51.5,21.25
-228000,-4908007,1.623e-10,51.5,21.25
-228000,-4903007,1.6202e-10,51.5,21.25
-228000,-4898007,1.6007e-10,51.5,21.25
-228000,-4893007,1.6074e-10,51.5,21.25
-228000,-4888007,1.627e-10,51.5,21.25
-228000,-4883007,1.5819e-10,51.5,21.25
-228000,-4878007,1.6324e-10,51.5,21.25
-228000,-4873007,1.5988e-10,51.5,21.25
-228000,-4868007,1.5969e-10,51.5,21.25
-228000,-4863007,1.6279e-10,51.5,21.25
-228000,-4858007,1.6011e-10,51.5,21.25
-228000,-4853007,1.6239e-10,51.5,21.25
-228000,-4848007,1.6237e-10,51.5,21.25
-228000,-4843007,1.6375e-10,51.5,21.25
-228000,-4838007,1.5894e-10,51.5,21.25
-228000,-4833007,1.6017e-10,51.5,21.25
-228000,-4828007,1.6144e-10,51.5,21.25
-228000,-4823007,1.6234e-10,51.5,21.25
-228000,-4818007,1.621e-10,51.5,21.25
-228000,-4813007,1.6113e-10,51.5,21.25
-228000,-4808007,1.6336e-10,51.5,21.25
-228000,-4803007,1.6173e-10,51.5,21.25
-228000,-4798007,1.6096e-10,51.5,21.25
-228000,-4793007,1.618e-10,51.5,21.25
-228000,-4788007,1.6185e-10,51.5,21.25
-228000,-4783007,1.6215e-10,51.5,21.25
-228000,-4778007,1.6247e-10,51.5,21.25
-228000,-4773007,1.614e-10,51.5,21.25
-228000,-4768007,1.627e-10,51.5,21.25
