General parameters:
Start time: 2023              9             29             12              5      15.262056
Finish time: 2023              9             29             12             35      22.026793
Raster type: raster_jump
Horizontal range (nm): 4000000.000000,-4000000.000000
Vertical range (nm): 4000000.000000,-4000000.000000
Horizontal pixel size (nm): 250000.000000
Vertical pixel size (nm): 250000.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.11e-07
Sample chamber pressure: 4.97e-08
Initial position (nm): -1360267.000000,78820.000000,-1100000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:4000000 -4000000
hori_res:250000
vert_range:4000000 -4000000
vert_res:250000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 2.480184
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1250
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-4000000,-4000000,1.1549e-10,50.9,21.25
-4000000,-3750000,1.1142e-10,50.9,21.25
-4000000,-3500000,1.1124e-10,50.9,21.25
-4000000,-3250000,1.1132e-10,50.9,21.25
-4000000,-3000000,1.1017e-10,50.9,21.25
-4000000,-2750000,1.111e-10,50.9,21.25
-4000000,-2500000,1.1031e-10,50.9,21.25
-4000000,-2250000,8.6328e-11,50.9,21.25
-4000000,-2000000,8.6142e-11,50.9,21.25
-4000000,-1750000,8.6138e-11,50.9,21.25
-4000000,-1500000,8.646e-11,50.9,21.25
-4000000,-1250000,8.7776e-11,50.9,21.25
-4000000,-1000000,8.6596e-11,50.9,21.25
-4000000,-750000,8.7084e-11,50.9,21.25
-4000000,-500000,8.8168e-11,50.9,21.25
-4000000,-250000,8.727e-11,50.9,21.25
-4000000,0,8.7268e-11,50.9,21.25
-4000000,250000,8.7914e-11,50.9,21.25
-4000000,500000,8.6996e-11,50.9,21.25
-4000000,750000,8.7882e-11,50.9,21.25
-4000000,1000000,8.7114e-11,50.9,21.25
-4000000,1250000,8.7226e-11,50.9,21.25
-4000000,1500000,8.7006e-11,50.9,21.25
-4000000,1750000,8.6198e-11,50.9,21.25
-4000000,2000000,8.678e-11,50.9,21.25
-4000000,2250000,8.6144e-11,50.9,21.25
-4000000,2500000,8.6466e-11,50.9,21.25
-4000000,2750000,8.655e-11,50.9,21.25
-4000000,3000000,8.64e-11,50.9,21.25
-4000000,3250000,8.6332e-11,50.9,21.25
-4000000,3500000,8.604e-11,50.9,21.25
-4000000,3750000,8.5632e-11,50.9,21.25
-4000000,4000000,8.4808e-11,50.9,21.25
-3750000,-4000000,1.0712e-10,50.9,21.25
-3750000,-3750000,1.117e-10,50.9,21.25
-3750000,-3500000,1.1104e-10,50.9,21.25
-3750000,-3250000,1.1129e-10,50.9,21.25
-3750000,-3000000,1.0994e-10,50.9,21.25
-3750000,-2750000,1.1109e-10,50.9,21.25
-3750000,-2500000,1.0949e-10,50.9,21.25
-3750000,-2250000,8.8986e-11,50.9,21.25
-3750000,-2000000,8.6238e-11,50.9,21.25
-3750000,-1750000,8.5994e-11,50.9,21.25
-3750000,-1500000,8.693e-11,50.9,21.25
-3750000,-1250000,8.6562e-11,50.9,21.25
-3750000,-1000000,8.6964e-11,50.9,21.25
-3750000,-750000,8.7636e-11,50.9,21.25
-3750000,-500000,8.7586e-11,50.9,21.25
-3750000,-250000,8.7988e-11,50.9,21.25
-3750000,0,8.7686e-11,50.9,21.25
-3750000,250000,8.7856e-11,50.9,21.25
-3750000,500000,8.7366e-11,50.9,21.25
-3750000,750000,8.7794e-11,50.9,21.25
-3750000,1000000,8.7552e-11,50.9,21.25
-3750000,1250000,8.822e-11,50.9,21.25
-3750000,1500000,8.745e-11,50.9,21.25
-3750000,1750000,8.7404e-11,50.9,21.25
-3750000,2000000,8.7202e-11,50.9,21.25
-3750000,2250000,8.6834e-11,50.9,21.25
-3750000,2500000,8.6066e-11,50.9,21.25
-3750000,2750000,8.6138e-11,50.9,21.25
-3750000,3000000,8.6568e-11,50.9,21.25
-3750000,3250000,8.7214e-11,50.9,21.25
-3750000,3500000,8.622e-11,50.9,21.25
-3750000,3750000,8.6048e-11,50.9,21.25
-3750000,4000000,8.541e-11,50.9,21.25
-3500000,-4000000,1.0802e-10,50.9,21.25
-3500000,-3750000,1.1102e-10,50.9,21.25
