General parameters:
Start time: 2023              9             29             13             18      37.009799
Finish time: 2023              9             29             21             24      20.149867
Raster type: raster_jump
Horizontal range (nm): -1243000.000000,-6963000.000000
Vertical range (nm): 2353500.000000,-3661500.000000
Horizontal pixel size (nm): 40000.000000
Vertical pixel size (nm): 40000.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 6.12e-07
Sample chamber pressure: 4.77e-08
Initial position (nm): 4000017.000000,4000000.000000,-1100000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-1243000 -6963000
hori_res:40000
vert_range:2353500 -3661500
vert_res:40000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 1.928538
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1250
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-3661500,-6963000,6.435e-11,50.5,21.25
-3661500,-6923000,7.102e-11,50.5,21.25
-3661500,-6883000,7.4892e-11,50.5,21.25
-3661500,-6843000,7.6334e-11,50.5,21.25
-3661500,-6803000,7.5914e-11,50.5,21.25
-3661500,-6763000,7.2448e-11,50.5,21.25
-3661500,-6723000,6.7878e-11,50.5,21.25
-3661500,-6683000,6.7262e-11,50.5,21.25
-3661500,-6643000,6.7548e-11,50.5,21.25
-3661500,-6603000,7.18e-11,50.5,21.25
-3661500,-6563000,7.1136e-11,50.5,21.25
-3661500,-6523000,6.815e-11,50.5,21.25
-3661500,-6483000,6.4168e-11,50.5,21.25
-3661500,-6443000,6.2466e-11,50.5,21.25
-3661500,-6403000,6.2858e-11,50.5,21.25
-3661500,-6363000,6.3562e-11,50.5,21.25
-3661500,-6323000,6.238e-11,50.5,21.25
-3661500,-6283000,6.2966e-11,50.5,21.25
-3661500,-6243000,6.4148e-11,50.5,21.25
-3661500,-6203000,6.3664e-11,50.5,21.25
-3661500,-6163000,6.7744e-11,50.5,21.25
-3661500,-6123000,6.7888e-11,50.5,21.25
-3661500,-6083000,6.9932e-11,50.5,21.25
-3661500,-6043000,7.0316e-11,50.5,21.25
-3661500,-6003000,7.1424e-11,50.5,21.25
-3661500,-5963000,7.0764e-11,50.5,21.25
-3661500,-5923000,7.0444e-11,50.5,21.25
-3661500,-5883000,7.1374e-11,50.5,21.25
-3661500,-5843000,7.0872e-11,50.5,21.25
-3661500,-5803000,7.0842e-11,50.5,21.25
-3661500,-5763000,7.0684e-11,50.5,21.25
-3661500,-5723000,7.0254e-11,50.5,21.25
-3661500,-5683000,7.1044e-11,50.5,21.25
-3661500,-5643000,7.0822e-11,50.5,21.25
-3661500,-5603000,7.0618e-11,50.5,21.25
-3661500,-5563000,7.122e-11,50.5,21.25
-3661500,-5523000,7.0156e-11,50.5,21.25
-3661500,-5483000,7.1002e-11,50.5,21.25
-3661500,-5443000,6.9916e-11,50.5,21.25
-3661500,-5403000,7.1182e-11,50.5,21.25
-3661500,-5363000,7.1032e-11,50.5,21.25
-3661500,-5323000,7.0214e-11,50.5,21.25
-3661500,-5283000,7.1386e-11,50.5,21.25
-3661500,-5243000,7.0314e-11,50.5,21.25
-3661500,-5203000,7.1172e-11,50.5,21.25
-3661500,-5163000,7.11e-11,50.5,21.25
-3661500,-5123000,7.0408e-11,50.5,21.25
-3661500,-5083000,7.0586e-11,50.5,21.25
-3661500,-5043000,7.2038e-11,50.5,21.25
-3661500,-5003000,7.0898e-11,50.5,21.25
-3661500,-4963000,7.1296e-11,50.5,21.25
-3661500,-4923000,7.0318e-11,50.5,21.25
-3661500,-4883000,7.096e-11,50.5,21.25
-3661500,-4843000,7.1516e-11,50.5,21.25
-3661500,-4803000,7.0078e-11,50.5,21.25
-3661500,-4763000,7.0954e-11,50.5,21.25
-3661500,-4723000,7.0486e-11,50.5,21.25
-3661500,-4683000,6.801e-11,50.5,21.25
-3661500,-4643000,6.4728e-11,50.5,21.25
-3661500,-4603000,6.603e-11,50.5,21.25
-3661500,-4563000,6.5172e-11,50.5,21.25
-3661500,-4523000,6.5626e-11,50.5,21.25
-3661500,-4483000,6.4656e-11,50.5,21.25
-3661500,-4443000,6.5482e-11,50.5,21.25
-3661500,-4403000,6.4812e-11,50.5,21.25
-3661500,-4363000,6.512e-11,50.5,21.25
-3661500,-4323000,6.4908e-11,50.5,21.25
-3661500,-4283000,6.4158e-11,50.5,21.25
-3661500,-4243000,6.4388e-11,50.5,21.25
-3661500,-4203000,6.4874e-11,50.5,21.25
-3661500,-4163000,6.4334e-11,50.5,21.25
-3661500,-4123000,6.5784e-11,50.5,21.25
-3661500,-4083000,6.4358e-11,50.5,21.25
-3661500,-4043000,6.5174e-11,50.5,21.25
-3661500,-4003000,6.478e-11,50.5,21.25
-3661500,-3963000,6.4446e-11,50.5,21.25
-3661500,-3923000,6.4768e-11,50.5,21.25
-3661500,-3883000,6.4866e-11,50.5,21.25
-3661500,-3843000,6.5004e-11,50.5,21.25
-3661500,-3803000,6.4426e-11,50.5,21.25
-3661500,-3763000,6.4168e-11,50.5,21.25
-3661500,-3723000,6.5046e-11,50.5,21.25
-3661500,-3683000,6.436e-11,50.5,21.25
-3661500,-3643000,6.4098e-11,50.5,21.25
-3661500,-3603000,6.4304e-11,50.5,21.25
-3661500,-3563000,6.3688e-11,50.5,21.25
-3661500,-3523000,6.3988e-11,50.5,21.25
-3661500,-3483000,6.3714e-11,50.5,21.25
-3661500,-3443000,6.4102e-11,50.5,21.25
-3661500,-3403000,6.4484e-11,50.5,21.25
-3661500,-3363000,6.3596e-11,50.5,21.25
-3661500,-3323000,6.4156e-11,50.5,21.25
-3661500,-3283000,6.4308e-11,50.5,21.25
-3661500,-3243000,6.4286e-11,50.5,21.25
-3661500,-3203000,6.3684e-11,50.5,21.25
-3661500,-3163000,6.4124e-11,50.5,21.25
-3661500,-3123000,6.3576e-11,50.5,21.25
-3661500,-3083000,6.4002e-11,50.5,21.25
-3661500,-3043000,6.356e-11,50.5,21.25
-3661500,-3003000,6.3326e-11,50.5,21.25
-3661500,-2963000,6.3816e-11,50.5,21.25
-3661500,-2923000,6.3982e-11,50.5,21.25
-3661500,-2883000,6.389e-11,50.5,21.25
-3661500,-2843000,6.4544e-11,50.5,21.25
-3661500,-2803000,6.3978e-11,50.5,21.25
-3661500,-2763000,6.3506e-11,50.5,21.25
-3661500,-2723000,6.4612e-11,50.5,21.25
-3661500,-2683000,6.4134e-11,50.5,21.25
-3661500,-2643000,6.3428e-11,50.5,21.25
-3661500,-2603000,6.3624e-11,50.5,21.25
-3661500,-2563000,6.4184e-11,50.5,21.25
-3661500,-2523000,6.38e-11,50.5,21.25
-3661500,-2483000,6.3008e-11,50.5,21.25
-3661500,-2443000,6.3644e-11,50.5,21.25
-3661500,-2403000,6.3836e-11,50.5,21.25
-3661500,-2363000,6.376e-11,50.5,21.25
-3661500,-2323000,6.3248e-11,50.5,21.25
-3661500,-2283000,6.372e-11,50.5,21.25
-3661500,-2243000,6.3614e-11,50.5,21.25
-3661500,-2203000,5.8236e-11,50.5,21.25
-3661500,-2163000,4.7972e-11,50.5,21.25
-3661500,-2123000,4.7302e-11,50.5,21.25
-3661500,-2083000,4.715e-11,50.5,21.25
-3661500,-2043000,4.7252e-11,50.5,21.25
-3661500,-2003000,4.747e-11,50.5,21.25
-3661500,-1963000,4.6724e-11,50.5,21.25
-3661500,-1923000,4.7566e-11,50.5,21.25
-3661500,-1883000,4.783e-11,50.5,21.25
-3661500,-1843000,4.7724e-11,50.5,21.25
-3661500,-1803000,4.7818e-11,50.5,21.25
-3661500,-1763000,4.7368e-11,50.5,21.25
-3661500,-1723000,4.7532e-11,50.5,21.25
-3661500,-1683000,4.7708e-11,50.5,21.25
-3661500,-1643000,4.7528e-11,50.5,21.25
-3661500,-1603000,4.8342e-11,50.5,21.25
-3661500,-1563000,4.7472e-11,50.5,21.25
-3661500,-1523000,4.7434e-11,50.5,21.25
-3661500,-1483000,4.7758e-11,50.5,21.25
-3661500,-1443000,4.7962e-11,50.5,21.25
-3661500,-1403000,4.809e-11,50.5,21.25
-3661500,-1363000,4.7182e-11,50.5,21.25
-3661500,-1323000,4.8118e-11,50.5,21.25
-3661500,-1283000,4.8004e-11,50.5,21.25
-3661500,-1243000,4.7766e-11,50.5,21.25
-3621500,-6963000,6.7644e-11,50.5,21.25
-3621500,-6923000,6.7074e-11,50.5,21.25
-3621500,-6883000,6.673e-11,50.5,21.25
-3621500,-6843000,6.624e-11,50.5,21.25
-3621500,-6803000,6.6892e-11,50.5,21.25
-3621500,-6763000,7.0972e-11,50.5,21.25
-3621500,-6723000,7.02e-11,50.5,21.25
-3621500,-6683000,6.8266e-11,50.5,21.25
-3621500,-6643000,6.715e-11,50.5,21.25
-3621500,-6603000,6.6044e-11,50.5,21.25
-3621500,-6563000,5.9574e-11,50.5,21.25
-3621500,-6523000,6.032e-11,50.5,21.25
-3621500,-6483000,5.9162e-11,50.5,21.25
-3621500,-6443000,5.9604e-11,50.5,21.25
-3621500,-6403000,6.148e-11,50.5,21.25
-3621500,-6363000,6.1878e-11,50.5,21.25
-3621500,-6323000,6.0424e-11,50.5,21.25
-3621500,-6283000,6.1534e-11,50.5,21.25
-3621500,-6243000,6.2038e-11,50.5,21.25
-3621500,-6203000,6.299e-11,50.5,21.25
-3621500,-6163000,6.4854e-11,50.5,21.25
-3621500,-6123000,6.5322e-11,50.5,21.25
-3621500,-6083000,6.513e-11,50.5,21.25
-3621500,-6043000,6.8176e-11,50.5,21.25
-3621500,-6003000,6.9734e-11,50.5,21.25
-3621500,-5963000,7.035e-11,50.5,21.25
-3621500,-5923000,6.9854e-11,50.5,21.25
-3621500,-5883000,6.9716e-11,50.5,21.25
-3621500,-5843000,6.9454e-11,50.5,21.25
-3621500,-5803000,7.0108e-11,50.5,21.25
-3621500,-5763000,6.957e-11,50.5,21.25
-3621500,-5723000,6.9816e-11,50.5,21.25
-3621500,-5683000,6.9908e-11,50.5,21.25
-3621500,-5643000,7.0418e-11,50.5,21.25
-3621500,-5603000,6.9604e-11,50.5,21.25
-3621500,-5563000,6.9456e-11,50.5,21.25
-3621500,-5523000,6.949e-11,50.5,21.25
-3621500,-5483000,6.9888e-11,50.5,21.25
-3621500,-5443000,6.8902e-11,50.5,21.25
-3621500,-5403000,6.9286e-11,50.5,21.25
-3621500,-5363000,6.9938e-11,50.5,21.25
-3621500,-5323000,6.983e-11,50.5,21.25
-3621500,-5283000,6.9846e-11,50.5,21.25
-3621500,-5243000,6.929e-11,50.5,21.25
-3621500,-5203000,6.9524e-11,50.5,21.25
-3621500,-5163000,6.9106e-11,50.5,21.25
-3621500,-5123000,6.934e-11,50.5,21.25
-3621500,-5083000,7.0614e-11,50.5,21.25
-3621500,-5043000,7.0924e-11,50.5,21.25
-3621500,-5003000,7.2414e-11,50.5,21.25
-3621500,-4963000,7.3322e-11,50.5,21.25
-3621500,-4923000,6.61e-11,50.5,21.25
-3621500,-4883000,6.992e-11,50.5,21.25
-3621500,-4843000,7.0406e-11,50.5,21.25
-3621500,-4803000,6.989e-11,50.5,21.25
-3621500,-4763000,6.7508e-11,50.5,21.25
-3621500,-4723000,6.4696e-11,50.5,21.25
-3621500,-4683000,6.2322e-11,50.5,21.25
-3621500,-4643000,6.4438e-11,50.5,21.25
-3621500,-4603000,6.4808e-11,50.5,21.25
-3621500,-4563000,6.4064e-11,50.5,21.25
-3621500,-4523000,6.51e-11,50.5,21.25
-3621500,-4483000,6.4234e-11,50.5,21.25
-3621500,-4443000,6.4562e-11,50.5,21.25
-3621500,-4403000,6.4338e-11,50.5,21.25
-3621500,-4363000,6.5096e-11,50.5,21.25
-3621500,-4323000,6.4898e-11,50.5,21.25
-3621500,-4283000,6.4336e-11,50.5,21.25
-3621500,-4243000,6.4194e-11,50.5,21.25
-3621500,-4203000,6.415e-11,50.5,21.25
-3621500,-4163000,6.4542e-11,50.5,21.25
-3621500,-4123000,6.4286e-11,50.5,21.25
-3621500,-4083000,6.4126e-11,50.5,21.25
-3621500,-4043000,6.4198e-11,50.5,21.25
-3621500,-4003000,6.4352e-11,50.5,21.25
-3621500,-3963000,6.4156e-11,50.5,21.25
-3621500,-3923000,6.4046e-11,50.5,21.25
-3621500,-3883000,6.4612e-11,50.5,21.25
-3621500,-3843000,6.3892e-11,50.5,21.25
-3621500,-3803000,6.4068e-11,50.5,21.25
-3621500,-3763000,6.3702e-11,50.5,21.25
-3621500,-3723000,6.3436e-11,50.5,21.25
-3621500,-3683000,6.3652e-11,50.5,21.25
-3621500,-3643000,6.3486e-11,50.5,21.25
-3621500,-3603000,6.3886e-11,50.5,21.25
-3621500,-3563000,6.2432e-11,50.5,21.25
-3621500,-3523000,6.3676e-11,50.5,21.25
-3621500,-3483000,6.3838e-11,50.5,21.25
-3621500,-3443000,6.3142e-11,50.5,21.25
-3621500,-3403000,6.351e-11,50.5,21.25
-3621500,-3363000,6.3572e-11,50.5,21.25
-3621500,-3323000,6.3036e-11,50.5,21.25
-3621500,-3283000,6.318e-11,50.5,21.25
-3621500,-3243000,6.3984e-11,50.5,21.25
-3621500,-3203000,6.3772e-11,50.5,21.25
-3621500,-3163000,6.2998e-11,50.5,21.25
-3621500,-3123000,6.2898e-11,50.5,21.25
-3621500,-3083000,6.3272e-11,50.5,21.25
-3621500,-3043000,6.332e-11,50.5,21.25
-3621500,-3003000,6.3618e-11,50.5,21.25
-3621500,-2963000,6.2802e-11,50.5,21.25
-3621500,-2923000,6.3318e-11,50.5,21.25
-3621500,-2883000,6.3044e-11,50.5,21.25
-3621500,-2843000,6.355e-11,50.5,21.25
-3621500,-2803000,6.2748e-11,50.5,21.25
