General parameters:
Start time: 2023              9             30              0             56      49.536201
Finish time: 2023              9             30             12             20      46.605853
Raster type: raster_jump
Horizontal range (nm): -3312500.000000,-4997500.000000
Vertical range (nm): -861000.000000,-2753000.000000
Horizontal pixel size (nm): 10000.000000
Vertical pixel size (nm): 10000.000000
Dwell time (ms): 750.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.99e-07
Sample chamber pressure: 3.47e-08
Initial position (nm): -1242998.000000,2338500.000000,-1100001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3312500 -4997500
hori_res:10000
vert_range:-861000 -2753000
vert_res:10000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:50
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 50.000000
Filament current (A): 1.540000
Filament emission (mA): 1.004796
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1250
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-2753000,-4997500,7.6e-14,49.2,21.25
-2753000,-4987500,3.28e-13,49.2,21.25
-2753000,-4977500,8.6e-14,49.2,21.25
-2753000,-4967500,1.42e-13,49.2,21.25
-2753000,-4957500,1.62e-13,49.2,21.25
-2753000,-4947500,1.02e-13,49.2,21.25
-2753000,-4937500,8.2e-14,49.2,21.25
-2753000,-4927500,3.06e-13,49.2,21.25
-2753000,-4917500,4.68e-13,49.2,21.25
-2753000,-4907500,3.28e-13,49.2,21.25
-2753000,-4897500,3.54e-13,49.2,21.25
-2753000,-4887500,2.42e-13,49.2,21.25
-2753000,-4877500,6.56e-13,49.2,21.25
-2753000,-4867500,9.14e-13,49.2,21.25
-2753000,-4857500,4.82e-13,49.2,21.25
-2753000,-4847500,5.2e-14,49.2,21.25
-2753000,-4837500,2.2e-13,49.2,21.25
-2753000,-4827500,3.16e-13,49.2,21.25
-2753000,-4817500,4.66e-13,49.2,21.25
-2753000,-4807500,7.36e-13,49.2,21.25
-2753000,-4797500,9.04e-13,49.2,21.25
-2753000,-4787500,1.338e-12,49.2,21.25
-2753000,-4777500,1.282e-12,49.2,21.25
-2753000,-4767500,1.086e-12,49.2,21.25
-2753000,-4757500,5.1e-13,49.2,21.25
-2753000,-4747500,4.26e-13,49.2,21.25
-2753000,-4737500,7e-14,49.2,21.25
-2753000,-4727500,3.5e-13,49.2,21.25
-2753000,-4717500,1.24e-13,49.2,21.25
-2753000,-4707500,3.32e-13,49.2,21.25
-2753000,-4697500,2.4e-13,49.2,21.25
-2753000,-4687500,3.1e-13,49.2,21.25
-2753000,-4677500,1.68e-13,49.2,21.25
-2753000,-4667500,3.36e-13,49.2,21.25
-2753000,-4657500,4.1e-13,49.2,21.25
-2753000,-4647500,5.46e-13,49.2,21.25
-2753000,-4637500,9.04e-13,49.2,21.25
-2753000,-4627500,1.546e-12,49.2,21.25
-2753000,-4617500,1.282e-12,49.2,21.25
-2753000,-4607500,1.132e-12,49.2,21.25
-2753000,-4597500,1.348e-12,49.2,21.25
-2753000,-4587500,1.242e-12,49.2,21.25
-2753000,-4577500,1.246e-12,49.2,21.25
-2753000,-4567500,1.348e-12,49.2,21.25
-2753000,-4557500,1.244e-12,49.2,21.25
-2753000,-4547500,1.434e-12,49.2,21.25
-2753000,-4537500,1.194e-12,49.2,21.25
-2753000,-4527500,1.274e-12,49.2,21.25
-2753000,-4517500,1.19e-12,49.2,21.25
-2753000,-4507500,1.616e-12,49.2,21.25
-2753000,-4497500,1.426e-12,49.2,21.25
-2753000,-4487500,1.298e-12,49.2,21.25
-2753000,-4477500,1.448e-12,49.2,21.25
-2753000,-4467500,1.358e-12,49.2,21.25
-2753000,-4457500,1.19e-12,49.2,21.25
-2753000,-4447500,1.188e-12,49.2,21.25
-2753000,-4437500,9.98e-13,49.2,21.25
-2753000,-4427500,1.282e-12,49.2,21.25
-2753000,-4417500,1.024e-12,49.2,21.25
-2753000,-4407500,1.326e-12,49.2,21.25
-2753000,-4397500,1.276e-12,49.2,21.25
-2753000,-4387500,1.724e-12,49.2,21.25
-2753000,-4377500,1.228e-12,49.2,21.25
-2753000,-4367500,7.88e-13,49.2,21.25
-2753000,-4357500,2.2e-13,49.2,21.25
-2753000,-4347500,2.68e-13,49.2,21.25
-2753000,-4337500,1.74e-13,49.2,21.25
-2753000,-4327500,1.98e-13,49.2,21.25
-2753000,-4317500,2.42e-13,49.2,21.25
-2753000,-4307500,1.8e-14,49.2,21.25
-2753000,-4297500,7.6e-14,49.2,21.25
-2753000,-4287500,1.06e-13,49.2,21.25
-2753000,-4277500,7.6e-14,49.2,21.25
-2753000,-4267500,3.7e-13,49.2,21.25
-2753000,-4257500,8e-15,49.2,21.25
-2753000,-4247500,1.74e-13,49.2,21.25
-2753000,-4237500,8e-15,49.2,21.25
-2753000,-4227500,1.22e-13,49.2,21.25
-2753000,-4217500,3.4e-14,49.2,21.25
-2753000,-4207500,1e-13,49.2,21.25
-2753000,-4197500,1.32e-13,49.2,21.25
-2753000,-4187500,6e-15,49.2,21.25
-2753000,-4177500,1.6e-14,49.2,21.25
-2753000,-4167500,9.2e-14,49.2,21.25
-2753000,-4157500,1.6e-14,49.2,21.25
-2753000,-4147500,5.94e-13,49.2,21.25
-2753000,-4137500,1.88e-13,49.2,21.25
-2753000,-4127500,1.2e-13,49.2,21.25
-2753000,-4117500,1.8e-14,49.2,21.25
-2753000,-4107500,2.34e-13,49.2,21.25
-2753000,-4097500,4.8e-14,49.2,21.25
-2753000,-4087500,9.6e-14,49.2,21.25
-2753000,-4077500,1e-13,49.2,21.25
-2753000,-4067500,8.6e-14,49.2,21.25
-2753000,-4057500,5e-14,49.2,21.25
-2753000,-4047500,1.1e-13,49.2,21.25
-2753000,-4037500,8e-14,49.2,21.25
-2753000,-4027500,2.8e-13,49.2,21.25
-2753000,-4017500,2e-14,49.2,21.25
-2753000,-4007500,1.56e-13,49.2,21.25
-2753000,-3997500,1.72e-13,49.2,21.25
-2753000,-3987500,1.74e-13,49.2,21.25
-2753000,-3977500,1.14e-13,49.2,21.25
-2753000,-3967500,1.1e-13,49.2,21.25
-2753000,-3957500,5.8e-14,49.2,21.25
-2753000,-3947500,1.24e-13,49.2,21.25
-2753000,-3937500,1.42e-13,49.2,21.25
-2753000,-3927500,2e-15,49.2,21.25
-2753000,-3917500,8e-14,49.2,21.25
-2753000,-3907500,3.34e-13,49.2,21.25
-2753000,-3897500,1.2e-13,49.2,21.25
-2753000,-3887500,2.68e-13,49.2,21.25
-2753000,-3877500,1.48e-13,49.2,21.25
-2753000,-3867500,8.8e-14,49.2,21.25
-2753000,-3857500,2.8e-14,49.2,21.25
-2753000,-3847500,2.8e-14,49.2,21.25
-2753000,-3837500,1.48e-13,49.2,21.25
-2753000,-3827500,9.8e-14,49.2,21.25
-2753000,-3817500,9.8e-14,49.2,21.25
-2753000,-3807500,3.28e-13,49.2,21.25
-2753000,-3797500,8.8e-14,49.2,21.25
-2753000,-3787500,1.64e-13,49.2,21.25
-2753000,-3777500,2.2e-14,49.2,21.25
-2753000,-3767500,2.48e-13,49.2,21.25
-2753000,-3757500,7.6e-14,49.2,21.25
-2753000,-3747500,6.2e-14,49.2,21.25
-2753000,-3737500,7.4e-14,49.2,21.25
-2753000,-3727500,1e-13,49.2,21.25
-2753000,-3717500,2e-15,49.2,21.25
-2753000,-3707500,6e-14,49.2,21.25
-2753000,-3697500,1.8e-14,49.2,21.25
-2753000,-3687500,1.32e-13,49.2,21.25
-2753000,-3677500,1.06e-13,49.2,21.25
-2753000,-3667500,4.8e-14,49.2,21.25
-2753000,-3657500,2.8e-14,49.2,21.25
-2753000,-3647500,2.4e-14,49.2,21.25
-2753000,-3637500,8.4e-14,49.2,21.25
-2753000,-3627500,4.4e-14,49.2,21.25
-2753000,-3617500,1.18e-13,49.2,21.25
-2753000,-3607500,8e-14,49.2,21.25
-2753000,-3597500,1.58e-13,49.2,21.25
-2753000,-3587500,1.14e-13,49.2,21.25
-2753000,-3577500,1.12e-13,49.2,21.25
-2753000,-3567500,4.8e-14,49.2,21.25
-2753000,-3557500,1e-14,49.2,21.25
-2753000,-3547500,9.8e-14,49.2,21.25
-2753000,-3537500,2.28e-13,49.2,21.25
-2753000,-3527500,9.4e-14,49.2,21.25
-2753000,-3517500,3.2e-14,49.2,21.25
-2753000,-3507500,8e-14,49.2,21.25
-2753000,-3497500,3.6e-14,49.2,21.25
-2753000,-3487500,8.4e-14,49.2,21.25
