General parameters:
Start time: 2023             10              2              0             28      11.634899
Finish time: 2023             10              2              7             38      29.822997
Raster type: raster_jump
Horizontal range (nm): -3950000.000000,-4650000.000000
Vertical range (nm): -1305000.000000,-1905000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.47e-07
Sample chamber pressure: 2.38e-08
Initial position (nm): -3317500.000000,-863000.000000,-1100000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3950000 -4650000
hori_res:5000
vert_range:-1305000 -1905000
vert_res:5000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.267452
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1250
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1905000,-4650000,1.5776e-12,44.8,21.25
-1905000,-4645000,1.6284e-12,44.8,21.25
-1905000,-4640000,1.4657e-12,44.8,21.25
-1905000,-4635000,1.2716e-12,44.8,21.25
-1905000,-4630000,1.3791e-12,44.8,21.25
-1905000,-4625000,1.4701e-12,44.8,21.25
-1905000,-4620000,1.4657e-12,44.8,21.25
-1905000,-4615000,1.4821e-12,44.8,21.25
-1905000,-4610000,1.4672e-12,44.8,21.25
-1905000,-4605000,1.2119e-12,44.8,21.25
-1905000,-4600000,1.3358e-12,44.8,21.25
-1905000,-4595000,1.5448e-12,44.8,21.25
-1905000,-4590000,1.5254e-12,44.8,21.25
-1905000,-4585000,1.1657e-12,44.8,21.25
-1905000,-4580000,1.4597e-12,44.8,21.25
-1905000,-4575000,1.4791e-12,44.8,21.25
-1905000,-4570000,1.4582e-12,44.8,21.25
-1905000,-4565000,1.4149e-12,44.8,21.25
-1905000,-4560000,1.391e-12,44.8,21.25
-1905000,-4555000,1.4119e-12,44.8,21.25
-1905000,-4550000,1.4701e-12,44.8,21.25
-1905000,-4545000,1.5612e-12,44.8,21.25
-1905000,-4540000,1.3925e-12,44.8,21.25
-1905000,-4535000,1.0627e-12,44.8,21.25
-1905000,-4530000,1.391e-12,44.8,21.25
-1905000,-4525000,1.494e-12,44.8,21.25
-1905000,-4520000,1.391e-12,44.8,21.25
-1905000,-4515000,1.4806e-12,44.8,21.25
-1905000,-4510000,1.4522e-12,44.8,21.25
-1905000,-4505000,1.4851e-12,44.8,21.25
-1905000,-4500000,1.3522e-12,44.8,21.25
-1905000,-4495000,1.5343e-12,44.8,21.25
-1905000,-4490000,1.4657e-12,44.8,21.25
-1905000,-4485000,1.1522e-12,44.8,21.25
-1905000,-4480000,1.209e-12,44.8,21.25
-1905000,-4475000,1.4164e-12,44.8,21.25
-1905000,-4470000,1.4582e-12,44.8,21.25
-1905000,-4465000,1.4433e-12,44.8,21.25
-1905000,-4460000,1.4672e-12,44.8,21.25
-1905000,-4455000,1.391e-12,44.8,21.25
-1905000,-4450000,1.4134e-12,44.8,21.25
-1905000,-4445000,1.7701e-12,44.8,21.25
-1905000,-4440000,1.4627e-12,44.8,21.25
-1905000,-4435000,1.3642e-12,44.8,21.25
-1905000,-4430000,1.5373e-12,44.8,21.25
-1905000,-4425000,1.5254e-12,44.8,21.25
-1905000,-4420000,1.3806e-12,44.8,21.25
-1905000,-4415000,1.6836e-12,44.8,21.25
-1905000,-4410000,1.4239e-12,44.8,21.25
-1905000,-4405000,1.5851e-12,44.8,21.25
-1905000,-4400000,1.3254e-12,44.8,21.25
-1905000,-4395000,1.6075e-12,44.8,21.25
-1905000,-4390000,1.4657e-12,44.8,21.25
-1905000,-4385000,1.3134e-12,44.8,21.25
-1905000,-4380000,1.4925e-12,44.8,21.25
-1905000,-4375000,1.4701e-12,44.8,21.25
-1905000,-4370000,1.4955e-12,44.8,21.25
-1905000,-4365000,1.409e-12,44.8,21.25
-1905000,-4360000,1.1493e-12,44.8,21.25
-1905000,-4355000,1.2507e-12,44.8,21.25
-1905000,-4350000,1.5269e-12,44.8,21.25
-1905000,-4345000,1.5866e-12,44.8,21.25
-1905000,-4340000,1.3687e-12,44.8,21.25
-1905000,-4335000,1.4358e-12,44.8,21.25
-1905000,-4330000,1.5254e-12,44.8,21.25
-1905000,-4325000,1.291e-12,44.8,21.25
-1905000,-4320000,1.4119e-12,44.8,21.25
-1905000,-4315000,1.4866e-12,44.8,21.25
-1905000,-4310000,1.3791e-12,44.8,21.25
-1905000,-4305000,1.3866e-12,44.8,21.25
-1905000,-4300000,1.6e-12,44.8,21.25
-1905000,-4295000,1.6493e-12,44.8,21.25
-1905000,-4290000,1.5731e-12,44.8,21.25
-1905000,-4285000,1.5104e-12,44.8,21.25
-1905000,-4280000,1.3731e-12,44.8,21.25
-1905000,-4275000,1.391e-12,44.8,21.25
-1905000,-4270000,1.4597e-12,44.8,21.25
-1905000,-4265000,1.4552e-12,44.8,21.25
-1905000,-4260000,1.4015e-12,44.8,21.25
-1905000,-4255000,1.5448e-12,44.8,21.25
-1905000,-4250000,1.4522e-12,44.8,21.25
-1905000,-4245000,1.297e-12,44.8,21.25
-1905000,-4240000,1.4612e-12,44.8,21.25
-1905000,-4235000,1.3925e-12,44.8,21.25
-1905000,-4230000,1.4612e-12,44.8,21.25
-1905000,-4225000,1.7403e-12,44.8,21.25
-1905000,-4220000,1.7687e-12,44.8,21.25
-1905000,-4215000,1.594e-12,44.8,21.25
-1905000,-4210000,1.506e-12,44.8,21.25
-1905000,-4205000,1.403e-12,44.8,21.25
-1905000,-4200000,1.5104e-12,44.8,21.25
-1905000,-4195000,1.291e-12,44.8,21.25
-1905000,-4190000,1.6179e-12,44.8,21.25
-1905000,-4185000,1.2507e-12,44.8,21.25
-1905000,-4180000,1.4448e-12,44.8,21.25
-1905000,-4175000,1.4881e-12,44.8,21.25
-1905000,-4170000,1.4045e-12,44.8,21.25
-1905000,-4165000,1.4985e-12,44.8,21.25
-1905000,-4160000,1.4657e-12,44.8,21.25
-1905000,-4155000,1.5149e-12,44.8,21.25
-1905000,-4150000,1.7209e-12,44.8,21.25
-1905000,-4145000,1.5343e-12,44.8,21.25
-1905000,-4140000,1.491e-12,44.8,21.25
-1905000,-4135000,1.2045e-12,44.8,21.25
-1905000,-4130000,1.4388e-12,44.8,21.25
-1905000,-4125000,1.5582e-12,44.8,21.25
-1905000,-4120000,1.4821e-12,44.8,21.25
-1905000,-4115000,1.5597e-12,44.8,21.25
-1905000,-4110000,1.5731e-12,44.8,21.25
-1905000,-4105000,1.5701e-12,44.8,21.25
-1905000,-4100000,1.3164e-12,44.8,21.25
-1905000,-4095000,1.5e-12,44.8,21.25
-1905000,-4090000,1.4836e-12,44.8,21.25
-1905000,-4085000,1.2358e-12,44.8,21.25
-1905000,-4080000,1.5582e-12,44.8,21.25
-1905000,-4075000,1.4463e-12,44.8,21.25
-1905000,-4070000,1.3851e-12,44.8,21.25
-1905000,-4065000,1.609e-12,44.8,21.25
-1905000,-4060000,1.4627e-12,44.8,21.25
-1905000,-4055000,1.3701e-12,44.8,21.25
-1905000,-4050000,1.5418e-12,44.8,21.25
-1905000,-4045000,1.4313e-12,44.8,21.25
-1905000,-4040000,1.6448e-12,44.8,21.25
-1905000,-4035000,1.5582e-12,44.8,21.25
-1905000,-4030000,1.3299e-12,44.8,21.25
-1905000,-4025000,1.4269e-12,44.8,21.25
-1905000,-4020000,1.4836e-12,44.8,21.25
-1905000,-4015000,1.4657e-12,44.8,21.25
-1905000,-4010000,1.5164e-12,44.8,21.25
-1905000,-4005000,1.3567e-12,44.8,21.25
-1905000,-4000000,1.4627e-12,44.8,21.25
-1905000,-3995000,1.5104e-12,44.8,21.25
-1905000,-3990000,1.5821e-12,44.8,21.25
-1905000,-3985000,1.3851e-12,44.8,21.25
-1905000,-3980000,1.4433e-12,44.8,21.25
-1905000,-3975000,1.4627e-12,44.8,21.25
-1905000,-3970000,1.3164e-12,44.8,21.25
-1905000,-3965000,1.4433e-12,44.8,21.25
-1905000,-3960000,1.4582e-12,44.8,21.25
-1905000,-3955000,1.4791e-12,44.8,21.25
-1905000,-3950000,1.4806e-12,44.8,21.25
-1900000,-4650000,1.7104e-12,44.8,21.25
