General parameters:
Start time: 2023             10              2             21              6       11.16551
Finish time: 2023             10              2             22             54       36.39285
Raster type: raster_jump
Horizontal range (nm): -4115999.000000,-4273999.000000
Vertical range (nm): -1175000.000000,-1347000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1200.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.25e-07
Sample chamber pressure: 2.50e-08
Initial position (nm): -3146748.000000,-1279720.000000,-1099999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4115999 -4273999
hori_res:2500
vert_range:-1175000 -1347000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:80
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 80.000000
Filament current (A): 1.540000
Filament emission (mA): 1.350900
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1347000,-4273999,3.0179e-11,43.0,21.25
-1347000,-4271499,3.1154e-11,43.0,21.25
-1347000,-4268999,3.0715e-11,43.0,21.25
-1347000,-4266499,3.0373e-11,43.0,21.25
-1347000,-4263999,3.0567e-11,43.0,21.25
-1347000,-4261499,3.1076e-11,43.0,21.25
-1347000,-4258999,3.014e-11,43.0,21.25
-1347000,-4256499,3.0406e-11,43.0,21.25
-1347000,-4253999,3.0819e-11,43.0,21.25
-1347000,-4251499,2.9666e-11,43.0,21.25
-1347000,-4248999,3.0028e-11,43.0,21.25
-1347000,-4246499,3.1173e-11,43.0,21.25
-1347000,-4243999,3.0333e-11,43.0,21.25
-1347000,-4241499,3.0238e-11,43.0,21.25
-1347000,-4238999,3.0055e-11,43.0,21.25
-1347000,-4236499,3.0225e-11,43.0,21.25
-1347000,-4233999,3.0476e-11,43.0,21.25
-1347000,-4231499,2.9795e-11,43.0,21.25
-1347000,-4228999,3.0023e-11,43.0,21.25
-1347000,-4226499,3.01e-11,43.0,21.25
-1347000,-4223999,3.1334e-11,43.0,21.25
-1347000,-4221499,2.9671e-11,43.0,21.25
-1347000,-4218999,3.0269e-11,43.0,21.25
-1347000,-4216499,3.0671e-11,43.0,21.25
-1347000,-4213999,3.023e-11,43.0,21.25
-1347000,-4211499,2.9801e-11,43.0,21.25
-1347000,-4208999,3.0017e-11,43.0,21.25
-1347000,-4206499,3.1026e-11,43.0,21.25
-1347000,-4203999,2.9309e-11,43.0,21.25
-1347000,-4201499,3.0184e-11,43.0,21.25
-1347000,-4198999,3.0312e-11,43.0,21.25
-1347000,-4196499,2.9969e-11,43.0,21.25
-1347000,-4193999,3.0156e-11,43.0,21.25
-1347000,-4191499,2.9771e-11,43.0,21.25
-1347000,-4188999,3.1369e-11,43.0,21.25
-1347000,-4186499,3.06e-11,43.0,21.25
-1347000,-4183999,3.0288e-11,43.0,21.25
-1347000,-4181499,3.023e-11,43.0,21.25
-1347000,-4178999,3.0894e-11,43.0,21.25
-1347000,-4176499,3.0001e-11,43.0,21.25
-1347000,-4173999,3.038e-11,43.0,21.25
-1347000,-4171499,3.0275e-11,43.0,21.25
-1347000,-4168999,3.039e-11,43.0,21.25
-1347000,-4166499,3.0524e-11,43.0,21.25
-1347000,-4163999,3.055e-11,43.0,21.25
-1347000,-4161499,3.0622e-11,43.0,21.25
-1347000,-4158999,3.0304e-11,43.0,21.25
-1347000,-4156499,3.0114e-11,43.0,21.25
-1347000,-4153999,3.0185e-11,43.0,21.25
-1347000,-4151499,2.9815e-11,43.0,21.25
-1347000,-4148999,3.026e-11,43.0,21.25
-1347000,-4146499,2.9973e-11,43.0,21.25
-1347000,-4143999,2.9885e-11,43.0,21.25
-1347000,-4141499,3.015e-11,43.0,21.25
-1347000,-4138999,3.0928e-11,43.0,21.25
-1347000,-4136499,3.1053e-11,43.0,21.25
-1347000,-4133999,3.1015e-11,NaN,21.25
-1347000,-4131499,3.0278e-11,43.0,21.25
-1347000,-4128999,3.0805e-11,43.0,21.25
-1347000,-4126499,2.9976e-11,43.0,21.25
-1347000,-4123999,2.9607e-11,43.0,21.25
-1347000,-4121499,3.0641e-11,43.0,21.25
-1347000,-4118999,3.111e-11,43.0,21.25
-1347000,-4116499,2.9453e-11,43.0,21.25
-1344500,-4273999,3.0325e-11,43.0,21.25
