General parameters:
Start time: 2023             10              2             22             58      27.097683
Finish time: 2023             10              3              0              6       5.123383
Raster type: raster_jump
Horizontal range (nm): -6934999.000000,-7054999.000000
Vertical range (nm): -1201000.000000,-1321000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1200.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.24e-07
Sample chamber pressure: 2.50e-08
Initial position (nm): -6962321.000000,-1226400.000000,-3900000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-6934999 -7054999
hori_res:2500
vert_range:-1201000 -1321000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:80
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 80.000000
Filament current (A): 1.540000
Filament emission (mA): 1.352610
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1321000,-7054999,2.207e-11,42.8,21.25
-1321000,-7052499,2.1676e-11,42.8,21.25
-1321000,-7049999,2.213e-11,42.8,21.25
-1321000,-7047499,2.2462e-11,42.8,21.25
-1321000,-7044999,2.1273e-11,42.8,21.25
-1321000,-7042499,2.2306e-11,42.8,21.25
-1321000,-7039999,2.1645e-11,42.8,21.25
-1321000,-7037499,2.0638e-11,42.8,21.25
-1321000,-7034999,2.1394e-11,42.8,21.25
-1321000,-7032499,2.0732e-11,42.8,21.25
-1321000,-7029999,2.1801e-11,42.8,21.25
-1321000,-7027499,2.2009e-11,42.8,21.25
-1321000,-7024999,2.1331e-11,42.8,21.25
-1321000,-7022499,2.1601e-11,42.8,21.25
-1321000,-7019999,2.1609e-11,42.8,21.25
-1321000,-7017499,2.2805e-11,42.8,21.25
-1321000,-7014999,2.2163e-11,42.8,21.25
-1321000,-7012499,2.184e-11,42.8,21.25
-1321000,-7009999,2.1771e-11,42.8,21.25
-1321000,-7007499,2.2014e-11,42.8,21.25
-1321000,-7004999,2.228e-11,42.8,21.25
-1321000,-7002499,2.1021e-11,42.8,21.25
-1321000,-6999999,2.1263e-11,42.8,21.25
-1321000,-6997499,2.1169e-11,42.8,21.25
-1321000,-6994999,2.1358e-11,42.8,21.25
-1321000,-6992499,2.1433e-11,42.8,21.25
-1321000,-6989999,2.1804e-11,42.8,21.25
-1321000,-6987499,2.2465e-11,42.8,21.25
-1321000,-6984999,2.1755e-11,42.8,21.25
-1321000,-6982499,2.205e-11,42.8,21.25
-1321000,-6979999,2.2694e-11,42.8,21.25
-1321000,-6977499,2.1426e-11,42.8,21.25
-1321000,-6974999,2.2074e-11,42.8,21.25
-1321000,-6972499,2.1649e-11,42.8,21.25
-1321000,-6969999,2.1954e-11,42.8,21.25
-1321000,-6967499,2.164e-11,42.8,21.25
-1321000,-6964999,2.2208e-11,42.8,21.25
-1321000,-6962499,2.1484e-11,42.8,21.25
-1321000,-6959999,2.1997e-11,42.8,21.25
-1321000,-6957499,2.2159e-11,42.8,21.25
-1321000,-6954999,2.1201e-11,42.8,21.25
-1321000,-6952499,2.1378e-11,42.8,21.25
-1321000,-6949999,2.132e-11,42.8,21.25
-1321000,-6947499,2.1747e-11,42.8,21.25
-1321000,-6944999,2.1746e-11,42.8,21.25
-1321000,-6942499,2.1856e-11,42.8,21.25
-1321000,-6939999,2.1881e-11,42.8,21.25
-1321000,-6937499,2.2109e-11,42.8,21.25
-1321000,-6934999,2.2309e-11,42.8,21.25
-1318500,-7054999,2.2569e-11,42.8,21.25
-1318500,-7052499,2.2088e-11,42.8,21.25
-1318500,-7049999,2.1914e-11,42.8,21.25
-1318500,-7047499,2.2306e-11,42.8,21.25
-1318500,-7044999,2.2505e-11,42.8,21.25
-1318500,-7042499,2.221e-11,42.8,21.25
-1318500,-7039999,2.1814e-11,42.8,21.25
-1318500,-7037499,2.2838e-11,42.8,21.25
-1318500,-7034999,2.2229e-11,42.8,21.25
-1318500,-7032499,2.1859e-11,42.8,21.25
-1318500,-7029999,2.1186e-11,42.8,21.25
-1318500,-7027499,2.086e-11,42.8,21.25
-1318500,-7024999,2.2039e-11,42.8,21.25
-1318500,-7022499,2.2384e-11,42.8,21.25
-1318500,-7019999,2.1624e-11,42.8,21.25
-1318500,-7017499,2.151e-11,42.8,21.25
-1318500,-7014999,2.2012e-11,42.8,21.25
-1318500,-7012499,2.1812e-11,42.8,21.25
-1318500,-7009999,2.1649e-11,42.8,21.25
-1318500,-7007499,2.1744e-11,42.8,21.25
-1318500,-7004999,2.1391e-11,42.8,21.25
-1318500,-7002499,2.1564e-11,42.8,21.25
-1318500,-6999999,2.2913e-11,42.8,21.25
-1318500,-6997499,2.1992e-11,42.8,21.25
-1318500,-6994999,2.1652e-11,42.8,21.25
-1318500,-6992499,2.2613e-11,42.8,21.25
-1318500,-6989999,2.2368e-11,42.8,21.25
-1318500,-6987499,2.1626e-11,42.8,21.25
-1318500,-6984999,2.16e-11,42.8,21.25
-1318500,-6982499,2.2209e-11,42.8,21.25
-1318500,-6979999,2.2024e-11,42.8,21.25
-1318500,-6977499,2.2236e-11,42.8,21.25
-1318500,-6974999,2.2182e-11,42.8,21.25
-1318500,-6972499,2.1855e-11,42.8,21.25
-1318500,-6969999,2.1731e-11,42.8,21.25
