General parameters:
Start time: 2023             10              3              1              8       31.08651
Finish time: 2023             10              3              1             23      10.436523
Raster type: raster_jump
Horizontal range (nm): -6934999.000000,-7054999.000000
Vertical range (nm): -1201000.000000,-1321000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 900.000000
Source chamber pressure: Error-S
Differential chamber pressure: 5.21e-07
Sample chamber pressure: 3.03e-08
Initial position (nm): -6934967.000000,-1201000.000000,-3900000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-6934999 -7054999
hori_res:5000
vert_range:-1201000 -1321000
vert_res:5000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:60
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 60.000000
Filament current (A): 1.540000
Filament emission (mA): 1.341324
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1321000,-7054999,2.2632e-11,42.6,21.25
-1321000,-7049999,2.245e-11,42.6,21.25
-1321000,-7044999,2.3157e-11,42.6,21.25
-1321000,-7039999,2.1568e-11,42.6,21.25
-1321000,-7034999,2.2922e-11,42.6,21.25
-1321000,-7029999,2.1692e-11,42.6,21.25
-1321000,-7024999,2.229e-11,42.6,21.25
-1321000,-7019999,2.2453e-11,42.6,21.25
-1321000,-7014999,2.1332e-11,42.6,21.25
-1321000,-7009999,2.2775e-11,42.6,21.25
-1321000,-7004999,2.311e-11,42.6,21.25
-1321000,-6999999,2.1612e-11,42.6,21.25
-1321000,-6994999,2.2115e-11,42.6,21.25
-1321000,-6989999,2.249e-11,42.6,21.25
-1321000,-6984999,2.2235e-11,42.6,21.25
-1321000,-6979999,2.2357e-11,42.6,21.25
-1321000,-6974999,2.111e-11,42.6,21.25
-1321000,-6969999,2.2047e-11,42.6,21.25
-1321000,-6964999,2.1455e-11,42.6,21.25
-1321000,-6959999,2.1098e-11,42.6,21.25
-1321000,-6954999,2.1562e-11,42.6,21.25
-1321000,-6949999,2.2357e-11,42.6,21.25
-1321000,-6944999,2.2188e-11,42.6,21.25
-1321000,-6939999,2.1927e-11,42.6,21.25
-1321000,-6934999,2.2e-11,42.6,21.25
-1316000,-7054999,2.0977e-11,42.6,21.25
-1316000,-7049999,2.1567e-11,42.6,21.25
