General parameters:
Start time: 2023             10              3             15             51      33.096853
Finish time: 2023             10              3             17             18      54.690661
Raster type: raster_jump
Horizontal range (nm): -3944999.000000,-4244999.000000
Vertical range (nm): -1111000.000000,-1411000.000000
Horizontal pixel size (nm): 5000.000000
Vertical pixel size (nm): 5000.000000
Dwell time (ms): 900.000000
Source chamber pressure: Error-S
Differential chamber pressure: 3.87e-07
Sample chamber pressure: 2.33e-08
Initial position (nm): -6934987.000000,-1201000.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3944999 -4244999
hori_res:5000
vert_range:-1111000 -1411000
vert_res:5000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:60
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 60.000000
Filament current (A): 1.540000
Filament emission (mA): 1.458630
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1411000,-4244999,3.3852e-11,31.3,21.25
-1411000,-4239999,3.6628e-11,31.3,21.25
-1411000,-4234999,3.564e-11,31.2,21.25
-1411000,-4229999,3.7318e-11,31.2,21.25
-1411000,-4224999,3.9637e-11,31.2,21.25
-1411000,-4219999,8.3728e-11,31.2,21.25
-1411000,-4214999,4.3143e-11,31.2,21.25
-1411000,-4209999,3.6002e-11,31.2,21.25
-1411000,-4204999,3.758e-11,31.2,21.25
-1411000,-4199999,3.6963e-11,31.2,21.25
-1411000,-4194999,3.572e-11,31.1,21.25
-1411000,-4189999,3.6142e-11,31.1,21.25
-1411000,-4184999,3.5758e-11,31.1,21.25
-1411000,-4179999,3.7543e-11,31.1,21.25
-1411000,-4174999,1.908e-10,31.1,21.25
-1411000,-4169999,2.4294e-10,31.1,21.25
-1411000,-4164999,2.8219e-10,31.1,21.25
-1411000,-4159999,2.691e-10,31.1,21.25
-1411000,-4154999,7.7217e-11,31.1,21.25
-1411000,-4149999,3.9383e-11,31.1,21.25
-1411000,-4144999,3.6935e-11,31.0,21.25
-1411000,-4139999,4.3497e-11,31.0,21.25
-1411000,-4134999,5.3088e-11,56.6,21.25
-1411000,-4129999,5.3692e-11,61.2,21.25
-1411000,-4124999,5.1632e-11,65.4,21.25
-1411000,-4119999,5.38e-11,66.5,21.25
-1411000,-4114999,5.5282e-11,66.8,21.25
-1411000,-4109999,5.3875e-11,66.8,21.25
-1411000,-4104999,5.4293e-11,66.8,21.25
-1411000,-4099999,5.2452e-11,66.8,21.25
-1411000,-4094999,5.2355e-11,66.7,21.25
