General parameters:
Start time: 2023             10              4             14              6      46.944694
Finish time: 2023             10              4             15             11        4.39786
Raster type: raster_jump
Horizontal range (nm): -3657958.450000,-3507958.450000
Vertical range (nm): -1333483.600000,-1183483.600000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.66e-07
Sample chamber pressure: 2.80e-08
Initial position (nm): -3133734.000000,-1277982.000000,-500000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3657958.45       -3507958.45
hori_res:3000
vert_range:-1333483.6        -1183483.6
vert_res:3000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.470942
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.333484e+06,-3.657958e+06,5.421e-11,63.3,21.25
-1.333484e+06,-3.654958e+06,5.387e-11,63.3,21.25
-1.333484e+06,-3.651958e+06,5.3763e-11,63.3,21.25
-1.333484e+06,-3.648958e+06,5.4399e-11,63.3,21.25
-1.333484e+06,-3.645958e+06,5.5327e-11,63.3,21.25
-1.333484e+06,-3.642958e+06,5.2225e-11,63.3,21.25
-1.333484e+06,-3.639958e+06,5.3785e-11,63.3,21.25
-1.333484e+06,-3.636958e+06,5.5307e-11,63.3,21.25
-1.333484e+06,-3.633958e+06,5.5673e-11,63.3,21.25
-1.333484e+06,-3.630958e+06,5.4339e-11,63.3,21.25
-1.333484e+06,-3.627958e+06,5.3585e-11,63.3,21.25
-1.333484e+06,-3.624958e+06,5.3587e-11,63.3,21.25
-1.333484e+06,-3.621958e+06,5.1496e-11,63.3,21.25
-1.333484e+06,-3.618958e+06,5.3797e-11,63.3,21.25
-1.333484e+06,-3.615958e+06,5.4488e-11,63.3,21.25
-1.333484e+06,-3.612958e+06,5.3255e-11,63.3,21.25
-1.333484e+06,-3.609958e+06,5.4716e-11,63.3,21.25
-1.333484e+06,-3.606958e+06,5.441e-11,63.3,21.25
-1.333484e+06,-3.603958e+06,5.3281e-11,63.3,21.25
-1.333484e+06,-3.600958e+06,5.3131e-11,63.3,21.25
-1.333484e+06,-3.597958e+06,5.401e-11,63.3,21.25
-1.333484e+06,-3.594958e+06,5.2846e-11,63.3,21.25
-1.333484e+06,-3.591958e+06,5.379e-11,63.3,21.25
-1.333484e+06,-3.588958e+06,5.3904e-11,63.3,21.25
-1.333484e+06,-3.585958e+06,5.2622e-11,63.3,21.25
-1.333484e+06,-3.582958e+06,5.4394e-11,63.3,21.25
-1.333484e+06,-3.579958e+06,5.4406e-11,63.3,21.25
-1.333484e+06,-3.576958e+06,5.406e-11,63.3,21.25
-1.333484e+06,-3.573958e+06,5.3885e-11,63.3,21.25
-1.333484e+06,-3.570958e+06,5.4487e-11,63.3,21.25
-1.333484e+06,-3.567958e+06,5.4721e-11,63.3,21.25
-1.333484e+06,-3.564958e+06,5.41e-11,63.3,21.25
-1.333484e+06,-3.561958e+06,5.4063e-11,63.3,21.25
-1.333484e+06,-3.558958e+06,5.4036e-11,63.3,21.25
-1.333484e+06,-3.555958e+06,5.4622e-11,63.3,21.25
-1.333484e+06,-3.552958e+06,5.2612e-11,63.3,21.25
-1.333484e+06,-3.549958e+06,5.3782e-11,63.3,21.25
-1.333484e+06,-3.546958e+06,5.4246e-11,63.3,21.25
-1.333484e+06,-3.543958e+06,5.3684e-11,63.3,21.25
-1.333484e+06,-3.540958e+06,5.4849e-11,63.3,21.25
-1.333484e+06,-3.537958e+06,5.3691e-11,63.3,21.25
-1.333484e+06,-3.534958e+06,5.3113e-11,63.3,21.25
-1.333484e+06,-3.531958e+06,5.4263e-11,63.3,21.25
-1.333484e+06,-3.528958e+06,5.3507e-11,63.3,21.25
-1.333484e+06,-3.525958e+06,5.3969e-11,63.3,21.25
-1.333484e+06,-3.522958e+06,5.3375e-11,63.3,21.25
-1.333484e+06,-3.519958e+06,5.4282e-11,63.3,21.25
-1.333484e+06,-3.516958e+06,5.3349e-11,63.3,21.25
-1.333484e+06,-3.513958e+06,5.3891e-11,63.3,21.25
-1.333484e+06,-3.510958e+06,5.3499e-11,63.3,21.25
-1.333484e+06,-3.507958e+06,5.5367e-11,63.3,21.25
-1.330484e+06,-3.657958e+06,5.5007e-11,63.3,21.25
-1.330484e+06,-3.654958e+06,5.3416e-11,63.3,21.25
-1.330484e+06,-3.651958e+06,5.3443e-11,63.3,21.25
-1.330484e+06,-3.648958e+06,5.3645e-11,63.3,21.25
-1.330484e+06,-3.645958e+06,5.3733e-11,63.3,21.25
-1.330484e+06,-3.642958e+06,5.1779e-11,63.3,21.25
-1.330484e+06,-3.639958e+06,5.3994e-11,63.3,21.25
-1.330484e+06,-3.636958e+06,5.3967e-11,63.3,21.25
-1.330484e+06,-3.633958e+06,5.3358e-11,63.3,21.25
-1.330484e+06,-3.630958e+06,5.3867e-11,63.3,21.25
-1.330484e+06,-3.627958e+06,5.5342e-11,63.3,21.25
-1.330484e+06,-3.624958e+06,5.3982e-11,63.3,21.25
-1.330484e+06,-3.621958e+06,5.3201e-11,63.3,21.25
-1.330484e+06,-3.618958e+06,5.4443e-11,63.3,21.25
-1.330484e+06,-3.615958e+06,5.3228e-11,63.3,21.25
-1.330484e+06,-3.612958e+06,5.3736e-11,63.3,21.25
-1.330484e+06,-3.609958e+06,5.471e-11,63.3,21.25
-1.330484e+06,-3.606958e+06,5.3963e-11,63.3,21.25
-1.330484e+06,-3.603958e+06,5.2124e-11,63.3,21.25
-1.330484e+06,-3.600958e+06,5.5284e-11,63.3,21.25
-1.330484e+06,-3.597958e+06,5.2591e-11,63.3,21.25
-1.330484e+06,-3.594958e+06,5.3407e-11,63.3,21.25
-1.330484e+06,-3.591958e+06,5.4419e-11,63.3,21.25
-1.330484e+06,-3.588958e+06,5.4079e-11,63.3,21.25
-1.330484e+06,-3.585958e+06,5.4207e-11,63.3,21.25
-1.330484e+06,-3.582958e+06,5.3903e-11,63.4,21.25
-1.330484e+06,-3.579958e+06,5.354e-11,63.4,21.25
-1.330484e+06,-3.576958e+06,5.493e-11,63.4,21.25
-1.330484e+06,-3.573958e+06,5.3994e-11,63.4,21.25
-1.330484e+06,-3.570958e+06,5.4207e-11,63.4,21.25
-1.330484e+06,-3.567958e+06,5.441e-11,63.4,21.25
-1.330484e+06,-3.564958e+06,5.313e-11,63.4,21.25
-1.330484e+06,-3.561958e+06,5.3939e-11,63.4,21.25
-1.330484e+06,-3.558958e+06,5.4597e-11,63.4,21.25
-1.330484e+06,-3.555958e+06,5.4397e-11,63.4,21.25
-1.330484e+06,-3.552958e+06,5.4876e-11,63.4,21.25
-1.330484e+06,-3.549958e+06,5.4079e-11,63.4,21.25
-1.330484e+06,-3.546958e+06,5.431e-11,63.4,21.25
-1.330484e+06,-3.543958e+06,5.3273e-11,63.4,21.25
-1.330484e+06,-3.540958e+06,5.4176e-11,63.4,21.25
-1.330484e+06,-3.537958e+06,5.3981e-11,63.4,21.25
-1.330484e+06,-3.534958e+06,5.4288e-11,63.4,21.25
-1.330484e+06,-3.531958e+06,5.5446e-11,63.4,21.25
-1.330484e+06,-3.528958e+06,5.3422e-11,63.4,21.25
-1.330484e+06,-3.525958e+06,5.3661e-11,63.4,21.25
-1.330484e+06,-3.522958e+06,5.3748e-11,63.4,21.25
-1.330484e+06,-3.519958e+06,5.4958e-11,63.4,21.25
-1.330484e+06,-3.516958e+06,5.4069e-11,63.4,21.25
-1.330484e+06,-3.513958e+06,5.3543e-11,63.4,21.25
-1.330484e+06,-3.510958e+06,5.3257e-11,63.4,21.25
-1.330484e+06,-3.507958e+06,5.4119e-11,63.4,21.25
-1.327484e+06,-3.657958e+06,5.3516e-11,63.4,21.25
-1.327484e+06,-3.654958e+06,5.3981e-11,63.4,21.25
-1.327484e+06,-3.651958e+06,5.3697e-11,63.4,21.25
-1.327484e+06,-3.648958e+06,5.3537e-11,63.4,21.25
-1.327484e+06,-3.645958e+06,5.3704e-11,63.4,21.25
-1.327484e+06,-3.642958e+06,5.5188e-11,63.4,21.25
-1.327484e+06,-3.639958e+06,5.4387e-11,63.4,21.25
-1.327484e+06,-3.636958e+06,5.5336e-11,63.4,21.25
-1.327484e+06,-3.633958e+06,5.3521e-11,63.4,21.25
-1.327484e+06,-3.630958e+06,5.5001e-11,63.4,21.25
-1.327484e+06,-3.627958e+06,5.3354e-11,63.4,21.25
-1.327484e+06,-3.624958e+06,5.3354e-11,63.4,21.25
-1.327484e+06,-3.621958e+06,5.5045e-11,63.4,21.25
-1.327484e+06,-3.618958e+06,5.4575e-11,63.4,21.25
-1.327484e+06,-3.615958e+06,5.3724e-11,63.4,21.25
-1.327484e+06,-3.612958e+06,5.4261e-11,63.4,21.25
-1.327484e+06,-3.609958e+06,5.3173e-11,63.4,21.25
-1.327484e+06,-3.606958e+06,5.4616e-11,63.4,21.25
-1.327484e+06,-3.603958e+06,5.4167e-11,63.4,21.25
-1.327484e+06,-3.600958e+06,5.4375e-11,63.4,21.25
-1.327484e+06,-3.597958e+06,5.5967e-11,63.4,21.25
-1.327484e+06,-3.594958e+06,5.4037e-11,63.4,21.25
-1.327484e+06,-3.591958e+06,5.4158e-11,63.4,21.25
-1.327484e+06,-3.588958e+06,5.3707e-11,63.4,21.25
-1.327484e+06,-3.585958e+06,5.4601e-11,63.4,21.25
-1.327484e+06,-3.582958e+06,5.3769e-11,63.4,21.25
-1.327484e+06,-3.579958e+06,5.3973e-11,63.4,21.25
-1.327484e+06,-3.576958e+06,5.4627e-11,63.4,21.25
-1.327484e+06,-3.573958e+06,5.3757e-11,63.4,21.25
-1.327484e+06,-3.570958e+06,5.4682e-11,63.4,21.25
-1.327484e+06,-3.567958e+06,5.3891e-11,63.4,21.25
-1.327484e+06,-3.564958e+06,5.4252e-11,63.4,21.25
-1.327484e+06,-3.561958e+06,5.3909e-11,63.4,21.25
-1.327484e+06,-3.558958e+06,5.4479e-11,63.4,21.25
-1.327484e+06,-3.555958e+06,5.3661e-11,63.4,21.25
-1.327484e+06,-3.552958e+06,5.4667e-11,63.4,21.25
-1.327484e+06,-3.549958e+06,5.3107e-11,63.4,21.25
-1.327484e+06,-3.546958e+06,5.5343e-11,63.4,21.25
-1.327484e+06,-3.543958e+06,5.31e-11,63.4,21.25
-1.327484e+06,-3.540958e+06,5.3484e-11,63.4,21.25
-1.327484e+06,-3.537958e+06,5.4933e-11,63.4,21.25
-1.327484e+06,-3.534958e+06,5.463e-11,63.4,21.25
-1.327484e+06,-3.531958e+06,5.3903e-11,63.4,21.25
-1.327484e+06,-3.528958e+06,5.3637e-11,63.4,21.25
-1.327484e+06,-3.525958e+06,5.4676e-11,63.4,21.25
-1.327484e+06,-3.522958e+06,5.4546e-11,63.4,21.25
-1.327484e+06,-3.519958e+06,5.3975e-11,63.4,21.25
-1.327484e+06,-3.516958e+06,5.4328e-11,63.4,21.25
-1.327484e+06,-3.513958e+06,5.3636e-11,63.4,21.25
-1.327484e+06,-3.510958e+06,5.5387e-11,63.4,21.25
-1.327484e+06,-3.507958e+06,5.2919e-11,63.4,21.25
-1.324484e+06,-3.657958e+06,5.439e-11,63.4,21.25
-1.324484e+06,-3.654958e+06,5.2981e-11,63.4,21.25
-1.324484e+06,-3.651958e+06,5.401e-11,63.4,21.25
-1.324484e+06,-3.648958e+06,5.2827e-11,63.4,21.25
-1.324484e+06,-3.645958e+06,5.4009e-11,63.4,21.25
-1.324484e+06,-3.642958e+06,5.321e-11,63.4,21.25
-1.324484e+06,-3.639958e+06,5.4422e-11,63.4,21.25
-1.324484e+06,-3.636958e+06,5.4222e-11,63.4,21.25
-1.324484e+06,-3.633958e+06,5.3267e-11,63.4,21.25
-1.324484e+06,-3.630958e+06,5.4855e-11,63.4,21.25
-1.324484e+06,-3.627958e+06,5.5936e-11,63.4,21.25
-1.324484e+06,-3.624958e+06,5.3333e-11,63.4,21.25
-1.324484e+06,-3.621958e+06,5.3084e-11,63.4,21.25
-1.324484e+06,-3.618958e+06,5.4152e-11,63.4,21.25
-1.324484e+06,-3.615958e+06,5.3106e-11,63.4,21.25
-1.324484e+06,-3.612958e+06,5.3352e-11,63.4,21.25
-1.324484e+06,-3.609958e+06,5.317e-11,63.4,21.25
-1.324484e+06,-3.606958e+06,5.4339e-11,63.4,21.25
-1.324484e+06,-3.603958e+06,5.4809e-11,63.4,21.25
-1.324484e+06,-3.600958e+06,5.2146e-11,63.4,21.25
-1.324484e+06,-3.597958e+06,5.3918e-11,63.4,21.25
-1.324484e+06,-3.594958e+06,5.3548e-11,63.4,21.25
-1.324484e+06,-3.591958e+06,5.3388e-11,63.4,21.25
-1.324484e+06,-3.588958e+06,5.3091e-11,63.4,21.25
-1.324484e+06,-3.585958e+06,5.4022e-11,63.4,21.25
-1.324484e+06,-3.582958e+06,5.3661e-11,63.4,21.25
-1.324484e+06,-3.579958e+06,5.4748e-11,63.4,21.25
-1.324484e+06,-3.576958e+06,5.3143e-11,63.4,21.25
-1.324484e+06,-3.573958e+06,5.3985e-11,63.4,21.25
-1.324484e+06,-3.570958e+06,5.3115e-11,63.4,21.25
-1.324484e+06,-3.567958e+06,5.4243e-11,63.4,21.25
-1.324484e+06,-3.564958e+06,5.3457e-11,63.4,21.25
-1.324484e+06,-3.561958e+06,5.316e-11,63.4,21.25
-1.324484e+06,-3.558958e+06,5.4613e-11,63.4,21.25
-1.324484e+06,-3.555958e+06,5.3372e-11,63.4,21.25
-1.324484e+06,-3.552958e+06,5.3487e-11,63.4,21.25
-1.324484e+06,-3.549958e+06,5.2772e-11,63.4,21.25
-1.324484e+06,-3.546958e+06,5.3639e-11,63.4,21.25
-1.324484e+06,-3.543958e+06,5.484e-11,63.4,21.25
-1.324484e+06,-3.540958e+06,5.3196e-11,63.4,21.25
-1.324484e+06,-3.537958e+06,5.4885e-11,63.4,21.25
-1.324484e+06,-3.534958e+06,5.4676e-11,63.4,21.25
-1.324484e+06,-3.531958e+06,5.3042e-11,63.4,21.25
-1.324484e+06,-3.528958e+06,5.3666e-11,63.4,21.25
-1.324484e+06,-3.525958e+06,5.4773e-11,63.4,21.25
-1.324484e+06,-3.522958e+06,5.414e-11,63.4,21.25
-1.324484e+06,-3.519958e+06,5.4254e-11,63.4,21.25
-1.324484e+06,-3.516958e+06,5.2334e-11,63.4,21.25
-1.324484e+06,-3.513958e+06,5.4339e-11,63.4,21.25
-1.324484e+06,-3.510958e+06,5.3751e-11,63.4,21.25
-1.324484e+06,-3.507958e+06,5.2967e-11,63.4,21.25
-1.321484e+06,-3.657958e+06,5.3115e-11,63.4,21.25
-1.321484e+06,-3.654958e+06,5.3367e-11,63.4,21.25
-1.321484e+06,-3.651958e+06,5.3242e-11,63.4,21.25
-1.321484e+06,-3.648958e+06,5.4094e-11,63.4,21.25
-1.321484e+06,-3.645958e+06,5.4658e-11,63.4,21.25
-1.321484e+06,-3.642958e+06,5.4024e-11,63.4,21.25
-1.321484e+06,-3.639958e+06,5.3243e-11,63.4,21.25
-1.321484e+06,-3.636958e+06,5.3434e-11,63.4,21.25
-1.321484e+06,-3.633958e+06,5.3515e-11,63.4,21.25
-1.321484e+06,-3.630958e+06,5.3282e-11,63.4,21.25
-1.321484e+06,-3.627958e+06,5.3827e-11,63.4,21.25
-1.321484e+06,-3.624958e+06,5.4069e-11,63.4,21.25
-1.321484e+06,-3.621958e+06,5.4125e-11,63.4,21.25
-1.321484e+06,-3.618958e+06,5.3622e-11,63.4,21.25
-1.321484e+06,-3.615958e+06,5.5787e-11,63.4,21.25
-1.321484e+06,-3.612958e+06,5.3764e-11,63.4,21.25
-1.321484e+06,-3.609958e+06,5.273e-11,63.4,21.25
-1.321484e+06,-3.606958e+06,5.4399e-11,63.4,21.25
-1.321484e+06,-3.603958e+06,5.4318e-11,63.4,21.25
-1.321484e+06,-3.600958e+06,5.3199e-11,63.4,21.25
-1.321484e+06,-3.597958e+06,5.4085e-11,63.4,21.25
-1.321484e+06,-3.594958e+06,5.304e-11,63.4,21.25
