General parameters:
Start time: 2023             10              4             15             11      26.782477
Finish time: 2023             10              4             16             16        0.31293
Raster type: raster_jump
Horizontal range (nm): -4648041.550000,-4498041.550000
Vertical range (nm): -1326516.400000,-1176516.400000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.65e-07
Sample chamber pressure: 2.64e-08
Initial position (nm): -3507958.000000,-1183480.000000,-1500000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4648041.55       -4498041.55
hori_res:3000
vert_range:-1326516.4        -1176516.4
vert_res:3000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.470258
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.326516e+06,-4.648042e+06,5.2218e-11,63.3,21.25
-1.326516e+06,-4.645042e+06,5.2575e-11,63.3,21.25
-1.326516e+06,-4.642042e+06,5.1904e-11,63.3,21.25
-1.326516e+06,-4.639042e+06,5.1937e-11,63.3,21.25
-1.326516e+06,-4.636042e+06,5.2864e-11,63.3,21.25
-1.326516e+06,-4.633042e+06,5.2506e-11,63.3,21.25
-1.326516e+06,-4.630042e+06,5.1807e-11,63.3,21.25
-1.326516e+06,-4.627042e+06,5.2866e-11,63.3,21.25
-1.326516e+06,-4.624042e+06,5.1791e-11,63.3,21.25
-1.326516e+06,-4.621042e+06,5.1757e-11,63.3,21.25
-1.326516e+06,-4.618042e+06,5.3915e-11,63.3,21.25
-1.326516e+06,-4.615042e+06,5.2451e-11,63.3,21.25
-1.326516e+06,-4.612042e+06,5.3475e-11,63.3,21.25
-1.326516e+06,-4.609042e+06,5.2607e-11,63.3,21.25
-1.326516e+06,-4.606042e+06,5.0979e-11,63.3,21.25
-1.326516e+06,-4.603042e+06,5.2542e-11,63.3,21.25
-1.326516e+06,-4.600042e+06,5.0482e-11,63.3,21.25
-1.326516e+06,-4.597042e+06,5.1678e-11,63.3,21.25
-1.326516e+06,-4.594042e+06,5.0975e-11,63.3,21.25
-1.326516e+06,-4.591042e+06,5.111e-11,63.3,21.25
-1.326516e+06,-4.588042e+06,5.3039e-11,63.3,21.25
-1.326516e+06,-4.585042e+06,5.1324e-11,63.3,21.25
-1.326516e+06,-4.582042e+06,5.1927e-11,63.3,21.25
-1.326516e+06,-4.579042e+06,5.1937e-11,63.3,21.25
-1.326516e+06,-4.576042e+06,5.1737e-11,63.3,21.25
-1.326516e+06,-4.573042e+06,5.2961e-11,63.3,21.25
-1.326516e+06,-4.570042e+06,5.1488e-11,63.3,21.25
-1.326516e+06,-4.567042e+06,5.2999e-11,63.3,21.25
-1.326516e+06,-4.564042e+06,5.1078e-11,63.3,21.25
-1.326516e+06,-4.561042e+06,5.2137e-11,63.3,21.25
-1.326516e+06,-4.558042e+06,5.1879e-11,63.3,21.25
-1.326516e+06,-4.555042e+06,5.1013e-11,63.3,21.25
-1.326516e+06,-4.552042e+06,5.3013e-11,63.3,21.25
-1.326516e+06,-4.549042e+06,5.2476e-11,63.3,21.25
-1.326516e+06,-4.546042e+06,5.2034e-11,63.3,21.25
-1.326516e+06,-4.543042e+06,5.1407e-11,63.3,21.25
-1.326516e+06,-4.540042e+06,5.2575e-11,63.3,21.25
-1.326516e+06,-4.537042e+06,5.2801e-11,63.3,21.25
-1.326516e+06,-4.534042e+06,5.1364e-11,63.3,21.25
-1.326516e+06,-4.531042e+06,5.2622e-11,63.3,21.25
-1.326516e+06,-4.528042e+06,5.3618e-11,63.3,21.25
-1.326516e+06,-4.525042e+06,5.2303e-11,63.3,21.25
-1.326516e+06,-4.522042e+06,5.3236e-11,63.3,21.25
-1.326516e+06,-4.519042e+06,5.2578e-11,63.3,21.25
-1.326516e+06,-4.516042e+06,5.2125e-11,63.3,21.25
-1.326516e+06,-4.513042e+06,5.2449e-11,63.3,21.25
-1.326516e+06,-4.510042e+06,5.2233e-11,63.3,21.25
-1.326516e+06,-4.507042e+06,5.1888e-11,63.3,21.25
-1.326516e+06,-4.504042e+06,5.2785e-11,63.3,21.25
-1.326516e+06,-4.501042e+06,5.2476e-11,63.3,21.25
