General parameters:
Start time: 2023             10              4             16             16       22.73003
Finish time: 2023             10              4             17             21      17.195555
Raster type: raster_jump
Horizontal range (nm): -5638124.650000,-5488124.650000
Vertical range (nm): -1319549.200000,-1169549.200000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.64e-07
Sample chamber pressure: 2.60e-08
Initial position (nm): -4498072.000000,-1176513.000000,-2500000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-5638124.65       -5488124.65
hori_res:3000
vert_range:-1319549.2        -1169549.2
vert_res:3000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.479834
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.319549e+06,-5.638125e+06,4.8058e-11,63.2,21.25
-1.319549e+06,-5.635125e+06,4.717e-11,63.2,21.25
-1.319549e+06,-5.632125e+06,4.7039e-11,63.2,21.25
-1.319549e+06,-5.629125e+06,4.6282e-11,63.2,21.25
-1.319549e+06,-5.626125e+06,4.6306e-11,63.2,21.25
-1.319549e+06,-5.623125e+06,4.7597e-11,63.2,21.25
-1.319549e+06,-5.620125e+06,4.8231e-11,63.2,21.25
-1.319549e+06,-5.617125e+06,4.8115e-11,63.2,21.25
-1.319549e+06,-5.614125e+06,4.7081e-11,63.2,21.25
-1.319549e+06,-5.611125e+06,4.5678e-11,63.2,21.25
-1.319549e+06,-5.608125e+06,4.7618e-11,63.2,21.25
-1.319549e+06,-5.605125e+06,4.7658e-11,63.2,21.25
-1.319549e+06,-5.602125e+06,4.7631e-11,63.2,21.25
-1.319549e+06,-5.599125e+06,4.6651e-11,63.2,21.25
-1.319549e+06,-5.596125e+06,4.8261e-11,63.2,21.25
-1.319549e+06,-5.593125e+06,4.7457e-11,63.2,21.25
-1.319549e+06,-5.590125e+06,4.8558e-11,63.2,21.25
-1.319549e+06,-5.587125e+06,4.8463e-11,63.2,21.25
-1.319549e+06,-5.584125e+06,4.7579e-11,63.2,21.25
-1.319549e+06,-5.581125e+06,4.7204e-11,63.2,21.25
-1.319549e+06,-5.578125e+06,4.594e-11,63.2,21.25
-1.319549e+06,-5.575125e+06,4.7061e-11,63.2,21.25
-1.319549e+06,-5.572125e+06,4.7182e-11,63.2,21.25
-1.319549e+06,-5.569125e+06,4.7328e-11,63.2,21.25
-1.319549e+06,-5.566125e+06,4.7287e-11,63.2,21.25
-1.319549e+06,-5.563125e+06,4.7181e-11,63.2,21.25
-1.319549e+06,-5.560125e+06,4.6666e-11,63.2,21.25
-1.319549e+06,-5.557125e+06,4.8615e-11,63.2,21.25
-1.319549e+06,-5.554125e+06,4.8252e-11,63.2,21.25
-1.319549e+06,-5.551125e+06,4.7513e-11,63.2,21.25
-1.319549e+06,-5.548125e+06,4.8287e-11,63.2,21.25
-1.319549e+06,-5.545125e+06,4.7709e-11,63.2,21.25
-1.319549e+06,-5.542125e+06,4.806e-11,63.2,21.25
-1.319549e+06,-5.539125e+06,4.6972e-11,63.2,21.25
-1.319549e+06,-5.536125e+06,4.7122e-11,63.2,21.25
-1.319549e+06,-5.533125e+06,4.7515e-11,63.2,21.25
-1.319549e+06,-5.530125e+06,4.7624e-11,63.2,21.25
-1.319549e+06,-5.527125e+06,4.6455e-11,63.2,21.25
-1.319549e+06,-5.524125e+06,4.8166e-11,63.2,21.25
-1.319549e+06,-5.521125e+06,4.7009e-11,63.2,21.25
