General parameters:
Start time: 2023             10              4             17             21      39.612115
Finish time: 2023             10              4             18             26      35.078656
Raster type: raster_jump
Horizontal range (nm): -6133166.200000,-5983166.200000
Vertical range (nm): -1316065.600000,-1166065.600000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.64e-07
Sample chamber pressure: 2.56e-08
Initial position (nm): -5488142.000000,-1169549.000000,-3000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-6133166.2        -5983166.2
hori_res:3000
vert_range:-1316065.6        -1166065.6
vert_res:3000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.485306
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.316066e+06,-6.133166e+06,4.406e-11,63.2,21.25
-1.316066e+06,-6.130166e+06,4.5194e-11,63.2,21.25
-1.316066e+06,-6.127166e+06,4.4196e-11,63.2,21.25
-1.316066e+06,-6.124166e+06,4.4073e-11,63.2,21.25
-1.316066e+06,-6.121166e+06,4.4154e-11,63.2,21.25
-1.316066e+06,-6.118166e+06,4.4037e-11,63.2,21.25
-1.316066e+06,-6.115166e+06,4.4354e-11,63.2,21.25
-1.316066e+06,-6.112166e+06,4.4609e-11,63.2,21.25
-1.316066e+06,-6.109166e+06,4.4307e-11,63.2,21.25
-1.316066e+06,-6.106166e+06,4.4637e-11,63.2,21.25
-1.316066e+06,-6.103166e+06,4.4725e-11,63.2,21.25
-1.316066e+06,-6.100166e+06,4.3472e-11,63.2,21.25
-1.316066e+06,-6.097166e+06,4.5573e-11,63.2,21.25
-1.316066e+06,-6.094166e+06,4.4178e-11,63.2,21.25
-1.316066e+06,-6.091166e+06,4.4027e-11,63.2,21.25
-1.316066e+06,-6.088166e+06,4.3399e-11,63.2,21.25
-1.316066e+06,-6.085166e+06,4.5499e-11,63.2,21.25
-1.316066e+06,-6.082166e+06,4.4921e-11,63.2,21.25
-1.316066e+06,-6.079166e+06,4.5069e-11,63.2,21.25
-1.316066e+06,-6.076166e+06,4.5155e-11,63.2,21.25
-1.316066e+06,-6.073166e+06,4.3212e-11,63.2,21.25
-1.316066e+06,-6.070166e+06,4.3988e-11,63.2,21.25
-1.316066e+06,-6.067166e+06,4.3713e-11,63.2,21.25
-1.316066e+06,-6.064166e+06,4.3861e-11,63.2,21.25
-1.316066e+06,-6.061166e+06,4.4215e-11,63.2,21.25
-1.316066e+06,-6.058166e+06,4.3773e-11,63.2,21.25
-1.316066e+06,-6.055166e+06,4.4572e-11,63.2,21.25
-1.316066e+06,-6.052166e+06,4.3531e-11,63.2,21.25
-1.316066e+06,-6.049166e+06,4.413e-11,63.2,21.25
-1.316066e+06,-6.046166e+06,4.5182e-11,63.2,21.25
-1.316066e+06,-6.043166e+06,4.496e-11,63.2,21.25
-1.316066e+06,-6.040166e+06,4.3775e-11,63.2,21.25
-1.316066e+06,-6.037166e+06,4.411e-11,63.2,21.25
-1.316066e+06,-6.034166e+06,4.4337e-11,63.2,21.25
-1.316066e+06,-6.031166e+06,4.4281e-11,63.2,21.25
-1.316066e+06,-6.028166e+06,4.4972e-11,63.2,21.25
-1.316066e+06,-6.025166e+06,4.3916e-11,63.2,21.25
-1.316066e+06,-6.022166e+06,4.523e-11,63.2,21.25
-1.316066e+06,-6.019166e+06,4.4294e-11,63.2,21.25
-1.316066e+06,-6.016166e+06,4.5357e-11,63.2,21.25
-1.316066e+06,-6.013166e+06,4.459e-11,63.2,21.25
-1.316066e+06,-6.010166e+06,4.3573e-11,63.2,21.25
-1.316066e+06,-6.007166e+06,4.4927e-11,63.2,21.25
-1.316066e+06,-6.004166e+06,4.3821e-11,63.2,21.25
-1.316066e+06,-6.001166e+06,4.3578e-11,63.2,21.25
-1.316066e+06,-5.998166e+06,4.4449e-11,63.2,21.25
-1.316066e+06,-5.995166e+06,4.4125e-11,63.2,21.25
-1.316066e+06,-5.992166e+06,4.4122e-11,63.2,21.25
-1.316066e+06,-5.989166e+06,4.3494e-11,63.2,21.25
-1.316066e+06,-5.986166e+06,4.5457e-11,63.2,21.25
-1.316066e+06,-5.983166e+06,4.3688e-11,63.2,21.25
-1.313066e+06,-6.133166e+06,4.3672e-11,63.2,21.25
-1.313066e+06,-6.130166e+06,4.4736e-11,63.2,21.25
-1.313066e+06,-6.127166e+06,4.4351e-11,63.2,21.25
-1.313066e+06,-6.124166e+06,4.4933e-11,63.2,21.25
-1.313066e+06,-6.121166e+06,4.3916e-11,63.2,21.25
-1.313066e+06,-6.118166e+06,4.4872e-11,63.2,21.25
-1.313066e+06,-6.115166e+06,4.2961e-11,63.2,21.25
-1.313066e+06,-6.112166e+06,4.3803e-11,63.2,21.25
-1.313066e+06,-6.109166e+06,4.456e-11,63.2,21.25
-1.313066e+06,-6.106166e+06,4.4824e-11,63.2,21.25
-1.313066e+06,-6.103166e+06,4.444e-11,63.2,21.25
-1.313066e+06,-6.100166e+06,4.3446e-11,63.2,21.25
-1.313066e+06,-6.097166e+06,4.4209e-11,63.2,21.25
-1.313066e+06,-6.094166e+06,4.3621e-11,63.2,21.25
-1.313066e+06,-6.091166e+06,4.4046e-11,63.2,21.25
-1.313066e+06,-6.088166e+06,4.4461e-11,63.2,21.25
-1.313066e+06,-6.085166e+06,4.47e-11,63.2,21.25
-1.313066e+06,-6.082166e+06,4.4773e-11,63.2,21.25
-1.313066e+06,-6.079166e+06,4.4907e-11,63.2,21.25
-1.313066e+06,-6.076166e+06,4.3864e-11,63.2,21.25
-1.313066e+06,-6.073166e+06,4.5391e-11,63.2,21.25
-1.313066e+06,-6.070166e+06,4.2985e-11,63.2,21.25
-1.313066e+06,-6.067166e+06,4.3404e-11,63.2,21.25
-1.313066e+06,-6.064166e+06,4.57e-11,63.2,21.25
-1.313066e+06,-6.061166e+06,4.4973e-11,63.2,21.25
-1.313066e+06,-6.058166e+06,4.3651e-11,63.2,21.25
-1.313066e+06,-6.055166e+06,4.4919e-11,63.2,21.25
-1.313066e+06,-6.052166e+06,4.2925e-11,63.2,21.25
-1.313066e+06,-6.049166e+06,4.3285e-11,63.2,21.25
-1.313066e+06,-6.046166e+06,4.4975e-11,63.2,21.25
-1.313066e+06,-6.043166e+06,4.3936e-11,63.2,21.25
-1.313066e+06,-6.040166e+06,4.4667e-11,63.2,21.25
-1.313066e+06,-6.037166e+06,4.3706e-11,63.2,21.25
-1.313066e+06,-6.034166e+06,4.4506e-11,63.2,21.25
-1.313066e+06,-6.031166e+06,4.3969e-11,63.2,21.25
-1.313066e+06,-6.028166e+06,4.5233e-11,63.2,21.25
-1.313066e+06,-6.025166e+06,4.3854e-11,63.2,21.25
-1.313066e+06,-6.022166e+06,4.4824e-11,63.2,21.25
-1.313066e+06,-6.019166e+06,4.4204e-11,63.2,21.25
-1.313066e+06,-6.016166e+06,4.486e-11,63.2,21.25
-1.313066e+06,-6.013166e+06,4.4724e-11,63.2,21.25
-1.313066e+06,-6.010166e+06,4.496e-11,63.2,21.25
-1.313066e+06,-6.007166e+06,4.423e-11,63.2,21.25
-1.313066e+06,-6.004166e+06,4.4601e-11,63.2,21.25
-1.313066e+06,-6.001166e+06,4.4579e-11,63.2,21.25
-1.313066e+06,-5.998166e+06,4.4549e-11,63.2,21.25
-1.313066e+06,-5.995166e+06,4.3391e-11,63.2,21.25
-1.313066e+06,-5.992166e+06,4.4781e-11,63.2,21.25
-1.313066e+06,-5.989166e+06,4.4752e-11,63.2,21.25
-1.313066e+06,-5.986166e+06,4.5301e-11,63.2,21.25
-1.313066e+06,-5.983166e+06,4.4107e-11,63.2,21.25
-1.310066e+06,-6.133166e+06,4.4285e-11,63.2,21.25
-1.310066e+06,-6.130166e+06,4.4013e-11,63.2,21.25
-1.310066e+06,-6.127166e+06,4.4887e-11,63.2,21.25
-1.310066e+06,-6.124166e+06,4.4161e-11,63.2,21.25
-1.310066e+06,-6.121166e+06,4.4254e-11,63.2,21.25
-1.310066e+06,-6.118166e+06,4.4909e-11,63.2,21.25
-1.310066e+06,-6.115166e+06,4.4575e-11,63.2,21.25
-1.310066e+06,-6.112166e+06,4.5007e-11,63.2,21.25
-1.310066e+06,-6.109166e+06,4.4146e-11,63.2,21.25
-1.310066e+06,-6.106166e+06,4.4981e-11,63.2,21.25
-1.310066e+06,-6.103166e+06,4.4234e-11,63.2,21.25
-1.310066e+06,-6.100166e+06,4.393e-11,63.2,21.25
-1.310066e+06,-6.097166e+06,4.4051e-11,63.2,21.25
-1.310066e+06,-6.094166e+06,4.3724e-11,63.2,21.25
-1.310066e+06,-6.091166e+06,4.4248e-11,63.2,21.25
-1.310066e+06,-6.088166e+06,4.4548e-11,63.2,21.25
-1.310066e+06,-6.085166e+06,4.4381e-11,63.2,21.25
-1.310066e+06,-6.082166e+06,4.3954e-11,63.2,21.25
-1.310066e+06,-6.079166e+06,4.3673e-11,63.2,21.25
-1.310066e+06,-6.076166e+06,4.3312e-11,63.2,21.25
-1.310066e+06,-6.073166e+06,4.3706e-11,63.2,21.25
-1.310066e+06,-6.070166e+06,4.4133e-11,63.2,21.25
-1.310066e+06,-6.067166e+06,4.4699e-11,63.2,21.25
-1.310066e+06,-6.064166e+06,4.37e-11,63.2,21.25
-1.310066e+06,-6.061166e+06,4.3467e-11,63.2,21.25
-1.310066e+06,-6.058166e+06,4.4912e-11,63.2,21.25
-1.310066e+06,-6.055166e+06,4.5251e-11,63.2,21.25
-1.310066e+06,-6.052166e+06,4.5434e-11,63.2,21.25
-1.310066e+06,-6.049166e+06,4.4299e-11,63.2,21.25
-1.310066e+06,-6.046166e+06,4.4994e-11,63.1,21.25
-1.310066e+06,-6.043166e+06,4.5585e-11,63.2,21.25
-1.310066e+06,-6.040166e+06,4.3776e-11,63.1,21.25
-1.310066e+06,-6.037166e+06,4.4881e-11,63.1,21.25
-1.310066e+06,-6.034166e+06,4.4952e-11,63.1,21.25
-1.310066e+06,-6.031166e+06,4.4163e-11,63.1,21.25
-1.310066e+06,-6.028166e+06,4.5582e-11,63.2,21.25
-1.310066e+06,-6.025166e+06,4.5339e-11,63.1,21.25
-1.310066e+06,-6.022166e+06,4.3806e-11,63.2,21.25
-1.310066e+06,-6.019166e+06,4.5364e-11,63.1,21.25
-1.310066e+06,-6.016166e+06,4.4876e-11,63.1,21.25
-1.310066e+06,-6.013166e+06,4.489e-11,63.1,21.25
-1.310066e+06,-6.010166e+06,4.3476e-11,63.1,21.25
-1.310066e+06,-6.007166e+06,4.3318e-11,63.1,21.25
-1.310066e+06,-6.004166e+06,4.5397e-11,63.1,21.25
-1.310066e+06,-6.001166e+06,4.443e-11,63.1,21.25
-1.310066e+06,-5.998166e+06,4.5209e-11,63.1,21.25
-1.310066e+06,-5.995166e+06,4.4863e-11,63.1,21.25
-1.310066e+06,-5.992166e+06,4.4604e-11,63.1,21.25
-1.310066e+06,-5.989166e+06,4.461e-11,63.1,21.25
-1.310066e+06,-5.986166e+06,4.3831e-11,63.1,21.25
-1.310066e+06,-5.983166e+06,4.4997e-11,63.1,21.25
-1.307066e+06,-6.133166e+06,4.4043e-11,63.1,21.25
-1.307066e+06,-6.130166e+06,4.3866e-11,63.1,21.25
-1.307066e+06,-6.127166e+06,4.5103e-11,63.1,21.25
-1.307066e+06,-6.124166e+06,4.2699e-11,63.1,21.25
-1.307066e+06,-6.121166e+06,4.4916e-11,63.1,21.25
-1.307066e+06,-6.118166e+06,4.4049e-11,63.1,21.25
-1.307066e+06,-6.115166e+06,4.406e-11,63.1,21.25
-1.307066e+06,-6.112166e+06,4.4172e-11,63.1,21.25
-1.307066e+06,-6.109166e+06,4.5072e-11,63.1,21.25
-1.307066e+06,-6.106166e+06,4.376e-11,63.1,21.25
-1.307066e+06,-6.103166e+06,4.5343e-11,63.1,21.25
-1.307066e+06,-6.100166e+06,4.3269e-11,63.1,21.25
-1.307066e+06,-6.097166e+06,4.4558e-11,63.1,21.25
-1.307066e+06,-6.094166e+06,4.4863e-11,63.1,21.25
-1.307066e+06,-6.091166e+06,4.4807e-11,63.1,21.25
-1.307066e+06,-6.088166e+06,4.3301e-11,63.1,21.25
-1.307066e+06,-6.085166e+06,4.4172e-11,63.1,21.25
-1.307066e+06,-6.082166e+06,4.4858e-11,63.1,21.25
-1.307066e+06,-6.079166e+06,4.3197e-11,63.1,21.25
-1.307066e+06,-6.076166e+06,4.4436e-11,63.1,21.25
-1.307066e+06,-6.073166e+06,4.4334e-11,63.1,21.25
-1.307066e+06,-6.070166e+06,4.4613e-11,63.1,21.25
-1.307066e+06,-6.067166e+06,4.5103e-11,63.1,21.25
-1.307066e+06,-6.064166e+06,4.4469e-11,63.1,21.25
-1.307066e+06,-6.061166e+06,4.3406e-11,63.2,21.25
-1.307066e+06,-6.058166e+06,4.4928e-11,63.1,21.25
-1.307066e+06,-6.055166e+06,4.4964e-11,63.1,21.25
-1.307066e+06,-6.052166e+06,4.3951e-11,63.2,21.25
-1.307066e+06,-6.049166e+06,4.4534e-11,63.2,21.25
-1.307066e+06,-6.046166e+06,4.5103e-11,63.2,21.25
-1.307066e+06,-6.043166e+06,4.4818e-11,63.2,21.25
-1.307066e+06,-6.040166e+06,4.56e-11,63.1,21.25
-1.307066e+06,-6.037166e+06,4.439e-11,63.2,21.25
-1.307066e+06,-6.034166e+06,4.4687e-11,63.2,21.25
-1.307066e+06,-6.031166e+06,4.4036e-11,63.2,21.25
-1.307066e+06,-6.028166e+06,4.4404e-11,63.2,21.25
-1.307066e+06,-6.025166e+06,4.3328e-11,63.2,21.25
-1.307066e+06,-6.022166e+06,4.4613e-11,63.2,21.25
-1.307066e+06,-6.019166e+06,4.4533e-11,63.1,21.25
-1.307066e+06,-6.016166e+06,4.4275e-11,63.2,21.25
-1.307066e+06,-6.013166e+06,4.3852e-11,63.2,21.25
-1.307066e+06,-6.010166e+06,4.3939e-11,63.2,21.25
-1.307066e+06,-6.007166e+06,4.3655e-11,63.2,21.25
-1.307066e+06,-6.004166e+06,4.4179e-11,63.2,21.25
-1.307066e+06,-6.001166e+06,4.4585e-11,63.2,21.25
-1.307066e+06,-5.998166e+06,4.4391e-11,63.2,21.25
-1.307066e+06,-5.995166e+06,4.4369e-11,63.2,21.25
-1.307066e+06,-5.992166e+06,4.4261e-11,63.2,21.25
-1.307066e+06,-5.989166e+06,4.3066e-11,63.2,21.25
-1.307066e+06,-5.986166e+06,4.4397e-11,63.2,21.25
-1.307066e+06,-5.983166e+06,4.4652e-11,63.2,21.25
-1.304066e+06,-6.133166e+06,4.4304e-11,63.2,21.25
-1.304066e+06,-6.130166e+06,4.4566e-11,63.2,21.25
-1.304066e+06,-6.127166e+06,4.4967e-11,63.2,21.25
-1.304066e+06,-6.124166e+06,4.3431e-11,63.2,21.25
-1.304066e+06,-6.121166e+06,4.4194e-11,63.2,21.25
-1.304066e+06,-6.118166e+06,4.3237e-11,63.2,21.25
-1.304066e+06,-6.115166e+06,4.4261e-11,63.2,21.25
-1.304066e+06,-6.112166e+06,4.4343e-11,63.2,21.25
-1.304066e+06,-6.109166e+06,4.4e-11,63.2,21.25
-1.304066e+06,-6.106166e+06,4.3697e-11,63.2,21.25
-1.304066e+06,-6.103166e+06,4.6188e-11,63.2,21.25
-1.304066e+06,-6.100166e+06,4.4872e-11,63.2,21.25
-1.304066e+06,-6.097166e+06,4.3573e-11,63.2,21.25
-1.304066e+06,-6.094166e+06,4.3919e-11,63.2,21.25
-1.304066e+06,-6.091166e+06,4.4304e-11,63.2,21.25
-1.304066e+06,-6.088166e+06,4.4713e-11,63.2,21.25
-1.304066e+06,-6.085166e+06,4.4669e-11,63.2,21.25
-1.304066e+06,-6.082166e+06,4.4373e-11,63.2,21.25
-1.304066e+06,-6.079166e+06,4.469e-11,63.2,21.25
-1.304066e+06,-6.076166e+06,4.4061e-11,63.2,21.25
-1.304066e+06,-6.073166e+06,4.419e-11,63.2,21.25
-1.304066e+06,-6.070166e+06,4.3897e-11,63.2,21.25
-1.304066e+06,-6.067166e+06,4.3499e-11,63.2,21.25
-1.304066e+06,-6.064166e+06,4.3381e-11,63.2,21.25
-1.304066e+06,-6.061166e+06,4.4166e-11,63.2,21.25
-1.304066e+06,-6.058166e+06,4.3479e-11,63.2,21.25
-1.304066e+06,-6.055166e+06,4.4024e-11,63.2,21.25
-1.304066e+06,-6.052166e+06,4.3484e-11,63.2,21.25
-1.304066e+06,-6.049166e+06,4.5784e-11,63.2,21.25
-1.304066e+06,-6.046166e+06,4.3907e-11,63.2,21.25
-1.304066e+06,-6.043166e+06,4.5339e-11,63.2,21.25
-1.304066e+06,-6.040166e+06,4.4163e-11,63.2,21.25
-1.304066e+06,-6.037166e+06,4.3194e-11,63.2,21.25
-1.304066e+06,-6.034166e+06,4.5122e-11,63.2,21.25
-1.304066e+06,-6.031166e+06,4.4779e-11,63.2,21.25
-1.304066e+06,-6.028166e+06,4.456e-11,63.2,21.25
-1.304066e+06,-6.025166e+06,4.5306e-11,63.2,21.25
-1.304066e+06,-6.022166e+06,4.3803e-11,63.2,21.25
-1.304066e+06,-6.019166e+06,4.3321e-11,63.2,21.25
-1.304066e+06,-6.016166e+06,4.4403e-11,63.2,21.25
-1.304066e+06,-6.013166e+06,4.5799e-11,63.2,21.25
-1.304066e+06,-6.010166e+06,4.4457e-11,63.2,21.25
-1.304066e+06,-6.007166e+06,4.3842e-11,63.2,21.25
-1.304066e+06,-6.004166e+06,4.4467e-11,63.2,21.25
-1.304066e+06,-6.001166e+06,4.4825e-11,63.2,21.25
-1.304066e+06,-5.998166e+06,4.4169e-11,63.2,21.25
-1.304066e+06,-5.995166e+06,4.289e-11,63.2,21.25
-1.304066e+06,-5.992166e+06,4.3228e-11,63.2,21.25
-1.304066e+06,-5.989166e+06,4.3546e-11,63.2,21.25
-1.304066e+06,-5.986166e+06,4.4363e-11,63.2,21.25
-1.304066e+06,-5.983166e+06,4.5294e-11,63.2,21.25
-1.301066e+06,-6.133166e+06,4.3684e-11,63.2,21.25
-1.301066e+06,-6.130166e+06,4.5396e-11,63.2,21.25
-1.301066e+06,-6.127166e+06,4.2727e-11,63.2,21.25
-1.301066e+06,-6.124166e+06,4.4381e-11,63.2,21.25
-1.301066e+06,-6.121166e+06,4.5119e-11,63.2,21.25
-1.301066e+06,-6.118166e+06,4.384e-11,63.2,21.25
-1.301066e+06,-6.115166e+06,4.4407e-11,63.2,21.25
-1.301066e+06,-6.112166e+06,4.541e-11,63.2,21.25
-1.301066e+06,-6.109166e+06,4.2109e-11,63.2,21.25
-1.301066e+06,-6.106166e+06,4.3203e-11,63.2,21.25
-1.301066e+06,-6.103166e+06,4.4127e-11,63.2,21.25
-1.301066e+06,-6.100166e+06,4.3797e-11,63.2,21.25
-1.301066e+06,-6.097166e+06,4.4594e-11,63.2,21.25
-1.301066e+06,-6.094166e+06,4.4921e-11,63.2,21.25
-1.301066e+06,-6.091166e+06,4.4166e-11,63.2,21.25
-1.301066e+06,-6.088166e+06,4.4246e-11,63.2,21.25
-1.301066e+06,-6.085166e+06,4.4051e-11,63.2,21.25
-1.301066e+06,-6.082166e+06,4.3981e-11,63.2,21.25
-1.301066e+06,-6.079166e+06,4.4487e-11,63.2,21.25
-1.301066e+06,-6.076166e+06,4.4645e-11,63.2,21.25
-1.301066e+06,-6.073166e+06,4.3566e-11,63.2,21.25
-1.301066e+06,-6.070166e+06,4.3578e-11,63.2,21.25
-1.301066e+06,-6.067166e+06,4.3579e-11,63.2,21.25
-1.301066e+06,-6.064166e+06,4.3972e-11,63.2,21.25
-1.301066e+06,-6.061166e+06,4.4421e-11,63.2,21.25
-1.301066e+06,-6.058166e+06,4.373e-11,63.2,21.25
-1.301066e+06,-6.055166e+06,4.3031e-11,63.2,21.25
-1.301066e+06,-6.052166e+06,4.4712e-11,63.2,21.25
-1.301066e+06,-6.049166e+06,4.3888e-11,63.2,21.25
-1.301066e+06,-6.046166e+06,4.4079e-11,63.2,21.25
-1.301066e+06,-6.043166e+06,4.3676e-11,63.2,21.25
-1.301066e+06,-6.040166e+06,4.349e-11,63.2,21.25
-1.301066e+06,-6.037166e+06,4.493e-11,63.2,21.25
-1.301066e+06,-6.034166e+06,4.3467e-11,63.2,21.25
-1.301066e+06,-6.031166e+06,4.3955e-11,63.2,21.25
-1.301066e+06,-6.028166e+06,4.351e-11,63.2,21.25
-1.301066e+06,-6.025166e+06,4.3536e-11,63.2,21.25
-1.301066e+06,-6.022166e+06,4.3536e-11,63.2,21.25
-1.301066e+06,-6.019166e+06,4.4101e-11,63.2,21.25
-1.301066e+06,-6.016166e+06,4.4451e-11,63.2,21.25
-1.301066e+06,-6.013166e+06,4.5161e-11,63.2,21.25
-1.301066e+06,-6.010166e+06,4.4297e-11,63.2,21.25
-1.301066e+06,-6.007166e+06,4.4075e-11,63.2,21.25
-1.301066e+06,-6.004166e+06,4.4134e-11,63.2,21.25
-1.301066e+06,-6.001166e+06,4.4509e-11,63.2,21.25
-1.301066e+06,-5.998166e+06,4.4242e-11,63.2,21.25
-1.301066e+06,-5.995166e+06,4.4799e-11,63.2,21.25
-1.301066e+06,-5.992166e+06,4.394e-11,63.2,21.25
-1.301066e+06,-5.989166e+06,4.2888e-11,63.2,21.25
-1.301066e+06,-5.986166e+06,4.3755e-11,63.2,21.25
-1.301066e+06,-5.983166e+06,4.4755e-11,63.2,21.25
-1.298066e+06,-6.133166e+06,4.4084e-11,63.2,21.25
-1.298066e+06,-6.130166e+06,4.4122e-11,63.2,21.25
-1.298066e+06,-6.127166e+06,4.4864e-11,63.2,21.25
-1.298066e+06,-6.124166e+06,4.5093e-11,63.2,21.25
-1.298066e+06,-6.121166e+06,4.4704e-11,63.2,21.25
-1.298066e+06,-6.118166e+06,4.3731e-11,63.2,21.25
-1.298066e+06,-6.115166e+06,4.304e-11,63.2,21.25
-1.298066e+06,-6.112166e+06,4.3276e-11,63.2,21.25
-1.298066e+06,-6.109166e+06,4.3676e-11,63.2,21.25
-1.298066e+06,-6.106166e+06,4.3664e-11,63.2,21.25
-1.298066e+06,-6.103166e+06,4.3843e-11,63.2,21.25
-1.298066e+06,-6.100166e+06,4.3291e-11,63.2,21.25
-1.298066e+06,-6.097166e+06,4.5242e-11,63.2,21.25
-1.298066e+06,-6.094166e+06,4.3355e-11,63.2,21.25
-1.298066e+06,-6.091166e+06,4.5379e-11,63.2,21.25
-1.298066e+06,-6.088166e+06,4.4245e-11,63.2,21.25
-1.298066e+06,-6.085166e+06,4.4787e-11,63.2,21.25
-1.298066e+06,-6.082166e+06,4.4131e-11,63.2,21.25
-1.298066e+06,-6.079166e+06,4.4667e-11,63.2,21.25
-1.298066e+06,-6.076166e+06,4.3052e-11,63.2,21.25
-1.298066e+06,-6.073166e+06,4.4904e-11,63.2,21.25
-1.298066e+06,-6.070166e+06,4.4113e-11,63.2,21.25
-1.298066e+06,-6.067166e+06,4.4736e-11,63.2,21.25
-1.298066e+06,-6.064166e+06,4.4791e-11,63.2,21.25
-1.298066e+06,-6.061166e+06,4.5058e-11,63.2,21.25
-1.298066e+06,-6.058166e+06,4.3818e-11,63.2,21.25
-1.298066e+06,-6.055166e+06,4.39e-11,63.2,21.25
-1.298066e+06,-6.052166e+06,4.52e-11,63.2,21.25
-1.298066e+06,-6.049166e+06,4.4281e-11,63.2,21.25
-1.298066e+06,-6.046166e+06,4.4843e-11,63.2,21.25
-1.298066e+06,-6.043166e+06,4.3745e-11,63.2,21.25
-1.298066e+06,-6.040166e+06,4.4894e-11,63.2,21.25
-1.298066e+06,-6.037166e+06,4.4343e-11,63.2,21.25
-1.298066e+06,-6.034166e+06,4.4207e-11,63.2,21.25
-1.298066e+06,-6.031166e+06,4.5397e-11,63.2,21.25
-1.298066e+06,-6.028166e+06,4.3584e-11,63.2,21.25
-1.298066e+06,-6.025166e+06,4.4878e-11,63.2,21.25
-1.298066e+06,-6.022166e+06,4.4206e-11,63.2,21.25
-1.298066e+06,-6.019166e+06,4.4388e-11,63.2,21.25
-1.298066e+06,-6.016166e+06,4.3709e-11,63.2,21.25
-1.298066e+06,-6.013166e+06,4.6019e-11,63.2,21.25
-1.298066e+06,-6.010166e+06,4.384e-11,63.2,21.25
-1.298066e+06,-6.007166e+06,4.5163e-11,63.2,21.25
-1.298066e+06,-6.004166e+06,4.4909e-11,63.2,21.25
-1.298066e+06,-6.001166e+06,4.4733e-11,63.2,21.25
-1.298066e+06,-5.998166e+06,4.3378e-11,63.2,21.25
-1.298066e+06,-5.995166e+06,4.4199e-11,63.2,21.25
-1.298066e+06,-5.992166e+06,4.5101e-11,63.2,21.25
-1.298066e+06,-5.989166e+06,4.4834e-11,63.2,21.25
-1.298066e+06,-5.986166e+06,4.3142e-11,63.2,21.25
-1.298066e+06,-5.983166e+06,4.4463e-11,63.2,21.25
-1.295066e+06,-6.133166e+06,4.364e-11,63.2,21.25
-1.295066e+06,-6.130166e+06,4.4645e-11,63.2,21.25
-1.295066e+06,-6.127166e+06,4.4442e-11,63.2,21.25
-1.295066e+06,-6.124166e+06,4.3785e-11,63.2,21.25
-1.295066e+06,-6.121166e+06,4.3928e-11,63.2,21.25
-1.295066e+06,-6.118166e+06,4.4809e-11,63.2,21.25
-1.295066e+06,-6.115166e+06,4.3712e-11,63.2,21.25
-1.295066e+06,-6.112166e+06,4.4191e-11,63.2,21.25
-1.295066e+06,-6.109166e+06,4.3022e-11,63.2,21.25
-1.295066e+06,-6.106166e+06,4.3794e-11,63.2,21.25
-1.295066e+06,-6.103166e+06,4.4603e-11,63.2,21.25
-1.295066e+06,-6.100166e+06,4.3542e-11,63.2,21.25
-1.295066e+06,-6.097166e+06,4.3778e-11,63.2,21.25
-1.295066e+06,-6.094166e+06,4.3882e-11,63.2,21.25
-1.295066e+06,-6.091166e+06,4.3424e-11,63.2,21.25
-1.295066e+06,-6.088166e+06,4.4452e-11,63.2,21.25
-1.295066e+06,-6.085166e+06,4.4239e-11,63.2,21.25
-1.295066e+06,-6.082166e+06,4.347e-11,63.2,21.25
-1.295066e+06,-6.079166e+06,4.4669e-11,63.2,21.25
