General parameters:
Start time: 2023             10              4             19             32      14.276241
Finish time: 2023             10              4             20             37       9.547036
Raster type: raster_jump
Horizontal range (nm): -4153000.000000,-4003000.000000
Vertical range (nm): -1330000.000000,-1180000.000000
Horizontal pixel size (nm): 3000.000000
Vertical pixel size (nm): 3000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.66e-07
Sample chamber pressure: 2.47e-08
Initial position (nm): -4993086.000000,-1173030.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4153000 -4003000
hori_res:3000
vert_range:-1330000 -1180000
vert_res:3000
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.497276
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1330000,-4153000,5.1952e-11,63.3,21.25
-1330000,-4150000,5.204e-11,63.3,21.25
-1330000,-4147000,5.0939e-11,63.3,21.25
-1330000,-4144000,5.1022e-11,63.3,21.25
-1330000,-4141000,5.1058e-11,63.3,21.25
-1330000,-4138000,5.0978e-11,63.3,21.25
-1330000,-4135000,5.1251e-11,63.3,21.25
-1330000,-4132000,5.1448e-11,63.3,21.25
-1330000,-4129000,5.101e-11,63.3,21.25
-1330000,-4126000,5.1803e-11,63.3,21.25
-1330000,-4123000,5.251e-11,63.3,21.25
-1330000,-4120000,5.1342e-11,63.3,21.25
-1330000,-4117000,5.1255e-11,63.3,21.25
-1330000,-4114000,5.2097e-11,63.3,21.25
-1330000,-4111000,5.167e-11,63.3,21.25
-1330000,-4108000,5.1976e-11,63.3,21.25
-1330000,-4105000,5.1681e-11,63.3,21.25
-1330000,-4102000,5.2476e-11,63.3,21.25
-1330000,-4099000,5.0993e-11,63.3,21.25
-1330000,-4096000,5.1425e-11,63.3,21.25
-1330000,-4093000,5.1778e-11,63.3,21.25
-1330000,-4090000,5.1404e-11,63.3,21.25
-1330000,-4087000,5.1854e-11,63.3,21.25
-1330000,-4084000,5.3513e-11,63.3,21.25
-1330000,-4081000,5.2613e-11,63.3,21.25
-1330000,-4078000,5.1113e-11,63.3,21.25
-1330000,-4075000,5.146e-11,63.3,21.25
-1330000,-4072000,5.226e-11,63.3,21.25
-1330000,-4069000,5.0787e-11,63.3,21.25
-1330000,-4066000,5.2366e-11,63.3,21.25
-1330000,-4063000,5.1952e-11,63.3,21.25
-1330000,-4060000,5.0321e-11,63.3,21.25
-1330000,-4057000,5.244e-11,63.3,21.25
-1330000,-4054000,5.3681e-11,63.3,21.25
-1330000,-4051000,5.1221e-11,63.3,21.25
-1330000,-4048000,5.099e-11,63.3,21.25
-1330000,-4045000,5.2234e-11,63.3,21.25
-1330000,-4042000,5.1951e-11,63.3,21.25
-1330000,-4039000,5.2252e-11,63.3,21.25
-1330000,-4036000,5.2175e-11,63.3,21.25
-1330000,-4033000,5.2034e-11,63.3,21.25
-1330000,-4030000,5.1284e-11,63.3,21.25
-1330000,-4027000,5.0967e-11,63.3,21.25
-1330000,-4024000,5.2136e-11,63.3,21.25
-1330000,-4021000,5.2479e-11,63.3,21.25
-1330000,-4018000,5.2473e-11,63.3,21.25
-1330000,-4015000,5.1318e-11,63.3,21.25
-1330000,-4012000,5.0675e-11,63.3,21.25
-1330000,-4009000,5.2106e-11,63.3,21.25
