General parameters:
Start time: 2023             10              5              1              5      24.238245
Finish time: 2023             10              5              1             52      45.676975
Raster type: raster_jump
Horizontal range (nm): -3395620.387031,-3595620.387031
Vertical range (nm): -1489147.539408,-1689147.539408
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.66e-07
Sample chamber pressure: 2.33e-08
Initial position (nm): -3128749.000000,-1280080.000000,-50000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3395620.387      -3595620.387
hori_res:3500
vert_range:-1489147.5394     -1689147.5394
vert_res:3500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.526346
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.689148e+06,-3.595620e+06,5.2383e-11,63.3,21.25
-1.689148e+06,-3.592120e+06,4.8103e-11,63.3,21.25
-1.689148e+06,-3.588620e+06,4.7943e-11,63.3,21.25
-1.689148e+06,-3.585120e+06,4.8787e-11,63.3,21.25
-1.689148e+06,-3.581620e+06,4.8817e-11,63.3,21.25
-1.689148e+06,-3.578120e+06,4.947e-11,63.3,21.25
-1.689148e+06,-3.574620e+06,4.988e-11,63.3,21.25
-1.689148e+06,-3.571120e+06,5.008e-11,63.3,21.25
-1.689148e+06,-3.567620e+06,4.9237e-11,63.3,21.25
-1.689148e+06,-3.564120e+06,5.1413e-11,63.3,21.25
-1.689148e+06,-3.560620e+06,4.8203e-11,63.3,21.25
-1.689148e+06,-3.557120e+06,4.796e-11,63.3,21.25
-1.689148e+06,-3.553620e+06,5.1597e-11,63.3,21.25
-1.689148e+06,-3.550120e+06,5.2047e-11,63.3,21.25
-1.689148e+06,-3.546620e+06,4.9873e-11,63.3,21.25
-1.689148e+06,-3.543120e+06,5.143e-11,63.3,21.25
-1.689148e+06,-3.539620e+06,4.9417e-11,63.3,21.25
-1.689148e+06,-3.536120e+06,5.094e-11,63.3,21.25
-1.689148e+06,-3.532620e+06,4.865e-11,63.3,21.25
-1.689148e+06,-3.529120e+06,5.0307e-11,63.3,21.25
-1.689148e+06,-3.525620e+06,4.9767e-11,63.3,21.25
-1.689148e+06,-3.522120e+06,4.911e-11,63.3,21.25
-1.689148e+06,-3.518620e+06,4.9127e-11,63.3,21.25
-1.689148e+06,-3.515120e+06,4.8217e-11,63.3,21.25
-1.689148e+06,-3.511620e+06,4.971e-11,63.3,21.25
-1.689148e+06,-3.508120e+06,4.8363e-11,63.3,21.25
