General parameters:
Start time: 2023             10              5              2             41      10.284469
Finish time: 2023             10              5              3             28      30.129036
Raster type: raster_jump
Horizontal range (nm): -3711505.316412,-3911505.316412
Vertical range (nm): -1374124.917681,-1574124.917681
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.66e-07
Sample chamber pressure: 2.50e-08
Initial position (nm): -3559074.000000,-1445950.000000,-50001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3711505.3164     -3911505.3164
hori_res:3500
vert_range:-1374124.9177     -1574124.9177
vert_res:3500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.524294
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.574125e+06,-3.911505e+06,4.9027e-11,63.4,21.25
-1.574125e+06,-3.908005e+06,4.785e-11,63.4,21.25
-1.574125e+06,-3.904505e+06,4.901e-11,63.4,21.25
-1.574125e+06,-3.901005e+06,4.78e-11,63.4,21.25
-1.574125e+06,-3.897505e+06,4.7463e-11,63.4,21.25
-1.574125e+06,-3.894005e+06,4.7533e-11,63.4,21.25
-1.574125e+06,-3.890505e+06,4.835e-11,63.4,21.25
-1.574125e+06,-3.887005e+06,5.015e-11,63.4,21.25
-1.574125e+06,-3.883505e+06,4.809e-11,63.4,21.25
-1.574125e+06,-3.880005e+06,4.6653e-11,63.4,21.25
-1.574125e+06,-3.876505e+06,4.9337e-11,63.4,21.25
-1.574125e+06,-3.873005e+06,4.9283e-11,63.4,21.25
-1.574125e+06,-3.869505e+06,4.8507e-11,63.4,21.25
-1.574125e+06,-3.866005e+06,4.825e-11,63.4,21.25
-1.574125e+06,-3.862505e+06,4.8363e-11,63.4,21.25
-1.574125e+06,-3.859005e+06,4.9793e-11,63.4,21.25
-1.574125e+06,-3.855505e+06,4.9467e-11,63.4,21.25
-1.574125e+06,-3.852005e+06,4.944e-11,63.4,21.25
-1.574125e+06,-3.848505e+06,4.899e-11,63.4,21.25
-1.574125e+06,-3.845005e+06,4.9e-11,63.4,21.25
-1.574125e+06,-3.841505e+06,5.001e-11,63.4,21.25
-1.574125e+06,-3.838005e+06,4.9573e-11,63.4,21.25
-1.574125e+06,-3.834505e+06,5.1773e-11,63.4,21.25
-1.574125e+06,-3.831005e+06,4.8343e-11,63.4,21.25
-1.574125e+06,-3.827505e+06,5.0557e-11,63.4,21.25
-1.574125e+06,-3.824005e+06,5.04e-11,63.4,21.25
-1.574125e+06,-3.820505e+06,5.1067e-11,63.4,21.25
-1.574125e+06,-3.817005e+06,4.8617e-11,63.4,21.25
-1.574125e+06,-3.813505e+06,4.7227e-11,63.4,21.25
-1.574125e+06,-3.810005e+06,4.8393e-11,63.4,21.25
-1.574125e+06,-3.806505e+06,4.9357e-11,63.4,21.25
-1.574125e+06,-3.803005e+06,5.0987e-11,63.4,21.25
-1.574125e+06,-3.799505e+06,4.7277e-11,63.4,21.25
-1.574125e+06,-3.796005e+06,5.0307e-11,63.4,21.25
-1.574125e+06,-3.792505e+06,4.8043e-11,63.4,21.25
-1.574125e+06,-3.789005e+06,4.9217e-11,63.4,21.25
-1.574125e+06,-3.785505e+06,5.0223e-11,63.4,21.25
-1.574125e+06,-3.782005e+06,4.9603e-11,63.4,21.25
-1.574125e+06,-3.778505e+06,4.95e-11,63.4,21.25
-1.574125e+06,-3.775005e+06,4.8617e-11,63.4,21.25
-1.574125e+06,-3.771505e+06,4.814e-11,63.4,21.25
-1.574125e+06,-3.768005e+06,5.0413e-11,63.4,21.25
-1.574125e+06,-3.764505e+06,4.7573e-11,63.4,21.25
-1.574125e+06,-3.761005e+06,4.8303e-11,63.4,21.25
