General parameters:
Start time: 2023             10              5              4             16      59.052199
Finish time: 2023             10              5              5              4      25.927912
Raster type: raster_jump
Horizontal range (nm): -3969000.000000,-4169000.000000
Vertical range (nm): -1158000.000000,-1358000.000000
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.67e-07
Sample chamber pressure: 2.32e-08
Initial position (nm): -3850190.000000,-1277830.000000,-50000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3969000 -4169000
hori_res:3500
vert_range:-1158000 -1358000
vert_res:3500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.532844
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1358000,-4169000,3.7697e-11,63.4,21.25
-1358000,-4165500,2.925e-11,63.4,21.25
-1358000,-4162000,3.0703e-11,63.4,21.25
-1358000,-4158500,3.1677e-11,63.4,21.25
-1358000,-4155000,3.0857e-11,63.4,21.25
-1358000,-4151500,3.1397e-11,63.4,21.25
-1358000,-4148000,2.9373e-11,63.4,21.25
-1358000,-4144500,3.6663e-11,63.4,21.25
-1358000,-4141000,4.5793e-11,63.4,21.25
-1358000,-4137500,4.6117e-11,63.4,21.25
-1358000,-4134000,4.8423e-11,63.4,21.25
-1358000,-4130500,4.7327e-11,63.4,21.25
-1358000,-4127000,4.8407e-11,63.4,21.25
-1358000,-4123500,4.8677e-11,63.4,21.25
-1358000,-4120000,4.7357e-11,63.4,21.25
-1358000,-4116500,4.758e-11,63.4,21.25
-1358000,-4113000,4.7797e-11,63.4,21.25
-1358000,-4109500,4.7257e-11,63.4,21.25
-1358000,-4106000,4.705e-11,63.4,21.25
-1358000,-4102500,4.8297e-11,63.4,21.25
-1358000,-4099000,4.7257e-11,63.4,21.25
-1358000,-4095500,4.8023e-11,63.4,21.25
-1358000,-4092000,4.7897e-11,63.4,21.25
-1358000,-4088500,4.7363e-11,63.4,21.25
-1358000,-4085000,4.8333e-11,63.4,21.25
-1358000,-4081500,4.814e-11,63.4,21.25
-1358000,-4078000,4.7523e-11,63.4,21.25
-1358000,-4074500,4.7783e-11,63.4,21.25
-1358000,-4071000,4.8153e-11,63.4,21.25
-1358000,-4067500,4.8397e-11,63.4,21.25
-1358000,-4064000,4.7247e-11,63.4,21.25
-1358000,-4060500,4.874e-11,63.4,21.25
-1358000,-4057000,4.705e-11,63.4,21.25
-1358000,-4053500,4.9197e-11,63.4,21.25
-1358000,-4050000,5.0197e-11,63.4,21.25
-1358000,-4046500,4.8353e-11,63.4,21.25
-1358000,-4043000,4.9137e-11,63.4,21.25
-1358000,-4039500,4.6767e-11,63.4,21.25
-1358000,-4036000,4.8657e-11,63.4,21.25
-1358000,-4032500,4.972e-11,63.4,21.25
-1358000,-4029000,4.9497e-11,63.4,21.25
-1358000,-4025500,4.8577e-11,63.4,21.25
-1358000,-4022000,4.8063e-11,63.4,21.25
-1358000,-4018500,4.6563e-11,63.4,21.25
-1358000,-4015000,4.864e-11,63.4,21.25
-1358000,-4011500,4.8363e-11,63.4,21.25
-1358000,-4008000,5.0573e-11,63.4,21.25
-1358000,-4004500,4.931e-11,63.4,21.25
-1358000,-4001000,4.7953e-11,63.4,21.25
-1358000,-3997500,4.8453e-11,63.4,21.25
-1358000,-3994000,4.91e-11,63.4,21.25
-1358000,-3990500,4.6977e-11,63.4,21.25
-1358000,-3987000,4.7947e-11,63.4,21.25
-1358000,-3983500,4.8787e-11,63.4,21.25
-1358000,-3980000,4.7093e-11,63.4,21.25
-1358000,-3976500,4.822e-11,63.4,21.25
-1358000,-3973000,4.8763e-11,63.4,21.25
-1358000,-3969500,4.736e-11,63.4,21.25
-1354500,-4169000,3.1823e-11,63.4,21.25
-1354500,-4165500,2.9353e-11,63.4,21.25
-1354500,-4162000,3.0117e-11,63.4,21.25
-1354500,-4158500,3.0413e-11,63.4,21.25
-1354500,-4155000,3.0937e-11,63.4,21.25
-1354500,-4151500,3.0687e-11,63.4,21.25
-1354500,-4148000,3.2137e-11,63.4,21.25
-1354500,-4144500,4.1127e-11,63.4,21.25
-1354500,-4141000,4.528e-11,63.4,21.25
-1354500,-4137500,4.7503e-11,63.4,21.25
-1354500,-4134000,4.702e-11,63.4,21.25
-1354500,-4130500,4.711e-11,63.4,21.25
-1354500,-4127000,4.731e-11,63.4,21.25
-1354500,-4123500,4.7667e-11,63.4,21.25
-1354500,-4120000,4.646e-11,63.4,21.25
-1354500,-4116500,4.8617e-11,63.4,21.25
-1354500,-4113000,4.7323e-11,63.4,21.25
-1354500,-4109500,4.8877e-11,63.4,21.25
-1354500,-4106000,4.5477e-11,63.4,21.25
-1354500,-4102500,4.7543e-11,63.4,21.25
-1354500,-4099000,4.6943e-11,63.4,21.25
-1354500,-4095500,4.7863e-11,63.4,21.25
-1354500,-4092000,4.6513e-11,63.4,21.25
-1354500,-4088500,4.8417e-11,63.4,21.25
-1354500,-4085000,4.9297e-11,63.4,21.25
-1354500,-4081500,5.0337e-11,63.4,21.25
-1354500,-4078000,4.9337e-11,63.4,21.25
-1354500,-4074500,4.8097e-11,63.4,21.25
-1354500,-4071000,4.9017e-11,63.4,21.25
-1354500,-4067500,4.698e-11,63.4,21.25
-1354500,-4064000,4.8417e-11,63.4,21.25
-1354500,-4060500,4.7183e-11,63.4,21.25
-1354500,-4057000,4.802e-11,63.4,21.25
-1354500,-4053500,4.7523e-11,63.4,21.25
-1354500,-4050000,4.818e-11,63.4,21.25
-1354500,-4046500,4.6507e-11,63.4,21.25
-1354500,-4043000,4.9193e-11,63.4,21.25
-1354500,-4039500,4.8623e-11,63.4,21.25
-1354500,-4036000,4.7997e-11,63.4,21.25
-1354500,-4032500,4.8097e-11,63.4,21.25
-1354500,-4029000,4.826e-11,63.4,21.25
-1354500,-4025500,4.9007e-11,63.4,21.25
-1354500,-4022000,4.8857e-11,63.4,21.25
-1354500,-4018500,4.89e-11,63.4,21.25
-1354500,-4015000,5.0303e-11,63.4,21.25
-1354500,-4011500,5.0273e-11,63.4,21.25
-1354500,-4008000,5.0177e-11,63.4,21.25
-1354500,-4004500,4.984e-11,63.4,21.25
-1354500,-4001000,4.9547e-11,63.4,21.25
-1354500,-3997500,4.9223e-11,63.4,21.25
-1354500,-3994000,4.7633e-11,63.4,21.25
-1354500,-3990500,4.819e-11,63.4,21.25
-1354500,-3987000,4.675e-11,63.4,21.25
-1354500,-3983500,4.828e-11,63.4,21.25
-1354500,-3980000,4.9117e-11,63.4,21.25
-1354500,-3976500,4.5887e-11,63.4,21.25
-1354500,-3973000,4.7797e-11,63.4,21.25
-1354500,-3969500,4.645e-11,63.4,21.25
-1351000,-4169000,3.27e-11,63.4,21.25
-1351000,-4165500,3.0183e-11,63.4,21.25
-1351000,-4162000,3.171e-11,63.4,21.25
-1351000,-4158500,2.929e-11,63.4,21.25
-1351000,-4155000,2.9147e-11,63.4,21.25
-1351000,-4151500,3.1743e-11,63.4,21.25
-1351000,-4148000,3.7543e-11,63.4,21.25
-1351000,-4144500,4.4563e-11,63.4,21.25
-1351000,-4141000,4.65e-11,63.4,21.25
-1351000,-4137500,4.6387e-11,63.4,21.25
-1351000,-4134000,4.6727e-11,63.4,21.25
-1351000,-4130500,4.773e-11,63.4,21.25
-1351000,-4127000,4.548e-11,63.4,21.25
-1351000,-4123500,4.7993e-11,63.4,21.25
-1351000,-4120000,4.6767e-11,63.4,21.25
-1351000,-4116500,4.8137e-11,63.4,21.25
-1351000,-4113000,4.7253e-11,63.4,21.25
-1351000,-4109500,4.9117e-11,63.4,21.25
-1351000,-4106000,4.8667e-11,63.4,21.25
-1351000,-4102500,4.7213e-11,63.4,21.25
-1351000,-4099000,4.899e-11,63.4,21.25
-1351000,-4095500,4.7753e-11,63.4,21.25
-1351000,-4092000,4.724e-11,63.4,21.25
-1351000,-4088500,4.8523e-11,63.4,21.25
-1351000,-4085000,4.773e-11,63.4,21.25
-1351000,-4081500,4.7027e-11,63.4,21.25
-1351000,-4078000,4.699e-11,63.4,21.25
-1351000,-4074500,4.927e-11,63.4,21.25
-1351000,-4071000,4.8563e-11,63.4,21.25
-1351000,-4067500,4.831e-11,63.4,21.25
-1351000,-4064000,4.7277e-11,63.4,21.25
-1351000,-4060500,4.8173e-11,63.4,21.25
-1351000,-4057000,4.8187e-11,63.4,21.25
-1351000,-4053500,4.724e-11,63.4,21.25
-1351000,-4050000,4.821e-11,63.4,21.25
-1351000,-4046500,4.8537e-11,63.4,21.25
-1351000,-4043000,4.6143e-11,63.4,21.25
-1351000,-4039500,4.7163e-11,63.4,21.25
-1351000,-4036000,4.7447e-11,63.4,21.25
-1351000,-4032500,5.057e-11,63.4,21.25
-1351000,-4029000,4.9197e-11,63.4,21.25
-1351000,-4025500,4.9813e-11,63.4,21.25
-1351000,-4022000,4.7487e-11,63.4,21.25
-1351000,-4018500,4.754e-11,63.4,21.25
-1351000,-4015000,4.911e-11,63.4,21.25
-1351000,-4011500,4.9377e-11,63.4,21.25
-1351000,-4008000,4.9067e-11,63.4,21.25
-1351000,-4004500,4.902e-11,63.4,21.25
-1351000,-4001000,4.8923e-11,63.4,21.25
-1351000,-3997500,5.0407e-11,63.4,21.25
-1351000,-3994000,4.997e-11,63.4,21.25
-1351000,-3990500,4.9097e-11,63.4,21.25
-1351000,-3987000,4.7727e-11,63.4,21.25
-1351000,-3983500,5.021e-11,63.4,21.25
-1351000,-3980000,4.8667e-11,63.4,21.25
-1351000,-3976500,4.6803e-11,63.4,21.25
-1351000,-3973000,4.722e-11,63.4,21.25
-1351000,-3969500,4.7883e-11,63.4,21.25
-1347500,-4169000,3.309e-11,63.4,21.25
-1347500,-4165500,3.0357e-11,63.4,21.25
-1347500,-4162000,2.9727e-11,63.4,21.25
-1347500,-4158500,3.117e-11,63.4,21.25
-1347500,-4155000,3.1103e-11,63.4,21.25
-1347500,-4151500,3.7847e-11,63.4,21.25
-1347500,-4148000,4.3943e-11,63.4,21.25
-1347500,-4144500,4.5567e-11,63.4,21.25
-1347500,-4141000,4.7447e-11,63.4,21.25
-1347500,-4137500,4.7533e-11,63.4,21.25
-1347500,-4134000,4.579e-11,63.4,21.25
-1347500,-4130500,4.8037e-11,63.4,21.25
-1347500,-4127000,4.9463e-11,63.4,21.25
-1347500,-4123500,4.8373e-11,63.4,21.25
-1347500,-4120000,4.7853e-11,63.4,21.25
-1347500,-4116500,4.8183e-11,63.4,21.25
-1347500,-4113000,4.816e-11,63.4,21.25
-1347500,-4109500,4.7633e-11,63.4,21.25
-1347500,-4106000,4.816e-11,63.4,21.25
-1347500,-4102500,4.8007e-11,63.4,21.25
-1347500,-4099000,4.8547e-11,63.4,21.25
-1347500,-4095500,4.829e-11,63.4,21.25
-1347500,-4092000,4.7757e-11,63.4,21.25
-1347500,-4088500,4.7483e-11,63.4,21.25
-1347500,-4085000,4.7597e-11,63.4,21.25
-1347500,-4081500,4.8433e-11,63.4,21.25
-1347500,-4078000,4.8487e-11,63.4,21.25
-1347500,-4074500,4.8957e-11,63.4,21.25
-1347500,-4071000,4.7487e-11,63.4,21.25
-1347500,-4067500,4.786e-11,63.4,21.25
-1347500,-4064000,4.831e-11,63.4,21.25
-1347500,-4060500,4.9013e-11,63.4,21.25
-1347500,-4057000,4.7383e-11,63.4,21.25
-1347500,-4053500,4.905e-11,63.4,21.25
-1347500,-4050000,4.886e-11,63.4,21.25
-1347500,-4046500,4.7653e-11,63.4,21.25
-1347500,-4043000,4.865e-11,63.4,21.25
-1347500,-4039500,4.9203e-11,63.4,21.25
-1347500,-4036000,4.7607e-11,63.4,21.25
-1347500,-4032500,4.8907e-11,63.4,21.25
-1347500,-4029000,4.8637e-11,63.4,21.25
-1347500,-4025500,4.6663e-11,63.4,21.25
-1347500,-4022000,4.9407e-11,63.4,21.25
-1347500,-4018500,4.8867e-11,63.4,21.25
-1347500,-4015000,4.8283e-11,63.4,21.25
-1347500,-4011500,4.844e-11,63.4,21.25
-1347500,-4008000,4.901e-11,63.4,21.25
-1347500,-4004500,4.8353e-11,63.4,21.25
-1347500,-4001000,4.9637e-11,63.4,21.25
-1347500,-3997500,4.865e-11,63.4,21.25
-1347500,-3994000,4.9967e-11,63.4,21.25
-1347500,-3990500,4.7357e-11,63.4,21.25
-1347500,-3987000,4.9767e-11,63.4,21.25
-1347500,-3983500,4.9303e-11,63.4,21.25
-1347500,-3980000,4.7987e-11,63.4,21.25
-1347500,-3976500,4.7697e-11,63.4,21.25
-1347500,-3973000,4.8303e-11,63.4,21.25
-1347500,-3969500,4.76e-11,63.4,21.25
-1344000,-4169000,3.3347e-11,63.4,21.25
-1344000,-4165500,3.0737e-11,63.4,21.25
-1344000,-4162000,2.983e-11,63.4,21.25
-1344000,-4158500,2.9533e-11,63.4,21.25
-1344000,-4155000,3.4007e-11,63.4,21.25
-1344000,-4151500,4.2027e-11,63.4,21.25
-1344000,-4148000,4.6437e-11,63.4,21.25
-1344000,-4144500,4.64e-11,63.4,21.25
-1344000,-4141000,4.7327e-11,63.4,21.25
