General parameters:
Start time: 2023             10              5              6             40      54.480919
Finish time: 2023             10              5              7             28       22.24747
Raster type: raster_jump
Horizontal range (nm): -4180694.439447,-4380694.439447
Vertical range (nm): -703854.403694,-903854.403694
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.66e-07
Sample chamber pressure: 2.33e-08
Initial position (nm): -4137539.000000,-867340.000000,-49999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4180694.4394     -4380694.4394
hori_res:3500
vert_range:-703854.4037     -903854.4037
vert_res:3500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.548234
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-9.038544e+05,-4.380694e+06,3.7283e-11,63.4,21.25
-9.038544e+05,-4.377194e+06,2.837e-11,63.4,21.25
-9.038544e+05,-4.373694e+06,2.9167e-11,63.4,21.25
-9.038544e+05,-4.370194e+06,2.881e-11,63.4,21.25
-9.038544e+05,-4.366694e+06,2.848e-11,63.4,21.25
-9.038544e+05,-4.363194e+06,2.7257e-11,63.4,21.25
-9.038544e+05,-4.359694e+06,2.759e-11,63.4,21.25
-9.038544e+05,-4.356194e+06,2.809e-11,63.4,21.25
-9.038544e+05,-4.352694e+06,2.9877e-11,63.4,21.25
-9.038544e+05,-4.349194e+06,2.799e-11,63.4,21.25
-9.038544e+05,-4.345694e+06,2.8507e-11,63.4,21.25
-9.038544e+05,-4.342194e+06,2.9067e-11,63.4,21.25
-9.038544e+05,-4.338694e+06,2.8093e-11,63.4,21.25
-9.038544e+05,-4.335194e+06,2.8023e-11,63.4,21.25
-9.038544e+05,-4.331694e+06,2.7863e-11,63.4,21.25
-9.038544e+05,-4.328194e+06,2.8543e-11,63.4,21.25
-9.038544e+05,-4.324694e+06,2.785e-11,63.4,21.25
-9.038544e+05,-4.321194e+06,2.64e-11,63.4,21.25
-9.038544e+05,-4.317694e+06,2.9283e-11,63.4,21.25
-9.038544e+05,-4.314194e+06,2.683e-11,63.4,21.25
-9.038544e+05,-4.310694e+06,2.8253e-11,63.4,21.25
-9.038544e+05,-4.307194e+06,2.7213e-11,63.4,21.25
-9.038544e+05,-4.303694e+06,2.6233e-11,63.4,21.25
-9.038544e+05,-4.300194e+06,2.8007e-11,63.4,21.25
-9.038544e+05,-4.296694e+06,2.912e-11,63.4,21.25
-9.038544e+05,-4.293194e+06,2.7437e-11,63.4,21.25
-9.038544e+05,-4.289694e+06,2.8937e-11,63.4,21.25
-9.038544e+05,-4.286194e+06,3.7187e-11,63.4,21.25
-9.038544e+05,-4.282694e+06,4.7173e-11,63.4,21.25
-9.038544e+05,-4.279194e+06,4.8813e-11,63.4,21.25
-9.038544e+05,-4.275694e+06,4.6667e-11,63.4,21.25
-9.038544e+05,-4.272194e+06,4.902e-11,63.4,21.25
-9.038544e+05,-4.268694e+06,4.7273e-11,63.4,21.25
-9.038544e+05,-4.265194e+06,4.759e-11,63.4,21.25
-9.038544e+05,-4.261694e+06,4.863e-11,63.4,21.25
-9.038544e+05,-4.258194e+06,4.7567e-11,63.4,21.25
-9.038544e+05,-4.254694e+06,4.7303e-11,63.4,21.25
-9.038544e+05,-4.251194e+06,4.6383e-11,63.4,21.25
-9.038544e+05,-4.247694e+06,4.807e-11,63.4,21.25
-9.038544e+05,-4.244194e+06,4.759e-11,63.4,21.25
-9.038544e+05,-4.240694e+06,4.699e-11,63.4,21.25
-9.038544e+05,-4.237194e+06,4.8347e-11,63.4,21.25
-9.038544e+05,-4.233694e+06,4.766e-11,63.4,21.25
-9.038544e+05,-4.230194e+06,4.7143e-11,63.4,21.25
-9.038544e+05,-4.226694e+06,4.9477e-11,63.4,21.25
-9.038544e+05,-4.223194e+06,4.556e-11,63.4,21.25
-9.038544e+05,-4.219694e+06,4.7e-11,63.4,21.25
-9.038544e+05,-4.216194e+06,4.779e-11,63.4,21.25
-9.038544e+05,-4.212694e+06,4.8393e-11,63.4,21.25
-9.038544e+05,-4.209194e+06,4.6927e-11,63.4,21.25
-9.038544e+05,-4.205694e+06,4.6963e-11,63.4,21.25
-9.038544e+05,-4.202194e+06,4.865e-11,63.4,21.25
-9.038544e+05,-4.198694e+06,4.8647e-11,63.4,21.25
-9.038544e+05,-4.195194e+06,4.704e-11,63.4,21.25
-9.038544e+05,-4.191694e+06,4.9827e-11,63.4,21.25
-9.038544e+05,-4.188194e+06,4.674e-11,63.4,21.25
-9.038544e+05,-4.184694e+06,4.978e-11,63.4,21.25
-9.038544e+05,-4.181194e+06,4.8683e-11,63.4,21.25
-9.003544e+05,-4.380694e+06,3.2707e-11,63.4,21.25
-9.003544e+05,-4.377194e+06,2.8733e-11,63.4,21.25
-9.003544e+05,-4.373694e+06,2.8287e-11,63.4,21.25
-9.003544e+05,-4.370194e+06,2.852e-11,63.4,21.25
-9.003544e+05,-4.366694e+06,2.7437e-11,63.4,21.25
-9.003544e+05,-4.363194e+06,2.873e-11,63.4,21.25
-9.003544e+05,-4.359694e+06,2.8437e-11,63.4,21.25
-9.003544e+05,-4.356194e+06,2.9173e-11,63.4,21.25
-9.003544e+05,-4.352694e+06,2.823e-11,63.4,21.25
-9.003544e+05,-4.349194e+06,2.9777e-11,63.4,21.25
-9.003544e+05,-4.345694e+06,2.768e-11,63.4,21.25
-9.003544e+05,-4.342194e+06,2.924e-11,63.4,21.25
-9.003544e+05,-4.338694e+06,2.802e-11,63.4,21.25
-9.003544e+05,-4.335194e+06,2.9697e-11,63.4,21.25
-9.003544e+05,-4.331694e+06,2.6887e-11,63.4,21.25
-9.003544e+05,-4.328194e+06,2.7827e-11,63.4,21.25
-9.003544e+05,-4.324694e+06,2.7837e-11,63.4,21.25
-9.003544e+05,-4.321194e+06,2.706e-11,63.4,21.25
-9.003544e+05,-4.317694e+06,2.7023e-11,63.4,21.25
-9.003544e+05,-4.314194e+06,2.7567e-11,63.4,21.25
-9.003544e+05,-4.310694e+06,2.881e-11,63.4,21.25
-9.003544e+05,-4.307194e+06,2.866e-11,63.4,21.25
-9.003544e+05,-4.303694e+06,2.743e-11,63.4,21.25
-9.003544e+05,-4.300194e+06,2.902e-11,63.4,21.25
-9.003544e+05,-4.296694e+06,2.9927e-11,63.4,21.25
-9.003544e+05,-4.293194e+06,2.9153e-11,63.4,21.25
-9.003544e+05,-4.289694e+06,2.9597e-11,63.4,21.25
-9.003544e+05,-4.286194e+06,3.9983e-11,63.4,21.25
-9.003544e+05,-4.282694e+06,4.642e-11,63.4,21.25
-9.003544e+05,-4.279194e+06,4.8643e-11,63.4,21.25
-9.003544e+05,-4.275694e+06,4.7063e-11,63.4,21.25
-9.003544e+05,-4.272194e+06,4.7593e-11,63.4,21.25
-9.003544e+05,-4.268694e+06,4.6923e-11,63.4,21.25
-9.003544e+05,-4.265194e+06,4.8223e-11,63.4,21.25
-9.003544e+05,-4.261694e+06,4.8543e-11,63.4,21.25
-9.003544e+05,-4.258194e+06,4.9317e-11,63.4,21.25
-9.003544e+05,-4.254694e+06,4.8843e-11,63.4,21.25
-9.003544e+05,-4.251194e+06,4.743e-11,63.4,21.25
-9.003544e+05,-4.247694e+06,4.7387e-11,63.4,21.25
-9.003544e+05,-4.244194e+06,4.7017e-11,63.4,21.25
-9.003544e+05,-4.240694e+06,4.823e-11,63.4,21.25
-9.003544e+05,-4.237194e+06,4.8577e-11,63.4,21.25
-9.003544e+05,-4.233694e+06,4.8847e-11,63.4,21.25
-9.003544e+05,-4.230194e+06,4.8187e-11,63.4,21.25
-9.003544e+05,-4.226694e+06,4.7747e-11,63.4,21.25
-9.003544e+05,-4.223194e+06,4.8723e-11,63.4,21.25
-9.003544e+05,-4.219694e+06,4.9747e-11,63.4,21.25
-9.003544e+05,-4.216194e+06,4.858e-11,63.4,21.25
-9.003544e+05,-4.212694e+06,4.833e-11,63.4,21.25
-9.003544e+05,-4.209194e+06,4.729e-11,63.4,21.25
-9.003544e+05,-4.205694e+06,4.6897e-11,63.4,21.25
-9.003544e+05,-4.202194e+06,4.9587e-11,63.4,21.25
-9.003544e+05,-4.198694e+06,4.747e-11,63.4,21.25
-9.003544e+05,-4.195194e+06,4.6263e-11,63.4,21.25
-9.003544e+05,-4.191694e+06,4.7123e-11,63.4,21.25
-9.003544e+05,-4.188194e+06,4.699e-11,63.4,21.25
-9.003544e+05,-4.184694e+06,4.925e-11,63.4,21.25
-9.003544e+05,-4.181194e+06,4.8217e-11,63.4,21.25
-8.968544e+05,-4.380694e+06,3.2323e-11,63.4,21.25
-8.968544e+05,-4.377194e+06,2.907e-11,63.4,21.25
-8.968544e+05,-4.373694e+06,2.8267e-11,63.4,21.25
-8.968544e+05,-4.370194e+06,2.8003e-11,63.4,21.25
-8.968544e+05,-4.366694e+06,2.8503e-11,63.4,21.25
-8.968544e+05,-4.363194e+06,2.8947e-11,63.4,21.25
-8.968544e+05,-4.359694e+06,2.9117e-11,63.4,21.25
-8.968544e+05,-4.356194e+06,2.713e-11,63.4,21.25
-8.968544e+05,-4.352694e+06,2.8747e-11,63.4,21.25
-8.968544e+05,-4.349194e+06,2.859e-11,63.4,21.25
-8.968544e+05,-4.345694e+06,2.8137e-11,63.4,21.25
-8.968544e+05,-4.342194e+06,2.8933e-11,63.4,21.25
-8.968544e+05,-4.338694e+06,2.7967e-11,63.4,21.25
-8.968544e+05,-4.335194e+06,2.8527e-11,63.4,21.25
-8.968544e+05,-4.331694e+06,2.8677e-11,63.4,21.25
-8.968544e+05,-4.328194e+06,2.873e-11,63.4,21.25
-8.968544e+05,-4.324694e+06,2.865e-11,63.4,21.25
-8.968544e+05,-4.321194e+06,2.829e-11,63.4,21.25
-8.968544e+05,-4.317694e+06,2.856e-11,63.4,21.25
-8.968544e+05,-4.314194e+06,2.7983e-11,63.4,21.25
-8.968544e+05,-4.310694e+06,2.7003e-11,63.4,21.25
-8.968544e+05,-4.307194e+06,2.8603e-11,63.4,21.25
-8.968544e+05,-4.303694e+06,2.8843e-11,63.4,21.25
-8.968544e+05,-4.300194e+06,2.883e-11,63.4,21.25
-8.968544e+05,-4.296694e+06,2.924e-11,63.4,21.25
-8.968544e+05,-4.293194e+06,2.889e-11,63.4,21.25
-8.968544e+05,-4.289694e+06,2.9667e-11,63.4,21.25
-8.968544e+05,-4.286194e+06,4.0087e-11,63.4,21.25
-8.968544e+05,-4.282694e+06,4.6487e-11,63.4,21.25
-8.968544e+05,-4.279194e+06,4.85e-11,63.4,21.25
-8.968544e+05,-4.275694e+06,4.8197e-11,63.4,21.25
-8.968544e+05,-4.272194e+06,4.7507e-11,63.4,21.25
-8.968544e+05,-4.268694e+06,4.8587e-11,63.4,21.25
-8.968544e+05,-4.265194e+06,4.8097e-11,63.4,21.25
-8.968544e+05,-4.261694e+06,4.958e-11,63.4,21.25
-8.968544e+05,-4.258194e+06,4.7673e-11,63.4,21.25
-8.968544e+05,-4.254694e+06,4.9153e-11,63.4,21.25
