General parameters:
Start time: 2023             10              5              7             28      53.777407
Finish time: 2023             10              5              8             16      22.876927
Raster type: raster_jump
Horizontal range (nm): -4195376.731003,-4395376.731003
Vertical range (nm): -535764.956721,-735764.956721
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.66e-07
Sample chamber pressure: 2.30e-08
Initial position (nm): -4181181.000000,-704350.000000,-49999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4195376.731      -4395376.731
hori_res:3500
vert_range:-535764.9567     -735764.9567
vert_res:3500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.552338
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-7.357650e+05,-4.395377e+06,3.7283e-11,63.3,21.25
-7.357650e+05,-4.391877e+06,2.8977e-11,63.3,21.25
-7.357650e+05,-4.388377e+06,2.8547e-11,63.3,21.25
-7.357650e+05,-4.384877e+06,2.8073e-11,63.3,21.25
-7.357650e+05,-4.381377e+06,2.8897e-11,63.3,21.25
-7.357650e+05,-4.377877e+06,2.8307e-11,63.3,21.25
-7.357650e+05,-4.374377e+06,2.8343e-11,63.3,21.25
-7.357650e+05,-4.370877e+06,2.8763e-11,63.3,21.25
-7.357650e+05,-4.367377e+06,2.7437e-11,63.3,21.25
-7.357650e+05,-4.363877e+06,2.7377e-11,63.3,21.25
-7.357650e+05,-4.360377e+06,2.7627e-11,63.3,21.25
-7.357650e+05,-4.356877e+06,2.6703e-11,63.3,21.25
-7.357650e+05,-4.353377e+06,2.7827e-11,63.3,21.25
-7.357650e+05,-4.349877e+06,2.7607e-11,63.3,21.25
-7.357650e+05,-4.346377e+06,2.873e-11,63.3,21.25
-7.357650e+05,-4.342877e+06,2.8887e-11,63.3,21.25
-7.357650e+05,-4.339377e+06,2.893e-11,63.3,21.25
-7.357650e+05,-4.335877e+06,3.0017e-11,63.3,21.25
-7.357650e+05,-4.332377e+06,3.7513e-11,63.3,21.25
-7.357650e+05,-4.328877e+06,4.4263e-11,63.3,21.25
-7.357650e+05,-4.325377e+06,4.7927e-11,63.3,21.25
-7.357650e+05,-4.321877e+06,4.5733e-11,63.3,21.25
-7.357650e+05,-4.318377e+06,4.7043e-11,63.3,21.25
-7.357650e+05,-4.314877e+06,4.4993e-11,63.3,21.25
-7.357650e+05,-4.311377e+06,4.8197e-11,63.3,21.25
-7.357650e+05,-4.307877e+06,4.8283e-11,63.3,21.25
-7.357650e+05,-4.304377e+06,4.7157e-11,63.3,21.25
-7.357650e+05,-4.300877e+06,4.9097e-11,63.3,21.25
-7.357650e+05,-4.297377e+06,4.916e-11,63.3,21.25
-7.357650e+05,-4.293877e+06,4.7133e-11,63.3,21.25
-7.357650e+05,-4.290377e+06,4.817e-11,63.3,21.25
-7.357650e+05,-4.286877e+06,4.8827e-11,63.3,21.25
-7.357650e+05,-4.283377e+06,4.8193e-11,63.3,21.25
-7.357650e+05,-4.279877e+06,4.8737e-11,63.3,21.25
-7.357650e+05,-4.276377e+06,4.865e-11,63.3,21.25
-7.357650e+05,-4.272877e+06,4.6347e-11,63.3,21.25
-7.357650e+05,-4.269377e+06,4.834e-11,63.3,21.25
-7.357650e+05,-4.265877e+06,4.661e-11,63.3,21.25
-7.357650e+05,-4.262377e+06,4.7487e-11,63.3,21.25
-7.357650e+05,-4.258877e+06,4.9487e-11,63.3,21.25
-7.357650e+05,-4.255377e+06,4.905e-11,63.3,21.25
-7.357650e+05,-4.251877e+06,4.8727e-11,63.3,21.25
-7.357650e+05,-4.248377e+06,4.927e-11,63.3,21.25
-7.357650e+05,-4.244877e+06,4.5977e-11,63.3,21.25
-7.357650e+05,-4.241377e+06,4.545e-11,63.3,21.25
-7.357650e+05,-4.237877e+06,4.7887e-11,63.3,21.25
-7.357650e+05,-4.234377e+06,4.8253e-11,63.3,21.25
-7.357650e+05,-4.230877e+06,4.883e-11,63.3,21.25
-7.357650e+05,-4.227377e+06,5.0277e-11,63.3,21.25
-7.357650e+05,-4.223877e+06,4.9933e-11,63.3,21.25
-7.357650e+05,-4.220377e+06,4.938e-11,63.3,21.25
-7.357650e+05,-4.216877e+06,4.81e-11,63.3,21.25
