General parameters:
Start time: 2023             10              5             11             18      18.969473
Finish time: 2023             10              5             12              5      49.519056
Raster type: raster_jump
Horizontal range (nm): -3849706.898307,-4049706.898307
Vertical range (nm): -1277326.391707,-1477326.391707
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.74e-07
Sample chamber pressure: 2.23e-08
Initial position (nm): -4195903.000000,-536260.000000,-1000002.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3849706.8983     -4049706.8983
hori_res:3500
vert_range:-1277326.3917     -1477326.3917
vert_res:3500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.572858
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.477326e+06,-4.049707e+06,5.269e-11,63.9,21.25
-1.477326e+06,-4.046207e+06,5.3577e-11,63.9,21.25
-1.477326e+06,-4.042707e+06,5.4113e-11,63.9,21.25
-1.477326e+06,-4.039207e+06,5.345e-11,63.9,21.25
-1.477326e+06,-4.035707e+06,5.2763e-11,63.9,21.25
-1.477326e+06,-4.032207e+06,5.3357e-11,63.9,21.25
-1.477326e+06,-4.028707e+06,5.1613e-11,63.9,21.25
-1.477326e+06,-4.025207e+06,5.42e-11,63.9,21.25
-1.477326e+06,-4.021707e+06,5.464e-11,63.9,21.25
-1.477326e+06,-4.018207e+06,6.0973e-11,63.9,21.25
-1.477326e+06,-4.014707e+06,5.978e-11,63.9,21.25
-1.477326e+06,-4.011207e+06,5.886e-11,63.9,21.25
-1.477326e+06,-4.007707e+06,5.529e-11,63.9,21.25
-1.477326e+06,-4.004207e+06,5.8663e-11,63.9,21.25
-1.477326e+06,-4.000707e+06,5.4717e-11,63.9,21.25
-1.477326e+06,-3.997207e+06,5.6873e-11,63.9,21.25
-1.477326e+06,-3.993707e+06,5.517e-11,63.9,21.25
-1.477326e+06,-3.990207e+06,5.5457e-11,63.9,21.25
-1.477326e+06,-3.986707e+06,5.3803e-11,63.9,21.25
-1.477326e+06,-3.983207e+06,5.4373e-11,63.9,21.25
-1.477326e+06,-3.979707e+06,5.7307e-11,63.9,21.25
-1.477326e+06,-3.976207e+06,5.4863e-11,63.9,21.25
-1.477326e+06,-3.972707e+06,5.3243e-11,63.9,21.25
-1.477326e+06,-3.969207e+06,5.4597e-11,63.9,21.25
-1.477326e+06,-3.965707e+06,5.5607e-11,63.9,21.25
-1.477326e+06,-3.962207e+06,6.123e-11,63.9,21.25
-1.477326e+06,-3.958707e+06,6.53e-11,63.9,21.25
-1.477326e+06,-3.955207e+06,6.7353e-11,63.9,21.25
-1.477326e+06,-3.951707e+06,6.4547e-11,63.9,21.25
-1.477326e+06,-3.948207e+06,5.7617e-11,63.9,21.25
-1.477326e+06,-3.944707e+06,5.3897e-11,63.9,21.25
-1.477326e+06,-3.941207e+06,5.101e-11,63.9,21.25
-1.477326e+06,-3.937707e+06,5.4433e-11,63.9,21.25
-1.477326e+06,-3.934207e+06,5.4203e-11,63.9,21.25
-1.477326e+06,-3.930707e+06,5.4193e-11,63.9,21.25
-1.477326e+06,-3.927207e+06,5.3337e-11,63.9,21.25
-1.477326e+06,-3.923707e+06,5.315e-11,63.9,21.25
-1.477326e+06,-3.920207e+06,5.41e-11,63.9,21.25
-1.477326e+06,-3.916707e+06,5.2737e-11,63.9,21.25
-1.477326e+06,-3.913207e+06,5.4573e-11,63.9,21.25
-1.477326e+06,-3.909707e+06,5.4113e-11,63.9,21.25
-1.477326e+06,-3.906207e+06,5.33e-11,63.9,21.25
-1.477326e+06,-3.902707e+06,5.4637e-11,63.9,21.25
-1.477326e+06,-3.899207e+06,5.5273e-11,63.9,21.25
-1.477326e+06,-3.895707e+06,5.1207e-11,63.9,21.25
-1.477326e+06,-3.892207e+06,5.3407e-11,63.9,21.25
-1.477326e+06,-3.888707e+06,5.4117e-11,63.9,21.25
-1.477326e+06,-3.885207e+06,5.2887e-11,63.9,21.25
-1.477326e+06,-3.881707e+06,5.3733e-11,63.9,21.25
-1.477326e+06,-3.878207e+06,5.3257e-11,63.9,21.25
-1.477326e+06,-3.874707e+06,5.3153e-11,63.9,21.25
-1.477326e+06,-3.871207e+06,5.4483e-11,63.9,21.25
-1.477326e+06,-3.867707e+06,5.3977e-11,63.9,21.25
-1.477326e+06,-3.864207e+06,5.28e-11,63.9,21.25
-1.477326e+06,-3.860707e+06,5.3227e-11,63.9,21.25
-1.477326e+06,-3.857207e+06,5.516e-11,63.9,21.25
-1.477326e+06,-3.853707e+06,5.4397e-11,63.9,21.25
-1.477326e+06,-3.850207e+06,5.2813e-11,63.9,21.25
-1.473826e+06,-4.049707e+06,5.3763e-11,63.9,21.25
-1.473826e+06,-4.046207e+06,5.365e-11,63.9,21.25
-1.473826e+06,-4.042707e+06,5.296e-11,63.9,21.25
-1.473826e+06,-4.039207e+06,5.288e-11,63.9,21.25
-1.473826e+06,-4.035707e+06,5.446e-11,63.9,21.25
-1.473826e+06,-4.032207e+06,5.4083e-11,63.9,21.25
-1.473826e+06,-4.028707e+06,5.35e-11,63.9,21.25
-1.473826e+06,-4.025207e+06,5.504e-11,63.9,21.25
-1.473826e+06,-4.021707e+06,5.488e-11,63.9,21.25
-1.473826e+06,-4.018207e+06,5.499e-11,63.9,21.25
-1.473826e+06,-4.014707e+06,5.426e-11,63.9,21.25
-1.473826e+06,-4.011207e+06,5.589e-11,63.9,21.25
-1.473826e+06,-4.007707e+06,5.4657e-11,63.9,21.25
-1.473826e+06,-4.004207e+06,5.7443e-11,63.9,21.25
-1.473826e+06,-4.000707e+06,5.3293e-11,63.9,21.25
-1.473826e+06,-3.997207e+06,5.5013e-11,63.9,21.25
-1.473826e+06,-3.993707e+06,5.6797e-11,63.9,21.25
-1.473826e+06,-3.990207e+06,5.342e-11,63.9,21.25
-1.473826e+06,-3.986707e+06,5.6813e-11,63.9,21.25
-1.473826e+06,-3.983207e+06,5.4297e-11,63.9,21.25
-1.473826e+06,-3.979707e+06,5.386e-11,63.9,21.25
-1.473826e+06,-3.976207e+06,5.4613e-11,63.9,21.25
-1.473826e+06,-3.972707e+06,5.2967e-11,63.9,21.25
-1.473826e+06,-3.969207e+06,5.4453e-11,63.9,21.25
-1.473826e+06,-3.965707e+06,5.3223e-11,63.9,21.25
-1.473826e+06,-3.962207e+06,5.4483e-11,63.9,21.25
-1.473826e+06,-3.958707e+06,5.806e-11,63.9,21.25
-1.473826e+06,-3.955207e+06,6.0643e-11,63.9,21.25
-1.473826e+06,-3.951707e+06,6.1673e-11,63.9,21.25
-1.473826e+06,-3.948207e+06,5.74e-11,63.9,21.25
-1.473826e+06,-3.944707e+06,5.5643e-11,63.9,21.25
-1.473826e+06,-3.941207e+06,5.4893e-11,63.9,21.25
-1.473826e+06,-3.937707e+06,5.4053e-11,63.9,21.25
-1.473826e+06,-3.934207e+06,5.3837e-11,63.9,21.25
-1.473826e+06,-3.930707e+06,5.4513e-11,63.9,21.25
-1.473826e+06,-3.927207e+06,5.3903e-11,63.9,21.25
-1.473826e+06,-3.923707e+06,5.3873e-11,63.9,21.25
-1.473826e+06,-3.920207e+06,5.388e-11,63.9,21.25
-1.473826e+06,-3.916707e+06,5.5183e-11,63.9,21.25
-1.473826e+06,-3.913207e+06,5.4043e-11,63.9,21.25
-1.473826e+06,-3.909707e+06,5.384e-11,63.9,21.25
-1.473826e+06,-3.906207e+06,5.427e-11,63.9,21.25
-1.473826e+06,-3.902707e+06,5.2947e-11,63.9,21.25
-1.473826e+06,-3.899207e+06,5.3527e-11,63.9,21.25
-1.473826e+06,-3.895707e+06,5.4683e-11,63.9,21.25
-1.473826e+06,-3.892207e+06,5.4783e-11,63.9,21.25
-1.473826e+06,-3.888707e+06,5.4427e-11,63.9,21.25
-1.473826e+06,-3.885207e+06,5.1163e-11,63.9,21.25
-1.473826e+06,-3.881707e+06,5.479e-11,63.9,21.25
-1.473826e+06,-3.878207e+06,5.4637e-11,63.9,21.25
-1.473826e+06,-3.874707e+06,5.431e-11,63.9,21.25
-1.473826e+06,-3.871207e+06,5.2503e-11,63.9,21.25
-1.473826e+06,-3.867707e+06,5.363e-11,63.9,21.25
-1.473826e+06,-3.864207e+06,5.2833e-11,63.9,21.25
-1.473826e+06,-3.860707e+06,5.3437e-11,63.9,21.25
-1.473826e+06,-3.857207e+06,5.2923e-11,63.9,21.25
-1.473826e+06,-3.853707e+06,5.4007e-11,63.9,21.25
-1.473826e+06,-3.850207e+06,5.3963e-11,63.9,21.25
-1.470326e+06,-4.049707e+06,5.5567e-11,63.9,21.25
-1.470326e+06,-4.046207e+06,5.3377e-11,63.9,21.25
-1.470326e+06,-4.042707e+06,5.2727e-11,63.9,21.25
-1.470326e+06,-4.039207e+06,5.44e-11,63.9,21.25
-1.470326e+06,-4.035707e+06,5.4377e-11,63.9,21.25
-1.470326e+06,-4.032207e+06,5.321e-11,63.9,21.25
-1.470326e+06,-4.028707e+06,5.502e-11,63.9,21.25
-1.470326e+06,-4.025207e+06,5.4353e-11,63.9,21.25
-1.470326e+06,-4.021707e+06,5.335e-11,63.9,21.25
-1.470326e+06,-4.018207e+06,5.3113e-11,63.9,21.25
-1.470326e+06,-4.014707e+06,5.4307e-11,63.9,21.25
-1.470326e+06,-4.011207e+06,5.4577e-11,63.9,21.25
-1.470326e+06,-4.007707e+06,5.402e-11,63.9,21.25
-1.470326e+06,-4.004207e+06,5.326e-11,63.9,21.25
-1.470326e+06,-4.000707e+06,5.4433e-11,63.9,21.25
-1.470326e+06,-3.997207e+06,5.5123e-11,63.9,21.25
-1.470326e+06,-3.993707e+06,5.409e-11,63.9,21.25
-1.470326e+06,-3.990207e+06,5.3757e-11,63.9,21.25
-1.470326e+06,-3.986707e+06,5.6273e-11,63.9,21.25
-1.470326e+06,-3.983207e+06,5.373e-11,63.9,21.25
-1.470326e+06,-3.979707e+06,5.312e-11,63.9,21.25
-1.470326e+06,-3.976207e+06,5.3477e-11,63.9,21.25
-1.470326e+06,-3.972707e+06,5.373e-11,63.9,21.25
-1.470326e+06,-3.969207e+06,5.4713e-11,63.9,21.25
-1.470326e+06,-3.965707e+06,5.6587e-11,63.9,21.25
-1.470326e+06,-3.962207e+06,5.4437e-11,63.9,21.25
-1.470326e+06,-3.958707e+06,5.373e-11,63.9,21.25
-1.470326e+06,-3.955207e+06,5.563e-11,63.9,21.25
-1.470326e+06,-3.951707e+06,5.4337e-11,63.9,21.25
-1.470326e+06,-3.948207e+06,5.482e-11,63.9,21.25
-1.470326e+06,-3.944707e+06,5.327e-11,63.9,21.25
-1.470326e+06,-3.941207e+06,5.3553e-11,63.9,21.25
-1.470326e+06,-3.937707e+06,5.3357e-11,63.9,21.25
-1.470326e+06,-3.934207e+06,5.344e-11,63.9,21.25
-1.470326e+06,-3.930707e+06,5.4587e-11,63.9,21.25
-1.470326e+06,-3.927207e+06,5.4927e-11,63.9,21.25
-1.470326e+06,-3.923707e+06,5.3933e-11,63.9,21.25
-1.470326e+06,-3.920207e+06,5.4123e-11,63.9,21.25
-1.470326e+06,-3.916707e+06,5.2007e-11,63.9,21.25
-1.470326e+06,-3.913207e+06,5.5393e-11,63.9,21.25
-1.470326e+06,-3.909707e+06,5.2857e-11,63.9,21.25
-1.470326e+06,-3.906207e+06,5.2587e-11,63.9,21.25
-1.470326e+06,-3.902707e+06,5.2887e-11,63.9,21.25
-1.470326e+06,-3.899207e+06,5.3267e-11,63.9,21.25
-1.470326e+06,-3.895707e+06,5.3733e-11,63.9,21.25
-1.470326e+06,-3.892207e+06,5.291e-11,63.9,21.25
-1.470326e+06,-3.888707e+06,5.3327e-11,63.9,21.25
-1.470326e+06,-3.885207e+06,5.278e-11,63.9,21.25
-1.470326e+06,-3.881707e+06,5.27e-11,63.9,21.25
-1.470326e+06,-3.878207e+06,5.317e-11,63.9,21.25
-1.470326e+06,-3.874707e+06,5.0893e-11,63.9,21.25
-1.470326e+06,-3.871207e+06,5.3373e-11,63.9,21.25
-1.470326e+06,-3.867707e+06,5.3373e-11,63.9,21.25
-1.470326e+06,-3.864207e+06,5.297e-11,63.9,21.25
-1.470326e+06,-3.860707e+06,5.584e-11,63.9,21.25
-1.470326e+06,-3.857207e+06,5.4663e-11,63.9,21.25
-1.470326e+06,-3.853707e+06,5.4037e-11,63.9,21.25
-1.470326e+06,-3.850207e+06,5.4073e-11,63.9,21.25
-1.466826e+06,-4.049707e+06,5.4227e-11,63.9,21.25
-1.466826e+06,-4.046207e+06,5.3383e-11,63.9,21.25
-1.466826e+06,-4.042707e+06,5.2393e-11,63.9,21.25
-1.466826e+06,-4.039207e+06,5.327e-11,63.9,21.25
-1.466826e+06,-4.035707e+06,5.3893e-11,63.9,21.25
-1.466826e+06,-4.032207e+06,5.234e-11,63.9,21.25
-1.466826e+06,-4.028707e+06,5.3953e-11,63.9,21.25
-1.466826e+06,-4.025207e+06,5.3623e-11,63.9,21.25
-1.466826e+06,-4.021707e+06,5.275e-11,63.9,21.25
-1.466826e+06,-4.018207e+06,5.256e-11,63.9,21.25
-1.466826e+06,-4.014707e+06,5.464e-11,63.9,21.25
-1.466826e+06,-4.011207e+06,5.1793e-11,63.9,21.25
-1.466826e+06,-4.007707e+06,5.175e-11,63.9,21.25
-1.466826e+06,-4.004207e+06,5.294e-11,63.9,21.25
-1.466826e+06,-4.000707e+06,5.3697e-11,63.9,21.25
-1.466826e+06,-3.997207e+06,5.316e-11,63.9,21.25
-1.466826e+06,-3.993707e+06,5.4563e-11,63.9,21.25
-1.466826e+06,-3.990207e+06,5.4857e-11,63.9,21.25
-1.466826e+06,-3.986707e+06,5.578e-11,63.9,21.25
-1.466826e+06,-3.983207e+06,5.5453e-11,63.9,21.25
-1.466826e+06,-3.979707e+06,5.429e-11,63.9,21.25
-1.466826e+06,-3.976207e+06,5.5517e-11,63.9,21.25
-1.466826e+06,-3.972707e+06,5.467e-11,63.9,21.25
-1.466826e+06,-3.969207e+06,5.3557e-11,63.9,21.25
-1.466826e+06,-3.965707e+06,5.2433e-11,63.9,21.25
-1.466826e+06,-3.962207e+06,5.4217e-11,63.9,21.25
-1.466826e+06,-3.958707e+06,5.3323e-11,63.9,21.25
-1.466826e+06,-3.955207e+06,5.46e-11,63.9,21.25
-1.466826e+06,-3.951707e+06,5.467e-11,63.9,21.25
-1.466826e+06,-3.948207e+06,5.4073e-11,63.9,21.25
-1.466826e+06,-3.944707e+06,5.2023e-11,63.9,21.25
-1.466826e+06,-3.941207e+06,5.5027e-11,63.9,21.25
-1.466826e+06,-3.937707e+06,5.458e-11,63.9,21.25
-1.466826e+06,-3.934207e+06,5.226e-11,63.9,21.25
-1.466826e+06,-3.930707e+06,5.4113e-11,63.9,21.25
-1.466826e+06,-3.927207e+06,5.359e-11,63.9,21.25
-1.466826e+06,-3.923707e+06,5.3113e-11,63.9,21.25
-1.466826e+06,-3.920207e+06,5.3873e-11,63.9,21.25
-1.466826e+06,-3.916707e+06,5.392e-11,63.9,21.25
-1.466826e+06,-3.913207e+06,5.2493e-11,63.9,21.25
-1.466826e+06,-3.909707e+06,5.35e-11,63.9,21.25
-1.466826e+06,-3.906207e+06,5.5007e-11,63.9,21.25
-1.466826e+06,-3.902707e+06,5.419e-11,63.9,21.25
-1.466826e+06,-3.899207e+06,5.2087e-11,63.9,21.25
-1.466826e+06,-3.895707e+06,5.107e-11,63.9,21.25
-1.466826e+06,-3.892207e+06,5.3127e-11,63.9,21.25
-1.466826e+06,-3.888707e+06,5.2813e-11,63.9,21.25
-1.466826e+06,-3.885207e+06,5.417e-11,63.9,21.25
-1.466826e+06,-3.881707e+06,5.4103e-11,63.9,21.25
-1.466826e+06,-3.878207e+06,5.3937e-11,63.9,21.25
-1.466826e+06,-3.874707e+06,5.3127e-11,63.9,21.25
-1.466826e+06,-3.871207e+06,5.41e-11,63.9,21.25
-1.466826e+06,-3.867707e+06,5.3553e-11,63.9,21.25
-1.466826e+06,-3.864207e+06,5.374e-11,63.9,21.25
-1.466826e+06,-3.860707e+06,5.323e-11,63.9,21.25
-1.466826e+06,-3.857207e+06,5.3203e-11,63.9,21.25
-1.466826e+06,-3.853707e+06,5.3157e-11,63.9,21.25
-1.466826e+06,-3.850207e+06,5.3243e-11,63.9,21.25
-1.463326e+06,-4.049707e+06,5.3267e-11,63.9,21.25
-1.463326e+06,-4.046207e+06,5.238e-11,63.9,21.25
-1.463326e+06,-4.042707e+06,5.1983e-11,63.9,21.25
-1.463326e+06,-4.039207e+06,5.2997e-11,63.9,21.25
-1.463326e+06,-4.035707e+06,5.4057e-11,63.9,21.25
-1.463326e+06,-4.032207e+06,5.5417e-11,63.9,21.25
-1.463326e+06,-4.028707e+06,5.264e-11,63.9,21.25
-1.463326e+06,-4.025207e+06,5.2953e-11,63.9,21.25
-1.463326e+06,-4.021707e+06,5.4957e-11,63.9,21.25
-1.463326e+06,-4.018207e+06,5.2873e-11,63.9,21.25
-1.463326e+06,-4.014707e+06,5.332e-11,63.9,21.25
-1.463326e+06,-4.011207e+06,5.337e-11,63.9,21.25
-1.463326e+06,-4.007707e+06,5.2067e-11,63.9,21.25
-1.463326e+06,-4.004207e+06,5.462e-11,63.9,21.25
-1.463326e+06,-4.000707e+06,5.37e-11,63.9,21.25
-1.463326e+06,-3.997207e+06,5.4523e-11,63.9,21.25
-1.463326e+06,-3.993707e+06,5.2683e-11,63.9,21.25
-1.463326e+06,-3.990207e+06,5.3987e-11,63.9,21.25
-1.463326e+06,-3.986707e+06,5.3167e-11,63.8,21.25
-1.463326e+06,-3.983207e+06,5.3923e-11,63.8,21.25
-1.463326e+06,-3.979707e+06,5.4917e-11,63.8,21.25
-1.463326e+06,-3.976207e+06,5.4157e-11,63.8,21.25
-1.463326e+06,-3.972707e+06,5.5897e-11,63.8,21.25
-1.463326e+06,-3.969207e+06,5.2947e-11,63.8,21.25
-1.463326e+06,-3.965707e+06,5.2583e-11,63.8,21.25
-1.463326e+06,-3.962207e+06,5.393e-11,63.8,21.25
-1.463326e+06,-3.958707e+06,5.4787e-11,63.8,21.25
-1.463326e+06,-3.955207e+06,5.2293e-11,63.8,21.25
-1.463326e+06,-3.951707e+06,5.2973e-11,63.8,21.25
-1.463326e+06,-3.948207e+06,5.4467e-11,63.8,21.25
-1.463326e+06,-3.944707e+06,5.042e-11,63.8,21.25
-1.463326e+06,-3.941207e+06,5.3813e-11,63.8,21.25
-1.463326e+06,-3.937707e+06,5.3497e-11,63.8,21.25
-1.463326e+06,-3.934207e+06,5.319e-11,63.8,21.25
-1.463326e+06,-3.930707e+06,5.2593e-11,63.8,21.25
-1.463326e+06,-3.927207e+06,5.53e-11,63.8,21.25
-1.463326e+06,-3.923707e+06,5.354e-11,63.8,21.25
-1.463326e+06,-3.920207e+06,5.2303e-11,63.8,21.25
-1.463326e+06,-3.916707e+06,5.3613e-11,63.8,21.25
-1.463326e+06,-3.913207e+06,5.3163e-11,63.8,21.25
-1.463326e+06,-3.909707e+06,5.414e-11,63.8,21.25
-1.463326e+06,-3.906207e+06,5.4097e-11,63.8,21.25
-1.463326e+06,-3.902707e+06,5.387e-11,63.8,21.25
-1.463326e+06,-3.899207e+06,5.194e-11,63.8,21.25
-1.463326e+06,-3.895707e+06,5.1593e-11,63.8,21.25
-1.463326e+06,-3.892207e+06,5.4563e-11,63.8,21.25
-1.463326e+06,-3.888707e+06,5.5453e-11,63.8,21.25
-1.463326e+06,-3.885207e+06,5.419e-11,63.8,21.25
-1.463326e+06,-3.881707e+06,5.287e-11,63.8,21.25
-1.463326e+06,-3.878207e+06,5.4957e-11,63.8,21.25
-1.463326e+06,-3.874707e+06,5.4333e-11,63.8,21.25
-1.463326e+06,-3.871207e+06,5.3803e-11,63.8,21.25
-1.463326e+06,-3.867707e+06,5.2433e-11,63.8,21.25
-1.463326e+06,-3.864207e+06,5.2647e-11,63.8,21.25
-1.463326e+06,-3.860707e+06,5.1183e-11,63.8,21.25
-1.463326e+06,-3.857207e+06,5.427e-11,63.8,21.25
-1.463326e+06,-3.853707e+06,5.5927e-11,63.8,21.25
-1.463326e+06,-3.850207e+06,5.1797e-11,63.8,21.25
-1.459826e+06,-4.049707e+06,5.2193e-11,63.8,21.25
-1.459826e+06,-4.046207e+06,5.2743e-11,63.8,21.25
-1.459826e+06,-4.042707e+06,5.3463e-11,63.8,21.25
-1.459826e+06,-4.039207e+06,5.4107e-11,63.8,21.25
-1.459826e+06,-4.035707e+06,5.1667e-11,63.8,21.25
-1.459826e+06,-4.032207e+06,5.425e-11,63.8,21.25
-1.459826e+06,-4.028707e+06,5.284e-11,63.8,21.25
-1.459826e+06,-4.025207e+06,5.5463e-11,63.8,21.25
-1.459826e+06,-4.021707e+06,5.3057e-11,63.8,21.25
-1.459826e+06,-4.018207e+06,5.228e-11,63.8,21.25
-1.459826e+06,-4.014707e+06,5.4273e-11,63.8,21.25
-1.459826e+06,-4.011207e+06,5.4287e-11,63.8,21.25
-1.459826e+06,-4.007707e+06,5.3883e-11,63.8,21.25
-1.459826e+06,-4.004207e+06,5.3013e-11,63.8,21.25
-1.459826e+06,-4.000707e+06,5.4327e-11,63.8,21.25
-1.459826e+06,-3.997207e+06,5.289e-11,63.8,21.25
-1.459826e+06,-3.993707e+06,5.3767e-11,63.8,21.25
-1.459826e+06,-3.990207e+06,5.3387e-11,63.8,21.25
-1.459826e+06,-3.986707e+06,5.375e-11,63.8,21.25
-1.459826e+06,-3.983207e+06,5.3173e-11,63.8,21.25
-1.459826e+06,-3.979707e+06,5.5367e-11,63.8,21.25
-1.459826e+06,-3.976207e+06,5.354e-11,63.8,21.25
