General parameters:
Start time: 2023             10              5             12              6      21.088432
Finish time: 2023             10              5             12             53      52.249169
Raster type: raster_jump
Horizontal range (nm): -3969000.000000,-4169000.000000
Vertical range (nm): -1158000.000000,-1358000.000000
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.71e-07
Sample chamber pressure: 2.27e-08
Initial position (nm): -3850218.000000,-1277822.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3969000 -4169000
hori_res:3500
vert_range:-1158000 -1358000
vert_res:3500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.576278
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1358000,-4169000,5.421e-11,63.7,21.25
-1358000,-4165500,5.3233e-11,63.7,21.25
-1358000,-4162000,5.283e-11,63.7,21.25
-1358000,-4158500,5.2233e-11,63.7,21.25
-1358000,-4155000,5.2457e-11,63.7,21.25
-1358000,-4151500,5.4313e-11,63.7,21.25
-1358000,-4148000,5.3483e-11,63.7,21.25
-1358000,-4144500,5.579e-11,63.7,21.25
-1358000,-4141000,5.3477e-11,63.7,21.25
-1358000,-4137500,5.4673e-11,63.7,21.25
-1358000,-4134000,5.299e-11,63.7,21.25
-1358000,-4130500,5.3417e-11,63.7,21.25
-1358000,-4127000,5.3717e-11,63.7,21.25
-1358000,-4123500,5.3977e-11,63.7,21.25
-1358000,-4120000,5.3953e-11,63.7,21.25
-1358000,-4116500,5.267e-11,63.7,21.25
-1358000,-4113000,5.303e-11,63.7,21.25
-1358000,-4109500,5.3853e-11,63.7,21.25
-1358000,-4106000,5.3173e-11,63.7,21.25
-1358000,-4102500,5.4297e-11,63.7,21.25
-1358000,-4099000,5.3067e-11,63.7,21.25
-1358000,-4095500,5.403e-11,63.7,21.25
-1358000,-4092000,5.4137e-11,63.7,21.25
-1358000,-4088500,5.236e-11,63.7,21.25
-1358000,-4085000,5.2707e-11,63.7,21.25
-1358000,-4081500,5.382e-11,63.7,21.25
-1358000,-4078000,5.3423e-11,63.7,21.25
-1358000,-4074500,5.4343e-11,63.7,21.25
-1358000,-4071000,5.686e-11,63.7,21.25
-1358000,-4067500,5.5067e-11,63.7,21.25
-1358000,-4064000,5.3463e-11,63.7,21.25
-1358000,-4060500,5.354e-11,63.7,21.25
-1358000,-4057000,5.3487e-11,63.7,21.25
-1358000,-4053500,5.442e-11,63.7,21.25
-1358000,-4050000,5.409e-11,63.7,21.25
-1358000,-4046500,5.184e-11,63.7,21.25
-1358000,-4043000,5.4097e-11,63.7,21.25
-1358000,-4039500,5.3013e-11,63.7,21.25
-1358000,-4036000,5.2623e-11,63.7,21.25
-1358000,-4032500,5.2757e-11,63.7,21.25
-1358000,-4029000,5.4537e-11,63.7,21.25
-1358000,-4025500,5.2227e-11,63.7,21.25
-1358000,-4022000,5.229e-11,63.7,21.25
-1358000,-4018500,5.4327e-11,63.7,21.25
-1358000,-4015000,5.3543e-11,63.7,21.25
-1358000,-4011500,5.2793e-11,63.7,21.25
-1358000,-4008000,5.356e-11,63.7,21.25
-1358000,-4004500,5.2163e-11,63.7,21.25
-1358000,-4001000,5.26e-11,63.7,21.25
-1358000,-3997500,5.2983e-11,63.7,21.25
-1358000,-3994000,5.2613e-11,63.7,21.25
-1358000,-3990500,5.5003e-11,63.7,21.25
-1358000,-3987000,5.262e-11,63.7,21.25
-1358000,-3983500,5.368e-11,63.7,21.25
-1358000,-3980000,5.2223e-11,63.7,21.25
-1358000,-3976500,5.25e-11,63.7,21.25
-1358000,-3973000,5.349e-11,63.7,21.25
-1358000,-3969500,5.5023e-11,63.7,21.25
-1354500,-4169000,5.352e-11,63.7,21.25
-1354500,-4165500,5.3553e-11,63.7,21.25
-1354500,-4162000,5.1827e-11,63.7,21.25
-1354500,-4158500,5.4687e-11,63.7,21.25
-1354500,-4155000,5.4567e-11,63.7,21.25
-1354500,-4151500,5.2757e-11,63.7,21.25
-1354500,-4148000,5.4357e-11,63.7,21.25
-1354500,-4144500,5.38e-11,63.7,21.25
-1354500,-4141000,5.469e-11,63.7,21.25
-1354500,-4137500,5.321e-11,63.7,21.25
-1354500,-4134000,5.476e-11,63.7,21.25
-1354500,-4130500,5.3103e-11,63.7,21.25
-1354500,-4127000,5.3317e-11,63.7,21.25
-1354500,-4123500,5.177e-11,63.7,21.25
-1354500,-4120000,5.2897e-11,63.7,21.25
-1354500,-4116500,5.4043e-11,63.7,21.25
-1354500,-4113000,5.3367e-11,63.7,21.25
-1354500,-4109500,5.1483e-11,63.7,21.25
-1354500,-4106000,5.2527e-11,63.7,21.25
-1354500,-4102500,5.4263e-11,63.7,21.25
-1354500,-4099000,5.3327e-11,63.7,21.25
-1354500,-4095500,5.3247e-11,63.7,21.25
-1354500,-4092000,5.2863e-11,63.7,21.25
-1354500,-4088500,5.1897e-11,63.7,21.25
-1354500,-4085000,5.2163e-11,63.7,21.25
-1354500,-4081500,5.392e-11,63.7,21.25
-1354500,-4078000,5.137e-11,63.7,21.25
-1354500,-4074500,5.5103e-11,63.7,21.25
-1354500,-4071000,6.084e-11,63.7,21.25
-1354500,-4067500,5.7533e-11,63.7,21.25
-1354500,-4064000,5.473e-11,63.7,21.25
-1354500,-4060500,5.308e-11,63.7,21.25
-1354500,-4057000,5.4697e-11,63.7,21.25
-1354500,-4053500,5.3857e-11,63.7,21.25
-1354500,-4050000,5.332e-11,63.7,21.25
-1354500,-4046500,5.2353e-11,63.7,21.25
-1354500,-4043000,5.289e-11,63.7,21.25
-1354500,-4039500,5.461e-11,63.7,21.25
-1354500,-4036000,5.345e-11,63.7,21.25
-1354500,-4032500,5.2943e-11,63.7,21.25
-1354500,-4029000,5.3173e-11,63.7,21.25
-1354500,-4025500,5.3163e-11,63.7,21.25
-1354500,-4022000,5.198e-11,63.7,21.25
-1354500,-4018500,5.124e-11,63.7,21.25
-1354500,-4015000,5.2557e-11,63.7,21.25
