General parameters:
Start time: 2023             10              5             12             54       4.754748
Finish time: 2023             10              5             13             41      33.149222
Raster type: raster_jump
Horizontal range (nm): -4065759.960960,-4265759.960960
Vertical range (nm): -1019771.414591,-1219771.414591
Horizontal pixel size (nm): 3500.000000
Vertical pixel size (nm): 3500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.68e-07
Sample chamber pressure: 2.25e-08
Initial position (nm): -3969530.000000,-1158500.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4065759.961      -4265759.961
hori_res:3500
vert_range:-1019771.4146     -1219771.4146
vert_res:3500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.576962
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.219771e+06,-4.265760e+06,5.1783e-11,63.5,21.25
-1.219771e+06,-4.262260e+06,5.2843e-11,63.5,21.25
-1.219771e+06,-4.258760e+06,5.294e-11,63.5,21.25
-1.219771e+06,-4.255260e+06,5.454e-11,63.5,21.25
-1.219771e+06,-4.251760e+06,5.3667e-11,63.5,21.25
-1.219771e+06,-4.248260e+06,5.3627e-11,63.5,21.25
-1.219771e+06,-4.244760e+06,5.256e-11,63.5,21.25
-1.219771e+06,-4.241260e+06,5.2393e-11,63.5,21.25
-1.219771e+06,-4.237760e+06,5.2277e-11,63.5,21.25
-1.219771e+06,-4.234260e+06,5.198e-11,63.5,21.25
-1.219771e+06,-4.230760e+06,5.307e-11,63.5,21.25
-1.219771e+06,-4.227260e+06,5.4187e-11,63.5,21.25
-1.219771e+06,-4.223760e+06,5.2317e-11,63.5,21.25
-1.219771e+06,-4.220260e+06,5.3487e-11,63.5,21.25
-1.219771e+06,-4.216760e+06,5.1963e-11,63.5,21.25
-1.219771e+06,-4.213260e+06,5.335e-11,63.5,21.25
-1.219771e+06,-4.209760e+06,5.3083e-11,63.5,21.25
-1.219771e+06,-4.206260e+06,5.1117e-11,63.5,21.25
-1.219771e+06,-4.202760e+06,5.1277e-11,63.5,21.25
-1.219771e+06,-4.199260e+06,5.3677e-11,63.5,21.25
-1.219771e+06,-4.195760e+06,5.2023e-11,63.5,21.25
-1.219771e+06,-4.192260e+06,5.304e-11,63.5,21.25
-1.219771e+06,-4.188760e+06,5.1733e-11,63.5,21.25
-1.219771e+06,-4.185260e+06,5.295e-11,63.5,21.25
-1.219771e+06,-4.181760e+06,5.655e-11,63.5,21.25
-1.219771e+06,-4.178260e+06,5.7427e-11,63.5,21.25
-1.219771e+06,-4.174760e+06,5.4317e-11,63.5,21.25
-1.219771e+06,-4.171260e+06,5.348e-11,63.5,21.25
-1.219771e+06,-4.167760e+06,5.2343e-11,63.5,21.25
-1.219771e+06,-4.164260e+06,5.3263e-11,63.5,21.25
-1.219771e+06,-4.160760e+06,5.2843e-11,63.5,21.25
-1.219771e+06,-4.157260e+06,5.0857e-11,63.5,21.25
-1.219771e+06,-4.153760e+06,5.2023e-11,63.5,21.25
-1.219771e+06,-4.150260e+06,5.263e-11,63.5,21.25
-1.219771e+06,-4.146760e+06,5.3983e-11,63.5,21.25
-1.219771e+06,-4.143260e+06,5.1207e-11,63.5,21.25
-1.219771e+06,-4.139760e+06,5.3723e-11,63.5,21.25
-1.219771e+06,-4.136260e+06,5.255e-11,63.5,21.25
-1.219771e+06,-4.132760e+06,5.0017e-11,63.5,21.25
-1.219771e+06,-4.129260e+06,5.3647e-11,63.5,21.25
-1.219771e+06,-4.125760e+06,5.3047e-11,63.5,21.25
-1.219771e+06,-4.122260e+06,5.1893e-11,63.5,21.25
-1.219771e+06,-4.118760e+06,5.302e-11,63.5,21.25
-1.219771e+06,-4.115260e+06,5.227e-11,63.5,21.25
-1.219771e+06,-4.111760e+06,5.2817e-11,63.5,21.25
-1.219771e+06,-4.108260e+06,5.1437e-11,63.5,21.25
-1.219771e+06,-4.104760e+06,5.1777e-11,63.5,21.25
-1.219771e+06,-4.101260e+06,5.2923e-11,63.5,21.25
-1.219771e+06,-4.097760e+06,5.3957e-11,63.5,21.25
-1.219771e+06,-4.094260e+06,5.2787e-11,63.5,21.25
-1.219771e+06,-4.090760e+06,5.1993e-11,63.5,21.25
