General parameters:
Start time: 2023             10              5             16             32       6.840342
Finish time: 2023             10              5             18              3       7.852703
Raster type: raster_jump
Horizontal range (nm): -3558594.439447,-3758594.439447
Vertical range (nm): -1445454.403694,-1645454.403694
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.65e-07
Sample chamber pressure: 2.29e-08
Initial position (nm): -3395624.000000,-1489150.000000,-1000001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3558594.4394     -3758594.4394
hori_res:2500
vert_range:-1445454.4037     -1645454.4037
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.577988
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.645454e+06,-3.758594e+06,8.944e-11,63.2,21.25
-1.645454e+06,-3.756094e+06,9.774e-11,63.2,21.25
-1.645454e+06,-3.753594e+06,1.369e-10,63.2,21.25
-1.645454e+06,-3.751094e+06,1.2529e-10,63.2,21.25
-1.645454e+06,-3.748594e+06,8.742e-11,63.2,21.25
-1.645454e+06,-3.746094e+06,6.266e-11,63.2,21.25
-1.645454e+06,-3.743594e+06,5.588e-11,63.2,21.25
-1.645454e+06,-3.741094e+06,5.5943e-11,63.2,21.25
-1.645454e+06,-3.738594e+06,5.39e-11,63.2,21.25
-1.645454e+06,-3.736094e+06,5.6157e-11,63.2,21.25
-1.645454e+06,-3.733594e+06,5.389e-11,63.2,21.25
-1.645454e+06,-3.731094e+06,5.2593e-11,63.2,21.25
-1.645454e+06,-3.728594e+06,5.5023e-11,63.2,21.25
-1.645454e+06,-3.726094e+06,5.377e-11,63.2,21.25
-1.645454e+06,-3.723594e+06,5.3053e-11,63.2,21.25
-1.645454e+06,-3.721094e+06,5.5223e-11,63.2,21.25
-1.645454e+06,-3.718594e+06,5.398e-11,63.2,21.25
-1.645454e+06,-3.716094e+06,5.318e-11,63.2,21.25
-1.645454e+06,-3.713594e+06,5.385e-11,63.2,21.25
-1.645454e+06,-3.711094e+06,5.2877e-11,63.2,21.25
-1.645454e+06,-3.708594e+06,5.3073e-11,63.2,21.25
