General parameters:
Start time: 2023             10              5             18              3      21.520568
Finish time: 2023             10              5             19             34       21.77214
Raster type: raster_jump
Horizontal range (nm): -3711505.316412,-3911505.316412
Vertical range (nm): -1374124.917681,-1574124.917681
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.69e-07
Sample chamber pressure: 2.27e-08
Initial position (nm): -3558579.000000,-1445460.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3711505.3164     -3911505.3164
hori_res:2500
vert_range:-1374124.9177     -1574124.9177
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.583802
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.574125e+06,-3.911505e+06,6.638e-11,63.6,21.25
-1.574125e+06,-3.909005e+06,5.5133e-11,63.6,21.25
-1.574125e+06,-3.906505e+06,5.7167e-11,63.6,21.25
-1.574125e+06,-3.904005e+06,5.4403e-11,63.6,21.25
-1.574125e+06,-3.901505e+06,5.5417e-11,63.6,21.25
-1.574125e+06,-3.899005e+06,5.4597e-11,63.6,21.25
-1.574125e+06,-3.896505e+06,5.375e-11,63.6,21.25
-1.574125e+06,-3.894005e+06,5.5867e-11,63.6,21.25
-1.574125e+06,-3.891505e+06,5.5737e-11,63.6,21.25
-1.574125e+06,-3.889005e+06,5.4483e-11,63.6,21.25
-1.574125e+06,-3.886505e+06,5.3857e-11,63.6,21.25
-1.574125e+06,-3.884005e+06,5.4087e-11,63.6,21.25
-1.574125e+06,-3.881505e+06,5.7523e-11,63.6,21.25
-1.574125e+06,-3.879005e+06,5.197e-11,63.6,21.25
-1.574125e+06,-3.876505e+06,5.6557e-11,63.6,21.25
-1.574125e+06,-3.874005e+06,5.4703e-11,63.6,21.25
-1.574125e+06,-3.871505e+06,5.4203e-11,63.6,21.25
-1.574125e+06,-3.869005e+06,5.432e-11,63.6,21.25
-1.574125e+06,-3.866505e+06,5.4953e-11,63.6,21.25
-1.574125e+06,-3.864005e+06,5.7397e-11,63.6,21.25
