General parameters:
Start time: 2023             10              5             21              5       56.28375
Finish time: 2023             10              5             22             37       2.450398
Raster type: raster_jump
Horizontal range (nm): -3969000.000000,-4169000.000000
Vertical range (nm): -1158000.000000,-1358000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.78e-07
Sample chamber pressure: 2.15e-08
Initial position (nm): -3849712.000000,-1277322.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3969000 -4169000
hori_res:2500
vert_range:-1158000 -1358000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.612188
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1358000,-4169000,5.5283e-11,64.2,21.25
-1358000,-4166500,5.4727e-11,64.2,21.25
-1358000,-4164000,5.3267e-11,64.2,21.25
-1358000,-4161500,5.3413e-11,64.2,21.25
-1358000,-4159000,5.5253e-11,64.2,21.25
-1358000,-4156500,5.275e-11,64.2,21.25
-1358000,-4154000,5.415e-11,64.2,21.25
-1358000,-4151500,5.41e-11,64.2,21.25
-1358000,-4149000,5.352e-11,64.2,21.25
-1358000,-4146500,5.5607e-11,64.2,21.25
-1358000,-4144000,5.5233e-11,64.2,21.25
-1358000,-4141500,5.384e-11,64.2,21.25
-1358000,-4139000,5.5367e-11,64.2,21.25
-1358000,-4136500,5.5213e-11,64.2,21.25
-1358000,-4134000,5.3813e-11,64.2,21.25
-1358000,-4131500,5.3683e-11,64.2,21.25
-1358000,-4129000,5.4907e-11,64.2,21.25
-1358000,-4126500,5.4243e-11,64.2,21.25
-1358000,-4124000,5.4047e-11,64.2,21.25
-1358000,-4121500,5.5257e-11,64.2,21.25
-1358000,-4119000,5.4173e-11,64.2,21.25
-1358000,-4116500,5.6023e-11,64.2,21.25
-1358000,-4114000,5.3813e-11,64.2,21.25
-1358000,-4111500,5.5713e-11,64.2,21.25
-1358000,-4109000,5.4297e-11,64.2,21.25
-1358000,-4106500,5.386e-11,64.2,21.25
-1358000,-4104000,5.349e-11,64.2,21.25
-1358000,-4101500,5.3937e-11,64.2,21.25
-1358000,-4099000,5.521e-11,64.2,21.25
-1358000,-4096500,5.5383e-11,64.2,21.25
-1358000,-4094000,5.4027e-11,64.2,21.25
-1358000,-4091500,5.4357e-11,64.2,21.25
-1358000,-4089000,5.436e-11,64.2,21.25
-1358000,-4086500,5.3183e-11,64.2,21.25
-1358000,-4084000,5.3063e-11,64.2,21.25
-1358000,-4081500,5.3453e-11,64.2,21.25
-1358000,-4079000,5.3087e-11,64.2,21.25
-1358000,-4076500,5.521e-11,64.2,21.25
-1358000,-4074000,5.587e-11,64.2,21.25
-1358000,-4071500,5.6403e-11,64.2,21.25
-1358000,-4069000,5.7777e-11,64.2,21.25
-1358000,-4066500,5.439e-11,64.2,21.25
-1358000,-4064000,5.3877e-11,64.2,21.25
-1358000,-4061500,5.3937e-11,64.2,21.25
-1358000,-4059000,5.503e-11,64.2,21.25
-1358000,-4056500,5.196e-11,64.2,21.25
-1358000,-4054000,5.4203e-11,64.2,21.25
-1358000,-4051500,5.649e-11,64.2,21.25
-1358000,-4049000,5.424e-11,64.2,21.25
-1358000,-4046500,5.3533e-11,64.2,21.25
-1358000,-4044000,5.6333e-11,64.2,21.25
-1358000,-4041500,5.433e-11,64.2,21.25
-1358000,-4039000,5.3343e-11,64.2,21.25
-1358000,-4036500,5.3733e-11,64.2,21.25
-1358000,-4034000,5.3517e-11,64.2,21.25
-1358000,-4031500,5.4193e-11,64.2,21.25
-1358000,-4029000,5.5583e-11,64.2,21.25
-1358000,-4026500,5.3147e-11,64.2,21.25
-1358000,-4024000,5.4643e-11,64.2,21.25
-1358000,-4021500,5.3667e-11,64.2,21.25
-1358000,-4019000,5.4557e-11,64.2,21.25
-1358000,-4016500,5.502e-11,64.2,21.25
-1358000,-4014000,5.5457e-11,64.2,21.25
-1358000,-4011500,5.3767e-11,64.2,21.25
-1358000,-4009000,5.309e-11,64.2,21.25
-1358000,-4006500,5.5023e-11,64.2,21.25
-1358000,-4004000,5.4627e-11,64.2,21.25
-1358000,-4001500,5.551e-11,64.2,21.25
-1358000,-3999000,5.3607e-11,64.2,21.25
-1358000,-3996500,5.4557e-11,64.2,21.25
-1358000,-3994000,5.3653e-11,64.2,21.25
-1358000,-3991500,5.5317e-11,64.2,21.25
-1358000,-3989000,5.4997e-11,64.2,21.25
-1358000,-3986500,5.4303e-11,64.2,21.25
-1358000,-3984000,5.3567e-11,64.2,21.25
-1358000,-3981500,5.3257e-11,64.2,21.25
-1358000,-3979000,5.3497e-11,64.2,21.25
-1358000,-3976500,5.2977e-11,64.2,21.25
-1358000,-3974000,5.4207e-11,64.2,21.25
-1358000,-3971500,5.2823e-11,64.2,21.25
-1358000,-3969000,5.434e-11,64.2,21.25
-1355500,-4169000,5.32e-11,64.2,21.25
-1355500,-4166500,5.342e-11,64.2,21.25
