General parameters:
Start time: 2023             10              5             22             37      15.222385
Finish time: 2023             10              6              0              8       25.06038
Raster type: raster_jump
Horizontal range (nm): -4065759.960960,-4265759.960960
Vertical range (nm): -1019771.414591,-1219771.414591
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.76e-07
Sample chamber pressure: 2.18e-08
Initial position (nm): -3968988.000000,-1158000.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4065759.961      -4265759.961
hori_res:2500
vert_range:-1019771.4146     -1219771.4146
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.623132
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.219771e+06,-4.265760e+06,4.5303e-11,64.1,21.25
-1.219771e+06,-4.263260e+06,4.6037e-11,64.1,21.25
-1.219771e+06,-4.260760e+06,4.4173e-11,64.1,21.25
-1.219771e+06,-4.258260e+06,4.6473e-11,64.1,21.25
-1.219771e+06,-4.255760e+06,4.56e-11,64.1,21.25
-1.219771e+06,-4.253260e+06,4.734e-11,64.1,21.25
-1.219771e+06,-4.250760e+06,4.535e-11,64.1,21.25
-1.219771e+06,-4.248260e+06,4.43e-11,64.1,21.25
-1.219771e+06,-4.245760e+06,4.6167e-11,64.1,21.25
-1.219771e+06,-4.243260e+06,4.656e-11,64.1,21.25
-1.219771e+06,-4.240760e+06,4.6497e-11,64.1,21.25
-1.219771e+06,-4.238260e+06,4.619e-11,64.1,21.25
-1.219771e+06,-4.235760e+06,4.5177e-11,64.1,21.25
-1.219771e+06,-4.233260e+06,4.5653e-11,64.1,21.25
-1.219771e+06,-4.230760e+06,4.5323e-11,64.1,21.25
-1.219771e+06,-4.228260e+06,4.42e-11,64.1,21.25
-1.219771e+06,-4.225760e+06,4.5893e-11,64.1,21.25
-1.219771e+06,-4.223260e+06,4.5953e-11,64.1,21.25
-1.219771e+06,-4.220760e+06,4.573e-11,64.1,21.25
-1.219771e+06,-4.218260e+06,4.2537e-11,64.1,21.25
-1.219771e+06,-4.215760e+06,4.4887e-11,64.1,21.25
