General parameters:
Start time: 2023             10              6              0              8      37.838076
Finish time: 2023             10              6              1             39      49.065187
Raster type: raster_jump
Horizontal range (nm): -4137046.778738,-4337046.778738
Vertical range (nm): -866840.641101,-1066840.641101
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.77e-07
Sample chamber pressure: 2.12e-08
Initial position (nm): -4065783.000000,-1019779.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4137046.7787     -4337046.7787
hori_res:2500
vert_range:-866840.6411     -1066840.6411
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.625526
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.066841e+06,-4.337047e+06,4.4233e-11,64.1,21.25
-1.066841e+06,-4.334547e+06,4.511e-11,64.1,21.25
-1.066841e+06,-4.332047e+06,4.4973e-11,64.1,21.25
-1.066841e+06,-4.329547e+06,4.3957e-11,64.1,21.25
-1.066841e+06,-4.327047e+06,4.5313e-11,64.1,21.25
-1.066841e+06,-4.324547e+06,4.4027e-11,64.1,21.25
-1.066841e+06,-4.322047e+06,4.5537e-11,64.1,21.25
-1.066841e+06,-4.319547e+06,4.5943e-11,64.1,21.25
-1.066841e+06,-4.317047e+06,4.538e-11,64.1,21.25
-1.066841e+06,-4.314547e+06,4.634e-11,64.1,21.25
-1.066841e+06,-4.312047e+06,4.43e-11,64.1,21.25
-1.066841e+06,-4.309547e+06,4.516e-11,64.1,21.25
-1.066841e+06,-4.307047e+06,4.4213e-11,64.1,21.25
-1.066841e+06,-4.304547e+06,4.4003e-11,64.1,21.25
-1.066841e+06,-4.302047e+06,4.5987e-11,64.1,21.25
-1.066841e+06,-4.299547e+06,4.4253e-11,64.1,21.25
-1.066841e+06,-4.297047e+06,4.5897e-11,64.1,21.25
-1.066841e+06,-4.294547e+06,4.5267e-11,64.1,21.25
-1.066841e+06,-4.292047e+06,4.4097e-11,64.1,21.25
-1.066841e+06,-4.289547e+06,4.414e-11,64.1,21.25
-1.066841e+06,-4.287047e+06,4.4563e-11,64.1,21.25
-1.066841e+06,-4.284547e+06,4.349e-11,64.1,21.25
-1.066841e+06,-4.282047e+06,4.4743e-11,64.1,21.25
-1.066841e+06,-4.279547e+06,4.5277e-11,64.1,21.25
-1.066841e+06,-4.277047e+06,4.6297e-11,64.1,21.25
-1.066841e+06,-4.274547e+06,4.408e-11,64.1,21.25
-1.066841e+06,-4.272047e+06,4.57e-11,64.1,21.25
-1.066841e+06,-4.269547e+06,4.4407e-11,64.1,21.25
-1.066841e+06,-4.267047e+06,4.4637e-11,64.1,21.25
-1.066841e+06,-4.264547e+06,4.4183e-11,64.1,21.25
-1.066841e+06,-4.262047e+06,4.4897e-11,64.1,21.25
-1.066841e+06,-4.259547e+06,4.381e-11,64.1,21.25
-1.066841e+06,-4.257047e+06,4.4363e-11,64.1,21.25
-1.066841e+06,-4.254547e+06,4.6253e-11,64.1,21.25
-1.066841e+06,-4.252047e+06,4.476e-11,64.1,21.25
-1.066841e+06,-4.249547e+06,4.5007e-11,64.1,21.25
-1.066841e+06,-4.247047e+06,4.415e-11,64.1,21.25
-1.066841e+06,-4.244547e+06,4.422e-11,64.1,21.25
-1.066841e+06,-4.242047e+06,4.3753e-11,64.1,21.25
-1.066841e+06,-4.239547e+06,4.6537e-11,64.1,21.25
-1.066841e+06,-4.237047e+06,4.677e-11,64.1,21.25
-1.066841e+06,-4.234547e+06,4.497e-11,64.1,21.25
-1.066841e+06,-4.232047e+06,4.5617e-11,64.1,21.25
-1.066841e+06,-4.229547e+06,4.5237e-11,64.1,21.25
-1.066841e+06,-4.227047e+06,4.674e-11,64.1,21.25
-1.066841e+06,-4.224547e+06,4.687e-11,64.1,21.25
-1.066841e+06,-4.222047e+06,4.6347e-11,64.1,21.25
-1.066841e+06,-4.219547e+06,4.3337e-11,64.1,21.25
-1.066841e+06,-4.217047e+06,4.3933e-11,64.1,21.25
-1.066841e+06,-4.214547e+06,4.5667e-11,64.1,21.25
-1.066841e+06,-4.212047e+06,4.6193e-11,64.1,21.25
-1.066841e+06,-4.209547e+06,4.562e-11,64.1,21.25
-1.066841e+06,-4.207047e+06,4.3387e-11,64.1,21.25
-1.066841e+06,-4.204547e+06,4.3183e-11,64.1,21.25
-1.066841e+06,-4.202047e+06,4.5383e-11,64.1,21.25
-1.066841e+06,-4.199547e+06,4.4833e-11,64.1,21.25
-1.066841e+06,-4.197047e+06,4.5513e-11,64.1,21.25
-1.066841e+06,-4.194547e+06,4.516e-11,64.1,21.25
-1.066841e+06,-4.192047e+06,4.528e-11,64.1,21.25
-1.066841e+06,-4.189547e+06,4.381e-11,64.1,21.25
-1.066841e+06,-4.187047e+06,4.488e-11,64.1,21.25
-1.066841e+06,-4.184547e+06,4.477e-11,64.1,21.25
-1.066841e+06,-4.182047e+06,4.5637e-11,64.1,21.25
-1.066841e+06,-4.179547e+06,4.7187e-11,64.1,21.25
-1.066841e+06,-4.177047e+06,4.4287e-11,64.1,21.25
