General parameters:
Start time: 2023             10              6              1             40       1.778978
Finish time: 2023             10              6              3             11      15.813296
Raster type: raster_jump
Horizontal range (nm): -4180694.439447,-4380694.439447
Vertical range (nm): -703854.403694,-903854.403694
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.78e-07
Sample chamber pressure: 2.12e-08
Initial position (nm): -4137064.000000,-866840.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4180694.4394     -4380694.4394
hori_res:2500
vert_range:-703854.4037     -903854.4037
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.628262
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-9.038544e+05,-4.380694e+06,4.6277e-11,64.2,21.25
-9.038544e+05,-4.378194e+06,4.3927e-11,64.2,21.25
-9.038544e+05,-4.375694e+06,4.5013e-11,64.2,21.25
-9.038544e+05,-4.373194e+06,4.491e-11,64.2,21.25
-9.038544e+05,-4.370694e+06,4.5123e-11,64.2,21.25
-9.038544e+05,-4.368194e+06,4.4157e-11,64.2,21.25
-9.038544e+05,-4.365694e+06,4.6047e-11,64.2,21.25
-9.038544e+05,-4.363194e+06,4.54e-11,64.2,21.25
-9.038544e+05,-4.360694e+06,4.572e-11,64.2,21.25
-9.038544e+05,-4.358194e+06,4.4443e-11,64.2,21.25
-9.038544e+05,-4.355694e+06,4.5433e-11,64.2,21.25
-9.038544e+05,-4.353194e+06,4.5123e-11,64.2,21.25
-9.038544e+05,-4.350694e+06,4.5393e-11,64.2,21.25
-9.038544e+05,-4.348194e+06,4.4707e-11,64.2,21.25
-9.038544e+05,-4.345694e+06,4.3943e-11,64.2,21.25
-9.038544e+05,-4.343194e+06,4.5813e-11,64.2,21.25
-9.038544e+05,-4.340694e+06,4.4573e-11,64.2,21.25
-9.038544e+05,-4.338194e+06,4.361e-11,64.2,21.25
-9.038544e+05,-4.335694e+06,4.5463e-11,64.2,21.25
-9.038544e+05,-4.333194e+06,4.5797e-11,64.2,21.25
-9.038544e+05,-4.330694e+06,4.4847e-11,64.2,21.25
-9.038544e+05,-4.328194e+06,4.5937e-11,64.2,21.25
-9.038544e+05,-4.325694e+06,4.391e-11,64.2,21.25
-9.038544e+05,-4.323194e+06,4.7127e-11,64.2,21.25
-9.038544e+05,-4.320694e+06,4.577e-11,64.2,21.25
-9.038544e+05,-4.318194e+06,4.5077e-11,64.2,21.25
-9.038544e+05,-4.315694e+06,4.5607e-11,64.2,21.25
-9.038544e+05,-4.313194e+06,4.6687e-11,64.2,21.25
-9.038544e+05,-4.310694e+06,4.5133e-11,64.2,21.25
-9.038544e+05,-4.308194e+06,4.5537e-11,64.2,21.25
-9.038544e+05,-4.305694e+06,4.3957e-11,64.2,21.25
-9.038544e+05,-4.303194e+06,4.6127e-11,64.2,21.25
-9.038544e+05,-4.300694e+06,4.557e-11,64.2,21.25
-9.038544e+05,-4.298194e+06,4.498e-11,64.2,21.25
-9.038544e+05,-4.295694e+06,4.613e-11,64.2,21.25
-9.038544e+05,-4.293194e+06,4.3543e-11,64.2,21.25
-9.038544e+05,-4.290694e+06,4.4693e-11,64.2,21.25
-9.038544e+05,-4.288194e+06,4.5563e-11,64.2,21.25
-9.038544e+05,-4.285694e+06,4.5367e-11,64.2,21.25
-9.038544e+05,-4.283194e+06,4.6727e-11,64.2,21.25
-9.038544e+05,-4.280694e+06,4.6587e-11,64.2,21.25
-9.038544e+05,-4.278194e+06,4.2727e-11,64.2,21.25
-9.038544e+05,-4.275694e+06,4.428e-11,64.2,21.25
-9.038544e+05,-4.273194e+06,4.3687e-11,64.2,21.25
-9.038544e+05,-4.270694e+06,4.605e-11,64.2,21.25
-9.038544e+05,-4.268194e+06,4.5307e-11,64.2,21.25
