General parameters:
Start time: 2023             10              6              3             11       28.58857
Finish time: 2023             10              6              4             42      41.796245
Raster type: raster_jump
Horizontal range (nm): -4195376.731003,-4395376.731003
Vertical range (nm): -535764.956721,-735764.956721
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.77e-07
Sample chamber pressure: 2.12e-08
Initial position (nm): -4180696.000000,-703853.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4195376.731      -4395376.731
hori_res:2500
vert_range:-535764.9567     -735764.9567
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.630998
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-7.357650e+05,-4.395377e+06,4.603e-11,64.1,21.25
-7.357650e+05,-4.392877e+06,4.7757e-11,64.1,21.25
-7.357650e+05,-4.390377e+06,4.4393e-11,64.1,21.25
-7.357650e+05,-4.387877e+06,4.4437e-11,64.1,21.25
-7.357650e+05,-4.385377e+06,4.3673e-11,64.1,21.25
-7.357650e+05,-4.382877e+06,4.3993e-11,64.1,21.25
-7.357650e+05,-4.380377e+06,4.4373e-11,64.1,21.25
-7.357650e+05,-4.377877e+06,4.5567e-11,64.1,21.25
-7.357650e+05,-4.375377e+06,4.372e-11,64.1,21.25
-7.357650e+05,-4.372877e+06,4.501e-11,64.1,21.25
-7.357650e+05,-4.370377e+06,4.5203e-11,64.1,21.25
-7.357650e+05,-4.367877e+06,4.6163e-11,64.1,21.25
-7.357650e+05,-4.365377e+06,4.417e-11,64.1,21.25
-7.357650e+05,-4.362877e+06,4.475e-11,64.1,21.25
-7.357650e+05,-4.360377e+06,4.5303e-11,64.1,21.25
-7.357650e+05,-4.357877e+06,4.3313e-11,64.1,21.25
-7.357650e+05,-4.355377e+06,4.4737e-11,64.1,21.25
-7.357650e+05,-4.352877e+06,4.5013e-11,64.1,21.25
-7.357650e+05,-4.350377e+06,4.5757e-11,64.1,21.25
-7.357650e+05,-4.347877e+06,4.5187e-11,64.1,21.25
-7.357650e+05,-4.345377e+06,4.4343e-11,64.1,21.25
-7.357650e+05,-4.342877e+06,4.4443e-11,64.1,21.25
-7.357650e+05,-4.340377e+06,4.612e-11,64.1,21.25
-7.357650e+05,-4.337877e+06,4.5263e-11,64.1,21.25
-7.357650e+05,-4.335377e+06,4.4023e-11,64.1,21.25
-7.357650e+05,-4.332877e+06,4.629e-11,64.1,21.25
-7.357650e+05,-4.330377e+06,4.3813e-11,64.1,21.25
-7.357650e+05,-4.327877e+06,4.5063e-11,64.1,21.25
-7.357650e+05,-4.325377e+06,4.4337e-11,64.1,21.25
-7.357650e+05,-4.322877e+06,4.6353e-11,64.1,21.25
-7.357650e+05,-4.320377e+06,4.546e-11,64.1,21.25
-7.357650e+05,-4.317877e+06,4.512e-11,64.1,21.25
-7.357650e+05,-4.315377e+06,4.6033e-11,64.1,21.25
-7.357650e+05,-4.312877e+06,4.319e-11,64.1,21.25
-7.357650e+05,-4.310377e+06,4.496e-11,64.1,21.25
-7.357650e+05,-4.307877e+06,4.4937e-11,64.1,21.25
-7.357650e+05,-4.305377e+06,4.5007e-11,64.1,21.25
-7.357650e+05,-4.302877e+06,4.602e-11,64.1,21.25
-7.357650e+05,-4.300377e+06,4.4773e-11,64.1,21.25
-7.357650e+05,-4.297877e+06,4.5743e-11,64.1,21.25
-7.357650e+05,-4.295377e+06,4.641e-11,64.1,21.25
-7.357650e+05,-4.292877e+06,4.521e-11,64.1,21.25
-7.357650e+05,-4.290377e+06,4.4473e-11,64.1,21.25
-7.357650e+05,-4.287877e+06,4.4673e-11,64.1,21.25
-7.357650e+05,-4.285377e+06,4.5393e-11,64.1,21.25
-7.357650e+05,-4.282877e+06,4.561e-11,64.1,21.25
-7.357650e+05,-4.280377e+06,4.532e-11,64.1,21.25
-7.357650e+05,-4.277877e+06,4.518e-11,64.1,21.25
-7.357650e+05,-4.275377e+06,4.4707e-11,64.1,21.25
-7.357650e+05,-4.272877e+06,4.5043e-11,64.1,21.25
-7.357650e+05,-4.270377e+06,4.4923e-11,64.1,21.25
-7.357650e+05,-4.267877e+06,4.4173e-11,64.1,21.25
-7.357650e+05,-4.265377e+06,4.565e-11,64.1,21.25
-7.357650e+05,-4.262877e+06,4.607e-11,64.1,21.25
-7.357650e+05,-4.260377e+06,4.433e-11,64.1,21.25
-7.357650e+05,-4.257877e+06,4.457e-11,64.1,21.25
-7.357650e+05,-4.255377e+06,4.5313e-11,64.1,21.25
-7.357650e+05,-4.252877e+06,4.5513e-11,64.1,21.25
-7.357650e+05,-4.250377e+06,4.526e-11,64.1,21.25
-7.357650e+05,-4.247877e+06,4.7857e-11,64.1,21.25
