General parameters:
Start time: 2023             10              6             17              9      30.185949
Finish time: 2023             10              6             17             51      16.548607
Raster type: raster_jump
Horizontal range (nm): -5120000.000000,-5220000.000000
Vertical range (nm): -1201000.000000,-1301000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.69e-07
Sample chamber pressure: 2.15e-08
Initial position (nm): -5157740.000000,-1264799.000000,-2100001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-5120000 -5220000
hori_res:2500
vert_range:-1201000 -1301000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.643310
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1301000,-5220000,2.2255e-11,63.3,21.25
-1301000,-5217500,2.0719e-11,63.3,21.25
-1301000,-5215000,2.066e-11,63.3,21.25
-1301000,-5212500,2.0948e-11,63.3,21.25
-1301000,-5210000,2.0642e-11,63.3,21.25
-1301000,-5207500,2.0722e-11,63.3,21.25
-1301000,-5205000,2.1846e-11,63.3,21.25
-1301000,-5202500,2.1481e-11,63.3,21.25
-1301000,-5200000,2.0904e-11,63.3,21.25
-1301000,-5197500,2.0727e-11,63.3,21.25
-1301000,-5195000,2.1154e-11,63.3,21.25
-1301000,-5192500,2.0685e-11,63.3,21.25
-1301000,-5190000,2.1264e-11,63.3,21.25
-1301000,-5187500,2.1319e-11,63.3,21.25
-1301000,-5185000,2.1212e-11,63.3,21.25
-1301000,-5182500,2.1488e-11,63.3,21.25
-1301000,-5180000,2.0984e-11,63.3,21.25
-1301000,-5177500,2.067e-11,63.3,21.25
-1301000,-5175000,2.1154e-11,63.3,21.25
-1301000,-5172500,2.1321e-11,63.3,21.25
-1301000,-5170000,2.1279e-11,63.3,21.25
-1301000,-5167500,2.1234e-11,63.3,21.25
-1301000,-5165000,2.1007e-11,63.3,21.25
-1301000,-5162500,2.073e-11,63.3,21.25
-1301000,-5160000,2.0876e-11,63.3,21.25
-1301000,-5157500,2.0324e-11,63.3,21.25
-1301000,-5155000,2.1012e-11,63.3,21.25
-1301000,-5152500,2.1075e-11,63.3,21.25
-1301000,-5150000,2.0831e-11,63.3,21.25
-1301000,-5147500,2.0907e-11,63.3,21.25
-1301000,-5145000,2.0845e-11,63.3,21.25
-1301000,-5142500,2.159e-11,63.3,21.25
-1301000,-5140000,2.1891e-11,63.3,21.25
-1301000,-5137500,2.0972e-11,63.3,21.25
-1301000,-5135000,2.1431e-11,63.3,21.25
-1301000,-5132500,2.1434e-11,63.3,21.25
-1301000,-5130000,2.0899e-11,63.3,21.25
-1301000,-5127500,2.0521e-11,63.3,21.25
-1301000,-5125000,2.094e-11,63.3,21.25
-1301000,-5122500,2.0984e-11,63.3,21.25
-1301000,-5120000,2.1388e-11,63.3,21.25
-1298500,-5220000,2.1578e-11,63.3,21.25
-1298500,-5217500,2.0949e-11,63.3,21.25
-1298500,-5215000,2.0066e-11,63.3,21.25
-1298500,-5212500,2.1221e-11,63.3,21.25
-1298500,-5210000,2.1421e-11,63.3,21.25
-1298500,-5207500,2.0699e-11,63.3,21.25
-1298500,-5205000,2.0258e-11,63.3,21.25
-1298500,-5202500,2.103e-11,63.3,21.25
-1298500,-5200000,2.1042e-11,63.3,21.25
-1298500,-5197500,2.0681e-11,63.3,21.25
-1298500,-5195000,2.1288e-11,63.3,21.25
-1298500,-5192500,2.0725e-11,63.3,21.25
-1298500,-5190000,2.0919e-11,63.3,21.25
-1298500,-5187500,2.1152e-11,63.3,21.25
-1298500,-5185000,2.0664e-11,63.3,21.25
-1298500,-5182500,2.0519e-11,63.3,21.25
-1298500,-5180000,2.1722e-11,63.3,21.25
-1298500,-5177500,2.0487e-11,63.3,21.25
-1298500,-5175000,2.0249e-11,63.3,21.25
-1298500,-5172500,2.124e-11,63.3,21.25
-1298500,-5170000,2.161e-11,63.3,21.25
-1298500,-5167500,2.1445e-11,63.3,21.25
-1298500,-5165000,2.064e-11,63.3,21.25
-1298500,-5162500,2.0424e-11,63.3,21.25
-1298500,-5160000,2.1169e-11,63.3,21.25
-1298500,-5157500,2.0575e-11,63.3,21.25
-1298500,-5155000,2.1287e-11,63.3,21.25
-1298500,-5152500,2.0718e-11,63.3,21.25
-1298500,-5150000,2.1082e-11,63.3,21.25
-1298500,-5147500,2.1321e-11,63.3,21.25
-1298500,-5145000,2.1319e-11,63.3,21.25
-1298500,-5142500,2.1172e-11,63.3,21.25
-1298500,-5140000,2.1358e-11,63.3,21.25
-1298500,-5137500,2.2142e-11,63.3,21.25
-1298500,-5135000,2.0001e-11,63.3,21.25
-1298500,-5132500,1.9976e-11,63.3,21.25
-1298500,-5130000,2.0257e-11,63.3,21.25
-1298500,-5127500,2.0403e-11,63.3,21.25
-1298500,-5125000,2.0728e-11,63.3,21.25
-1298500,-5122500,2.1034e-11,63.3,21.25
-1298500,-5120000,2.1678e-11,63.3,21.25
-1296000,-5220000,2.0776e-11,63.3,21.25
-1296000,-5217500,2.0328e-11,63.3,21.25
-1296000,-5215000,2.0675e-11,63.3,21.25
-1296000,-5212500,2.0999e-11,63.3,21.25
-1296000,-5210000,2.087e-11,63.3,21.25
