General parameters:
Start time: 2023             10              8             23             26      10.765392
Finish time: 2023             10              9              0             57      32.190276
Raster type: raster_jump
Horizontal range (nm): -3307916.766912,-3507916.766912
Vertical range (nm): -1530311.255288,-1730311.255288
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.83e-07
Sample chamber pressure: 2.07e-08
Initial position (nm): -4155769.000000,-2215350.000000,-999999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3307916.7669     -3507916.7669
hori_res:2500
vert_range:-1530311.2553     -1730311.2553
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.779426
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.730311e+06,-3.507917e+06,2.132e-11,64.2,21.25
-1.730311e+06,-3.505417e+06,2.1103e-11,64.2,21.25
-1.730311e+06,-3.502917e+06,2.1453e-11,64.2,21.25
-1.730311e+06,-3.500417e+06,2.0587e-11,64.2,21.25
-1.730311e+06,-3.497917e+06,1.9987e-11,64.2,21.25
-1.730311e+06,-3.495417e+06,2.1473e-11,64.2,21.25
-1.730311e+06,-3.492917e+06,2.128e-11,64.2,21.25
-1.730311e+06,-3.490417e+06,2.0833e-11,64.2,21.25
-1.730311e+06,-3.487917e+06,2.0977e-11,64.2,21.25
-1.730311e+06,-3.485417e+06,2.0893e-11,64.2,21.25
-1.730311e+06,-3.482917e+06,2.133e-11,64.2,21.25
-1.730311e+06,-3.480417e+06,2.304e-11,64.2,21.25
-1.730311e+06,-3.477917e+06,2.0257e-11,64.2,21.25
-1.730311e+06,-3.475417e+06,2.1413e-11,64.2,21.25
-1.730311e+06,-3.472917e+06,2.0397e-11,64.2,21.25
-1.730311e+06,-3.470417e+06,2.0447e-11,64.2,21.25
-1.730311e+06,-3.467917e+06,1.954e-11,64.2,21.25
-1.730311e+06,-3.465417e+06,1.993e-11,64.2,21.25
-1.730311e+06,-3.462917e+06,2.203e-11,64.2,21.25
-1.730311e+06,-3.460417e+06,2.1123e-11,64.2,21.25
-1.730311e+06,-3.457917e+06,2.0657e-11,64.2,21.25
-1.730311e+06,-3.455417e+06,2.0667e-11,64.2,21.25
-1.730311e+06,-3.452917e+06,2.1167e-11,64.2,21.25
-1.730311e+06,-3.450417e+06,2.1317e-11,64.2,21.25
-1.730311e+06,-3.447917e+06,2.1673e-11,64.2,21.25
-1.730311e+06,-3.445417e+06,2.1853e-11,64.2,21.25
-1.730311e+06,-3.442917e+06,2.143e-11,64.2,21.25
-1.730311e+06,-3.440417e+06,2.2397e-11,64.2,21.25
-1.730311e+06,-3.437917e+06,2.1003e-11,64.2,21.25
-1.730311e+06,-3.435417e+06,2.2113e-11,64.2,21.25
-1.730311e+06,-3.432917e+06,2.1983e-11,64.2,21.25
-1.730311e+06,-3.430417e+06,2.0593e-11,64.2,21.25
-1.730311e+06,-3.427917e+06,2.1063e-11,64.2,21.25
-1.730311e+06,-3.425417e+06,2.0683e-11,64.2,21.25
-1.730311e+06,-3.422917e+06,2.1487e-11,64.2,21.25
-1.730311e+06,-3.420417e+06,2.1423e-11,64.2,21.25
-1.730311e+06,-3.417917e+06,2.0263e-11,64.2,21.25
-1.730311e+06,-3.415417e+06,2.0717e-11,64.2,21.25
-1.730311e+06,-3.412917e+06,1.986e-11,64.2,21.25
-1.730311e+06,-3.410417e+06,2.1683e-11,64.2,21.25
-1.730311e+06,-3.407917e+06,2.064e-11,64.2,21.25
-1.730311e+06,-3.405417e+06,2.0287e-11,64.2,21.25
-1.730311e+06,-3.402917e+06,2.077e-11,64.2,21.25
-1.730311e+06,-3.400417e+06,2.0377e-11,64.2,21.25
-1.730311e+06,-3.397917e+06,2.242e-11,64.2,21.25
-1.730311e+06,-3.395417e+06,2.053e-11,64.2,21.25
-1.730311e+06,-3.392917e+06,2.1123e-11,64.2,21.25
-1.730311e+06,-3.390417e+06,2.1283e-11,64.2,21.25
-1.730311e+06,-3.387917e+06,2.19e-11,64.2,21.25
-1.730311e+06,-3.385417e+06,2.1673e-11,64.2,21.25
-1.730311e+06,-3.382917e+06,2.1557e-11,64.2,21.25
-1.730311e+06,-3.380417e+06,2.0277e-11,64.2,21.25
-1.730311e+06,-3.377917e+06,2.007e-11,64.2,21.25
