General parameters:
Start time: 2023             10              9              0             57      45.096178
Finish time: 2023             10              9              2             29       8.801062
Raster type: raster_jump
Horizontal range (nm): -3495193.389986,-3695193.389986
Vertical range (nm): -1482270.341532,-1682270.341532
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.83e-07
Sample chamber pressure: 2.02e-08
Initial position (nm): -3307956.000000,-1530310.000000,-999998.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3495193.39       -3695193.39
hori_res:2500
vert_range:-1482270.3415     -1682270.3415
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.786608
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.682270e+06,-3.695193e+06,2.0547e-11,64.2,21.25
-1.682270e+06,-3.692693e+06,2.199e-11,64.2,21.25
-1.682270e+06,-3.690193e+06,2.0383e-11,64.2,21.25
-1.682270e+06,-3.687693e+06,1.9733e-11,64.2,21.25
-1.682270e+06,-3.685193e+06,2.104e-11,64.2,21.25
-1.682270e+06,-3.682693e+06,2.1187e-11,64.2,21.25
-1.682270e+06,-3.680193e+06,2.0543e-11,64.2,21.25
-1.682270e+06,-3.677693e+06,1.9927e-11,64.2,21.25
-1.682270e+06,-3.675193e+06,2.012e-11,64.2,21.25
-1.682270e+06,-3.672693e+06,2.117e-11,64.2,21.25
-1.682270e+06,-3.670193e+06,2.054e-11,64.2,21.25
-1.682270e+06,-3.667693e+06,1.9397e-11,64.2,21.25
-1.682270e+06,-3.665193e+06,1.9693e-11,64.2,21.25
-1.682270e+06,-3.662693e+06,2.0183e-11,64.2,21.25
-1.682270e+06,-3.660193e+06,2.1743e-11,64.2,21.25
-1.682270e+06,-3.657693e+06,2.169e-11,64.2,21.25
-1.682270e+06,-3.655193e+06,2.2433e-11,64.2,21.25
-1.682270e+06,-3.652693e+06,2.0313e-11,64.2,21.25
-1.682270e+06,-3.650193e+06,2.0547e-11,64.2,21.25
-1.682270e+06,-3.647693e+06,2.0313e-11,64.2,21.25
-1.682270e+06,-3.645193e+06,2.1067e-11,64.2,21.25
-1.682270e+06,-3.642693e+06,1.913e-11,64.2,21.25
-1.682270e+06,-3.640193e+06,2.1623e-11,64.2,21.25
-1.682270e+06,-3.637693e+06,2.124e-11,64.2,21.25
-1.682270e+06,-3.635193e+06,2.1763e-11,64.2,21.25
-1.682270e+06,-3.632693e+06,2.127e-11,64.2,21.25
-1.682270e+06,-3.630193e+06,2.044e-11,64.2,21.25
-1.682270e+06,-3.627693e+06,2.178e-11,64.2,21.25
-1.682270e+06,-3.625193e+06,2.0397e-11,64.2,21.25
-1.682270e+06,-3.622693e+06,2.1113e-11,64.2,21.25
-1.682270e+06,-3.620193e+06,2.0867e-11,64.2,21.25
-1.682270e+06,-3.617693e+06,2.0227e-11,64.2,21.25
-1.682270e+06,-3.615193e+06,1.9863e-11,64.2,21.25
-1.682270e+06,-3.612693e+06,2.047e-11,64.2,21.25
-1.682270e+06,-3.610193e+06,2.1927e-11,64.2,21.25
-1.682270e+06,-3.607693e+06,2.0433e-11,64.2,21.25
-1.682270e+06,-3.605193e+06,2.0953e-11,64.2,21.25
-1.682270e+06,-3.602693e+06,2.1367e-11,64.2,21.25
-1.682270e+06,-3.600193e+06,1.9403e-11,64.2,21.25
-1.682270e+06,-3.597693e+06,1.9783e-11,64.2,21.25
-1.682270e+06,-3.595193e+06,2.1643e-11,64.2,21.25
-1.682270e+06,-3.592693e+06,2.1287e-11,64.2,21.25
-1.682270e+06,-3.590193e+06,2.097e-11,64.2,21.25
-1.682270e+06,-3.587693e+06,2.066e-11,64.2,21.25
-1.682270e+06,-3.585193e+06,2.0593e-11,64.2,21.25
-1.682270e+06,-3.582693e+06,2.17e-11,64.2,21.25
-1.682270e+06,-3.580193e+06,2.0223e-11,64.2,21.25
-1.682270e+06,-3.577693e+06,2.1337e-11,64.2,21.25
-1.682270e+06,-3.575193e+06,2.043e-11,64.2,21.25
-1.682270e+06,-3.572693e+06,2.1207e-11,64.2,21.25
-1.682270e+06,-3.570193e+06,2.046e-11,64.2,21.25
-1.682270e+06,-3.567693e+06,2.0647e-11,64.2,21.25
-1.682270e+06,-3.565193e+06,2.193e-11,64.2,21.25
-1.682270e+06,-3.562693e+06,2.1087e-11,64.2,21.25
-1.682270e+06,-3.560193e+06,2.0967e-11,64.2,21.25
-1.682270e+06,-3.557693e+06,2.156e-11,64.2,21.25
-1.682270e+06,-3.555193e+06,2.0747e-11,64.2,21.25
-1.682270e+06,-3.552693e+06,1.9997e-11,64.2,21.25
-1.682270e+06,-3.550193e+06,2.0807e-11,64.2,21.25
-1.682270e+06,-3.547693e+06,2.038e-11,64.2,21.25
-1.682270e+06,-3.545193e+06,2.0197e-11,64.2,21.25
-1.682270e+06,-3.542693e+06,2.073e-11,64.2,21.25
-1.682270e+06,-3.540193e+06,2.216e-11,64.2,21.25
-1.682270e+06,-3.537693e+06,2.158e-11,64.2,21.25
-1.682270e+06,-3.535193e+06,2.1433e-11,64.2,21.25
-1.682270e+06,-3.532693e+06,1.9827e-11,64.2,21.25
-1.682270e+06,-3.530193e+06,2.175e-11,64.2,21.25
