General parameters:
Start time: 2023             10              9              2             29      21.593842
Finish time: 2023             10              9              4              0      47.078242
Raster type: raster_jump
Horizontal range (nm): -3671282.643221,-3871282.643221
Vertical range (nm): -1402439.032888,-1602439.032888
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.84e-07
Sample chamber pressure: 2.03e-08
Initial position (nm): -3495206.000000,-1482270.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3671282.6432     -3871282.6432
hori_res:2500
vert_range:-1402439.0329     -1602439.0329
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.792764
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.602439e+06,-3.871283e+06,3.28e-11,64.3,21.25
-1.602439e+06,-3.868783e+06,2.061e-11,64.3,21.25
-1.602439e+06,-3.866283e+06,2.1193e-11,64.3,21.25
-1.602439e+06,-3.863783e+06,2.143e-11,64.3,21.25
-1.602439e+06,-3.861283e+06,2.1513e-11,64.3,21.25
-1.602439e+06,-3.858783e+06,3.5603e-11,64.3,21.25
-1.602439e+06,-3.856283e+06,1.0028e-10,64.3,21.25
-1.602439e+06,-3.853783e+06,1.7702e-10,64.3,21.25
-1.602439e+06,-3.851283e+06,2.1404e-10,64.3,21.25
-1.602439e+06,-3.848783e+06,2.2201e-10,64.3,21.25
-1.602439e+06,-3.846283e+06,2.2495e-10,64.3,21.25
-1.602439e+06,-3.843783e+06,2.0819e-10,64.3,21.25
-1.602439e+06,-3.841283e+06,1.6406e-10,64.3,21.25
-1.602439e+06,-3.838783e+06,9.44e-11,64.3,21.25
-1.602439e+06,-3.836283e+06,4.0473e-11,64.3,21.25
-1.602439e+06,-3.833783e+06,2.3347e-11,64.3,21.25
-1.602439e+06,-3.831283e+06,2.1923e-11,64.3,21.25
-1.602439e+06,-3.828783e+06,2.322e-11,64.3,21.25
-1.602439e+06,-3.826283e+06,2.1843e-11,64.3,21.25
-1.602439e+06,-3.823783e+06,2.0497e-11,64.3,21.25
-1.602439e+06,-3.821283e+06,2.1297e-11,64.3,21.25
-1.602439e+06,-3.818783e+06,2.1597e-11,64.3,21.25
-1.602439e+06,-3.816283e+06,2.0517e-11,64.3,21.25
-1.602439e+06,-3.813783e+06,2.1483e-11,64.3,21.25
-1.602439e+06,-3.811283e+06,1.9883e-11,64.3,21.25
-1.602439e+06,-3.808783e+06,2.2177e-11,64.3,21.25
-1.602439e+06,-3.806283e+06,2.1167e-11,64.3,21.25
-1.602439e+06,-3.803783e+06,2.1303e-11,64.3,21.25
-1.602439e+06,-3.801283e+06,2.074e-11,64.3,21.25
-1.602439e+06,-3.798783e+06,2.175e-11,64.3,21.25
-1.602439e+06,-3.796283e+06,2.0953e-11,64.3,21.25
-1.602439e+06,-3.793783e+06,2.1467e-11,64.3,21.25
-1.602439e+06,-3.791283e+06,2.0643e-11,64.3,21.25
-1.602439e+06,-3.788783e+06,2.006e-11,64.3,21.25
-1.602439e+06,-3.786283e+06,2.0453e-11,64.3,21.25
-1.602439e+06,-3.783783e+06,1.9997e-11,64.3,21.25
-1.602439e+06,-3.781283e+06,2.066e-11,64.3,21.25
-1.602439e+06,-3.778783e+06,1.897e-11,64.3,21.25
-1.602439e+06,-3.776283e+06,2.1217e-11,64.3,21.25
-1.602439e+06,-3.773783e+06,2.056e-11,64.3,21.25
-1.602439e+06,-3.771283e+06,2.0877e-11,64.3,21.25
-1.602439e+06,-3.768783e+06,2.024e-11,64.3,21.25
