General parameters:
Start time: 2023             10              9              4              0      59.865566
Finish time: 2023             10              9              5             32       23.42551
Raster type: raster_jump
Horizontal range (nm): -3830834.143761,-4030834.143761
Vertical range (nm): -1293242.963270,-1493242.963270
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.84e-07
Sample chamber pressure: 2.03e-08
Initial position (nm): -3671282.000000,-1402440.000000,-999998.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3830834.1438     -4030834.1438
hori_res:2500
vert_range:-1293242.9633     -1493242.9633
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.794816
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.493243e+06,-4.030834e+06,3.24e-11,64.2,21.25
-1.493243e+06,-4.028334e+06,2.245e-11,64.2,21.25
-1.493243e+06,-4.025834e+06,2.2437e-11,64.2,21.25
-1.493243e+06,-4.023334e+06,3.695e-11,64.2,21.25
-1.493243e+06,-4.020834e+06,9.5733e-11,64.2,21.25
-1.493243e+06,-4.018334e+06,1.7322e-10,64.2,21.25
-1.493243e+06,-4.015834e+06,1.9383e-10,64.2,21.25
-1.493243e+06,-4.013334e+06,1.8593e-10,64.2,21.25
-1.493243e+06,-4.010834e+06,1.8987e-10,64.2,21.25
-1.493243e+06,-4.008334e+06,2.0142e-10,64.2,21.25
-1.493243e+06,-4.005834e+06,2.1494e-10,64.2,21.25
-1.493243e+06,-4.003334e+06,1.8363e-10,64.2,21.25
-1.493243e+06,-4.000834e+06,1.0745e-10,64.2,21.25
-1.493243e+06,-3.998334e+06,4.2017e-11,64.2,21.25
-1.493243e+06,-3.995834e+06,2.5577e-11,64.2,21.25
-1.493243e+06,-3.993334e+06,2.1503e-11,64.2,21.25
-1.493243e+06,-3.990834e+06,2.2273e-11,64.2,21.25
-1.493243e+06,-3.988334e+06,2.2337e-11,64.2,21.25
-1.493243e+06,-3.985834e+06,2.2063e-11,64.2,21.25
-1.493243e+06,-3.983334e+06,2.122e-11,64.2,21.25
-1.493243e+06,-3.980834e+06,2.125e-11,64.2,21.25
-1.493243e+06,-3.978334e+06,2.1973e-11,64.2,21.25
-1.493243e+06,-3.975834e+06,2.1753e-11,64.2,21.25
-1.493243e+06,-3.973334e+06,2.1543e-11,64.2,21.25
-1.493243e+06,-3.970834e+06,1.971e-11,64.2,21.25
-1.493243e+06,-3.968334e+06,2.0967e-11,64.2,21.25
-1.493243e+06,-3.965834e+06,2.0973e-11,64.2,21.25
-1.493243e+06,-3.963334e+06,2.1203e-11,64.2,21.25
-1.493243e+06,-3.960834e+06,2.065e-11,64.2,21.25
-1.493243e+06,-3.958334e+06,2.1207e-11,64.2,21.25
-1.493243e+06,-3.955834e+06,2.1193e-11,64.2,21.25
-1.493243e+06,-3.953334e+06,2.0553e-11,64.2,21.25
-1.493243e+06,-3.950834e+06,2.0357e-11,64.2,21.25
-1.493243e+06,-3.948334e+06,2.1027e-11,64.2,21.25
-1.493243e+06,-3.945834e+06,2.1163e-11,64.2,21.25
-1.493243e+06,-3.943334e+06,2.082e-11,64.2,21.25
-1.493243e+06,-3.940834e+06,2.0953e-11,64.2,21.25
-1.493243e+06,-3.938334e+06,2.022e-11,64.2,21.25
-1.493243e+06,-3.935834e+06,2.0533e-11,64.2,21.25
-1.493243e+06,-3.933334e+06,2.0947e-11,64.2,21.25
-1.493243e+06,-3.930834e+06,2.1133e-11,64.2,21.25
-1.493243e+06,-3.928334e+06,2.0387e-11,64.2,21.25
-1.493243e+06,-3.925834e+06,2.1007e-11,64.2,21.25
-1.493243e+06,-3.923334e+06,2.145e-11,64.2,21.25
-1.493243e+06,-3.920834e+06,2.0937e-11,64.2,21.25
-1.493243e+06,-3.918334e+06,2.0103e-11,64.2,21.25
-1.493243e+06,-3.915834e+06,2.0357e-11,64.2,21.25
-1.493243e+06,-3.913334e+06,2.041e-11,64.2,21.25
-1.493243e+06,-3.910834e+06,2.0423e-11,64.2,21.25
-1.493243e+06,-3.908334e+06,1.9947e-11,64.2,21.25
-1.493243e+06,-3.905834e+06,1.9943e-11,64.2,21.25
-1.493243e+06,-3.903334e+06,2.1343e-11,64.2,21.25
-1.493243e+06,-3.900834e+06,2.1457e-11,64.2,21.25
-1.493243e+06,-3.898334e+06,2.051e-11,64.2,21.25
-1.493243e+06,-3.895834e+06,2.0487e-11,64.2,21.25
-1.493243e+06,-3.893334e+06,2.0833e-11,64.2,21.25
-1.493243e+06,-3.890834e+06,1.9717e-11,64.2,21.25
-1.493243e+06,-3.888334e+06,2.0267e-11,64.2,21.25
-1.493243e+06,-3.885834e+06,2.0667e-11,64.2,21.25
-1.493243e+06,-3.883334e+06,2.0293e-11,64.2,21.25
-1.493243e+06,-3.880834e+06,2.0037e-11,64.2,21.25
-1.493243e+06,-3.878334e+06,1.9777e-11,64.2,21.25
-1.493243e+06,-3.875834e+06,1.9853e-11,64.2,21.25
-1.493243e+06,-3.873334e+06,2.0227e-11,64.2,21.25
-1.493243e+06,-3.870834e+06,1.9467e-11,64.2,21.25
-1.493243e+06,-3.868334e+06,2.0383e-11,64.2,21.25
-1.493243e+06,-3.865834e+06,2.065e-11,64.2,21.25
-1.493243e+06,-3.863334e+06,1.9593e-11,64.2,21.25
-1.493243e+06,-3.860834e+06,2.152e-11,64.2,21.25
-1.493243e+06,-3.858334e+06,2.158e-11,64.2,21.25
-1.493243e+06,-3.855834e+06,2.0267e-11,64.2,21.25
-1.493243e+06,-3.853334e+06,1.9343e-11,64.2,21.25
-1.493243e+06,-3.850834e+06,2.0717e-11,64.2,21.25
-1.493243e+06,-3.848334e+06,1.9513e-11,64.2,21.25
-1.493243e+06,-3.845834e+06,1.8263e-11,64.2,21.25
-1.493243e+06,-3.843334e+06,2.088e-11,64.2,21.25
-1.493243e+06,-3.840834e+06,2.135e-11,64.2,21.25
-1.493243e+06,-3.838334e+06,1.919e-11,64.2,21.25
-1.493243e+06,-3.835834e+06,2.0857e-11,64.2,21.25
-1.493243e+06,-3.833334e+06,1.982e-11,64.2,21.25
-1.493243e+06,-3.830834e+06,1.9713e-11,64.2,21.25
-1.490743e+06,-4.030834e+06,2.7127e-11,64.2,21.25
-1.490743e+06,-4.028334e+06,2.2337e-11,64.2,21.25
-1.490743e+06,-4.025834e+06,2.1653e-11,64.2,21.25
-1.490743e+06,-4.023334e+06,3.1223e-11,64.2,21.25
-1.490743e+06,-4.020834e+06,8.6143e-11,64.2,21.25
-1.490743e+06,-4.018334e+06,1.5642e-10,64.2,21.25
-1.490743e+06,-4.015834e+06,1.8314e-10,64.2,21.25
-1.490743e+06,-4.013334e+06,1.7751e-10,64.2,21.25
-1.490743e+06,-4.010834e+06,1.932e-10,64.2,21.25
-1.490743e+06,-4.008334e+06,2.1297e-10,64.2,21.25
-1.490743e+06,-4.005834e+06,2.1487e-10,64.2,21.25
-1.490743e+06,-4.003334e+06,1.8378e-10,64.2,21.25
-1.490743e+06,-4.000834e+06,1.0574e-10,64.2,21.25
-1.490743e+06,-3.998334e+06,4.5077e-11,64.2,21.25
-1.490743e+06,-3.995834e+06,2.6123e-11,64.2,21.25
-1.490743e+06,-3.993334e+06,2.3067e-11,64.2,21.25
-1.490743e+06,-3.990834e+06,2.1893e-11,64.2,21.25
-1.490743e+06,-3.988334e+06,2.0223e-11,64.2,21.25
-1.490743e+06,-3.985834e+06,2.034e-11,64.2,21.25
-1.490743e+06,-3.983334e+06,2.0967e-11,64.2,21.25
-1.490743e+06,-3.980834e+06,2.076e-11,64.2,21.25
-1.490743e+06,-3.978334e+06,2.3133e-11,64.2,21.25
-1.490743e+06,-3.975834e+06,2.1203e-11,64.2,21.25
-1.490743e+06,-3.973334e+06,2.132e-11,64.2,21.25
-1.490743e+06,-3.970834e+06,2.063e-11,64.2,21.25
-1.490743e+06,-3.968334e+06,2.1283e-11,64.2,21.25
-1.490743e+06,-3.965834e+06,2.184e-11,64.2,21.25
-1.490743e+06,-3.963334e+06,2.004e-11,64.2,21.25
-1.490743e+06,-3.960834e+06,2.1803e-11,64.2,21.25
-1.490743e+06,-3.958334e+06,2.121e-11,64.2,21.25
-1.490743e+06,-3.955834e+06,2.1507e-11,64.2,21.25
-1.490743e+06,-3.953334e+06,2.0773e-11,64.2,21.25
-1.490743e+06,-3.950834e+06,2.0243e-11,64.2,21.25
-1.490743e+06,-3.948334e+06,2.1103e-11,64.2,21.25
