General parameters:
Start time: 2023             10              9              5             32      36.196892
Finish time: 2023             10              9              7              4       3.248387
Raster type: raster_jump
Horizontal range (nm): -3969000.000000,-4169000.000000
Vertical range (nm): -1158000.000000,-1358000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.83e-07
Sample chamber pressure: 2.02e-08
Initial position (nm): -3830833.000000,-1293240.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3969000 -4169000
hori_res:2500
vert_range:-1158000 -1358000
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.797210
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1358000,-4169000,2.139e-11,64.2,21.25
-1358000,-4166500,2.0307e-11,64.2,21.25
-1358000,-4164000,2.0723e-11,64.2,21.25
-1358000,-4161500,2.0863e-11,64.2,21.25
-1358000,-4159000,2.0823e-11,64.2,21.25
-1358000,-4156500,2.1953e-11,64.2,21.25
-1358000,-4154000,1.9977e-11,64.2,21.25
-1358000,-4151500,2.0473e-11,64.2,21.25
-1358000,-4149000,1.988e-11,64.2,21.25
-1358000,-4146500,2.1147e-11,64.2,21.25
-1358000,-4144000,2.156e-11,64.2,21.25
-1358000,-4141500,2.0817e-11,64.2,21.25
-1358000,-4139000,2.047e-11,64.2,21.25
-1358000,-4136500,2.0623e-11,64.2,21.25
-1358000,-4134000,2.1317e-11,64.2,21.25
-1358000,-4131500,1.9923e-11,64.2,21.25
-1358000,-4129000,1.9647e-11,64.2,21.25
-1358000,-4126500,2.176e-11,64.2,21.25
-1358000,-4124000,1.8563e-11,64.2,21.25
-1358000,-4121500,2.062e-11,64.2,21.25
-1358000,-4119000,2.139e-11,64.2,21.25
-1358000,-4116500,2.124e-11,64.2,21.25
-1358000,-4114000,2.128e-11,64.2,21.25
-1358000,-4111500,2.1243e-11,64.2,21.25
-1358000,-4109000,2.1653e-11,64.2,21.25
-1358000,-4106500,2.146e-11,64.2,21.25
-1358000,-4104000,2.1223e-11,64.2,21.25
-1358000,-4101500,2.0927e-11,64.2,21.25
-1358000,-4099000,2.0273e-11,64.2,21.25
-1358000,-4096500,2.0387e-11,64.2,21.25
-1358000,-4094000,2.1417e-11,64.2,21.25
-1358000,-4091500,1.9957e-11,64.2,21.25
-1358000,-4089000,2.0243e-11,64.2,21.25
-1358000,-4086500,2.0323e-11,64.2,21.25
-1358000,-4084000,2.0017e-11,64.2,21.25
-1358000,-4081500,2.0257e-11,64.2,21.25
-1358000,-4079000,2.1013e-11,64.2,21.25
-1358000,-4076500,2.1037e-11,64.2,21.25
-1358000,-4074000,1.9863e-11,64.2,21.25
-1358000,-4071500,2.079e-11,64.2,21.25
-1358000,-4069000,2.0977e-11,64.2,21.25
-1358000,-4066500,2.1353e-11,64.2,21.25
-1358000,-4064000,2.055e-11,64.2,21.25
