General parameters:
Start time: 2023             10              9              8             36        1.29275
Finish time: 2023             10              9             10              7      29.550575
Raster type: raster_jump
Horizontal range (nm): -4165159.730183,-4365159.730183
Vertical range (nm): -826477.111527,-1026477.111527
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.82e-07
Sample chamber pressure: 2.00e-08
Initial position (nm): -4081584.000000,-1000820.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4165159.7302     -4365159.7302
hori_res:2500
vert_range:-826477.11153     -1026477.1115
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.805076
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.026477e+06,-4.365160e+06,2.2343e-11,64.0,21.25
-1.026477e+06,-4.362660e+06,2.2117e-11,64.0,21.25
-1.026477e+06,-4.360160e+06,2.1807e-11,64.0,21.25
-1.026477e+06,-4.357660e+06,2.1337e-11,64.0,21.25
-1.026477e+06,-4.355160e+06,2.2677e-11,64.0,21.25
-1.026477e+06,-4.352660e+06,2.2327e-11,64.0,21.25
-1.026477e+06,-4.350160e+06,2.2423e-11,64.0,21.25
-1.026477e+06,-4.347660e+06,2.1217e-11,64.0,21.25
-1.026477e+06,-4.345160e+06,2.3077e-11,64.0,21.25
-1.026477e+06,-4.342660e+06,2.119e-11,64.0,21.25
-1.026477e+06,-4.340160e+06,2.2173e-11,64.0,21.25
-1.026477e+06,-4.337660e+06,2.208e-11,64.0,21.25
-1.026477e+06,-4.335160e+06,2.1703e-11,64.0,21.25
-1.026477e+06,-4.332660e+06,2.2423e-11,64.0,21.25
-1.026477e+06,-4.330160e+06,2.2533e-11,64.0,21.25
-1.026477e+06,-4.327660e+06,2.303e-11,64.0,21.25
-1.026477e+06,-4.325160e+06,2.274e-11,64.0,21.25
-1.026477e+06,-4.322660e+06,2.2217e-11,64.0,21.25
-1.026477e+06,-4.320160e+06,2.2437e-11,64.0,21.25
-1.026477e+06,-4.317660e+06,2.236e-11,64.0,21.25
-1.026477e+06,-4.315160e+06,2.163e-11,64.0,21.25
-1.026477e+06,-4.312660e+06,2.2293e-11,64.0,21.25
-1.026477e+06,-4.310160e+06,2.1677e-11,64.0,21.25
-1.026477e+06,-4.307660e+06,2.2597e-11,64.0,21.25
-1.026477e+06,-4.305160e+06,2.1063e-11,64.0,21.25
-1.026477e+06,-4.302660e+06,2.2227e-11,64.0,21.25
-1.026477e+06,-4.300160e+06,2.1407e-11,64.0,21.25
-1.026477e+06,-4.297660e+06,2.2447e-11,64.0,21.25
-1.026477e+06,-4.295160e+06,2.1053e-11,64.0,21.25
-1.026477e+06,-4.292660e+06,2.1383e-11,64.0,21.25
-1.026477e+06,-4.290160e+06,2.2107e-11,64.0,21.25
-1.026477e+06,-4.287660e+06,2.303e-11,64.0,21.25
-1.026477e+06,-4.285160e+06,2.135e-11,64.0,21.25
-1.026477e+06,-4.282660e+06,2.2447e-11,64.0,21.25
-1.026477e+06,-4.280160e+06,2.12e-11,64.0,21.25
-1.026477e+06,-4.277660e+06,2.099e-11,64.0,21.25
-1.026477e+06,-4.275160e+06,2.1683e-11,64.0,21.25
-1.026477e+06,-4.272660e+06,2.1267e-11,64.0,21.25
-1.026477e+06,-4.270160e+06,2.1753e-11,64.0,21.25
-1.026477e+06,-4.267660e+06,2.1943e-11,64.0,21.25
-1.026477e+06,-4.265160e+06,2.1157e-11,64.0,21.25
-1.026477e+06,-4.262660e+06,2.1677e-11,64.0,21.25
-1.026477e+06,-4.260160e+06,2.2017e-11,64.0,21.25
-1.026477e+06,-4.257660e+06,2.225e-11,64.0,21.25
-1.026477e+06,-4.255160e+06,2.0123e-11,64.0,21.25
-1.026477e+06,-4.252660e+06,2.1657e-11,64.0,21.25
-1.026477e+06,-4.250160e+06,2.1567e-11,64.0,21.25
-1.026477e+06,-4.247660e+06,2.0823e-11,64.0,21.25
-1.026477e+06,-4.245160e+06,2.2477e-11,64.0,21.25
-1.026477e+06,-4.242660e+06,2.1657e-11,64.0,21.25
-1.026477e+06,-4.240160e+06,2.1373e-11,64.0,21.25
-1.026477e+06,-4.237660e+06,2.1547e-11,64.0,21.25
-1.026477e+06,-4.235160e+06,2.2223e-11,64.0,21.25
