General parameters:
Start time: 2023             10              9             15              2      53.087288
Finish time: 2023             10              9             15             36      45.998561
Raster type: raster_jump
Horizontal range (nm): -3916002.000000,-4002002.000000
Vertical range (nm): -1296500.000000,-1391500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.74e-07
Sample chamber pressure: 2.12e-08
Initial position (nm): -4304687.000000,0.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3916002 -4002002
hori_res:2500
vert_range:-1296500 -1391500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.780452
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1391500,-4002002,2.1294e-11,63.5,21.25
-1391500,-3999502,2.0643e-11,63.5,21.25
-1391500,-3997002,2.0733e-11,63.5,21.25
-1391500,-3994502,2.0588e-11,63.5,21.25
-1391500,-3992002,2.0806e-11,63.5,21.25
-1391500,-3989502,2.0624e-11,63.5,21.25
-1391500,-3987002,2.0555e-11,63.5,21.25
-1391500,-3984502,2.0794e-11,63.5,21.25
-1391500,-3982002,2.0321e-11,63.5,21.25
-1391500,-3979502,2.1087e-11,63.5,21.25
-1391500,-3977002,1.9899e-11,63.5,21.25
-1391500,-3974502,2.0225e-11,63.5,21.25
-1391500,-3972002,2.1063e-11,63.5,21.25
-1391500,-3969502,2.0127e-11,63.5,21.25
-1391500,-3967002,2.069e-11,63.5,21.25
-1391500,-3964502,2.0143e-11,63.5,21.25
-1391500,-3962002,2.0166e-11,63.5,21.25
-1391500,-3959502,2.0027e-11,63.5,21.25
-1391500,-3957002,2.0193e-11,63.5,21.25
-1391500,-3954502,2.1345e-11,63.5,21.25
-1391500,-3952002,1.9972e-11,63.5,21.25
-1391500,-3949502,2.0631e-11,63.5,21.25
-1391500,-3947002,2.0627e-11,63.5,21.25
-1391500,-3944502,2.0049e-11,63.5,21.25
-1391500,-3942002,2.053e-11,63.5,21.25
-1391500,-3939502,2.0725e-11,63.5,21.25
-1391500,-3937002,2.101e-11,63.5,21.25
-1391500,-3934502,2.0622e-11,63.5,21.25
-1391500,-3932002,2.1187e-11,63.5,21.25
-1391500,-3929502,2.031e-11,63.5,21.25
-1391500,-3927002,2.0851e-11,63.5,21.25
-1391500,-3924502,2.0918e-11,63.5,21.25
-1391500,-3922002,2.0693e-11,63.5,21.25
-1391500,-3919502,2.054e-11,63.5,21.25
-1391500,-3917002,2.0843e-11,63.5,21.25
-1389000,-4002002,2.0524e-11,63.5,21.25
-1389000,-3999502,2.0543e-11,63.5,21.25
-1389000,-3997002,2.0401e-11,63.5,21.25
-1389000,-3994502,2.0866e-11,63.5,21.25
-1389000,-3992002,2.0413e-11,63.5,21.25
-1389000,-3989502,1.9688e-11,63.5,21.25
-1389000,-3987002,1.9696e-11,63.5,21.25
-1389000,-3984502,1.9904e-11,63.5,21.25
-1389000,-3982002,2.0619e-11,63.5,21.25
-1389000,-3979502,2.0285e-11,63.5,21.25
-1389000,-3977002,2.0106e-11,63.5,21.25
-1389000,-3974502,2.0466e-11,63.5,21.25
-1389000,-3972002,2.0127e-11,63.5,21.25
-1389000,-3969502,2.0213e-11,63.5,21.25
-1389000,-3967002,2.0501e-11,63.5,21.25
-1389000,-3964502,2.1122e-11,63.5,21.25
-1389000,-3962002,2.0509e-11,63.5,21.25
-1389000,-3959502,1.9594e-11,63.5,21.25
-1389000,-3957002,2.0151e-11,63.5,21.25
-1389000,-3954502,2.0524e-11,63.5,21.25
-1389000,-3952002,2.0349e-11,63.5,21.25
-1389000,-3949502,1.9919e-11,63.5,21.25
-1389000,-3947002,2.0037e-11,63.5,21.25
-1389000,-3944502,2.0836e-11,63.5,21.25
-1389000,-3942002,2.0648e-11,63.5,21.25
-1389000,-3939502,2.0681e-11,63.5,21.25
-1389000,-3937002,2.0527e-11,63.5,21.25
-1389000,-3934502,1.9122e-11,63.5,21.25
-1389000,-3932002,2.0754e-11,63.5,21.25
-1389000,-3929502,2.0452e-11,63.5,21.25
-1389000,-3927002,1.9751e-11,63.5,21.25
-1389000,-3924502,2.0019e-11,63.5,21.25
-1389000,-3922002,1.9621e-11,63.5,21.25
-1389000,-3919502,1.9991e-11,63.5,21.25
-1389000,-3917002,2.103e-11,63.5,21.25
-1386500,-4002002,2.0863e-11,63.5,21.25
-1386500,-3999502,1.944e-11,63.5,21.25
-1386500,-3997002,2.0966e-11,63.5,21.25
-1386500,-3994502,2.0891e-11,63.5,21.25
-1386500,-3992002,2.0393e-11,63.5,21.25
-1386500,-3989502,2.0009e-11,63.5,21.25
-1386500,-3987002,2.101e-11,63.5,21.25
-1386500,-3984502,1.9815e-11,63.5,21.25
-1386500,-3982002,2.0572e-11,63.5,21.25
-1386500,-3979502,2.0063e-11,63.5,21.25
-1386500,-3977002,2.0007e-11,63.5,21.25
-1386500,-3974502,2.0973e-11,63.5,21.25
-1386500,-3972002,2.1201e-11,63.5,21.25
-1386500,-3969502,2.0878e-11,63.5,21.25
-1386500,-3967002,2.0667e-11,63.5,21.25
-1386500,-3964502,1.9863e-11,63.5,21.25
-1386500,-3962002,2.073e-11,63.5,21.25
-1386500,-3959502,2.0615e-11,63.5,21.25
-1386500,-3957002,2.0301e-11,63.5,21.25
-1386500,-3954502,2.0658e-11,63.5,21.25
-1386500,-3952002,2.0637e-11,63.5,21.25
-1386500,-3949502,2.0385e-11,63.5,21.25
-1386500,-3947002,2.0699e-11,63.5,21.25
-1386500,-3944502,2.1066e-11,63.5,21.25
