General parameters:
Start time: 2023             10              9             22             34      28.969195
Finish time: 2023             10              9             23             13       4.207914
Raster type: raster_jump
Horizontal range (nm): -3640002.000000,-3734002.000000
Vertical range (nm): -1418000.000000,-1518000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.82e-07
Sample chamber pressure: 2.07e-08
Initial position (nm): -2919750.000000,-1457080.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3640002 -3734002
hori_res:2500
vert_range:-1418000 -1518000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.798920
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1518000,-3734002,2.2572e-11,64.1,21.25
-1518000,-3731502,2.2045e-11,64.1,21.25
-1518000,-3729002,2.1703e-11,64.1,21.25
-1518000,-3726502,2.2509e-11,64.1,21.25
-1518000,-3724002,2.1119e-11,64.1,21.25
-1518000,-3721502,2.2822e-11,64.1,21.25
-1518000,-3719002,2.2593e-11,64.1,21.25
-1518000,-3716502,2.1004e-11,64.1,21.25
-1518000,-3714002,2.1878e-11,64.1,21.25
-1518000,-3711502,2.229e-11,64.1,21.25
-1518000,-3709002,2.1688e-11,64.1,21.25
-1518000,-3706502,2.2554e-11,64.1,21.25
-1518000,-3704002,2.3128e-11,64.1,21.25
-1518000,-3701502,2.2163e-11,64.1,21.25
-1518000,-3699002,2.2267e-11,64.1,21.25
-1518000,-3696502,2.166e-11,64.1,21.25
-1518000,-3694002,2.2591e-11,64.1,21.25
-1518000,-3691502,2.2791e-11,64.1,21.25
-1518000,-3689002,2.2475e-11,64.1,21.25
-1518000,-3686502,2.2249e-11,64.1,21.25
-1518000,-3684002,2.2025e-11,64.1,21.25
-1518000,-3681502,2.1446e-11,64.1,21.25
-1518000,-3679002,2.3397e-11,64.1,21.25
-1518000,-3676502,2.2093e-11,64.1,21.25
-1518000,-3674002,2.2021e-11,64.1,21.25
-1518000,-3671502,2.2236e-11,64.1,21.25
-1518000,-3669002,2.1704e-11,64.1,21.25
-1518000,-3666502,2.2321e-11,64.1,21.25
-1518000,-3664002,2.2321e-11,64.1,21.25
-1518000,-3661502,2.2103e-11,64.1,21.25
-1518000,-3659002,2.2055e-11,64.1,21.25
-1518000,-3656502,2.2212e-11,64.1,21.25
-1518000,-3654002,2.1555e-11,64.1,21.25
-1518000,-3651502,2.2513e-11,64.1,21.25
-1518000,-3649002,2.2412e-11,64.1,21.25
-1518000,-3646502,2.1749e-11,64.1,21.25
-1518000,-3644002,2.1803e-11,64.1,21.25
-1518000,-3641502,2.2576e-11,64.1,21.25
-1515500,-3734002,2.2051e-11,64.1,21.25
-1515500,-3731502,2.1948e-11,64.1,21.25
-1515500,-3729002,2.233e-11,64.1,21.25
-1515500,-3726502,2.1376e-11,64.1,21.25
-1515500,-3724002,2.3251e-11,64.1,21.25
-1515500,-3721502,2.2399e-11,64.1,21.25
-1515500,-3719002,2.2279e-11,64.1,21.25
-1515500,-3716502,2.1878e-11,64.1,21.25
-1515500,-3714002,2.3013e-11,64.1,21.25
-1515500,-3711502,2.2457e-11,64.1,21.25
-1515500,-3709002,2.1182e-11,64.1,21.25
-1515500,-3706502,2.2072e-11,64.1,21.25
-1515500,-3704002,2.187e-11,64.1,21.25
-1515500,-3701502,2.2085e-11,64.1,21.25
-1515500,-3699002,2.1899e-11,64.1,21.25
-1515500,-3696502,2.2173e-11,64.1,21.25
-1515500,-3694002,2.2128e-11,64.1,21.25
-1515500,-3691502,2.1924e-11,64.1,21.25
-1515500,-3689002,2.273e-11,64.1,21.25
-1515500,-3686502,2.249e-11,64.1,21.25
-1515500,-3684002,2.2033e-11,64.1,21.25
-1515500,-3681502,2.2431e-11,64.1,21.25
-1515500,-3679002,2.2285e-11,64.1,21.25
-1515500,-3676502,2.1528e-11,64.1,21.25
-1515500,-3674002,2.2061e-11,64.1,21.25
-1515500,-3671502,2.2719e-11,64.1,21.25
-1515500,-3669002,2.239e-11,64.1,21.25
-1515500,-3666502,2.1891e-11,64.1,21.25
-1515500,-3664002,2.1846e-11,64.1,21.25
-1515500,-3661502,2.2085e-11,64.1,21.25
-1515500,-3659002,2.2493e-11,64.1,21.25
-1515500,-3656502,2.2881e-11,64.1,21.25
-1515500,-3654002,2.2485e-11,64.1,21.25
-1515500,-3651502,2.2403e-11,64.1,21.25
-1515500,-3649002,2.1887e-11,64.1,21.25
-1515500,-3646502,2.2387e-11,64.1,21.25
-1515500,-3644002,2.1387e-11,64.1,21.25
-1515500,-3641502,2.2767e-11,64.1,21.25
-1513000,-3734002,2.1245e-11,64.1,21.25
-1513000,-3731502,2.1533e-11,64.1,21.25
-1513000,-3729002,2.2073e-11,64.1,21.25
-1513000,-3726502,2.3719e-11,64.1,21.25
-1513000,-3724002,2.2442e-11,64.1,21.25
-1513000,-3721502,2.2151e-11,64.1,21.25
-1513000,-3719002,2.2054e-11,64.1,21.25
-1513000,-3716502,2.2349e-11,64.1,21.25
-1513000,-3714002,2.2694e-11,64.1,21.25
-1513000,-3711502,2.2854e-11,64.1,21.25
-1513000,-3709002,2.3033e-11,64.1,21.25
-1513000,-3706502,2.157e-11,64.1,21.25
-1513000,-3704002,2.2824e-11,64.1,21.25
-1513000,-3701502,2.2237e-11,64.1,21.25
-1513000,-3699002,2.2146e-11,64.1,21.25
-1513000,-3696502,2.2307e-11,64.1,21.25
-1513000,-3694002,2.249e-11,64.1,21.25
-1513000,-3691502,2.2642e-11,64.1,21.25
-1513000,-3689002,2.2596e-11,64.1,21.25
-1513000,-3686502,2.1476e-11,64.1,21.25
-1513000,-3684002,2.1987e-11,64.1,21.25
-1513000,-3681502,2.193e-11,64.1,21.25
-1513000,-3679002,2.2275e-11,64.1,21.25
-1513000,-3676502,2.18e-11,64.1,21.25
-1513000,-3674002,2.1824e-11,64.1,21.25
-1513000,-3671502,2.1845e-11,64.1,21.25
-1513000,-3669002,2.2031e-11,64.1,21.25
-1513000,-3666502,2.2578e-11,64.1,21.25
-1513000,-3664002,2.2488e-11,64.1,21.25
-1513000,-3661502,2.2737e-11,64.1,21.25
-1513000,-3659002,2.2596e-11,64.1,21.25
-1513000,-3656502,2.197e-11,64.1,21.25
-1513000,-3654002,2.1397e-11,64.1,21.25
-1513000,-3651502,2.29e-11,64.1,21.25
-1513000,-3649002,2.2746e-11,64.1,21.25
-1513000,-3646502,2.2794e-11,64.1,21.25
-1513000,-3644002,2.2654e-11,64.1,21.25
-1513000,-3641502,2.1682e-11,64.1,21.25
-1510500,-3734002,2.26e-11,64.1,21.25
-1510500,-3731502,2.2175e-11,64.1,21.25
-1510500,-3729002,2.1512e-11,64.1,21.25
-1510500,-3726502,2.2434e-11,64.1,21.25
-1510500,-3724002,2.2294e-11,64.1,21.25
-1510500,-3721502,2.1637e-11,64.1,21.25
-1510500,-3719002,2.2628e-11,64.1,21.25
-1510500,-3716502,2.2025e-11,64.1,21.25
-1510500,-3714002,2.2213e-11,64.1,21.25
-1510500,-3711502,2.2e-11,64.1,21.25
-1510500,-3709002,2.2076e-11,64.1,21.25
-1510500,-3706502,2.3024e-11,64.1,21.25
-1510500,-3704002,2.1537e-11,64.1,21.25
-1510500,-3701502,2.1558e-11,64.1,21.25
-1510500,-3699002,2.2546e-11,64.1,21.25
-1510500,-3696502,2.2612e-11,64.1,21.25
-1510500,-3694002,2.2021e-11,64.1,21.25
-1510500,-3691502,2.2491e-11,64.1,21.25
-1510500,-3689002,2.1616e-11,64.1,21.25
-1510500,-3686502,2.2336e-11,64.1,21.25
-1510500,-3684002,2.2354e-11,64.1,21.25
-1510500,-3681502,2.2419e-11,64.1,21.25
-1510500,-3679002,2.2924e-11,64.1,21.25
-1510500,-3676502,2.2325e-11,64.1,21.25
