General parameters:
Start time: 2023             10             11              0              6       8.524906
Finish time: 2023             10             11              0             43      46.284614
Raster type: raster_jump
Horizontal range (nm): -4118000.000000,-4208000.000000
Vertical range (nm): -1076500.000000,-1177500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.84e-07
Sample chamber pressure: 2.25e-08
Initial position (nm): -2614726.000000,-1547080.000000,-1000001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4118000 -4208000
hori_res:2500
vert_range:-1076500 -1177500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.793790
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1177500,-4208000,2.0996e-11,64.3,21.25
-1177500,-4205500,2.0779e-11,64.3,21.25
-1177500,-4203000,2.0358e-11,64.3,21.25
-1177500,-4200500,2.0519e-11,64.3,21.25
-1177500,-4198000,2.1033e-11,64.3,21.25
-1177500,-4195500,2.0778e-11,64.3,21.25
-1177500,-4193000,2.1184e-11,64.3,21.25
-1177500,-4190500,2.031e-11,64.3,21.25
-1177500,-4188000,2.1361e-11,64.3,21.25
-1177500,-4185500,2.1431e-11,64.3,21.25
-1177500,-4183000,2.0296e-11,64.3,21.25
-1177500,-4180500,2.1409e-11,64.3,21.25
-1177500,-4178000,2.1297e-11,64.3,21.25
-1177500,-4175500,2.0319e-11,64.3,21.25
-1177500,-4173000,2.0707e-11,64.3,21.25
-1177500,-4170500,2.0773e-11,64.3,21.25
-1177500,-4168000,2.083e-11,64.3,21.25
-1177500,-4165500,2.0955e-11,64.3,21.25
-1177500,-4163000,2.0537e-11,64.3,21.25
-1177500,-4160500,2.0919e-11,64.3,21.25
-1177500,-4158000,2.0399e-11,64.3,21.25
-1177500,-4155500,2.1515e-11,64.3,21.25
-1177500,-4153000,2.1384e-11,64.3,21.25
-1177500,-4150500,2.1507e-11,64.3,21.25
-1177500,-4148000,2.1572e-11,64.3,21.25
-1177500,-4145500,2.0997e-11,64.3,21.25
-1177500,-4143000,2.1699e-11,64.3,21.25
-1177500,-4140500,2.1025e-11,64.3,21.25
-1177500,-4138000,2.1525e-11,64.3,21.25
-1177500,-4135500,1.9957e-11,64.3,21.25
-1177500,-4133000,2.0304e-11,64.3,21.25
-1177500,-4130500,2.1322e-11,64.3,21.25
-1177500,-4128000,2.0604e-11,64.3,21.25
-1177500,-4125500,2.1563e-11,64.3,21.25
-1177500,-4123000,2.0988e-11,64.3,21.25
-1177500,-4120500,2.1207e-11,64.3,21.25
-1177500,-4118000,2.0669e-11,64.3,21.25
-1175000,-4208000,2.0609e-11,64.3,21.25
-1175000,-4205500,2.1412e-11,64.3,21.25
-1175000,-4203000,2.0669e-11,64.3,21.25
-1175000,-4200500,2.0407e-11,64.3,21.25
-1175000,-4198000,2.05e-11,64.3,21.25
-1175000,-4195500,2.1387e-11,64.3,21.25
-1175000,-4193000,2.1355e-11,64.3,21.25
-1175000,-4190500,2.1261e-11,64.3,21.25
-1175000,-4188000,2.1039e-11,64.3,21.25
-1175000,-4185500,2.0928e-11,64.3,21.25
-1175000,-4183000,2.0581e-11,64.3,21.25
-1175000,-4180500,2.1297e-11,64.3,21.25
-1175000,-4178000,2.0621e-11,64.3,21.25
-1175000,-4175500,2.1267e-11,64.3,21.25
-1175000,-4173000,2.0088e-11,64.3,21.25
-1175000,-4170500,2.0221e-11,64.3,21.25
-1175000,-4168000,2.1846e-11,64.3,21.25
-1175000,-4165500,2.0779e-11,64.3,21.25
-1175000,-4163000,2.067e-11,64.3,21.25
-1175000,-4160500,2.0931e-11,64.3,21.25
-1175000,-4158000,2.0966e-11,64.3,21.25
-1175000,-4155500,2.0764e-11,64.3,21.25
-1175000,-4153000,2.1109e-11,64.3,21.25
-1175000,-4150500,2.1381e-11,64.3,21.25
-1175000,-4148000,2.1233e-11,64.3,21.25
-1175000,-4145500,1.9855e-11,64.3,21.25
-1175000,-4143000,2.1272e-11,64.3,21.25
-1175000,-4140500,2.2103e-11,64.3,21.25
-1175000,-4138000,2.0897e-11,64.3,21.25
-1175000,-4135500,2.0985e-11,64.3,21.25
-1175000,-4133000,2.1413e-11,64.3,21.25
-1175000,-4130500,2.0882e-11,64.3,21.25
-1175000,-4128000,2.0387e-11,64.3,21.25
-1175000,-4125500,2.099e-11,64.3,21.25
-1175000,-4123000,2.0307e-11,64.3,21.25
-1175000,-4120500,2.0837e-11,64.3,21.25
-1175000,-4118000,2.0642e-11,64.3,21.25
-1172500,-4208000,2.0431e-11,64.3,21.25
-1172500,-4205500,2.1251e-11,64.3,21.25
-1172500,-4203000,2.0294e-11,64.3,21.25
-1172500,-4200500,2.1103e-11,64.3,21.25
-1172500,-4198000,2.1287e-11,64.3,21.25
-1172500,-4195500,1.9351e-11,64.3,21.25
-1172500,-4193000,2.1321e-11,64.3,21.25
-1172500,-4190500,2.076e-11,64.3,21.25
-1172500,-4188000,2.0097e-11,64.3,21.25
-1172500,-4185500,2.1222e-11,64.3,21.25
-1172500,-4183000,2.1006e-11,64.3,21.25
-1172500,-4180500,2.1033e-11,64.3,21.25
-1172500,-4178000,2.0748e-11,64.2,21.25
-1172500,-4175500,2.1057e-11,64.2,21.25
-1172500,-4173000,2.0794e-11,64.2,21.25
-1172500,-4170500,2.1352e-11,64.2,21.25
-1172500,-4168000,2.0725e-11,64.2,21.25
-1172500,-4165500,2.0443e-11,64.2,21.25
-1172500,-4163000,2.0994e-11,64.2,21.25
-1172500,-4160500,2.0555e-11,64.2,21.25
-1172500,-4158000,2.1245e-11,64.2,21.25
-1172500,-4155500,2.126e-11,64.2,21.25
-1172500,-4153000,2.1e-11,64.2,21.25
-1172500,-4150500,2.0949e-11,64.2,21.25
-1172500,-4148000,2.1627e-11,64.2,21.25
-1172500,-4145500,2.0575e-11,64.2,21.25
-1172500,-4143000,2.0531e-11,64.2,21.25
-1172500,-4140500,2.087e-11,64.2,21.25
