General parameters:
Start time: 2023             10             12             12              0       31.72578
Finish time: 2023             10             12             12             47      22.069292
Raster type: raster_jump
Horizontal range (nm): -4231000.000000,-4335000.000000
Vertical range (nm): -788500.000000,-899500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.91e-07
Sample chamber pressure: 2.04e-08
Initial position (nm): -3365738.000000,-1028090.000000,-999998.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4231000 -4335000
hori_res:2500
vert_range:-788500 -899500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.902888
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-899500,-4335000,4.1988e-11,64.5,21.25
-899500,-4332500,4.5772e-11,64.5,21.25
-899500,-4330000,4.554e-11,64.5,21.25
-899500,-4327500,4.4082e-11,64.5,21.25
-899500,-4325000,4.5703e-11,64.5,21.25
-899500,-4322500,4.5224e-11,64.5,21.25
-899500,-4320000,4.4279e-11,64.5,21.25
-899500,-4317500,4.4669e-11,64.5,21.25
-899500,-4315000,4.4748e-11,64.5,21.25
-899500,-4312500,4.6387e-11,64.5,21.25
-899500,-4310000,4.4982e-11,64.5,21.25
-899500,-4307500,4.5543e-11,64.5,21.25
-899500,-4305000,4.5396e-11,64.5,21.25
-899500,-4302500,4.4731e-11,64.5,21.25
-899500,-4300000,4.5148e-11,64.5,21.25
-899500,-4297500,4.4804e-11,64.5,21.25
-899500,-4295000,4.4333e-11,64.5,21.25
-899500,-4292500,4.4064e-11,64.5,21.25
-899500,-4290000,4.4413e-11,64.5,21.25
-899500,-4287500,4.4754e-11,64.5,21.25
-899500,-4285000,4.4515e-11,64.5,21.25
-899500,-4282500,4.546e-11,64.5,21.25
-899500,-4280000,4.4746e-11,64.5,21.25
-899500,-4277500,4.434e-11,64.5,21.25
-899500,-4275000,4.4743e-11,64.5,21.25
-899500,-4272500,4.5376e-11,64.5,21.25
-899500,-4270000,4.4921e-11,64.5,21.25
-899500,-4267500,4.4681e-11,64.5,21.25
-899500,-4265000,4.4637e-11,64.5,21.25
-899500,-4262500,4.5216e-11,64.5,21.25
-899500,-4260000,4.4018e-11,64.5,21.25
-899500,-4257500,4.5015e-11,64.5,21.25
-899500,-4255000,4.6621e-11,64.5,21.25
-899500,-4252500,4.463e-11,64.5,21.25
-899500,-4250000,4.4581e-11,64.5,21.25
-899500,-4247500,4.4227e-11,64.5,21.25
-899500,-4245000,4.5225e-11,64.5,21.25
-899500,-4242500,4.3645e-11,64.5,21.25
-899500,-4240000,4.4294e-11,64.5,21.25
-899500,-4237500,4.54e-11,64.5,21.25
-899500,-4235000,4.5203e-11,64.5,21.25
-899500,-4232500,4.5837e-11,64.5,21.25
-897000,-4335000,4.5491e-11,64.5,21.25
-897000,-4332500,4.5115e-11,64.5,21.25
-897000,-4330000,4.454e-11,64.5,21.25
-897000,-4327500,4.519e-11,64.5,21.25
-897000,-4325000,4.5691e-11,64.5,21.25
-897000,-4322500,4.4682e-11,64.5,21.25
-897000,-4320000,4.5428e-11,64.5,21.25
-897000,-4317500,4.5631e-11,64.5,21.25
-897000,-4315000,4.501e-11,64.5,21.25
-897000,-4312500,4.5439e-11,64.5,21.25
-897000,-4310000,4.5851e-11,64.5,21.25
-897000,-4307500,4.4754e-11,64.5,21.25
-897000,-4305000,4.5919e-11,64.5,21.25
-897000,-4302500,4.527e-11,64.5,21.25
-897000,-4300000,4.5675e-11,64.5,21.25
-897000,-4297500,4.4367e-11,64.5,21.25
-897000,-4295000,4.4921e-11,64.5,21.25
-897000,-4292500,4.461e-11,64.5,21.25
-897000,-4290000,4.4951e-11,64.5,21.25
-897000,-4287500,4.4839e-11,64.5,21.25
-897000,-4285000,4.4691e-11,64.5,21.25
-897000,-4282500,4.5867e-11,64.5,21.25
-897000,-4280000,4.5309e-11,64.5,21.25
-897000,-4277500,4.4915e-11,64.5,21.25
-897000,-4275000,4.4357e-11,64.5,21.25
-897000,-4272500,4.4785e-11,64.5,21.25
