General parameters:
Start time: 2023             10             12             14             30       21.61964
Finish time: 2023             10             12             15              4      11.072102
Raster type: raster_jump
Horizontal range (nm): -4262500.000000,-4347500.000000
Vertical range (nm): -645500.000000,-742500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.82e-07
Sample chamber pressure: 2.15e-08
Initial position (nm): -3389751.000000,-884088.000000,-1000001.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4262500 -4347500
hori_res:2500
vert_range:-645500 -742500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.888866
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-742500,-4347500,4.0106e-11,63.9,21.25
-742500,-4345000,4.0245e-11,63.9,21.25
-742500,-4342500,3.9104e-11,63.9,21.25
-742500,-4340000,4.1055e-11,63.9,21.25
-742500,-4337500,3.9746e-11,63.9,21.25
-742500,-4335000,4.0236e-11,63.9,21.25
-742500,-4332500,3.9072e-11,63.9,21.25
-742500,-4330000,3.9145e-11,NaN,21.25
-742500,-4327500,3.9907e-11,63.9,21.25
-742500,-4325000,4.0181e-11,63.9,21.25
-742500,-4322500,3.9661e-11,63.9,21.25
-742500,-4320000,3.9393e-11,63.9,21.25
-742500,-4317500,4.0354e-11,63.9,21.25
-742500,-4315000,3.9852e-11,63.9,21.25
-742500,-4312500,3.8637e-11,63.9,21.25
-742500,-4310000,3.9167e-11,63.9,21.25
-742500,-4307500,3.8354e-11,63.9,21.25
-742500,-4305000,3.9903e-11,63.9,21.25
-742500,-4302500,3.9106e-11,63.9,21.25
-742500,-4300000,3.94e-11,63.9,21.25
-742500,-4297500,3.9243e-11,63.9,21.25
-742500,-4295000,3.8384e-11,63.9,21.25
-742500,-4292500,3.9416e-11,63.9,21.25
-742500,-4290000,3.8845e-11,63.9,21.25
-742500,-4287500,3.9609e-11,63.9,21.25
-742500,-4285000,4.0228e-11,63.9,21.25
-742500,-4282500,3.869e-11,63.9,21.25
-742500,-4280000,3.9231e-11,63.9,21.25
-742500,-4277500,3.9439e-11,63.9,21.25
-742500,-4275000,3.843e-11,63.9,21.25
-742500,-4272500,3.9327e-11,63.9,21.25
-742500,-4270000,3.8407e-11,63.9,21.25
-742500,-4267500,3.8455e-11,63.9,21.25
-742500,-4265000,3.8873e-11,63.9,21.25
-742500,-4262500,3.913e-11,63.9,21.25
-740000,-4347500,3.9421e-11,63.9,21.25
-740000,-4345000,3.9661e-11,63.9,21.25
-740000,-4342500,3.9961e-11,63.9,21.25
-740000,-4340000,3.9215e-11,63.9,21.25
-740000,-4337500,3.9655e-11,63.9,21.25
-740000,-4335000,3.9155e-11,63.9,21.25
-740000,-4332500,3.9437e-11,63.9,21.25
-740000,-4330000,3.9482e-11,63.9,21.25
-740000,-4327500,3.9867e-11,63.9,21.25
-740000,-4325000,3.9139e-11,63.9,21.25
-740000,-4322500,3.9757e-11,63.9,21.25
-740000,-4320000,3.8404e-11,63.9,21.25
-740000,-4317500,4.0569e-11,63.9,21.25
-740000,-4315000,3.9255e-11,63.9,21.25
-740000,-4312500,3.8679e-11,63.9,21.25
-740000,-4310000,3.9648e-11,63.9,21.25
-740000,-4307500,3.8557e-11,63.9,21.25
-740000,-4305000,3.8706e-11,63.9,21.25
-740000,-4302500,3.9703e-11,63.9,21.25
-740000,-4300000,4.0072e-11,63.9,21.25
-740000,-4297500,3.9684e-11,NaN,21.25
-740000,-4295000,3.8633e-11,63.9,21.25
-740000,-4292500,3.9084e-11,63.9,21.25
-740000,-4290000,3.9543e-11,63.9,21.25
-740000,-4287500,3.9942e-11,63.9,21.25
-740000,-4285000,4.0597e-11,63.9,21.25
-740000,-4282500,4.063e-11,63.9,21.25
-740000,-4280000,3.9719e-11,63.9,21.25
-740000,-4277500,3.9542e-11,63.9,21.25
-740000,-4275000,4.0119e-11,63.9,21.25
-740000,-4272500,3.9082e-11,63.9,21.25
-740000,-4270000,3.9897e-11,63.9,21.25
-740000,-4267500,4.0716e-11,63.9,21.25
-740000,-4265000,3.9096e-11,63.9,21.25
-740000,-4262500,4.0509e-11,63.9,21.25
-737500,-4347500,3.8928e-11,63.9,21.25
-737500,-4345000,4.0675e-11,63.9,21.25
-737500,-4342500,3.9828e-11,63.9,21.25
-737500,-4340000,3.9531e-11,63.9,21.25
-737500,-4337500,3.9239e-11,63.9,21.25
-737500,-4335000,3.8439e-11,63.9,21.25
-737500,-4332500,3.9112e-11,63.9,21.25
-737500,-4330000,3.9494e-11,63.9,21.25
-737500,-4327500,3.9054e-11,63.9,21.25
-737500,-4325000,3.8742e-11,63.9,21.25
-737500,-4322500,3.9087e-11,63.9,21.25
-737500,-4320000,3.9737e-11,63.9,21.25
-737500,-4317500,3.9043e-11,63.9,21.25
-737500,-4315000,3.9597e-11,63.9,21.25
-737500,-4312500,3.9158e-11,63.9,21.25
-737500,-4310000,3.9576e-11,63.9,21.25
-737500,-4307500,4.023e-11,63.9,21.25
-737500,-4305000,3.8788e-11,63.9,21.25
-737500,-4302500,3.8666e-11,63.9,21.25
-737500,-4300000,3.8942e-11,63.9,21.25
-737500,-4297500,3.9831e-11,63.9,21.25
-737500,-4295000,3.9654e-11,63.9,21.25
-737500,-4292500,3.9469e-11,63.9,21.25
-737500,-4290000,3.9424e-11,63.9,21.25
-737500,-4287500,3.8713e-11,63.9,21.25
-737500,-4285000,3.8969e-11,63.9,21.25
-737500,-4282500,3.9324e-11,63.9,21.25
-737500,-4280000,3.9482e-11,63.9,21.25
-737500,-4277500,3.9679e-11,63.9,21.25
-737500,-4275000,3.9506e-11,63.9,21.25
-737500,-4272500,3.977e-11,63.9,21.25
-737500,-4270000,3.9837e-11,63.9,21.25
-737500,-4267500,3.9684e-11,63.9,21.25
-737500,-4265000,3.9439e-11,63.9,21.25
