General parameters:
Start time: 2023             10             13              2             23       3.831546
Finish time: 2023             10             13              3             53      30.408797
Raster type: raster_jump
Horizontal range (nm): -3584980.771708,-3784980.771708
Vertical range (nm): -1446198.798626,-1646198.798626
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.80e-07
Sample chamber pressure: 2.25e-08
Initial position (nm): -3402606.000000,-1510380.000000,-999999.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3584980.7717     -3784980.7717
hori_res:2500
vert_range:-1446198.7986     -1646198.7986
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.854666
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.646199e+06,-3.784981e+06,2.9233e-11,63.7,21.25
-1.646199e+06,-3.782481e+06,2.942e-11,63.7,21.25
-1.646199e+06,-3.779981e+06,3.013e-11,63.7,21.25
-1.646199e+06,-3.777481e+06,2.9853e-11,63.7,21.25
-1.646199e+06,-3.774981e+06,3.078e-11,63.7,21.25
-1.646199e+06,-3.772481e+06,4.3383e-11,63.7,21.25
-1.646199e+06,-3.769981e+06,4.9493e-11,63.7,21.25
-1.646199e+06,-3.767481e+06,3.917e-11,63.7,21.25
-1.646199e+06,-3.764981e+06,3.087e-11,63.7,21.25
-1.646199e+06,-3.762481e+06,3.0667e-11,63.7,21.25
-1.646199e+06,-3.759981e+06,3.0057e-11,63.7,21.25
-1.646199e+06,-3.757481e+06,3.0947e-11,63.7,21.25
-1.646199e+06,-3.754981e+06,3.0373e-11,63.7,21.25
-1.646199e+06,-3.752481e+06,2.9337e-11,63.7,21.25
-1.646199e+06,-3.749981e+06,2.904e-11,63.7,21.25
-1.646199e+06,-3.747481e+06,3.016e-11,63.7,21.25
-1.646199e+06,-3.744981e+06,2.7647e-11,63.7,21.25
-1.646199e+06,-3.742481e+06,3.002e-11,63.7,21.25
-1.646199e+06,-3.739981e+06,2.9373e-11,63.7,21.25
-1.646199e+06,-3.737481e+06,2.92e-11,63.7,21.25
-1.646199e+06,-3.734981e+06,2.8433e-11,63.7,21.25
-1.646199e+06,-3.732481e+06,2.9443e-11,63.7,21.25
-1.646199e+06,-3.729981e+06,3.0143e-11,63.7,21.25
-1.646199e+06,-3.727481e+06,2.8677e-11,63.7,21.25
-1.646199e+06,-3.724981e+06,2.8747e-11,63.7,21.25
-1.646199e+06,-3.722481e+06,2.9443e-11,63.7,21.25
-1.646199e+06,-3.719981e+06,2.8377e-11,63.7,21.25
-1.646199e+06,-3.717481e+06,2.9677e-11,63.7,21.25
-1.646199e+06,-3.714981e+06,2.951e-11,63.7,21.25
-1.646199e+06,-3.712481e+06,2.8593e-11,63.7,21.25
-1.646199e+06,-3.709981e+06,2.8943e-11,63.7,21.25
-1.646199e+06,-3.707481e+06,3.0233e-11,63.7,21.25
-1.646199e+06,-3.704981e+06,2.8237e-11,63.7,21.25
-1.646199e+06,-3.702481e+06,2.9627e-11,63.7,21.25
-1.646199e+06,-3.699981e+06,2.932e-11,63.7,21.25
-1.646199e+06,-3.697481e+06,2.852e-11,63.7,21.25
-1.646199e+06,-3.694981e+06,2.672e-11,63.7,21.25
-1.646199e+06,-3.692481e+06,2.952e-11,63.7,21.25
-1.646199e+06,-3.689981e+06,2.823e-11,NaN,21.25
-1.646199e+06,-3.687481e+06,2.9913e-11,63.7,21.25
-1.646199e+06,-3.684981e+06,3.0167e-11,63.7,21.25
-1.646199e+06,-3.682481e+06,2.868e-11,63.7,21.25
-1.646199e+06,-3.679981e+06,2.8977e-11,63.7,21.25
-1.646199e+06,-3.677481e+06,2.841e-11,63.7,21.25
-1.646199e+06,-3.674981e+06,2.774e-11,63.7,21.25
-1.646199e+06,-3.672481e+06,2.9067e-11,63.7,21.25
-1.646199e+06,-3.669981e+06,2.9893e-11,63.7,21.25
-1.646199e+06,-3.667481e+06,2.9693e-11,63.7,21.25
-1.646199e+06,-3.664981e+06,2.8807e-11,63.7,21.25
-1.646199e+06,-3.662481e+06,3.0373e-11,63.7,21.25
-1.646199e+06,-3.659981e+06,2.8563e-11,63.7,21.25
-1.646199e+06,-3.657481e+06,2.8923e-11,63.7,21.25
-1.646199e+06,-3.654981e+06,3.0287e-11,63.7,21.25
-1.646199e+06,-3.652481e+06,2.949e-11,63.7,21.25
-1.646199e+06,-3.649981e+06,2.7603e-11,63.7,21.25
-1.646199e+06,-3.647481e+06,2.736e-11,63.7,21.25
-1.646199e+06,-3.644981e+06,2.8923e-11,63.7,21.25
-1.646199e+06,-3.642481e+06,2.892e-11,63.7,21.25
-1.646199e+06,-3.639981e+06,2.8877e-11,63.7,21.25
-1.646199e+06,-3.637481e+06,2.9733e-11,63.7,21.25
-1.646199e+06,-3.634981e+06,2.9083e-11,63.7,21.25
