General parameters:
Start time: 2023             10             13              3             53      43.176409
Finish time: 2023             10             13              5             24      26.837873
Raster type: raster_jump
Horizontal range (nm): -3753442.195171,-3953442.195171
Vertical range (nm): -1351324.082557,-1551324.082557
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.79e-07
Sample chamber pressure: 2.20e-08
Initial position (nm): -3584988.000000,-1446195.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3753442.1952     -3953442.1952
hori_res:2500
vert_range:-1351324.0826     -1551324.0826
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.851930
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1.551324e+06,-3.953442e+06,4.6387e-11,63.7,21.25
-1.551324e+06,-3.950942e+06,3.009e-11,63.7,21.25
-1.551324e+06,-3.948442e+06,3.4053e-11,63.7,21.25
-1.551324e+06,-3.945942e+06,8.9553e-11,63.7,21.25
-1.551324e+06,-3.943442e+06,1.8326e-10,63.7,21.25
-1.551324e+06,-3.940942e+06,2.4294e-10,63.7,21.25
-1.551324e+06,-3.938442e+06,2.5246e-10,63.7,21.25
-1.551324e+06,-3.935942e+06,2.7141e-10,63.7,21.25
-1.551324e+06,-3.933442e+06,2.9035e-10,63.7,21.25
-1.551324e+06,-3.930942e+06,2.9339e-10,63.7,21.25
-1.551324e+06,-3.928442e+06,2.5261e-10,63.7,21.25
-1.551324e+06,-3.925942e+06,1.5713e-10,63.7,21.25
-1.551324e+06,-3.923442e+06,6.6357e-11,63.7,21.25
-1.551324e+06,-3.920942e+06,3.4667e-11,63.7,21.25
-1.551324e+06,-3.918442e+06,3.045e-11,63.7,21.25
-1.551324e+06,-3.915942e+06,3.0667e-11,63.7,21.25
-1.551324e+06,-3.913442e+06,2.861e-11,63.7,21.25
-1.551324e+06,-3.910942e+06,2.9747e-11,63.7,21.25
-1.551324e+06,-3.908442e+06,2.9733e-11,63.7,21.25
-1.551324e+06,-3.905942e+06,2.937e-11,63.7,21.25
-1.551324e+06,-3.903442e+06,3.0457e-11,63.7,21.25
-1.551324e+06,-3.900942e+06,2.8927e-11,63.7,21.25
-1.551324e+06,-3.898442e+06,2.8393e-11,63.7,21.25
-1.551324e+06,-3.895942e+06,2.7703e-11,63.7,21.25
-1.551324e+06,-3.893442e+06,3.0163e-11,63.7,21.25
-1.551324e+06,-3.890942e+06,2.885e-11,63.7,21.25
-1.551324e+06,-3.888442e+06,2.897e-11,63.7,21.25
-1.551324e+06,-3.885942e+06,2.951e-11,63.7,21.25
-1.551324e+06,-3.883442e+06,2.92e-11,63.7,21.25
-1.551324e+06,-3.880942e+06,3.0063e-11,63.7,21.25
-1.551324e+06,-3.878442e+06,2.854e-11,63.7,21.25
-1.551324e+06,-3.875942e+06,2.78e-11,63.7,21.25
-1.551324e+06,-3.873442e+06,2.8643e-11,63.7,21.25
-1.551324e+06,-3.870942e+06,3.029e-11,63.7,21.25
-1.551324e+06,-3.868442e+06,2.882e-11,63.7,21.25
-1.551324e+06,-3.865942e+06,2.8873e-11,63.7,21.25
-1.551324e+06,-3.863442e+06,2.944e-11,63.7,21.25
-1.551324e+06,-3.860942e+06,2.861e-11,63.7,21.25
-1.551324e+06,-3.858442e+06,2.9243e-11,63.7,21.25
-1.551324e+06,-3.855942e+06,2.794e-11,63.7,21.25
-1.551324e+06,-3.853442e+06,2.8643e-11,63.7,21.25
-1.551324e+06,-3.850942e+06,2.8423e-11,63.7,21.25
-1.551324e+06,-3.848442e+06,2.782e-11,63.7,21.25
-1.551324e+06,-3.845942e+06,2.722e-11,63.7,21.25
-1.551324e+06,-3.843442e+06,2.7693e-11,63.7,21.25
-1.551324e+06,-3.840942e+06,2.8707e-11,63.7,21.25
-1.551324e+06,-3.838442e+06,2.7803e-11,63.7,21.25
-1.551324e+06,-3.835942e+06,2.7767e-11,63.7,21.25
-1.551324e+06,-3.833442e+06,2.773e-11,63.7,21.25
-1.551324e+06,-3.830942e+06,2.794e-11,63.7,21.25
-1.551324e+06,-3.828442e+06,2.8093e-11,63.7,21.25
-1.551324e+06,-3.825942e+06,2.6953e-11,63.7,21.25
-1.551324e+06,-3.823442e+06,2.921e-11,63.7,21.25
-1.551324e+06,-3.820942e+06,2.8287e-11,63.7,21.25
-1.551324e+06,-3.818442e+06,2.671e-11,63.7,21.25
-1.551324e+06,-3.815942e+06,2.786e-11,63.7,21.25
-1.551324e+06,-3.813442e+06,2.8307e-11,63.7,21.25
-1.551324e+06,-3.810942e+06,2.7847e-11,63.7,21.25
-1.551324e+06,-3.808442e+06,2.791e-11,63.7,21.25
-1.551324e+06,-3.805942e+06,2.9217e-11,63.7,21.25
-1.551324e+06,-3.803442e+06,2.838e-11,63.7,21.25
-1.551324e+06,-3.800942e+06,2.729e-11,63.7,21.25
-1.551324e+06,-3.798442e+06,2.711e-11,63.7,21.25
-1.551324e+06,-3.795942e+06,2.696e-11,63.7,21.25
-1.551324e+06,-3.793442e+06,2.8217e-11,63.7,21.25
-1.551324e+06,-3.790942e+06,2.875e-11,63.7,21.25
-1.551324e+06,-3.788442e+06,2.7963e-11,63.7,21.25
-1.551324e+06,-3.785942e+06,2.8477e-11,63.7,21.25
-1.551324e+06,-3.783442e+06,2.7647e-11,63.7,21.25
-1.551324e+06,-3.780942e+06,2.8817e-11,63.7,21.25
-1.551324e+06,-3.778442e+06,2.687e-11,63.7,21.25
-1.551324e+06,-3.775942e+06,2.7093e-11,63.7,21.25
-1.551324e+06,-3.773442e+06,2.846e-11,63.7,21.25
-1.551324e+06,-3.770942e+06,2.873e-11,63.7,21.25
