General parameters:
Start time: 2023             10             13              9             57      35.620404
Finish time: 2023             10             13             11             28      24.208483
Raster type: raster_jump
Horizontal range (nm): -4195241.541662,-4395241.541662
Vertical range (nm): -734509.645855,-934509.645855
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 450.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.78e-07
Sample chamber pressure: 2.27e-08
Initial position (nm): -4127141.000000,-915480.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-4195241.5417     -4395241.5417
hori_res:2500
vert_range:-734509.6459     -934509.6459
vert_res:2500
pause:0.25
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:30
sim_data:0
undersample:100
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 30.000000
Filament current (A): 1.540000
Filament emission (mA): 1.825596
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-9.345096e+05,-4.395242e+06,2.6983e-11,63.5,21.25
-9.345096e+05,-4.392742e+06,2.5617e-11,63.5,21.25
-9.345096e+05,-4.390242e+06,2.5353e-11,63.5,21.25
-9.345096e+05,-4.387742e+06,2.6463e-11,63.5,21.25
-9.345096e+05,-4.385242e+06,2.7433e-11,63.5,21.25
-9.345096e+05,-4.382742e+06,2.5497e-11,63.5,21.25
-9.345096e+05,-4.380242e+06,2.635e-11,63.5,21.25
-9.345096e+05,-4.377742e+06,2.4243e-11,63.5,21.25
-9.345096e+05,-4.375242e+06,2.6377e-11,63.5,21.25
-9.345096e+05,-4.372742e+06,2.6413e-11,63.5,21.25
-9.345096e+05,-4.370242e+06,2.528e-11,63.5,21.25
-9.345096e+05,-4.367742e+06,2.778e-11,63.5,21.25
-9.345096e+05,-4.365242e+06,2.6603e-11,63.5,21.25
-9.345096e+05,-4.362742e+06,2.6357e-11,63.5,21.25
-9.345096e+05,-4.360242e+06,2.6323e-11,63.5,21.25
-9.345096e+05,-4.357742e+06,2.6017e-11,63.5,21.25
-9.345096e+05,-4.355242e+06,2.582e-11,63.5,21.25
-9.345096e+05,-4.352742e+06,2.7287e-11,63.5,21.25
-9.345096e+05,-4.350242e+06,2.525e-11,63.5,21.25
-9.345096e+05,-4.347742e+06,2.5733e-11,63.5,21.25
-9.345096e+05,-4.345242e+06,2.5877e-11,63.5,21.25
-9.345096e+05,-4.342742e+06,2.555e-11,63.5,21.25
-9.345096e+05,-4.340242e+06,2.5247e-11,63.5,21.25
-9.345096e+05,-4.337742e+06,2.6277e-11,63.5,21.25
-9.345096e+05,-4.335242e+06,2.509e-11,63.5,21.25
-9.345096e+05,-4.332742e+06,2.5643e-11,63.5,21.25
-9.345096e+05,-4.330242e+06,2.5547e-11,63.5,21.25
-9.345096e+05,-4.327742e+06,2.5903e-11,63.5,21.25
-9.345096e+05,-4.325242e+06,2.523e-11,63.5,21.25
-9.345096e+05,-4.322742e+06,2.619e-11,63.5,21.25
-9.345096e+05,-4.320242e+06,2.4307e-11,63.5,21.25
-9.345096e+05,-4.317742e+06,2.652e-11,63.5,21.25
-9.345096e+05,-4.315242e+06,2.5643e-11,63.5,21.25
-9.345096e+05,-4.312742e+06,2.693e-11,63.5,21.25
-9.345096e+05,-4.310242e+06,2.7117e-11,63.5,21.25
-9.345096e+05,-4.307742e+06,2.546e-11,63.5,21.25
-9.345096e+05,-4.305242e+06,2.69e-11,63.5,21.25
-9.345096e+05,-4.302742e+06,2.618e-11,63.5,21.25
-9.345096e+05,-4.300242e+06,2.6033e-11,63.5,21.25
-9.345096e+05,-4.297742e+06,2.5953e-11,63.5,21.25
