General parameters:
Start time: 2023             10             19             12              1      14.705638
Finish time: 2023             10             19             12             36      26.999877
Raster type: raster_jump
Horizontal range (nm): -3136000.000000,-3218000.000000
Vertical range (nm): -1131000.000000,-1237000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.96e-07
Sample chamber pressure: 1.91e-08
Initial position (nm): -3304732.000000,-1077081.000000,-999998.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3136000 -3218000
hori_res:2500
vert_range:-1131000 -1237000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.090304
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1237000,-3218000,1.534e-11,64.6,21.25
-1237000,-3215500,1.5957e-11,64.6,21.25
-1237000,-3213000,1.5025e-11,64.6,21.25
-1237000,-3210500,1.5251e-11,64.6,21.25
-1237000,-3208000,1.5709e-11,64.6,21.25
-1237000,-3205500,1.5949e-11,64.6,21.25
-1237000,-3203000,1.6034e-11,64.6,21.25
-1237000,-3200500,1.5737e-11,64.6,21.25
-1237000,-3198000,1.5894e-11,64.6,21.25
-1237000,-3195500,1.5163e-11,64.6,21.25
-1237000,-3193000,1.4784e-11,64.6,21.25
-1237000,-3190500,1.5675e-11,64.6,21.25
-1237000,-3188000,1.6379e-11,64.6,21.25
-1237000,-3185500,1.5618e-11,64.6,21.25
-1237000,-3183000,1.5734e-11,64.6,21.25
-1237000,-3180500,1.6457e-11,64.6,21.25
-1237000,-3178000,1.6709e-11,64.6,21.25
-1237000,-3175500,1.5482e-11,64.6,21.25
-1237000,-3173000,1.5146e-11,64.6,21.25
-1237000,-3170500,1.5863e-11,64.6,21.25
-1237000,-3168000,1.4997e-11,64.6,21.25
-1237000,-3165500,1.631e-11,64.6,21.25
-1237000,-3163000,1.6491e-11,64.6,21.25
-1237000,-3160500,1.5349e-11,64.6,21.25
-1237000,-3158000,1.5825e-11,64.6,21.25
-1237000,-3155500,1.6172e-11,64.6,21.25
-1237000,-3153000,1.6291e-11,64.6,21.25
-1237000,-3150500,1.623e-11,64.6,21.25
-1237000,-3148000,1.5981e-11,64.6,21.25
-1237000,-3145500,1.6006e-11,64.6,21.25
-1237000,-3143000,1.6169e-11,64.6,21.25
-1237000,-3140500,1.5131e-11,64.6,21.25
-1237000,-3138000,1.6081e-11,64.6,21.25
-1234500,-3218000,1.5675e-11,64.6,21.25
-1234500,-3215500,1.5504e-11,64.6,21.25
-1234500,-3213000,1.5342e-11,64.6,21.25
-1234500,-3210500,1.5945e-11,64.6,21.25
-1234500,-3208000,1.5788e-11,64.6,21.25
-1234500,-3205500,1.6199e-11,64.6,21.25
-1234500,-3203000,1.5564e-11,64.6,21.25
-1234500,-3200500,1.5809e-11,64.6,21.25
-1234500,-3198000,1.5416e-11,64.6,21.25
-1234500,-3195500,1.6073e-11,64.6,21.25
-1234500,-3193000,1.5376e-11,64.6,21.25
-1234500,-3190500,1.5281e-11,64.6,21.25
-1234500,-3188000,1.5478e-11,64.6,21.25
-1234500,-3185500,1.5231e-11,64.6,21.25
-1234500,-3183000,1.583e-11,64.6,21.25
-1234500,-3180500,1.5654e-11,64.6,21.25
-1234500,-3178000,1.5543e-11,64.6,21.25
-1234500,-3175500,1.5437e-11,64.6,21.25
-1234500,-3173000,1.579e-11,64.6,21.25
-1234500,-3170500,1.519e-11,64.6,21.25
-1234500,-3168000,1.5203e-11,64.6,21.25
-1234500,-3165500,1.5782e-11,64.6,21.25
-1234500,-3163000,1.509e-11,64.6,21.25
-1234500,-3160500,1.4928e-11,64.6,21.25
-1234500,-3158000,1.5761e-11,64.6,21.25
-1234500,-3155500,1.5472e-11,64.6,21.25
-1234500,-3153000,1.5545e-11,64.6,21.25
-1234500,-3150500,1.6012e-11,64.6,21.25
-1234500,-3148000,1.5684e-11,64.6,21.25
-1234500,-3145500,1.5118e-11,64.6,21.25
-1234500,-3143000,1.6379e-11,64.6,21.25
-1234500,-3140500,1.4828e-11,64.6,21.25
-1234500,-3138000,1.5172e-11,64.6,21.25
-1232000,-3218000,1.4813e-11,64.6,21.25
-1232000,-3215500,1.614e-11,64.6,21.25
-1232000,-3213000,1.5185e-11,64.6,21.25
-1232000,-3210500,1.586e-11,64.6,21.25
-1232000,-3208000,1.5637e-11,64.6,21.25
-1232000,-3205500,1.5843e-11,64.6,21.25
