General parameters:
Start time: 2023             10             20             13             27      35.283266
Finish time: 2023             10             20             13             52       7.860089
Raster type: raster_jump
Horizontal range (nm): -3855000.000000,-3933000.000000
Vertical range (nm): -1340500.000000,-1417500.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.96e-07
Sample chamber pressure: 1.89e-08
Initial position (nm): -3107754.000000,-1317084.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3855000 -3933000
hori_res:2500
vert_range:-1340500 -1417500
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.105352
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1417500,-3933000,1.7415e-11,64.7,21.25
-1417500,-3930500,1.7791e-11,64.7,21.25
-1417500,-3928000,1.9019e-11,64.7,21.25
-1417500,-3925500,1.8151e-11,64.7,21.25
-1417500,-3923000,1.8324e-11,64.7,21.25
-1417500,-3920500,1.894e-11,64.7,21.25
-1417500,-3918000,1.8124e-11,64.7,21.25
-1417500,-3915500,1.7516e-11,64.7,21.25
-1417500,-3913000,1.7294e-11,64.7,21.25
-1417500,-3910500,1.871e-11,64.7,21.25
-1417500,-3908000,1.7878e-11,64.7,21.25
-1417500,-3905500,1.8369e-11,64.7,21.25
-1417500,-3903000,1.7452e-11,64.7,21.25
-1417500,-3900500,1.8634e-11,64.7,21.25
-1417500,-3898000,1.8648e-11,64.7,21.25
-1417500,-3895500,1.7957e-11,64.7,21.25
-1417500,-3893000,1.7921e-11,64.7,21.25
-1417500,-3890500,1.8145e-11,64.7,21.25
-1417500,-3888000,1.8164e-11,64.7,21.25
-1417500,-3885500,1.7767e-11,64.7,21.25
-1417500,-3883000,1.8746e-11,64.7,21.25
-1417500,-3880500,1.8782e-11,64.7,21.25
-1417500,-3878000,1.8166e-11,64.7,21.25
-1417500,-3875500,1.8758e-11,64.7,21.25
-1417500,-3873000,1.8188e-11,64.7,21.25
-1417500,-3870500,1.7648e-11,64.7,21.25
