General parameters:
Start time: 2023             10             20             16             42      51.617957
Finish time: 2023             10             20             17              8       5.214397
Raster type: raster_jump
Horizontal range (nm): -3713501.000000,-3796501.000000
Vertical range (nm): -1416000.000000,-1490000.000000
Horizontal pixel size (nm): 2500.000000
Vertical pixel size (nm): 2500.000000
Dwell time (ms): 1005.000000
Source chamber pressure: Error-S
Differential chamber pressure: 7.94e-07
Sample chamber pressure: 2.00e-08
Initial position (nm): -2985761.000000,-1409081.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3713501 -3796501
hori_res:2500
vert_range:-1416000 -1490000
vert_res:2500
pause:0.35
data_path:/icon/data/2023_09_defect_MoS2_5um_hbn_sub/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 2.091330
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1400
11         0.85
12   0
==========
Data:
x(nm),y(nm),I(A),P_beam(bar),T_lab(C)
-1490000,-3796501,1.604e-11,64.5,21.25
-1490000,-3794001,1.5839e-11,64.5,21.25
-1490000,-3791501,1.6404e-11,64.5,21.25
-1490000,-3789001,1.6681e-11,64.5,21.25
-1490000,-3786501,1.5512e-11,64.5,21.25
-1490000,-3784001,1.6094e-11,64.5,21.25
-1490000,-3781501,1.5554e-11,64.5,21.25
-1490000,-3779001,1.5201e-11,64.5,21.25
-1490000,-3776501,1.5981e-11,64.5,21.25
-1490000,-3774001,1.6706e-11,64.5,21.25
-1490000,-3771501,1.5873e-11,64.5,21.25
-1490000,-3769001,1.5981e-11,64.5,21.25
-1490000,-3766501,1.5613e-11,64.5,21.25
-1490000,-3764001,1.5676e-11,64.5,21.25
-1490000,-3761501,1.5963e-11,64.5,21.25
-1490000,-3759001,1.5794e-11,64.5,21.25
-1490000,-3756501,1.5824e-11,64.5,21.25
-1490000,-3754001,1.5742e-11,64.5,21.25
-1490000,-3751501,1.6443e-11,64.5,21.25
-1490000,-3749001,1.6054e-11,64.5,21.25
-1490000,-3746501,1.6601e-11,64.5,21.25
-1490000,-3744001,1.6042e-11,64.5,21.25
-1490000,-3741501,1.607e-11,64.5,21.25
-1490000,-3739001,1.6149e-11,64.5,21.25
-1490000,-3736501,1.6181e-11,64.5,21.25
-1490000,-3734001,1.571e-11,64.5,21.25
-1490000,-3731501,1.6193e-11,64.5,21.25
-1490000,-3729001,1.6009e-11,64.5,21.25
-1490000,-3726501,1.6078e-11,64.5,21.25
-1490000,-3724001,1.5854e-11,64.5,21.25
-1490000,-3721501,1.6088e-11,64.5,21.25
-1490000,-3719001,1.6879e-11,64.5,21.25
-1490000,-3716501,1.6878e-11,64.5,21.25
-1490000,-3714001,1.6478e-11,64.5,21.25
-1487500,-3796501,1.6394e-11,64.5,21.25
-1487500,-3794001,1.5943e-11,64.5,21.25
-1487500,-3791501,1.659e-11,64.5,21.25
-1487500,-3789001,1.6028e-11,64.5,21.25
-1487500,-3786501,1.646e-11,64.5,21.25
-1487500,-3784001,1.6839e-11,64.5,21.25
-1487500,-3781501,1.5369e-11,64.5,21.25
-1487500,-3779001,1.6313e-11,64.5,21.25
-1487500,-3776501,1.6131e-11,64.5,21.25
-1487500,-3774001,1.5299e-11,64.5,21.25
-1487500,-3771501,1.5719e-11,64.5,21.25
-1487500,-3769001,1.6916e-11,64.5,21.25
-1487500,-3766501,1.5618e-11,64.5,21.25
-1487500,-3764001,1.6522e-11,64.5,21.25
-1487500,-3761501,1.6876e-11,64.5,21.25
-1487500,-3759001,1.6779e-11,64.5,21.25
-1487500,-3756501,1.6133e-11,64.5,21.25
-1487500,-3754001,1.6e-11,64.5,21.25
-1487500,-3751501,1.7078e-11,64.5,21.25
-1487500,-3749001,1.6013e-11,64.5,21.25
-1487500,-3746501,1.587e-11,64.5,21.25
-1487500,-3744001,1.6249e-11,64.5,21.25
-1487500,-3741501,1.6278e-11,64.5,21.25
-1487500,-3739001,1.5149e-11,64.5,21.25
-1487500,-3736501,1.5391e-11,64.5,21.25
-1487500,-3734001,1.6055e-11,64.5,21.25
-1487500,-3731501,1.6804e-11,64.5,21.25
-1487500,-3729001,1.684e-11,64.5,21.25
-1487500,-3726501,1.6051e-11,64.5,21.25
-1487500,-3724001,1.6518e-11,64.5,21.25
-1487500,-3721501,1.6079e-11,64.5,21.25
-1487500,-3719001,1.65e-11,64.5,21.25
-1487500,-3716501,1.579e-11,64.5,21.25
-1487500,-3714001,1.6176e-11,64.5,21.25
-1485000,-3796501,1.5481e-11,64.5,21.25
-1485000,-3794001,1.5349e-11,64.5,21.25
-1485000,-3791501,1.633e-11,64.5,21.25
-1485000,-3789001,1.5999e-11,64.5,21.25
-1485000,-3786501,1.5554e-11,64.5,21.25
-1485000,-3784001,1.5627e-11,64.5,21.25
-1485000,-3781501,1.5291e-11,64.5,21.25
-1485000,-3779001,1.586e-11,64.5,21.25
-1485000,-3776501,1.6627e-11,64.5,21.25
-1485000,-3774001,1.5479e-11,64.5,21.25
-1485000,-3771501,1.5242e-11,64.5,21.25
-1485000,-3769001,1.6106e-11,64.5,21.25
-1485000,-3766501,1.6255e-11,64.5,21.25
-1485000,-3764001,1.5922e-11,64.5,21.25
-1485000,-3761501,1.5782e-11,64.5,21.25
-1485000,-3759001,1.5616e-11,64.5,21.25
-1485000,-3756501,1.5942e-11,64.5,21.25
-1485000,-3754001,1.5779e-11,64.5,21.25
-1485000,-3751501,1.6484e-11,64.5,21.25
-1485000,-3749001,1.5752e-11,64.5,21.25
-1485000,-3746501,1.6367e-11,64.5,21.25
-1485000,-3744001,1.6951e-11,64.5,21.25
-1485000,-3741501,1.5661e-11,64.5,21.25
-1485000,-3739001,1.5993e-11,64.5,21.25
-1485000,-3736501,1.5515e-11,64.5,21.25
-1485000,-3734001,1.5769e-11,64.5,21.25
-1485000,-3731501,1.6554e-11,64.5,21.25
-1485000,-3729001,1.5884e-11,64.5,21.25
-1485000,-3726501,1.6872e-11,64.5,21.25
-1485000,-3724001,1.6128e-11,64.5,21.25
-1485000,-3721501,1.58e-11,64.5,21.25
-1485000,-3719001,1.5843e-11,64.5,21.25
-1485000,-3716501,1.5952e-11,64.5,21.25
-1485000,-3714001,1.59e-11,64.5,21.25
-1482500,-3796501,1.6715e-11,64.5,21.25
-1482500,-3794001,1.5691e-11,64.5,21.25
-1482500,-3791501,1.6372e-11,64.5,21.25
-1482500,-3789001,1.6476e-11,64.5,21.25
-1482500,-3786501,1.6216e-11,64.5,21.25
-1482500,-3784001,1.546e-11,64.5,21.25
-1482500,-3781501,1.5804e-11,64.5,21.25
-1482500,-3779001,1.6018e-11,64.5,21.25
-1482500,-3776501,1.5946e-11,64.5,21.25
-1482500,-3774001,1.5925e-11,64.5,21.25
